idx,skill,tf,df,tfidf,pr
0,개발,204.0,42,347.3368646237377,0.05638422407673869
1,C,212.0,53,312.6677247938032,0.050756279715473154
2,경험,63.0,24,141.43222674991677,0.022959113117399937
3,경력,47.0,20,113.7075402632028,0.018458482477408333
4,C#,28.0,4,107.92302899256228,0.017519465595305903
5,C++,30.0,8,97.99821683068171,0.01590834138175253
6,소프트웨어 개발,22.0,4,84.7966656370132,0.01376529439631178
7,W 개발,13.0,0,71.02981346533294,0.011530480425384066
8,제어,20.0,7,67.68780526691549,0.010987962315968885
9,임베디드,12.0,0,65.56598166030733,0.010643520392662215
10,기술,23.0,13,64.96981293443808,0.010546742554054819
11,프로그램,25.0,19,61.70248828679048,0.010016348047085392
12,JAVA,11.0,0,60.10214985528172,0.009756560359940365
13,DB,11.0,0,60.10214985528172,0.009756560359940365
14,수학,19.0,10,58.252794112317545,0.009456348953581717
15,공학,13.0,2,56.74785371264751,0.009212047512071749
16,통신,17.0,8,55.53232287071964,0.0090147267829931
17,인공지능,10.0,0,54.6383180502561,0.008869600327218513
18,UI,10.0,0,54.6383180502561,0.008869600327218513
19,AI,18.0,11,53.62065279427698,0.008704399705941536
20,지원,31.0,41,53.51102778900949,0.008686603953486317
21,자격,22.0,20,53.22480608064812,0.008640140734106029
22,MES,14.0,5,51.40901270116577,0.008345377605819316
23,SQL,18.0,15,48.44237549014492,0.007863794582831552
24,PYTHON,13.0,5,47.73694036536821,0.007749279205403649
25,3D,20.0,23,45.715559493553286,0.007421142449334547
26,UX,8.0,0,43.71065444020488,0.007095680261774809
27,API,8.0,0,43.71065444020488,0.007095680261774809
28,소통,11.0,4,42.3983328185066,0.00688264719815589
29,전자,12.0,6,42.21505987164356,0.006852895956765707
30,프로젝트,13.0,9,41.09620725641034,0.006671269291152501
31,업무,42.0,88,40.95820828232575,0.00664886750812963
32,서비스,23.0,39,40.823904070968496,0.006627065506905773
33,연구,9.0,2,39.2869756472175,0.00637757135451121
34,설계,11.0,6,38.69713821567326,0.006281821293701898
35,SI,10.0,4,38.54393892591509,0.006256951998323536
36,IP,10.0,4,38.54393892591509,0.006256951998323536
37,임베디드 시스템,7.0,0,38.24682263517927,0.006208720229052958
38,서버,7.0,0,38.24682263517927,0.006208720229052958
39,보수,8.0,1,38.16547699572532,0.006195515149979058
40,수행,13.0,12,37.68547181833296,0.00611759448495145
41,프로그램 개발,11.0,7,37.22829289680352,0.006043379273782886
42,자동화,10.0,6,35.179216559702965,0.005710746630638089
