idx,skill,tf,df,tfidf,pr
0,FTA,4.0,4,15.417575570366038,0.029835321058773952
1,채용,3.0,11,8.936775465712829,0.017294000864974266
2,수출,2.0,4,7.708787785183019,0.014917660529386976
3,관리,6.0,69,7.292019377857507,0.014111151154228757
4,가공,2.0,10,6.131873064454479,0.011866094038889413
5,LCL,1.0,0,5.4638318050256105,0.010573334008974101
6,수출자재관리,1.0,0,5.4638318050256105,0.010573334008974101
7,임가공수책관리,1.0,0,5.4638318050256105,0.010573334008974101
8,원산지관리사,1.0,0,5.4638318050256105,0.010573334008974101
9,수출서류작성,1.0,0,5.4638318050256105,0.010573334008974101
10,원산지관리사 자격 소지자,1.0,0,5.4638318050256105,0.010573334008974101
11,지원,3.0,41,5.178486560226725,0.01002114816416899
12,사업 진행,2.0,17,5.146920094258891,0.009960062318178302
13,자격,2.0,20,4.838618734604374,0.009363452948166264
14,모니터링,1.0,2,4.3652195163575005,0.00844735446037836
15,회의,1.0,2,4.3652195163575005,0.00844735446037836
16,통상,1.0,3,4.07753744390572,0.007890646503587163
17,지원업무,1.0,5,3.672072335797555,0.007106010707684891
18,임가공,1.0,6,3.5179216559702966,0.006807706022678872
19,참여,1.0,6,3.5179216559702966,0.006807706022678872
20,수행업무,1.0,7,3.3843902633457743,0.0065493027508936935
21,사후관리,1.0,7,3.3843902633457743,0.0065493027508936935
22,에어,1.0,8,3.2666072276893905,0.006321374911782618
23,실적 관리,1.0,9,3.1612467120315646,0.006117486512000021
24,서류작성,1.0,10,3.0659365322272394,0.005933047019444707
25,인원,1.0,10,3.0659365322272394,0.005933047019444707
26,협의,1.0,10,3.0659365322272394,0.005933047019444707
27,자재관리,1.0,11,2.9789251552376097,0.005764666954991422
28,공무,1.0,12,2.8988824475640733,0.005609772310826765
29,수행,1.0,12,2.8988824475640733,0.005609772310826765
30,교육,1.0,13,2.824774475410352,0.005466362269985405
31,작성,2.0,66,2.518278371269288,0.004873246340144371
32,계약,1.0,19,2.468099531471619,0.004776142759306551
33,진행,2.0,69,2.4306731259525023,0.004703717051409585
34,기타,1.0,20,2.419309367302187,0.004681726474083132
35,LC,1.0,28,2.096535975039136,0.00405711155045613
36,업무,2.0,88,1.9503908705869404,0.0037742988544781603
37,서류,1.0,41,1.7261621867422416,0.0033403827213896635
38,자재,1.0,47,1.5926307941177191,0.0030819794496044846
39,해외,1.0,51,1.5125880864441827,0.002927084805439828
40,C,1.0,53,1.4748477584613358,0.0028540516104934104
41,법인세 관리,0.01,0,0.0546383180502561,0.000105733340089741
42,소모품 수입,0.01,0,0.0546383180502561,0.000105733340089741
43,영문 서신 작성,0.01,0,0.0546383180502561,0.000105733340089741
44,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.000105733340089741
45,유해화학물질관리자,0.01,0,0.0546383180502561,0.000105733340089741
46,가구 설치,0.01,0,0.0546383180502561,0.000105733340089741
47,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.000105733340089741
48,타이어 탈착,0.01,0,0.0546383180502561,0.000105733340089741
49,현장 조율,0.01,0,0.0546383180502561,0.000105733340089741
50,경영계획 분석,0.01,0,0.0546383180502561,0.000105733340089741
51,폐기물 관련 업무,0.01,0,0.0546383180502561,0.000105733340089741
52,납품계획 세우기,0.01,0,0.0546383180502561,0.000105733340089741
53,불량재고 처리하기,0.01,0,0.0546383180502561,0.000105733340089741
54,매뉴얼 업무,0.01,0,0.0546383180502561,0.000105733340089741
55,건축업무 경험,0.01,0,0.0546383180502561,0.000105733340089741
56,UX 시나리오 제작,0.01,0,0.0546383180502561,0.000105733340089741
57,평가계획 수립하기,0.01,0,0.0546383180502561,0.000105733340089741
58,현장상황파악,0.01,0,0.0546383180502561,0.000105733340089741
59,인허가관리,0.01,0,0.0546383180502561,0.000105733340089741
60,사건 수임,0.01,0,0.0546383180502561,0.000105733340089741
61,PF심의자료 작성,0.01,0,0.0546383180502561,0.000105733340089741
62,디지털 교육 이해,0.01,0,0.0546383180502561,0.000105733340089741
63,여행상품개발,0.01,0,0.0546383180502561,0.000105733340089741
64,주차매출 관리,0.01,0,0.0546383180502561,0.000105733340089741
65,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.000105733340089741
66,어도비 포토샵,0.01,0,0.0546383180502561,0.000105733340089741
67,데미지 관리,0.01,0,0.0546383180502561,0.000105733340089741
68,기관 소통 업무,0.01,0,0.0546383180502561,0.000105733340089741
69,비디오메타 사용,0.01,0,0.0546383180502561,0.000105733340089741
70,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.000105733340089741
71,자습감독,0.01,0,0.0546383180502561,0.000105733340089741
72,JLPT 2급이상,0.01,0,0.0546383180502561,0.000105733340089741
73,한자 관련 자격증,0.01,0,0.0546383180502561,0.000105733340089741
74,기성취합,0.01,0,0.0546383180502561,0.000105733340089741
75,KUBERNETES,0.01,0,0.0546383180502561,0.000105733340089741
76,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.000105733340089741
77,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.000105733340089741
78,경비지도사 직무교육,0.01,0,0.0546383180502561,0.000105733340089741
79,데이터 마이닝,0.01,0,0.0546383180502561,0.000105733340089741
80,채권현황 파악,0.01,0,0.0546383180502561,0.000105733340089741
81,제품표준서 작성,0.01,0,0.0546383180502561,0.000105733340089741
82,일용직 투입,0.01,0,0.0546383180502561,0.000105733340089741
83,영업 손익관리,0.01,0,0.0546383180502561,0.000105733340089741
84,불꽃놀이 연출,0.01,0,0.0546383180502561,0.000105733340089741
85,생산검토,0.01,0,0.0546383180502561,0.000105733340089741
86,화학사고대응,0.01,0,0.0546383180502561,0.000105733340089741
87,나라사업 발굴,0.01,0,0.0546383180502561,0.000105733340089741
88,영상 프로그램,0.01,0,0.0546383180502561,0.000105733340089741
89,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.000105733340089741
90,운영 원칙 이해,0.01,0,0.0546383180502561,0.000105733340089741
91,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.000105733340089741
92,법규 검토,0.01,0,0.0546383180502561,0.000105733340089741
93,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.000105733340089741
94,각종 사무관리,0.01,0,0.0546383180502561,0.000105733340089741
95,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.000105733340089741
96,가격별 상품 구성,0.01,0,0.0546383180502561,0.000105733340089741
97,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.000105733340089741
98,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.000105733340089741
99,수입신고서 작성,0.01,0,0.0546383180502561,0.000105733340089741
100,근무표관리,0.01,0,0.0546383180502561,0.000105733340089741
101,직업훈련 평가,0.01,0,0.0546383180502561,0.000105733340089741
102,제품 기술정보,0.01,0,0.0546383180502561,0.000105733340089741
103,지장물 조서 작성,0.01,0,0.0546383180502561,0.000105733340089741
104,의료 비품 관리,0.01,0,0.0546383180502561,0.000105733340089741
105,어도브 프로그램,0.01,0,0.0546383180502561,0.000105733340089741
106,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.000105733340089741
107,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.000105733340089741
108,에어컨 조립,0.01,0,0.0546383180502561,0.000105733340089741
109,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.000105733340089741
110,서버 기본 설치,0.01,0,0.0546383180502561,0.000105733340089741
111,CLAIM 업무,0.01,0,0.0546383180502561,0.000105733340089741
112,PPT 활용능력,0.01,0,0.0546383180502561,0.000105733340089741
113,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.000105733340089741
114,중량 점검표,0.01,0,0.0546383180502561,0.000105733340089741
115,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.000105733340089741
116,관련업계 경험,0.01,0,0.0546383180502561,0.000105733340089741
117,대표 업무,0.01,0,0.0546383180502561,0.000105733340089741
118,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.000105733340089741
119,농업법인 상담,0.01,0,0.0546383180502561,0.000105733340089741
120,온라인 MD 경력,0.01,0,0.0546383180502561,0.000105733340089741
121,GUI 프로그래밍,0.01,0,0.0546383180502561,0.000105733340089741
122,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.000105733340089741
123,인터칩 통신,0.01,0,0.0546383180502561,0.000105733340089741
124,품질 개선방법 파악,0.01,0,0.0546383180502561,0.000105733340089741
125,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.000105733340089741
126,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.000105733340089741
127,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.000105733340089741
128,입출납업무,0.01,0,0.0546383180502561,0.000105733340089741
129,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.000105733340089741
130,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.000105733340089741
131,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.000105733340089741
