idx,skill,tf,df,tfidf,pr
0,컨설팅,17.0,0,92.88514068543536,0.0465015349541124
1,IT,16.0,5,58.75315737276088,0.029413875901706087
2,개인,12.0,10,36.79123838672688,0.018418974716735585
3,경력,15.0,20,36.2896405095328,0.018167857357735812
4,업무,35.0,88,34.131840235271454,0.017087587422877533
5,프로젝트,10.0,9,31.61246712031565,0.01582630153685703
6,경험,14.0,24,31.429383722203728,0.015734643614244287
7,평가,11.0,15,29.60367391064412,0.01482062972578153
8,채용,9.0,11,26.81032639713849,0.013422182718222302
9,기술,8.0,13,22.598195803282813,0.01131344350981866
10,지원,13.0,41,22.440108427649143,0.011234299466222614
11,WIKI,4.0,0,21.85532722010244,0.01094153763626174
12,GOOGLE,4.0,0,21.85532722010244,0.01094153763626174
13,데이터 분석,4.0,0,21.85532722010244,0.01094153763626174
14,측정,7.0,10,21.461555725590674,0.010744401918095756
15,C,13.0,53,19.173020859997365,0.00959868169567078
16,진단,5.0,5,18.360361678987772,0.00919183621928315
17,설계,5.0,6,17.589608279851483,0.008805970236129645
18,ISMS,4.0,2,17.460878065430002,0.00874152340942091
19,GO,4.0,2,17.460878065430002,0.00874152340942091
20,연구,4.0,2,17.460878065430002,0.00874152340942091
21,개발,10.0,42,17.026316893320477,0.00852396695867507
22,BI,4.0,5,14.68828934319022,0.007353468975426522
23,감리,4.0,6,14.071686623881186,0.0070447761889037164
24,분석,8.0,43,13.43713736885879,0.006727098741846172
25,비용,3.0,2,13.0956585490725,0.006556142557065681
26,공학,3.0,2,13.0956585490725,0.006556142557065681
27,테스트,4.0,8,13.066428910757562,0.006541509182580075
28,통신,4.0,8,13.066428910757562,0.006541509182580075
29,프로그램,5.0,19,12.340497657358096,0.006178082725935529
30,PL,3.0,4,11.563181677774528,0.005788931286552898
31,클라우드,5.0,25,11.02867633502064,0.005521339304715839
32,관리,9.0,69,10.93802906678626,0.005475958126615769
33,IOT,2.0,0,10.92766361005122,0.00547076881813087
34,벤치마킹,2.0,0,10.92766361005122,0.00547076881813087
35,ITS,2.0,0,10.92766361005122,0.00547076881813087
36,안정화,2.0,0,10.92766361005122,0.00547076881813087
37,어플리케이션,2.0,0,10.92766361005122,0.00547076881813087
38,기술지원,2.0,0,10.92766361005122,0.00547076881813087
