idx,skill,tf,df,tfidf,pr
0,코렐로 도면 작업,1.0,0,5.4638318050256105,0.013138131759570282
1,작성 보조,1.0,0,5.4638318050256105,0.013138131759570282
2,도면 작업,1.0,0,5.4638318050256105,0.013138131759570282
3,평가,2.0,15,5.382486165571658,0.012942530985727002
4,보조,2.0,16,5.261236921938788,0.012650979452765894
5,감정,1.0,2,4.3652195163575005,0.010496448502057007
6,감정평가,1.0,2,4.3652195163575005,0.010496448502057007
7,사무,2.0,33,3.8749425608188974,0.009317546319412505
8,사무실,1.0,7,3.3843902633457743,0.008137982059540196
9,서류 작성,1.0,11,2.9789251552376097,0.007163015368703617
10,보조업무,1.0,11,2.9789251552376097,0.007163015368703617
11,교육,1.0,13,2.824774475410352,0.006792350235758817
12,엑셀,1.0,16,2.630618460969394,0.006325489726382947
13,전산,1.0,18,2.51939282585917,0.006058040598872119
14,작성,2.0,66,2.518278371269288,0.006055360821791782
15,기타,1.0,20,2.419309367302187,0.005817383544922236
16,한글,1.0,30,2.029844600540464,0.004880890694479919
17,도면,1.0,32,1.9673242435591296,0.004730556511989049
18,업무,2.0,88,1.9503908705869404,0.004689839137592945
19,서류,1.0,41,1.7261621867422416,0.004150666978245542
20,법인세 관리,0.01,0,0.0546383180502561,0.00013138131759570282
21,소모품 수입,0.01,0,0.0546383180502561,0.00013138131759570282
22,영문 서신 작성,0.01,0,0.0546383180502561,0.00013138131759570282
23,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00013138131759570282
24,유해화학물질관리자,0.01,0,0.0546383180502561,0.00013138131759570282
25,가구 설치,0.01,0,0.0546383180502561,0.00013138131759570282
26,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00013138131759570282
27,타이어 탈착,0.01,0,0.0546383180502561,0.00013138131759570282
28,현장 조율,0.01,0,0.0546383180502561,0.00013138131759570282
29,경영계획 분석,0.01,0,0.0546383180502561,0.00013138131759570282
30,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00013138131759570282
31,납품계획 세우기,0.01,0,0.0546383180502561,0.00013138131759570282
32,불량재고 처리하기,0.01,0,0.0546383180502561,0.00013138131759570282
33,매뉴얼 업무,0.01,0,0.0546383180502561,0.00013138131759570282
34,건축업무 경험,0.01,0,0.0546383180502561,0.00013138131759570282
35,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00013138131759570282
36,평가계획 수립하기,0.01,0,0.0546383180502561,0.00013138131759570282
37,현장상황파악,0.01,0,0.0546383180502561,0.00013138131759570282
38,인허가관리,0.01,0,0.0546383180502561,0.00013138131759570282
39,사건 수임,0.01,0,0.0546383180502561,0.00013138131759570282
40,PF심의자료 작성,0.01,0,0.0546383180502561,0.00013138131759570282
41,디지털 교육 이해,0.01,0,0.0546383180502561,0.00013138131759570282
42,여행상품개발,0.01,0,0.0546383180502561,0.00013138131759570282
43,주차매출 관리,0.01,0,0.0546383180502561,0.00013138131759570282
44,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00013138131759570282
45,어도비 포토샵,0.01,0,0.0546383180502561,0.00013138131759570282
46,데미지 관리,0.01,0,0.0546383180502561,0.00013138131759570282
47,기관 소통 업무,0.01,0,0.0546383180502561,0.00013138131759570282
48,비디오메타 사용,0.01,0,0.0546383180502561,0.00013138131759570282
49,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00013138131759570282
50,자습감독,0.01,0,0.0546383180502561,0.00013138131759570282
51,JLPT 2급이상,0.01,0,0.0546383180502561,0.00013138131759570282
52,한자 관련 자격증,0.01,0,0.0546383180502561,0.00013138131759570282
53,기성취합,0.01,0,0.0546383180502561,0.00013138131759570282
54,KUBERNETES,0.01,0,0.0546383180502561,0.00013138131759570282
55,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00013138131759570282
56,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00013138131759570282
57,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00013138131759570282
58,데이터 마이닝,0.01,0,0.0546383180502561,0.00013138131759570282
59,채권현황 파악,0.01,0,0.0546383180502561,0.00013138131759570282
60,제품표준서 작성,0.01,0,0.0546383180502561,0.00013138131759570282
61,일용직 투입,0.01,0,0.0546383180502561,0.00013138131759570282
62,영업 손익관리,0.01,0,0.0546383180502561,0.00013138131759570282
63,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00013138131759570282
64,생산검토,0.01,0,0.0546383180502561,0.00013138131759570282
65,화학사고대응,0.01,0,0.0546383180502561,0.00013138131759570282
66,나라사업 발굴,0.01,0,0.0546383180502561,0.00013138131759570282
67,영상 프로그램,0.01,0,0.0546383180502561,0.00013138131759570282
68,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00013138131759570282
69,운영 원칙 이해,0.01,0,0.0546383180502561,0.00013138131759570282
70,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00013138131759570282
71,법규 검토,0.01,0,0.0546383180502561,0.00013138131759570282
72,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00013138131759570282
73,각종 사무관리,0.01,0,0.0546383180502561,0.00013138131759570282
74,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00013138131759570282
75,가격별 상품 구성,0.01,0,0.0546383180502561,0.00013138131759570282
76,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00013138131759570282
77,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00013138131759570282
78,수입신고서 작성,0.01,0,0.0546383180502561,0.00013138131759570282
79,근무표관리,0.01,0,0.0546383180502561,0.00013138131759570282
80,직업훈련 평가,0.01,0,0.0546383180502561,0.00013138131759570282
81,제품 기술정보,0.01,0,0.0546383180502561,0.00013138131759570282
82,지장물 조서 작성,0.01,0,0.0546383180502561,0.00013138131759570282
83,의료 비품 관리,0.01,0,0.0546383180502561,0.00013138131759570282
84,어도브 프로그램,0.01,0,0.0546383180502561,0.00013138131759570282
85,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00013138131759570282
86,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00013138131759570282
