idx,skill,tf,df,tfidf,pr
0,관리,201.0,69,244.2826491582265,0.035239319868166634
1,현장,173.0,70,207.79928354128296,0.02997636322645277
2,공무,53.0,12,153.6407697208959,0.022163654470109758
3,건설,72.0,27,153.47716522922926,0.022140053485620783
4,건축,53.0,20,128.2233964670159,0.01849703733873133
5,경력,48.0,20,116.12684963050498,0.016752033816209506
6,토목,33.0,6,116.0914146470198,0.016746922095332645
7,자격,45.0,20,108.86892152859842,0.015705031702696413
8,시공,29.0,7,98.14731763702746,0.014158372411351792
9,C,63.0,53,92.91540878306417,0.013403636410816254
10,현장 관리,23.0,6,80.91219808731682,0.011672097217959114
11,업무,80.0,88,78.01563482347761,0.011254249615091928
12,초급,21.0,8,68.5987517814772,0.009895804572754009
13,협의,22.0,10,67.45060370899927,0.009730176938857414
14,캐드,19.0,6,66.84051146343563,0.009642167267009703
15,기성,13.0,1,62.01890011805365,0.008946619281651795
16,관리자,27.0,23,61.716005316296936,0.00890292478741616
17,경험,26.0,24,58.36885548409264,0.008420077217233932
18,건설현장,16.0,7,54.15024421353239,0.007811515813159609
19,창호,11.0,1,52.47753086912232,0.007570216315243827
20,기술,18.0,13,50.84594055738633,0.0073348490753387735
21,안전관리,13.0,4,50.10712060368962,0.007228269615999283
22,현장관리,28.0,41,48.332541228782766,0.006972275297781091
23,자격증,30.0,47,47.77892382353157,0.006892412479461993
24,견적,14.0,7,47.38146368684084,0.006835076336514657
25,급여,17.0,17,43.74882080120057,0.0063110445845461355
26,안전,31.0,58,42.97512519471661,0.0061994340913267675
27,모집,25.0,42,42.5657922333012,0.0061403852181890015
28,준공,11.0,4,42.3983328185066,0.006116228136614777
29,지원,24.0,41,41.4278924818138,0.005976235969526649
30,품질,16.0,17,41.17536075407113,0.005939806667808128
31,착공,10.0,3,40.7753744390572,0.0058821061076323
32,감독,7.0,0,38.24682263517927,0.005517346489513169
33,건설업,10.0,5,36.72072335797555,0.00529719699970996
34,IT,10.0,5,36.72072335797555,0.00529719699970996
35,자재,23.0,47,36.63050826470754,0.0052841829009208615
36,서류,21.0,41,36.24940592158708,0.0052292064733358195
37,품질관리,12.0,12,34.78658937076888,0.0050181859177607
38,아파트,11.0,9,34.77371383234721,0.005016328539766481
39,현장 소장,7.0,1,33.394792371259655,0.004817410382427889
40,중급,10.0,9,31.61246712031565,0.004560298672514983
41,SI,8.0,4,30.83515114073208,0.004448165917538021
42,AS,10.0,10,30.659365322272397,0.004422807699480643
43,공사관리,7.0,2,30.556536614502505,0.004407974006882253
44,현장대리인,8.0,5,29.37657868638044,0.004237757599767969
45,공무업무,8.0,5,29.37657868638044,0.004237757599767969
46,CE,8.0,5,29.37657868638044,0.004237757599767969
47,현장소장,6.0,1,28.62410774679399,0.004129208899223905
48,건설공사,7.0,3,28.54276210734004,0.004117474275342609
49,운전,11.0,17,28.3080605184239,0.004083617084118088
50,발주,11.0,18,27.713321084450868,0.003997822152614733
51,경력자,14.0,32,27.542539409827818,0.003973185814011067
52,기성청구,5.0,0,27.31915902512805,0.003940961778223693
53,공무 업무,6.0,2,26.191317098145003,0.0037782634344705026
54,도면,13.0,32,25.575215166268688,0.00368938682729599
55,청구,9.0,14,24.8020344353106,0.00357785060813338
56,출장,7.0,6,24.625451591792075,0.0035523774141614692
57,작성,19.0,66,23.923644527058237,0.0034511372985612985
58,관리감독,5.0,1,23.853423122328326,0.003441007416019921
59,건설 현장,5.0,1,23.853423122328326,0.003441007416019921
60,보수,5.0,1,23.853423122328326,0.003441007416019921
61,채용,8.0,11,23.83140124190088,0.0034378306202419344
62,엑셀,9.0,16,23.675566148724545,0.0034153504207105733
63,건설기술,6.0,4,23.126363355549056,0.003336124438153515
64,인테리어,6.0,4,23.126363355549056,0.003336124438153515
65,시설,13.0,42,22.13421196131662,0.0031930003134582803
66,토목기사,4.0,0,21.85532722010244,0.0031527694225789537
67,철콘,4.0,0,21.85532722010244,0.0031527694225789537
68,아파트현장,4.0,0,21.85532722010244,0.0031527694225789537
69,인원,7.0,10,21.461555725590674,0.0030959653896364494
