idx,skill,tf,df,tfidf,pr
0,건설,361.0,27,769.5174534409966,0.03725738946586179
1,건설업,170.0,5,624.2522970855844,0.030224150022166846
2,업무,625.0,88,609.4971470584188,0.029509756386608483
3,경리,260.0,25,573.4911694210732,0.027766470739304376
4,신고,218.0,17,561.0142902742191,0.027162383146990297
5,경력,205.0,20,495.9584202969484,0.02401260158720208
6,관리,396.0,69,481.27327893859547,0.023301597530695203
7,사무,246.0,33,476.6179349807244,0.02307620178150152
8,회계,176.0,15,473.6587825703059,0.022932929795465587
9,급여,134.0,17,344.8436463153457,0.01669614376925092
10,4대보험,120.0,23,274.2933569613197,0.013280341313259279
11,경리업무,84.0,10,257.5386687070881,0.012469136911233495
12,지원,145.0,41,250.29351707762504,0.012118351578436848
13,공무,84.0,12,243.50612559538217,0.011789729418172116
14,자격,91.0,20,220.15715242449903,0.010659252411879948
15,노무,65.0,8,212.3294697998104,0.0102802629310578
16,서류,123.0,41,212.3179489692957,0.010279705132053325
17,계약,80.0,19,197.44796251772956,0.0095597515116374
18,계산,59.0,8,192.72982643367405,0.009331315583575542
19,협의,61.0,10,187.0221284658616,0.009054968471252896
20,사무실,55.0,7,186.1414644840176,0.009012329749007677
21,보조,63.0,16,165.7289630410718,0.008024026608082739
22,키스콘,34.0,1,162.2032772318326,0.007853325022638894
23,건축,65.0,20,157.25510887464216,0.007613751722771391
24,경력자,76.0,32,149.51664251049385,0.00723908178655577
25,정리,77.0,33,149.18528859152755,0.007223038769006574
26,엑셀,56.0,16,147.31463381428603,0.0071324680960735435
27,실적신고,37.0,4,142.61257402588586,0.006904810526976412
28,준공,37.0,4,142.61257402588586,0.006904810526976412
29,세금계산서,43.0,8,140.4641107906438,0.006800789323622852
30,착공,34.0,3,138.63627309279448,0.006712291706467275
31,부가세,34.0,3,138.63627309279448,0.006712291706467275
32,현장,114.0,70,136.9313197902096,0.006629743729249261
33,입찰,37.0,5,135.86667642450954,0.006578197357765726
34,작성,101.0,66,127.17305774909904,0.006157282230488117
35,모집,74.0,42,125.99474501057152,0.006100232378771827
36,기타,51.0,20,123.38477773241154,0.005973866736328322
37,매입,59.0,30,119.76083143188735,0.005798407715719699
38,토목,33.0,6,116.0914146470198,0.005620747170588395
39,세무,43.0,17,110.65878202656616,0.005357717776699922
40,문서,33.0,12,95.66312076961442,0.004631679414281903
41,채용,32.0,11,95.32560496760352,0.004615338059540471
42,초급,29.0,8,94.73160960299232,0.004586578846164249
43,프로그램,37.0,19,91.31968266444991,0.004421385074132297
44,결산,31.0,12,89.86535587448627,0.00435097157099209
45,자격증,56.0,47,89.18732447059227,0.004318143621512838
46,건설업 경리,20.0,3,81.55074887811439,0.00394840688615722
47,더존,27.0,11,80.43097919141546,0.0038941914877372715
48,보험관리,23.0,7,77.84097605695281,0.003768792440494119
49,경리 업무,26.0,11,77.45205403617786,0.003749962173376632
50,매입매출,32.0,20,77.41789975366999,0.0037483085404413
51,기성,16.0,1,76.33095399145064,0.003695682363594774
52,운전,29.0,17,74.63034136675392,0.0036133445470766913
53,보험,154.0,146,72.90347961001856,0.0035297358378307943
54,기술,25.0,13,70.6193618852588,0.00341914671047999
55,조경,18.0,4,69.37909006664717,0.0033590970131236594
56,경험,30.0,24,67.34867940472228,0.0032607915095009604
57,매출,61.0,79,65.99011539145543,0.0031950145107724087
58,4대보험 신고,17.0,4,65.52469617405566,0.0031724805123945674
59,근무시간,31.0,28,64.99261522621322,0.0031467189822142116
60,성실,24.0,16,63.13484306326545,0.0030567720411743765
61,공무업무,17.0,5,62.42522970855843,0.003022415002216685
62,세무사,16.0,4,61.67030228146415,0.0029858640116654754
63,사무업무,30.0,32,59.019727306773895,0.0028575322841667516
64,청구,21.0,14,57.8714136823914,0.0028019348864192885
65,사무원,34.0,43,57.10783381764986,0.002764964974584603
66,세금계산서 발행,18.0,9,56.90244081656816,0.0027550205516210374
67,경력자 우대,31.0,37,56.61361500427595,0.0027410365987837805
68,서류관리,19.0,11,56.59957794951458,0.002740356972852154
69,법인,21.0,15,56.516104738502406,0.002736315486958962
70,관련업무,19.0,12,55.07876650371739,0.0026667245112532165
71,한글,27.0,30,54.80580421459252,0.0026535086156683372
72,정산,16.0,7,54.15024421353239,0.0026217686542567785
73,자금,27.0,31,53.94858936009886,0.002612005219550446
74,캐드,15.0,6,52.76882483955445,0.002554885077540179
75,차량,18.0,13,50.84594055738633,0.0024617856315455925
76,4대보험관리,16.0,9,50.57994739250504,0.002448907156996478
77,행정,14.0,6,49.25090318358415,0.002384559405704167
78,시행,12.0,3,48.93044932686864,0.0023690441316943324
79,급여관리,18.0,15,48.44237549014492,0.0023454132745362533
80,관련 업무,30.0,46,48.410526099466544,0.002343871236539001
81,기장,17.0,13,48.02116608197598,0.002325019763126393
82,계산서 발행,21.0,23,48.00133746823095,0.0023240597298203737
83,C,32.0,53,47.19512827076274,0.0022850258522563007
84,경리사무원,12.0,4,46.25272671109811,0.0022393980087491066
85,상실,14.0,8,45.732501187651465,0.002214210477458603
86,사무보조,21.0,27,44.76417319185853,0.0021673273650501318
87,근태,12.0,5,44.06486802957066,0.0021334694133294248
88,경비,13.0,7,43.99707342349507,0.0021301870315836324
89,학력,17.0,17,43.74882080120057,0.0021181674931139223
90,노무비 신고,10.0,2,43.652195163575,0.002113489211942644
91,원가,20.0,26,43.35989878042562,0.0020993372259964353
92,창호,9.0,1,42.93616162019099,0.0020788213295220605
93,컴퓨터,23.0,36,42.61701952477187,0.002063369566484313
94,사무직,28.0,51,42.35246642043712,0.0020505608147158797
95,건설업 경력,10.0,3,40.7753744390572,0.0019742034430786106
96,회계업무,16.0,18,40.31028521374672,0.0019516854217832074
97,매출관리,13.0,10,39.85717491895412,0.00192974737911947
98,대관업,9.0,2,39.2869756472175,0.0019021402907483797
99,경력직,21.0,36,38.911191740009095,0.0018839461259204594
100,키스콘신고,7.0,0,38.24682263517927,0.0018517796579904
101,소방,17.0,24,38.16425166267595,0.0018477818553838774
102,프로그램 사용,12.0,9,37.934960544378775,0.0018366803677473584
103,감사,13.0,12,37.68547181833296,0.00182460098138378
104,신고업무,14.0,15,37.67740315900161,0.0018242103246393082
105,대관,11.0,7,37.22829289680352,0.0018024659498015352
106,건설현장,11.0,7,37.22829289680352,0.0018024659498015352
107,장부,12.0,10,36.79123838672688,0.001781305273033357
108,서류작성,12.0,10,36.79123838672688,0.001781305273033357
109,업무 보조,10.0,5,36.72072335797555,0.0017778911777745206
110,운전가능,11.0,8,35.9326795045833,0.001739736803717474
111,대관업무,8.0,2,34.921756130860004,0.0016907913695541153
112,4대보험 취득상실,8.0,2,34.921756130860004,0.0016907913695541153
113,ERP,11.0,9,34.77371383234721,0.0016836236704350785
114,인근거주자,9.0,4,34.68954503332358,0.0016795485065618297
115,기능,13.0,16,34.19803999260212,0.0016557515223027872
116,매출 관리,10.0,7,33.843902633457745,0.0016386054089104866
117,접수,15.0,25,33.08602900506192,0.0016019117734214065
118,재무,9.0,5,33.04865102217799,0.0016001020599970682
119,대금청구,6.0,0,32.782990830153665,0.0015872397068489145
120,준공서류,6.0,0,32.782990830153665,0.0015872397068489145
121,초보,10.0,8,32.66607227689391,0.001581578912470431
122,공사계약,8.0,3,32.62029955124576,0.0015793627544628882
123,컴퓨터활용능력,8.0,3,32.62029955124576,0.0015793627544628882
124,조정,14.0,23,32.0008916454873,0.0015493731532135824
125,워드,9.0,6,31.66129490373267,0.0015329310465241074
126,협의 가능,19.0,44,31.486216989850515,0.0015244543758583418
127,총무,18.0,41,31.07091936136035,0.0015043470924956087
128,4대보험신고,8.0,4,30.83515114073208,0.0014929320058327377
129,공무 업무,7.0,2,30.556536614502505,0.001479442448359851
130,시공,9.0,7,30.45951237011197,0.0014747448680194378
131,보고,9.0,7,30.45951237011197,0.0014747448680194378
132,취득,15.0,30,30.44766900810696,0.0014741714531490765
133,서류 작성,10.0,11,29.789251552376097,0.0014422931436063968
134,매입매출관리,9.0,8,29.399465049204515,0.0014234210212233876
135,은행,9.0,8,29.399465049204515,0.0014234210212233876
136,통신,9.0,8,29.399465049204515,0.0014234210212233876
137,면허,13.0,25,28.674558471053665,0.0013883235369652192
138,건설공사,7.0,3,28.54276210734004,0.0013819424101550273
139,입퇴사자,7.0,3,28.54276210734004,0.0013819424101550273
140,근태관리,10.0,13,28.247744754103515,0.001367658684191996
141,사무 업무,13.0,26,28.183934207276653,0.001364569196897683
142,컴퓨터활용,8.0,6,28.143373247762373,0.0013626053746880955
143,발주,11.0,18,27.713321084450868,0.0013417837274759552
144,착공계,5.0,0,27.31915902512805,0.0013226997557074288
145,견적,8.0,7,27.075122106766194,0.0013108843271283893
146,건설기술,7.0,4,26.980757248140566,0.0013063155051036455
147,전화,12.0,24,26.93947176188891,0.0013043166038003843
148,회계 업무,10.0,15,26.912430827858287,0.001303007374742363
149,계약서,9.0,11,26.81032639713849,0.0012980638292457573
150,4대보험 취득,10.0,16,26.30618460969394,0.0012736550171559902
151,자가,7.0,5,25.70450635058289,0.0012445238244421645
152,NAVER,7.0,5,25.70450635058289,0.0012445238244421645
153,보조 업무,7.0,5,25.70450635058289,0.0012445238244421645
154,4대보험 관리,9.0,13,25.422970278693164,0.0012308928157727962
155,임금,9.0,13,25.422970278693164,0.0012308928157727962
156,경리 회계,8.0,9,25.28997369625252,0.001224453578498239
157,회계사무소,8.0,9,25.28997369625252,0.001224453578498239
158,직원,54.0,147,25.19745468812073,0.0012199741262083038
159,마감,11.0,23,25.143557721454307,0.0012173646203821006
160,운전가능자,9.0,14,24.8020344353106,0.001200829237036838
161,부가세신고,7.0,6,24.625451591792075,0.0011922797028520835
162,전표입력,8.0,10,24.527492257817915,0.0011875368486889042
163,건축공사업,6.0,3,24.46522466343432,0.0011845220658471662
164,계약 관리,6.0,3,24.46522466343432,0.0011845220658471662
165,부가세 신고,6.0,3,24.46522466343432,0.0011845220658471662
166,입 관리,5.0,1,23.853423122328326,0.001154900738623367
167,자금관리,5.0,1,23.853423122328326,0.001154900738623367
168,건설기술인,7.0,7,23.69073184342042,0.0011470237862373405
169,회계사무실,7.0,7,23.69073184342042,0.0011470237862373405
170,전기,15.0,49,23.27713199396196,0.001126998703498295
171,회계능력,7.0,8,22.866250593825733,0.0011071052387293015
172,일반사무,7.0,8,22.866250593825733,0.0011071052387293015
173,매입매출 관리,6.0,5,22.03243401478533,0.0010667347066647124
174,보증,6.0,5,22.03243401478533,0.0010667347066647124
175,전기공사,6.0,5,22.03243401478533,0.0010667347066647124
176,외근,6.0,5,22.03243401478533,0.0010667347066647124
177,차량소지자,12.0,37,21.91494774359069,0.001061046425335657
178,응대,12.0,37,21.91494774359069,0.001061046425335657
179,관리업무,16.0,59,21.91179588485615,0.0010608938231719386
180,자체기장,5.0,2,21.8260975817875,0.001056744605971322
181,운전 가능,7.0,10,21.461555725590674,0.0010390947426027913
182,일반 사무,9.0,21,21.355104165005645,0.0010339407240237061
