idx,skill,tf,df,tfidf,pr
0,신고,405.0,17,1042.2513190874254,0.06498306501835206
1,세무,324.0,17,833.8010552699403,0.051986452014681654
2,회계,191.0,15,514.0274288120934,0.03204896670887371
3,법인,175.0,15,470.96753948752007,0.02936423651336596
4,법인세,114.0,3,464.8392686052521,0.028982146495440935
5,소득세,123.0,6,432.7043636843465,0.026978575401223295
6,기장,138.0,13,389.8188776066285,0.024304719029832878
7,징수,93.0,3,379.210982283232,0.02364333003575445
8,종합소득세,80.0,2,349.2175613086,0.021773277784802272
9,결산,118.0,12,342.06812881256064,0.02132751961858452
10,경력,123.0,20,297.575052178169,0.01855343198842373
11,사무실,82.0,7,277.5200015943535,0.017303024690138405
12,부가가치세,72.0,4,277.51636026658866,0.01730279765791061
13,부가세,66.0,3,269.1174712977775,0.01677913744472896
14,사무,131.0,33,253.80873773363777,0.015824657071014343
15,업무,243.0,88,236.9724907763133,0.014774938149429482
16,세무사,51.0,4,196.574088522167,0.012256148341020016
17,세무조정,45.0,2,196.4348782360875,0.012247468753951279
18,신고하기,41.0,1,195.59806960309223,0.012195294783230413
19,조정,83.0,23,189.71957189824613,0.011828777810242821
20,법인세신고,41.0,2,178.97400017065752,0.011158804864711165
21,원천세,61.0,14,168.1026778393274,0.010480991526455243
22,소득세 신고,36.0,2,157.14790258887,0.009797975003161022
23,재무,42.0,5,154.2270381034973,0.009615862758938621
24,4대보험,66.0,23,150.86134632872586,0.009406016090072607
25,근로소득,30.0,1,143.12053873396997,0.008923386426753964
26,개인,44.0,10,134.9012074179985,0.008410921408450303
27,세무신고,38.0,6,133.68102292687126,0.008334844432898253
28,신고대리,27.0,2,117.86092694165252,0.007348481252370768
29,서류 작성,39.0,11,116.17808105426678,0.00724355791793776
30,종합소득세 신고,25.0,2,109.13048790893752,0.006804149307750711
31,관리,89.0,69,108.16495410488636,0.006743949483757195
32,기장대리,26.0,3,106.01597354154872,0.006609963235802318
33,서류,60.0,41,103.56973120453448,0.006457443088381418
34,지원,60.0,41,103.56973120453448,0.006457443088381418
35,작성,80.0,66,100.73113485077153,0.006280460159178752
36,기타,40.0,20,96.77237469208748,0.006033636418999587
37,급여,35.0,17,90.07110164953059,0.005615820433684747
38,세무조정하기,24.0,5,88.12973605914132,0.0054947787193934975
39,부가가치세 신고,25.0,6,87.94804139925742,0.005483450284801483
40,채용,29.0,11,86.38882950189068,0.005386235374876796
41,협의,24.0,10,73.58247677345375,0.004587775313700167
42,기장업무,19.0,4,73.23348395923868,0.0045660160486153
43,마감,32.0,23,73.14489518968526,0.004560492649732172
44,계산,22.0,8,71.8653590091666,0.004480715170645093
45,사업소득 원천징수하기,15.0,1,71.56026936698498,0.004461693213376982
46,퇴직소득 원천징수하기,15.0,1,71.56026936698498,0.004461693213376982
47,부가가치세신고하기,15.0,1,71.56026936698498,0.004461693213376982
48,부가가치세 부속서류 작성하기,15.0,1,71.56026936698498,0.004461693213376982
49,거래처,60.0,71,71.22994116057329,0.004441097663223645
50,정산,21.0,7,71.07219553026125,0.004431262420645201
51,근로소득 연말정산하기,15.0,2,65.47829274536251,0.004082489584650426
52,운용,15.0,2,65.47829274536251,0.004082489584650426
53,장부,21.0,10,64.38466717677203,0.0040143033994876455
54,인사,23.0,14,63.3829768902382,0.003951849264073288
55,자격,26.0,20,62.90204354985686,0.003921863672349732
56,더존,21.0,11,62.557428259989805,0.0039003773404280243
57,경력직,32.0,36,59.293244556204336,0.003696859572716623
58,법인세 신고,18.0,8,58.79893009840903,0.0036660396850732575
59,재무제표 작성하기,12.0,1,57.24821549358798,0.003569354570701585
60,자산부채계정 마감하기,12.0,1,57.24821549358798,0.003569354570701585
61,법인세 부속서류 작성하기,12.0,1,57.24821549358798,0.003569354570701585
62,재무제표 작성,12.0,1,57.24821549358798,0.003569354570701585
63,사업소득 세무조정하기,12.0,1,57.24821549358798,0.003569354570701585
64,종합소득세 부속서류 작성하기,12.0,1,57.24821549358798,0.003569354570701585
65,세금계산서 발급·수취하기,14.0,3,57.08552421468008,0.003559210973124325
66,원천세신고,14.0,3,57.08552421468008,0.003559210973124325
67,세무사사무실,14.0,3,57.08552421468008,0.003559210973124325
68,연말정산,21.0,15,56.516104738502406,0.0035237083816039147
69,퇴직소득,15.0,5,55.08108503696333,0.0034342366996209365
70,회계사무소,17.0,9,53.7411941045366,0.0033506961773065837
71,부가세 신고,13.0,3,53.00798677077436,0.003304981617901159
72,전산,21.0,18,52.907249343042565,0.0032987007653887263
73,부가세신고,15.0,6,52.76882483955445,0.0032900701708808897
74,법인세신고하기,12.0,2,52.382634196290006,0.003265991667720341
75,결산업무,12.0,2,52.382634196290006,0.003265991667720341
76,프로그램,21.0,19,51.83009016090401,0.003231541238808023
77,금융소득 원천징수하기,14.0,6,49.25090318358415,0.00307073215948883
78,근로소득 원천징수하기,15.0,8,48.99910841534086,0.003055033070894381
79,원천세 신고,15.0,8,48.99910841534086,0.003055033070894381
80,세금계산서,15.0,8,48.99910841534086,0.003055033070894381
81,종합소득세신고하기,12.0,3,48.93044932686864,0.003050752262677993
82,기타소득 원천징수하기,15.0,9,47.41870068047347,0.002956496627035221
83,감사,16.0,12,46.38211916102517,0.0028918670669267144
84,근무시간,21.0,28,44.02725547582185,0.0027450442640552246
85,회계사무실,13.0,7,43.99707342349507,0.0027431624508756007
86,신고업무,16.0,15,43.05988932457326,0.0026847301955077447
87,세금계산서 발급,14.0,10,42.92311145118135,0.002676202266325097
88,교육,15.0,13,42.37161713115528,0.0026418172858514006
89,손익계정 마감하기,12.0,7,40.61268316014929,0.0025321499546544003
90,거래처관리,14.0,13,39.546842655744925,0.0024656961334613065
91,보험,81.0,146,38.34533667799678,0.0023907837398360245
92,세무기장,11.0,7,37.22829289680352,0.0023211374584332007
93,거래처 관리,11.0,7,37.22829289680352,0.0023211374584332007
94,개인사업자,9.0,3,36.69783699515148,0.0022880641970084944
95,법인결산,8.0,2,34.921756130860004,0.0021773277784802275
96,모집,20.0,42,34.05263378664095,0.002123139088315997
97,경력자,17.0,32,33.44451214050521,0.0020852234649474345
98,신고대행,8.0,3,32.62029955124576,0.0020338348417853285
99,세무회계사무소,7.0,2,30.556536614502505,0.001905161806170199
100,장부작성,7.0,2,30.556536614502505,0.001905161806170199
101,전표 처리하기,6.0,1,28.62410774679399,0.0017846772853507924
102,전표 처리,6.0,1,28.62410774679399,0.0017846772853507924
103,증빙서류 관리하기,6.0,1,28.62410774679399,0.0017846772853507924
104,법인 결산,8.0,6,28.143373247762373,0.0017547040911364744
105,인원,9.0,10,27.59342879004516,0.0017204157426375629
106,발급,15.0,38,27.00405238343945,0.0016836688614877498
107,4대보험 신고,7.0,4,26.980757248140566,0.0016822164389635316
108,4대보험신고,7.0,4,26.980757248140566,0.0016822164389635316
109,확정,7.0,4,26.980757248140566,0.0016822164389635316
110,개인 결산,6.0,2,26.191317098145003,0.0016329958338601705
111,회계사무실 경력,6.0,2,26.191317098145003,0.0016329958338601705
112,수행,9.0,12,26.08994202807666,0.0016266752251462768
113,장부마감하기,5.0,1,23.853423122328326,0.0014872310711256604
114,결산처리,5.0,1,23.853423122328326,0.0014872310711256604
115,직원,51.0,147,23.79759609433624,0.0014837503258165851
116,장부기장,6.0,4,23.126363355549056,0.0014418998048258843
117,위하고,6.0,4,23.126363355549056,0.0014418998048258843
118,노무,7.0,8,22.866250593825733,0.0014256820997507111
119,경험,10.0,24,22.44955980157409,0.0013997019504819667
120,자격증,14.0,47,22.29683111764807,0.0013901795082303014
121,전산세무2급,4.0,0,21.85532722010244,0.0013626522929083922
122,법인사업자,5.0,2,21.8260975817875,0.001360829861550142
123,세무사랑,5.0,2,21.8260975817875,0.001360829861550142
124,정규직,13.0,44,21.54320109831877,0.001343191619945605
125,가공,7.0,10,21.461555725590674,0.0013381011331625484
126,2급,8.0,18,20.15514260687336,0.0012566479106242768
127,접수,9.0,25,19.851617403037157,0.0012377234941285831
128,계약,8.0,19,19.744796251772957,0.0012310633290697232
129,결산준비,5.0,4,19.271969462957543,0.0012015831706882365
130,성상,5.0,4,19.271969462957543,0.0012015831706882365
