idx,skill,tf,df,tfidf,pr
0,상담,53.0,9,167.54607573767294,0.06266712850207502
1,지원,37.0,41,63.86800090946294,0.023888498746043794
2,고객상담,13.0,1,62.01890011805365,0.023196881014035768
3,교육,19.0,13,53.67071503279668,0.02007441583427225
4,업무,53.0,88,51.68535807055392,0.019331834312576953
5,경력,21.0,20,50.80549671334593,0.019002740452912385
6,급여,18.0,17,46.32228084833002,0.017325886706988917
7,채용,14.0,11,41.70495217332653,0.015598870850969693
8,관리,34.0,69,41.32144314119254,0.01545542726571929
9,서비스,22.0,39,39.04895172005682,0.014605449065506785
10,자격,15.0,20,36.2896405095328,0.013573386037794559
11,전화,16.0,24,35.919295682518545,0.013434866249954712
12,계약,13.0,19,32.08529390913105,0.012000837546195384
13,C,20.0,53,29.49695516922672,0.011032723218800175
14,접수,13.0,25,28.674558471053665,0.010725122820896587
15,인바운드,7.0,4,26.980757248140566,0.010091591665804305
16,CS,14.0,34,26.718772409506748,0.009993601680207947
17,응대,14.0,37,25.56743903418914,0.009562969352580513
18,모집,14.0,42,23.836843650648667,0.008915676106182841
19,안드로이드,4.0,0,21.85532722010244,0.008174531055573383
20,고객 상담,7.0,12,20.292177132948517,0.0075898672432554055
21,안내,7.0,14,19.2904712274638,0.007215199961888676
22,서류,11.0,41,18.987784054164656,0.007101986113688695
23,주문,6.0,9,18.967480272189388,0.007094391905895285
24,근무시간,9.0,28,18.868823775352222,0.007057491493052796
25,경력자,9.0,32,17.70591819203217,0.006622530821459386
26,사무,9.0,33,17.43724152368504,0.006522037895995821
27,국제,4.0,3,16.31014977562288,0.006100472645371701
28,엑셀,6.0,16,15.783710765816362,0.005903569071648475
29,경험,7.0,24,15.714691861101864,0.005877753984355187
30,학력,6.0,17,15.440760282776672,0.005775295568996306
31,영업,6.0,17,15.440760282776672,0.005775295568996306
32,정규직,9.0,44,14.914523837297612,0.0055784677602510584
33,IT,4.0,5,14.68828934319022,0.00549384944823504
34,대응,4.0,5,14.68828934319022,0.00549384944823504
35,기타,6.0,20,14.515856203813122,0.005429354415117824
36,아웃바운드,3.0,1,14.312053873396994,0.005353126387854407
37,판매,5.0,13,14.123872377051756,0.005282741009019013
38,정산,4.0,7,13.537561053383095,0.005063443440270859
39,온라인,7.0,34,13.359386204753374,0.004996800840103973
40,쇼핑몰,4.0,9,12.644986848126258,0.00472959460393019
41,운영,9.0,58,12.476649250079015,0.004666631422953787
42,AS,4.0,10,12.263746128908958,0.00458699943399723
43,커뮤니케이션,4.0,12,11.595529790256291,0.004337066996145944
44,문서,4.0,12,11.595529790256291,0.004337066996145944
45,4대보험,5.0,23,11.428889873388322,0.004274738797541696
46,컴퓨터,6.0,36,11.117483354288312,0.004158263659207935
47,상담 업무,3.0,5,11.016217007392664,0.004120387086176279
48,장애 대응,2.0,0,10.92766361005122,0.004087265527786692
49,시내,2.0,0,10.92766361005122,0.004087265527786692
50,웹사이트,2.0,0,10.92766361005122,0.004087265527786692
51,주차,3.0,6,10.55376496791089,0.003947416509237039
52,행정,3.0,6,10.55376496791089,0.003947416509237039
53,결제,4.0,16,10.522473843877576,0.003935712714432317
54,식품,3.0,7,10.153170790037322,0.0037975825802031445
55,환경,3.0,7,10.153170790037322,0.0037975825802031445
56,퇴직연금,3.0,8,9.79982168306817,0.0036654196883237834
57,고객응대,3.0,8,9.79982168306817,0.0036654196883237834
58,답변,2.0,1,9.54136924893133,0.0035687509252362716
59,관련업무 경력자,2.0,1,9.54136924893133,0.0035687509252362716
60,카페,2.0,1,9.54136924893133,0.0035687509252362716
61,보수,2.0,1,9.54136924893133,0.0035687509252362716
62,상품,4.0,21,9.491157406669176,0.0035499702288963883
63,고객 응대,3.0,9,9.483740136094694,0.0035471959529476426
64,등록,3.0,9,9.483740136094694,0.0035471959529476426
65,전화 상담,2.0,2,8.730439032715001,0.0032654393266679407
66,수행,3.0,12,8.69664734269222,0.003252800247109459
67,기술,3.0,13,8.474323426231056,0.003169644605411408
68,항공,3.0,14,8.2673448117702,0.0030922285550951467
69,매장관리,2.0,3,8.15507488781144,0.0030502363226858507
70,예약,3.0,15,8.073729248357488,0.003019810676377514
71,평가,3.0,15,8.073729248357488,0.003019810676377514
72,전화 응대,2.0,4,7.708787785183019,0.0028833119045155154
73,제출,7.0,81,7.399787904329498,0.002767736919214804
74,촬영,2.0,5,7.34414467159511,0.00274692472411752
75,디자인,2.0,5,7.34414467159511,0.00274692472411752
76,NAVER,2.0,5,7.34414467159511,0.00274692472411752
77,컴퓨터활용,2.0,6,7.035843311940593,0.0026316110061580258
78,행정업무,2.0,6,7.035843311940593,0.0026316110061580258
79,컴퓨터 활용,4.0,41,6.904648746968967,0.0025825404049777075
80,개발,4.0,42,6.810526757328191,0.0025473360303379547
81,프로모션,2.0,7,6.768780526691549,0.00253172172013543
82,은행,2.0,8,6.533214455378781,0.0024436131255491894
83,문자,2.0,9,6.322493424063129,0.002364797301965095
84,개인,2.0,10,6.131873064454479,0.002293499716998615
85,자동차,3.0,31,5.9942877066776505,0.0022420387725518823
86,경리 업무,2.0,11,5.957850310475219,0.002228410121567099
87,사무업무,3.0,32,5.9019727306773895,0.0022075102738197956
88,행사,2.0,12,5.797764895128147,0.0021685334980729725
89,관련업무,2.0,12,5.797764895128147,0.0021685334980729725
90,전화상담,2.0,13,5.649548950820703,0.0021130964036076053
91,컴퓨터 활용능력,2.0,13,5.649548950820703,0.0021130964036076053
92,기본급,3.0,36,5.558741677144156,0.0020791318296039677
93,이메일,3.0,36,5.558741677144156,0.0020791318296039677
94,서비스 수준 관리하기,1.0,0,5.4638318050256105,0.0020436327638933462
95,비즈니스 E-MAIL 영어 읽기,1.0,0,5.4638318050256105,0.0020436327638933462
96,서비스 수준관리 준비하기,1.0,0,5.4638318050256105,0.0020436327638933462
97,IOT,1.0,0,5.4638318050256105,0.0020436327638933462
98,안드로이드 기기 잘 다룰 수 있는 분,1.0,0,5.4638318050256105,0.0020436327638933462
99,콜센터 경력,1.0,0,5.4638318050256105,0.0020436327638933462
100,상담 관리,1.0,0,5.4638318050256105,0.0020436327638933462
101,프로그램 업데이트,1.0,0,5.4638318050256105,0.0020436327638933462
102,장애 처리 결과 보고,1.0,0,5.4638318050256105,0.0020436327638933462
103,키오스크,1.0,0,5.4638318050256105,0.0020436327638933462
104,서비스 수준 정의하기,1.0,0,5.4638318050256105,0.0020436327638933462
105,고객 서비스,1.0,0,5.4638318050256105,0.0020436327638933462
106,고객시스템 장애 처리,1.0,0,5.4638318050256105,0.0020436327638933462
107,고객센터 품질 관리활동,1.0,0,5.4638318050256105,0.0020436327638933462
108,서비스 수준 계약하기,1.0,0,5.4638318050256105,0.0020436327638933462
109,전화예약상담,1.0,0,5.4638318050256105,0.0020436327638933462
110,시스템 장애 대응,1.0,0,5.4638318050256105,0.0020436327638933462
111,장애 처리 결과 보고하기,1.0,0,5.4638318050256105,0.0020436327638933462
112,서버,1.0,0,5.4638318050256105,0.0020436327638933462
113,보수교육 계획 수립,1.0,0,5.4638318050256105,0.0020436327638933462
114,장애 대응 방안 수립하기,1.0,0,5.4638318050256105,0.0020436327638933462
115,컨설팅,1.0,0,5.4638318050256105,0.0020436327638933462
116,주문수집,1.0,0,5.4638318050256105,0.0020436327638933462
117,쓰기,1.0,0,5.4638318050256105,0.0020436327638933462
118,공간,1.0,0,5.4638318050256105,0.0020436327638933462
119,상담사,1.0,0,5.4638318050256105,0.0020436327638933462
120,기업지원,1.0,0,5.4638318050256105,0.0020436327638933462
121,B2B,1.0,0,5.4638318050256105,0.0020436327638933462
122,근무 환경,1.0,0,5.4638318050256105,0.0020436327638933462
123,기술지원,1.0,0,5.4638318050256105,0.0020436327638933462
124,동종업계 경력,1.0,0,5.4638318050256105,0.0020436327638933462
125,원격 업무,1.0,0,5.4638318050256105,0.0020436327638933462
126,주차장,2.0,18,5.03878565171834,0.0018846530814904943
127,진행,4.0,69,4.861346251905005,0.0018182855606728575
128,자격증,3.0,47,4.777892382353158,0.0017870713746993864
129,목가구,1.0,1,4.770684624465665,0.0017843754626181358
130,절차 안내,1.0,1,4.770684624465665,0.0017843754626181358
131,신입사원 교육,1.0,1,4.770684624465665,0.0017843754626181358
132,문서작성 능력,1.0,1,4.770684624465665,0.0017843754626181358
133,전화 업무,1.0,1,4.770684624465665,0.0017843754626181358
134,온라인 쇼핑,1.0,1,4.770684624465665,0.0017843754626181358
135,E-MAIL,1.0,1,4.770684624465665,0.0017843754626181358
136,타일,1.0,1,4.770684624465665,0.0017843754626181358
137,실행,1.0,1,4.770684624465665,0.0017843754626181358
138,스케줄 관리,1.0,1,4.770684624465665,0.0017843754626181358
139,조정,2.0,23,4.571555949355329,0.0017098955190166783
140,기업,5.0,94,4.549774567125347,0.0017017486455482944
141,경리,2.0,25,4.411470534008256,0.0016500188955225518
142,별도,4.0,78,4.377535810234354,0.0016373263171612948
143,회원상담,1.0,2,4.3652195163575005,0.0016327196633339704
144,보증수리,1.0,2,4.3652195163575005,0.0016327196633339704
145,보일러,1.0,2,4.3652195163575005,0.0016327196633339704
146,모니터링,1.0,2,4.3652195163575005,0.0016327196633339704
147,쇼핑몰 관리,1.0,2,4.3652195163575005,0.0016327196633339704
148,학사,1.0,2,4.3652195163575005,0.0016327196633339704
149,회의,1.0,2,4.3652195163575005,0.0016327196633339704
150,조직,1.0,2,4.3652195163575005,0.0016327196633339704
151,컴퓨터 활용능력 우수자,1.0,2,4.3652195163575005,0.0016327196633339704
152,동종업계 경력자,1.0,2,4.3652195163575005,0.0016327196633339704
153,연구,1.0,2,4.3652195163575005,0.0016327196633339704
154,SNS,1.0,2,4.3652195163575005,0.0016327196633339704
155,고객시스템 장애 처리하기,1.0,3,4.07753744390572,0.0015251181613429254
156,예약상담,1.0,3,4.07753744390572,0.0015251181613429254
157,최적화,1.0,3,4.07753744390572,0.0015251181613429254
158,시행,1.0,3,4.07753744390572,0.0015251181613429254
159,유선,1.0,3,4.07753744390572,0.0015251181613429254
160,컴퓨터활용능력,1.0,3,4.07753744390572,0.0015251181613429254
161,정리,2.0,33,3.8749425608188974,0.001449341754665738
162,전산 업무,1.0,4,3.8543938925915096,0.0014416559522577577
163,사무 행정,1.0,4,3.8543938925915096,0.0014416559522577577
164,온라인쇼핑몰,1.0,4,3.8543938925915096,0.0014416559522577577
165,수리,1.0,4,3.8543938925915096,0.0014416559522577577
166,소통,1.0,4,3.8543938925915096,0.0014416559522577577
167,거래처 응대,1.0,4,3.8543938925915096,0.0014416559522577577
168,홈페이지,1.0,4,3.8543938925915096,0.0014416559522577577
169,인근거주자,1.0,4,3.8543938925915096,0.0014416559522577577
170,문서관리,1.0,4,3.8543938925915096,0.0014416559522577577
171,확정,1.0,4,3.8543938925915096,0.0014416559522577577
172,보험,8.0,146,3.78719374597499,0.001416521133642434
173,작성,3.0,66,3.777417556903932,0.0014128645532416146
174,원사,2.0,35,3.760625733139,0.0014065839204483478
175,직원,8.0,147,3.73295625009196,0.001396234725207215
176,원활한 커뮤니케이션 능력,1.0,5,3.672072335797555,0.00137346236205876
177,고객문의,1.0,5,3.672072335797555,0.00137346236205876
178,보증,1.0,5,3.672072335797555,0.00137346236205876
179,영업지원,1.0,5,3.672072335797555,0.00137346236205876
180,CE,1.0,5,3.672072335797555,0.00137346236205876
181,지원업무,1.0,5,3.672072335797555,0.00137346236205876
182,자가,1.0,5,3.672072335797555,0.00137346236205876
183,근태,1.0,5,3.672072335797555,0.00137346236205876
184,경력자 우대,2.0,37,3.652491290598448,0.001366138478940073
185,거래처,3.0,71,3.561497058028664,0.0013321039768468903
186,엑셀 중급 이상,1.0,6,3.5179216559702966,0.0013158055030790129
187,코칭,1.0,6,3.5179216559702966,0.0013158055030790129
188,예약업무,1.0,6,3.5179216559702966,0.0013158055030790129
