idx,skill,tf,df,tfidf,pr
0,상담,25.0,9,79.03116780078912,0.06451163263039235
1,인터넷,14.0,11,41.70495217332653,0.03404295581529874
2,통신,10.0,8,32.66607227689391,0.0266646908156124
3,전화,14.0,24,31.429383722203728,0.025655205571518774
4,상품,12.0,21,28.47347222000753,0.023242351475799235
5,대면상담,5.0,0,27.31915902512805,0.022300107664393276
6,영업,9.0,17,23.16114042416501,0.018905996506478846
7,업무,23.0,88,22.42949501174981,0.018308768332141154
8,경력,9.0,20,21.773784305719683,0.017773524208128496
9,기업,18.0,94,16.379188441651248,0.013370018651315227
10,서비스,9.0,39,15.974571158205064,0.013039737291796622
11,지원,9.0,41,15.535459680680177,0.012681298980556187
12,채용,5.0,11,14.894625776188049,0.012158198505463836
13,자격,5.0,20,12.096546836510935,0.009874180115626944
14,고객 상담,4.0,12,11.595529790256291,0.009465209471146334
15,대리점,3.0,5,11.016217007392664,0.00899232751246907
16,관리,9.0,69,10.93802906678626,0.008928504190090215
17,학력,4.0,17,10.293840188517782,0.0084026651139906
18,전산,4.0,18,10.07757130343668,0.008226128954245312
19,고객상담,2.0,1,9.54136924893133,0.0077884374596301304
20,오피스,2.0,2,8.730439032715001,0.007126490614439895
21,보조,3.0,16,7.891855382908181,0.00644197079964284
22,SI,2.0,4,7.708787785183019,0.006292536216558568
23,보조 업무,2.0,5,7.34414467159511,0.005994885008312714
24,기타,3.0,20,7.257928101906561,0.005924508069376166
25,컴퓨터활용,2.0,6,7.035843311940593,0.005743224497568192
26,경험,3.0,24,6.734867940472228,0.005497544051039738
27,주문,2.0,9,6.322493424063129,0.005160930610431388
28,온라인,3.0,34,5.725451230608589,0.004673576472554174
29,기술,2.0,13,5.649548950820703,0.004611618891441013
30,기본급,3.0,36,5.558741677144156,0.004537494648530225
31,응대,3.0,37,5.478736935897673,0.004472188306493214
32,거래약정 감리하기,1.0,0,5.4638318050256105,0.004460021532878655
33,기업고객 모니터링하기,1.0,0,5.4638318050256105,0.004460021532878655
34,네트워크,1.0,0,5.4638318050256105,0.004460021532878655
35,MIS,1.0,0,5.4638318050256105,0.004460021532878655
36,기업고객 컨설팅 지원하기,1.0,0,5.4638318050256105,0.004460021532878655
37,기업고객 상담하기,1.0,0,5.4638318050256105,0.004460021532878655
38,기업고객 비대면 상담하기,1.0,0,5.4638318050256105,0.004460021532878655
39,거래약정 실행하기,1.0,0,5.4638318050256105,0.004460021532878655
40,비즈니스 영어,1.0,0,5.4638318050256105,0.004460021532878655
41,고객 서비스,1.0,0,5.4638318050256105,0.004460021532878655
42,기업고객 방문 상담하기,1.0,0,5.4638318050256105,0.004460021532878655
43,통신관련 업무,1.0,0,5.4638318050256105,0.004460021532878655
44,추천,1.0,0,5.4638318050256105,0.004460021532878655
45,중국어 등,1.0,0,5.4638318050256105,0.004460021532878655
46,컨설팅,1.0,0,5.4638318050256105,0.004460021532878655
47,중국어,1.0,0,5.4638318050256105,0.004460021532878655
48,외국어,1.0,0,5.4638318050256105,0.004460021532878655
49,약정 후 이행사항 점검하기,1.0,0,5.4638318050256105,0.004460021532878655
50,통신관련 고객 상담,1.0,0,5.4638318050256105,0.004460021532878655
51,엑셀,2.0,16,5.261236921938788,0.004294647199761893
52,급여,2.0,17,5.146920094258891,0.0042013325569953
53,프로그램,2.0,19,4.936199062943238,0.004029325004304207
54,영업전략 수립하기,1.0,1,4.770684624465665,0.0038942187298150652
55,영어 가능자,1.0,1,4.770684624465665,0.0038942187298150652
56,일어,1.0,1,4.770684624465665,0.0038942187298150652
57,문의 응대,1.0,1,4.770684624465665,0.0038942187298150652
58,유관업무 경력,1.0,1,4.770684624465665,0.0038942187298150652
59,실행,1.0,1,4.770684624465665,0.0038942187298150652
60,아웃바운드,1.0,1,4.770684624465665,0.0038942187298150652
61,IPT,1.0,2,4.3652195163575005,0.0035632453072199474
