idx,skill,tf,df,tfidf,pr
0,채용,64.0,11,190.65120993520705,0.04105723818625966
1,지원,86.0,41,148.4499480598328,0.03196908573673255
2,자격,55.0,20,133.06201520162028,0.02865525402924685
3,행정,36.0,6,126.64517961493068,0.02727337165265811
4,업무,92.0,88,89.71798004699926,0.019321002356248385
5,심사,22.0,6,77.39427643134653,0.016667060454402177
6,접수,34.0,25,74.99499907814035,0.016150369782473254
7,경력,30.0,20,72.5792810190656,0.01563013856140737
8,연구,16.0,2,69.84351226172001,0.01504098358289431
9,교육,23.0,13,64.96981293443808,0.013991419647808706
10,운영,45.0,58,62.38324625039508,0.013434395727176425
11,관리,51.0,69,61.98216471178881,0.01334802176569847
12,학사,14.0,2,61.11307322900501,0.013160860635032523
13,발표,11.0,0,60.10214985528172,0.012943155634591561
14,기획,18.0,8,58.79893009840903,0.012662503841271466
15,서류,34.0,41,58.68951434923622,0.012638940872661706
16,회계,19.0,15,51.13361857293075,0.011011758896194015
17,기타,19.0,20,45.96687797874155,0.009899087755558002
18,행정업무,12.0,6,42.21505987164356,0.009091123884219371
19,인증,18.0,26,39.023908902383056,0.008403901151786835
20,C,25.0,53,36.87119396153339,0.007940308342154931
21,운전,13.0,17,33.45498061268279,0.007204617835881687
22,계약,13.0,19,32.08529390913105,0.006909652211234521
23,사무,16.0,33,30.99954048655118,0.006675832363474003
24,예술,7.0,2,30.556536614502505,0.0065804303175162615
25,보고,9.0,7,30.45951237011197,0.006559535891967439
26,환경,9.0,7,30.45951237011197,0.006559535891967439
27,보고서,9.0,9,28.45122040828408,0.006127044949726156
28,성과관리,5.0,0,27.31915902512805,0.005883252561177981
29,인증심사,5.0,0,27.31915902512805,0.005883252561177981
30,프로그램,11.0,19,27.14909484618781,0.005846628794121516
31,예산,7.0,4,26.980757248140566,0.00581037685078962
32,보조,10.0,16,26.30618460969394,0.005665105863524188
33,현장지원,6.0,2,26.191317098145003,0.005640368843585366
34,보고서 작성,6.0,2,26.191317098145003,0.005640368843585366
35,사업 운영,5.0,1,23.853423122328326,0.0051368972430015135
36,식품,7.0,7,23.69073184342042,0.0051018612493080075
37,홈페이지,6.0,4,23.126363355549056,0.004980323014962532
38,취득,11.0,30,22.328290605945103,0.004808455954787102
39,제출,21.0,81,22.199363712988497,0.004780691210180798
40,인사,8.0,14,22.0462528313872,0.004747718380179095
41,활성화 사업,4.0,0,21.85532722010244,0.004706602048942385
42,UI,4.0,0,21.85532722010244,0.004706602048942385
43,품질인증,4.0,0,21.85532722010244,0.004706602048942385
44,재단,5.0,2,21.8260975817875,0.004700307369654472
45,시험,9.0,20,21.773784305719683,0.004689041568422212
46,작성,16.0,66,20.146226970154306,0.0043385428267105185
47,기술,7.0,13,19.773421327872462,0.004258258153680911
48,보수,4.0,1,19.08273849786266,0.004109517794401211
49,과학,7.0,15,18.838701579500803,0.004056963803860953
50,홍보,7.0,15,18.838701579500803,0.004056963803860953
51,모집,11.0,42,18.728948582652524,0.004033328208079594
52,자가,5.0,5,18.360361678987772,0.0039539520514780034
53,자격증,11.0,47,17.51893873529491,0.00377274941328692
54,토지,4.0,2,17.460878065430002,0.0037602458957235775
55,문서,6.0,12,17.39329468538444,0.003745691637542336
56,계획,7.0,19,17.276696720301334,0.0037205819598955104
57,사후관리,5.0,7,16.921951316728872,0.003644186606648577
58,근로자 채용,3.0,0,16.391495415076832,0.003529951536706789
59,사업운영,3.0,0,16.391495415076832,0.003529951536706789
60,창업,5.0,8,16.333036138446953,0.003517362178130963
61,상담,5.0,9,15.806233560157825,0.003403913860958976
