idx,skill,tf,df,tfidf,pr
0,접수,9.0,25,19.851617403037157,0.03805595866954857
1,환경,4.0,7,13.537561053383095,0.02595178284340791
2,채용,4.0,11,11.91570062095044,0.022842643052360438
3,에너지관리,2.0,0,10.92766361005122,0.0209485557904826
4,에너지,2.0,2,8.730439032715001,0.01673643110536598
5,시설관리,2.0,3,8.15507488781144,0.015633446211296836
6,행정,2.0,6,7.035843311940593,0.013487856271281263
7,구청,2.0,12,5.797764895128147,0.011114434493937007
8,공무,2.0,12,5.797764895128147,0.011114434493937007
9,안전확인,1.0,0,5.4638318050256105,0.010474277895241302
10,학교 행정,1.0,0,5.4638318050256105,0.010474277895241302
11,수장,1.0,0,5.4638318050256105,0.010474277895241302
12,시설,3.0,42,5.107895067996143,0.009791939853037494
13,관리,4.0,69,4.861346251905005,0.009319300704060392
14,제주사무소,1.0,1,4.770684624465665,0.00914550050044486
15,생활화학제품,1.0,1,4.770684624465665,0.00914550050044486
16,예술,1.0,2,4.3652195163575005,0.00836821555268299
17,사무,2.0,33,3.8749425608188974,0.0074283445498419505
18,화학,1.0,4,3.8543938925915096,0.007388952330412207
19,홈페이지,1.0,4,3.8543938925915096,0.007388952330412207
20,지원,2.0,41,3.4523243734844837,0.006618176796571762
21,검사,1.0,10,3.0659365322272394,0.005877463361551998
22,제품,1.0,10,3.0659365322272394,0.005877463361551998
23,인원,1.0,10,3.0659365322272394,0.005877463361551998
24,업무,3.0,88,2.925586305880411,0.005608409092336657
25,업무 지원,2.0,55,2.8769602285809217,0.005515191902502618
26,계획,1.0,19,2.468099531471619,0.004731397540819326
27,기타,1.0,20,2.419309367302187,0.004637865793082322
28,관리직,1.0,26,2.167994939021281,0.00415609086756637
29,서류,1.0,41,1.7261621867422416,0.0033090883982858804
30,전기,1.0,49,1.551808799597464,0.0029748493707866743
31,사무직,1.0,51,1.5125880864441827,0.002899662457375622
32,안전,1.0,58,1.3862943611198906,0.002657554789592882
33,직원,1.0,147,0.4666195312614949,0.0008945192341544314
34,법인세 관리,0.01,0,0.0546383180502561,0.00010474277895241301
35,소모품 수입,0.01,0,0.0546383180502561,0.00010474277895241301
36,영문 서신 작성,0.01,0,0.0546383180502561,0.00010474277895241301
37,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00010474277895241301
38,유해화학물질관리자,0.01,0,0.0546383180502561,0.00010474277895241301
39,가구 설치,0.01,0,0.0546383180502561,0.00010474277895241301
40,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00010474277895241301
