idx,skill,tf,df,tfidf,pr
0,영업,7.0,17,18.01422032990612,0.033997648952954374
1,컨설팅,3.0,0,16.391495415076832,0.03093513328526317
2,제안,5.0,8,16.333036138446953,0.03082480500413258
3,상담,5.0,9,15.806233560157825,0.029830587724883926
4,재무,4.0,5,14.68828934319022,0.027720728161639195
5,실행,2.0,1,9.54136924893133,0.018007114175080805
6,제안서 작성,2.0,3,8.15507488781144,0.015390806159986165
7,분석,4.0,43,6.718568684429395,0.012679734976947151
8,교육,2.0,13,5.649548950820703,0.010662208991286105
9,관리,4.0,69,4.861346251905005,0.009174659812317737
10,운영 관리,1.0,1,4.770684624465665,0.009003557087540403
11,고객상담,1.0,1,4.770684624465665,0.009003557087540403
12,보수,1.0,1,4.770684624465665,0.009003557087540403
13,고객 분석,1.0,2,4.3652195163575005,0.00823833604795712
14,선정,1.0,2,4.3652195163575005,0.00823833604795712
15,계약 체결,1.0,3,4.07753744390572,0.0076954030799930824
16,채권,1.0,5,3.672072335797555,0.006930182040409799
17,자가,1.0,5,3.672072335797555,0.006930182040409799
18,심사,1.0,6,3.5179216559702966,0.0066392585031903725
19,사후관리,1.0,7,3.3843902633457743,0.006387249072445761
20,고객 상담,1.0,12,2.8988824475640733,0.005470966048114176
21,작성,2.0,66,2.518278371269288,0.0047526644209018145
22,계약,1.0,19,2.468099531471619,0.004657963537429464
23,경력,1.0,20,2.419309367302187,0.0045658834560597696
24,조정,1.0,23,2.2857779746776643,0.004313874025315158
25,경력자,1.0,32,1.9673242435591296,0.0037128667122008252
26,업무,2.0,88,1.9503908705869404,0.003680908911121741
27,팀원,1.0,39,1.7749523509116738,0.003349809529882144
28,지원,1.0,41,1.7261621867422416,0.0032577294485124485
29,모집,1.0,42,1.7026316893320477,0.003213321110211396
30,C,1.0,53,1.4748477584613358,0.002783431946148593
31,운영,1.0,58,1.3862943611198906,0.0026163080150946407
32,관리업무,1.0,59,1.3694872428035094,0.002584588490298861
33,보험,1.0,146,0.4733992182468737,0.0008934308641624192
34,법인세 관리,0.01,0,0.0546383180502561,0.00010311711095087722
35,소모품 수입,0.01,0,0.0546383180502561,0.00010311711095087722
36,영문 서신 작성,0.01,0,0.0546383180502561,0.00010311711095087722
