idx,skill,tf,df,tfidf,pr
0,관리,181.0,69,219.97591789870145,0.03917902821904623
1,경력,60.0,20,145.1585620381312,0.025853609125281837
2,공무,43.0,12,124.65194524525516,0.02220125787847292
3,자격,50.0,20,120.96546836510936,0.0215446742710682
4,현장,87.0,70,104.50021773463364,0.018612114537951682
5,건설,46.0,27,98.05485556311868,0.017464156939629286
6,업무,92.0,88,89.71798004699926,0.015979309488031737
7,지원,43.0,41,74.2249740299164,0.013219912342473899
8,안전,51.0,58,70.70101241711441,0.012592273677343365
9,전기,43.0,49,66.72777838269094,0.011884616903626723
10,채용,22.0,11,65.53635341522741,0.011672416982530699
11,시공,19.0,7,64.30341500356971,0.01145282326843638
12,보수,12.0,1,57.24821549358798,0.0101962499883564
13,급여,21.0,17,54.04266098971836,0.009625321535985387
14,안전관리,14.0,4,53.96151449628113,0.009610868859589611
15,현장 관리,15.0,6,52.76882483955445,0.009398443689762713
16,기술,18.0,13,50.84594055738633,0.009055966484654664
17,모집,29.0,42,49.376318990629386,0.008794218083351008
18,관리자,21.0,23,48.00133746823095,0.008549325640663156
19,설계,13.0,6,45.73298152761386,0.00814531786446102
20,설비,20.0,23,45.715559493553286,0.008142214895869672
21,자격증,28.0,47,44.59366223529614,0.007942398276123284
22,협의,14.0,10,42.92311145118135,0.00764486317802076
23,토목,12.0,6,42.21505987164356,0.007518754951810171
24,건설공사,10.0,3,40.7753744390572,0.007262338355263338
25,서류,21.0,41,36.24940592158708,0.006456236260277951
26,점검,18.0,33,34.87448304737008,0.0062113542631824035
27,교육,12.0,13,33.89729370492422,0.006037310989769776
28,건축,14.0,20,33.87033114223062,0.0060325087958990956
29,기성,7.0,1,33.394792371259655,0.0059478124932079
30,계약,13.0,19,32.08529390913105,0.005714582975674259
31,경험,14.0,24,31.429383722203728,0.005597761443716294
32,차량,11.0,13,31.07251922951387,0.005534201740622294
33,사무,16.0,33,30.99954048655118,0.00552120378949547
34,운전,12.0,17,30.881520565553345,0.0055001837348487926
35,공사관리,7.0,2,30.556536614502505,0.005442302147125079
36,견적,9.0,7,30.45951237011197,0.005425021548206706
37,건설업,8.0,5,29.37657868638044,0.00523214457440173
38,현장관리,16.0,41,27.618594987875863,0.004919037150687961
39,경력자,14.0,32,27.542539409827818,0.00490549119680799
40,시설,16.0,42,27.242107029312763,0.004851982390814349
41,기타,11.0,20,26.612403040324057,0.004739828339635004
42,C,18.0,53,26.54725965230404,0.004728225912142482
43,접수,12.0,25,26.46882320404953,0.004714255911021812
44,검토,13.0,33,25.187126645322834,0.00448597807896507
45,착공,6.0,3,24.46522466343432,0.004357403013158003
46,자재,15.0,47,23.889461911765785,0.004254856219351759
47,실행,5.0,1,23.853423122328326,0.0042484374951485
48,기계,8.0,11,23.83140124190088,0.004244515266374801
49,건설현장,7.0,7,23.69073184342042,0.0042194612041607715
50,기능,9.0,16,23.675566148724545,0.004216760103121499
