idx,skill,tf,df,tfidf,pr
0,기획,93.0,8,303.7944721751133,0.043540523316593624
1,C,115.0,53,169.6074922230536,0.024308536350029733
2,지원,80.0,41,138.09297493937933,0.019791803162698816
3,IT,37.0,5,135.86667642450954,0.019472724932926053
4,업무,128.0,88,124.82501571756418,0.01789020869415937
5,경력,51.0,20,123.38477773241154,0.017683790469611046
6,경험,43.0,24,96.5331071467686,0.013835347208438854
7,SNS,22.0,2,96.034829359865,0.01376393288860781
8,전시,26.0,6,91.46596305522772,0.01310911244884421
9,마케팅,79.0,77,87.46271528854545,0.012535357760421641
10,채용,28.0,11,83.40990434665306,0.011954499563596075
11,광고,25.0,10,76.64841330568099,0.010985427097541833
12,관리,63.0,69,76.56620346750383,0.010973644594225108
13,자격,31.0,20,74.9985903863678,0.010748970677606714
14,운영,50.0,58,69.31471805599453,0.009934345006648136
15,디자인,18.0,5,66.09730204435598,0.009473217534936998
16,제작,23.0,14,63.3829768902382,0.00908419420342108
17,홍보,23.0,15,61.89859090407406,0.008871448585705728
18,교육,20.0,13,56.49548950820703,0.008097063651627457
19,프로젝트,17.0,9,53.7411941045366,0.007702311691903935
20,AR,38.0,59,52.04051522653336,0.0074585664788605075
21,블로그,17.0,11,50.64172763903937,0.0072580890207547604
22,CE,13.0,5,47.73694036536821,0.006841768219676721
23,문서,16.0,12,46.38211916102517,0.006647592124848008
24,급여,18.0,17,46.32228084833002,0.006639015960079522
25,제안,14.0,8,45.732501187651465,0.0065544873809925885
26,행사,15.0,12,43.483236713461096,0.006232117617045007
27,PPT,9.0,1,42.93616162019099,0.006153709554897239
28,SI,11.0,4,42.3983328185066,0.0060766266925514865
29,작성,32.0,66,40.29245394030861,0.005774807282403533
30,온라인,21.0,34,40.078158614260126,0.005744093982804478
31,홈페이지,10.0,4,38.54393892591509,0.005524206084137715
32,콘텐츠 기획,7.0,0,38.24682263517927,0.0054816226931632215
33,실행,8.0,1,38.16547699572532,0.005469964048797545
34,협의,12.0,10,36.79123838672688,0.005273005006820081
35,GO,8.0,2,34.921756130860004,0.005005066504948295
36,상담,11.0,9,34.77371383234721,0.004983848741820193
37,소통,9.0,4,34.68954503332358,0.004971785475723944
38,영업,13.0,17,33.45498061268279,0.004794844860057432
39,경력자,17.0,32,33.44451214050521,0.004793344494518607
40,BI,9.0,5,33.04865102217799,0.004736608767468499
41,사무,17.0,33,32.93701176696063,0.004720608372332814
42,개발,19.0,42,32.3500020973089,0.004636476794738458
43,커뮤니케이션,11.0,12,31.887706923204806,0.004570219585833006
44,편집,8.0,4,30.83515114073208,0.004419364867310173
45,제품,10.0,10,30.659365322272397,0.004394170839016733
46,재단,7.0,2,30.556536614502505,0.004379433191829758
47,프로모션,9.0,7,30.45951237011197,0.004365527453700574
48,서류,17.0,41,29.34475717461811,0.004205758172073498
49,엑셀,11.0,16,28.93680307066333,0.004147289250476056
50,카페,6.0,1,28.62410774679399,0.004102473036598158
51,분석,17.0,43,28.55391690882493,0.00409241312406808
52,참여,8.0,6,28.143373247762373,0.0040335730611828335
53,AS,9.0,10,27.59342879004516,0.003954753755115061
54,UI,5.0,0,27.31915902512805,0.003915444780830873
55,발표,5.0,0,27.31915902512805,0.003915444780830873
56,프로그램,11.0,19,27.14909484618781,0.0038910707910888975
57,보고,8.0,7,27.075122106766194,0.003880468847733843
58,수행,9.0,12,26.08994202807666,0.0037392705702270043
59,모집,15.0,42,25.539475339980715,0.0036603764168987828
60,근무시간,12.0,28,25.15843170046963,0.0036057643650336366
61,워드,7.0,6,24.625451591792075,0.003529376428534979
62,제안서 작성,6.0,3,24.46522466343432,0.003506412336199271
63,인스타,6.0,3,24.46522466343432,0.003506412336199271
64,기타,10.0,20,24.19309367302187,0.0034674098960021655
65,온라인 마케팅,5.0,1,23.853423122328326,0.0034187275304984658
66,IP,6.0,4,23.126363355549056,0.0033145236504826293
67,기업,25.0,94,22.74887283562673,0.00326042083989891
68,계약,9.0,19,22.212895783244573,0.00318360337452728
69,접수,10.0,25,22.05735267004128,0.0031613105773651913
70,프로모션 기획,4.0,0,21.85532722010244,0.0031323558246646975
71,CI,4.0,0,21.85532722010244,0.0031323558246646975
72,상담사,4.0,0,21.85532722010244,0.0031323558246646975
73,개발 경험자,4.0,0,21.85532722010244,0.0031323558246646975
74,DB,4.0,0,21.85532722010244,0.0031323558246646975
75,마케팅 기획,4.0,0,21.85532722010244,0.0031323558246646975
76,행정,6.0,6,21.10752993582178,0.003025179795887125
77,진행,16.0,69,19.44538500762002,0.002786957357263519
78,영어 가능자,4.0,1,19.08273849786266,0.0027349820243987725
79,IA,7.0,15,18.838701579500803,0.002700006091301743
80,평가,7.0,15,18.838701579500803,0.002700006091301743
81,개인,6.0,10,18.39561919336344,0.0026365025034100404
82,포토샵,5.0,5,18.360361678987772,0.0026314493152602768
83,학력,7.0,17,18.01422032990612,0.0025818395400309256
84,AI,6.0,11,17.873550931425658,0.002561678477913445
85,경영,7.0,18,17.635749781014187,0.002527596269438515
86,보고서 작성,4.0,2,17.460878065430002,0.0025025332524741474
87,계획,7.0,19,17.276696720301334,0.002476135957965662
88,기술,6.0,13,16.94864685246211,0.0024291190954882375
89,일러스트,5.0,7,16.921951316728872,0.0024252930298336523
90,환경,5.0,7,16.921951316728872,0.0024252930298336523
91,시장조사,3.0,0,16.391495415076832,0.0023492668684985236
92,MARKETING,3.0,0,16.391495415076832,0.0023492668684985236
93,사업기획,3.0,0,16.391495415076832,0.0023492668684985236
94,바이럴마케팅,3.0,0,16.391495415076832,0.0023492668684985236
95,데이터 분석,3.0,0,16.391495415076832,0.0023492668684985236
96,언론,3.0,0,16.391495415076832,0.0023492668684985236
97,전략기획,3.0,0,16.391495415076832,0.0023492668684985236
98,공연,3.0,0,16.391495415076832,0.0023492668684985236
99,WEB,3.0,0,16.391495415076832,0.0023492668684985236
100,B2B,3.0,0,16.391495415076832,0.0023492668684985236
101,한글,8.0,30,16.23875680432371,0.002327376019085678
102,보고서,5.0,9,15.806233560157825,0.0022653857917364515
103,PM,4.0,4,15.417575570366038,0.0022096824336550864
104,PL,4.0,4,15.417575570366038,0.0022096824336550864
105,자격증,9.0,47,14.333677147059472,0.0020543356156735026
106,사업 운영,3.0,1,14.312053873396994,0.002051236518299079
107,서비스,8.0,39,14.19961880729339,0.00203512206571462
108,판매,5.0,13,14.123872377051756,0.0020242659129068637
109,문서작업,4.0,6,14.071686623881186,0.0020167865305914167
110,열정,5.0,16,13.15309230484697,0.0018851314774891166
111,보조,5.0,16,13.15309230484697,0.0018851314774891166
112,자사몰,3.0,2,13.0956585490725,0.0018768999393556102
113,모니터링,3.0,2,13.0956585490725,0.0018768999393556102
114,이미지,3.0,2,13.0956585490725,0.0018768999393556102
115,회의,3.0,2,13.0956585490725,0.0018768999393556102
116,오피스,3.0,2,13.0956585490725,0.0018768999393556102
117,연구,3.0,2,13.0956585490725,0.0018768999393556102
118,쇼핑몰,4.0,9,12.644986848126258,0.0018123086333891609
119,전기,8.0,49,12.414470396779713,0.0017792704847590989
120,인원,4.0,10,12.263746128908958,0.0017576683356066933
121,사업 기획,3.0,3,12.23261233171716,0.0017532061680996355
122,영어 가능,4.0,11,11.91570062095044,0.0017077856519422967
123,영어,9.0,63,11.744538494993442,0.0016832543019055764
124,솔루션,5.0,22,11.6416879454823,0.001668513524309949
125,제출,11.0,81,11.628238135374929,0.0016665858665537334
126,정규직,7.0,44,11.600185206787032,0.0016625652562294744
127,인스타그램,3.0,4,11.563181677774528,0.0016572618252413147
128,원사,6.0,35,11.281877199417,0.0016169446196276191
129,전화,5.0,24,11.224779900787045,0.0016087613033068432
130,컴퓨터,6.0,36,11.117483354288312,0.0015933833151849095
131,매니저,3.0,5,11.016217007392664,0.0015788695891561662
132,배치,3.0,5,11.016217007392664,0.0015788695891561662
133,입찰,3.0,5,11.016217007392664,0.0015788695891561662
134,전시회 기획,2.0,0,10.92766361005122,0.0015661779123323488
135,전략수립,2.0,0,10.92766361005122,0.0015661779123323488
136,SPRING,2.0,0,10.92766361005122,0.0015661779123323488
137,의학,2.0,0,10.92766361005122,0.0015661779123323488
138,세팅,2.0,0,10.92766361005122,0.0015661779123323488
139,운영 기획,2.0,0,10.92766361005122,0.0015661779123323488
140,AE,2.0,0,10.92766361005122,0.0015661779123323488
141,공간,2.0,0,10.92766361005122,0.0015661779123323488
142,퍼포먼스 마케팅,2.0,0,10.92766361005122,0.0015661779123323488
143,SNS 운영,2.0,0,10.92766361005122,0.0015661779123323488
144,미팅,2.0,0,10.92766361005122,0.0015661779123323488
145,틱톡,2.0,0,10.92766361005122,0.0015661779123323488
146,프로젝트 기획,2.0,0,10.92766361005122,0.0015661779123323488
147,카피라이팅,2.0,0,10.92766361005122,0.0015661779123323488
148,분양,2.0,0,10.92766361005122,0.0015661779123323488
149,해외,7.0,51,10.58811660510928,0.0015175132536902646
150,미디어,3.0,6,10.55376496791089,0.0015125898979435626
151,파워포인트,3.0,6,10.55376496791089,0.0015125898979435626
152,문서작성,6.0,40,10.501558429927814,0.0015051075367009245
153,유튜브,5.0,28,10.48267987519568,0.0015024018187640154
154,거래처 관리,3.0,7,10.153170790037322,0.0014551758179001911
155,관련 업무,6.0,46,9.682105219893309,0.0013876616156382182
156,일러스트레이터,2.0,1,9.54136924893133,0.0013674910121993862
157,커뮤니케이션 가능,2.0,1,9.54136924893133,0.0013674910121993862
158,강의,2.0,1,9.54136924893133,0.0013674910121993862
159,운영 관리,2.0,1,9.54136924893133,0.0013674910121993862
160,MS오피스,2.0,1,9.54136924893133,0.0013674910121993862
161,오프라인 홍보,2.0,1,9.54136924893133,0.0013674910121993862
162,PHP,2.0,1,9.54136924893133,0.0013674910121993862
163,기획업무,2.0,1,9.54136924893133,0.0013674910121993862
164,사업계획,2.0,1,9.54136924893133,0.0013674910121993862
165,건강기능식품,2.0,1,9.54136924893133,0.0013674910121993862
166,마케팅 경력,2.0,1,9.54136924893133,0.0013674910121993862
167,사상,2.0,1,9.54136924893133,0.0013674910121993862
168,보수,2.0,1,9.54136924893133,0.0013674910121993862
169,ACC,3.0,9,9.483740136094694,0.0013592314750418707
170,주문,3.0,9,9.483740136094694,0.0013592314750418707
171,책임감,5.0,36,9.264569461906929,0.001327819429320758
172,이메일,5.0,36,9.264569461906929,0.001327819429320758
173,총괄,4.0,23,9.143111898710655,0.0013104118516763707
174,경력자 우대,5.0,37,9.131228226496122,0.0013087086564093895
175,마케팅 경험,2.0,2,8.730439032715001,0.0012512666262370737
176,예술,2.0,2,8.730439032715001,0.0012512666262370737
177,에너지,2.0,2,8.730439032715001,0.0012512666262370737
178,캠핑,2.0,2,8.730439032715001,0.0012512666262370737
179,비용,2.0,2,8.730439032715001,0.0012512666262370737
180,문서작성능력,2.0,2,8.730439032715001,0.0012512666262370737
181,협의 가능,5.0,44,8.285846576276452,0.0011875466115924818
182,SNS마케팅,2.0,3,8.15507488781144,0.0011688041120664235
183,사회적기업,2.0,3,8.15507488781144,0.0011688041120664235
184,POS,2.0,3,8.15507488781144,0.0011688041120664235
185,부가세,2.0,3,8.15507488781144,0.0011688041120664235
186,회계,3.0,15,8.073729248357488,0.001157145467700747
187,기능,3.0,16,7.891855382908181,0.00113107888649347
188,생산,3.0,16,7.891855382908181,0.00113107888649347
189,검토,4.0,33,7.749885121637795,0.001110731381725368
190,문화,7.0,77,7.749860848352128,0.0011107279028221707
191,세무,3.0,17,7.720380141388336,0.0011065026600132536
192,신고,3.0,17,7.720380141388336,0.0011065026600132536
193,운전,3.0,17,7.720380141388336,0.0011065026600132536
194,교육프로그램,2.0,4,7.708787785183019,0.0011048412168275432
195,예산,2.0,4,7.708787785183019,0.0011048412168275432
196,화학,2.0,4,7.708787785183019,0.0011048412168275432
197,확정,2.0,4,7.708787785183019,0.0011048412168275432
198,협력,4.0,34,7.633934974144785,0.0010941131395818052
199,원활한 커뮤니케이션 능력,2.0,5,7.34414467159511,0.001052579726104111
200,지원업무,2.0,5,7.34414467159511,0.001052579726104111
201,근로계약,2.0,5,7.34414467159511,0.001052579726104111
202,상품,3.0,21,7.118368055001882,0.0010202209015055758
203,대행사,2.0,6,7.035843311940593,0.0010083932652957084
204,행정업무,2.0,6,7.035843311940593,0.0010083932652957084
205,심사,2.0,6,7.035843311940593,0.0010083932652957084
206,설계,2.0,6,7.035843311940593,0.0010083932652957084
207,개선,5.0,57,7.0169439723959535,0.0010056845684316084
208,영상편집,2.0,7,6.768780526691549,0.0009701172119334607
209,CAD,2.0,7,6.768780526691549,0.0009701172119334607
210,식품,2.0,7,6.768780526691549,0.0009701172119334607
211,사무실,2.0,7,6.768780526691549,0.0009701172119334607
212,EXCEL,3.0,25,6.617205801012384,0.0009483931732095573
213,웹디자인,2.0,8,6.533214455378781,0.0009363553401417985
214,보안,2.0,8,6.533214455378781,0.0009363553401417985
215,인쇄,2.0,8,6.533214455378781,0.0009363553401417985
216,원가,3.0,26,6.503984817063843,0.0009321660810697849
217,유지,3.0,27,6.394881884551219,0.0009165291975446744
218,문서작성 우수자,2.0,9,6.322493424063129,0.0009061543166945804
219,홈페이지 관리,2.0,9,6.322493424063129,0.0009061543166945804
220,실무,2.0,9,6.322493424063129,0.0009061543166945804
221,등록,2.0,9,6.322493424063129,0.0009061543166945804
222,선발,3.0,30,6.089533801621391,0.000872766007157129
223,현장,5.0,70,6.005759639921473,0.0008607593013908675
224,기계,2.0,11,5.957850310475219,0.0008538928259711482
225,기술 지원,2.0,12,5.797764895128147,0.000830949015606001
226,구청,2.0,12,5.797764895128147,0.000830949015606001
227,운전면허,2.0,12,5.797764895128147,0.000830949015606001
