idx,skill,tf,df,tfidf,pr
0,네트워크,30.0,0,163.91495415076832,0.06119633512313302
1,C,54.0,53,79.64177895691213,0.029733620218487144
2,보수,15.0,1,71.56026936698498,0.0267164533484583
3,유지보수,15.0,2,65.47829274536251,0.024445796095273663
4,통신,20.0,8,65.33214455378781,0.02439123283864109
5,자격,27.0,20,65.32135291715905,0.02438720386755006
6,지원,29.0,41,50.05870341552501,0.018689015934618636
7,CI,8.0,0,43.71065444020488,0.016319022699502136
8,경험,19.0,24,42.65416362299077,0.015924590315710727
9,IT,10.0,5,36.72072335797555,0.013709387921443635
10,경력,14.0,20,33.87033114223062,0.012645216820211143
11,유지,15.0,27,31.974409422756093,0.01193738963315979
12,보안,9.0,8,29.399465049204515,0.01097605477738849
13,CCNA,6.0,1,28.62410774679399,0.010686581339383319
14,운영,20.0,58,27.72588722239781,0.010351237901621894
15,방화벽,5.0,0,27.31915902512805,0.010199389187188837
16,관리,22.0,69,26.737404385477525,0.009982195752508404
17,공학,6.0,2,26.191317098145003,0.009778318438109465
18,자격증,16.0,47,25.482092705883503,0.009513535192363538
19,기술,9.0,13,25.422970278693164,0.0094914623077608
20,전산,9.0,18,22.67453543273253,0.008465356173827474
21,클라우드,10.0,25,22.05735267004128,0.008234935933199917
22,서버,4.0,0,21.85532722010244,0.008159511349751068
23,운용,5.0,2,21.8260975817875,0.008148598698424554
24,구축,16.0,73,18.556267389143045,0.006927833788343464
25,업무,19.0,88,18.52871327057593,0.006917546678893372
26,모니터링,4.0,2,17.460878065430002,0.006518878958739644
27,학사,4.0,2,17.460878065430002,0.006518878958739644
28,교육,6.0,13,16.94864685246211,0.006327641538507202
29,정보통신,7.0,21,16.60952546167106,0.006201033283721713
30,인프라 운영,3.0,0,16.391495415076832,0.006119633512313302
31,CCNP,3.0,0,16.391495415076832,0.006119633512313302
32,컴퓨터 관련,3.0,0,16.391495415076832,0.006119633512313302
33,네트워크 관리,3.0,0,16.391495415076832,0.006119633512313302
34,보안장비,3.0,0,16.391495415076832,0.006119633512313302
35,DB,3.0,0,16.391495415076832,0.006119633512313302
36,IP,4.0,4,15.417575570366038,0.00575602833968719
37,컴퓨터,8.0,36,14.823311139051084,0.00553416447449611
38,운영관리,3.0,1,14.312053873396994,0.0053432906696916594
39,서비스,8.0,39,14.19961880729339,0.005301313938401242
40,네트워크 구축,3.0,2,13.0956585490725,0.0048891592190547315
41,운전,5.0,17,12.867300235647228,0.004803903471957536
