idx,skill,tf,df,tfidf,pr
0,DB,10.0,0,54.6383180502561,0.029314249842764928
1,기술,17.0,13,48.02116608197598,0.02576405186874808
2,경험,15.0,24,33.67433970236114,0.018066771499393286
3,IT,9.0,5,33.04865102217799,0.0177310804505252
4,보안,8.0,8,26.132857821515124,0.014020657125292992
5,C,17.0,53,25.07241189384271,0.013451712509539285
6,서비스,14.0,39,24.849332912763437,0.013332027401736144
7,자격,10.0,20,24.19309367302187,0.012979945534708024
8,지원,13.0,41,22.440108427649143,0.012039443533781297
9,네트워크,4.0,0,21.85532722010244,0.01172569993710597
10,기술지원,4.0,0,21.85532722010244,0.01172569993710597
11,운용,5.0,2,21.8260975817875,0.011710017812345291
12,업무,21.0,88,20.479104141162875,0.010987336301199272
13,관리,15.0,69,18.230048444643767,0.009780685310635962
14,구축,15.0,73,17.396500677321605,0.009333474847739104
15,개발,10.0,42,17.026316893320477,0.00913486588027477
16,경력,7.0,20,16.93516557111531,0.009085961874295617
17,환경,5.0,7,16.921951316728872,0.009078872235221925
18,INFRA,3.0,0,16.391495415076832,0.00879427495282948
19,서비스 배포,3.0,0,16.391495415076832,0.00879427495282948
20,AWS,3.0,0,16.391495415076832,0.00879427495282948
21,편집,4.0,4,15.417575570366038,0.008271752835138757
22,협의,5.0,10,15.329682661136196,0.008224597014965062
23,운영,11.0,58,15.249237972318795,0.008181437273035455
24,채용,5.0,11,14.894625776188049,0.007991182688238266
25,대응,4.0,5,14.68828934319022,0.007880480200233424
26,CD,3.0,1,14.312053873396994,0.00767862441559737
27,서비스 배,3.0,2,13.0956585490725,0.007026010687407175
28,기획,4.0,8,13.066428910757562,0.007010328562646496
29,설치,4.0,9,12.644986848126258,0.006784218785495947
30,AS,4.0,10,12.263746128908958,0.006579677611972049
31,SI,3.0,4,11.563181677774528,0.006203814626354067
32,교육,4.0,13,11.299097901641408,0.006062129851470138
33,BI,3.0,5,11.016217007392664,0.005910360150175067
34,컨테이너 오케스트레이션,2.0,0,10.92766361005122,0.005862849968552985
35,장애 대응,2.0,0,10.92766361005122,0.005862849968552985
36,XR 메타버스,2.0,0,10.92766361005122,0.005862849968552985
37,ORACLE,2.0,0,10.92766361005122,0.005862849968552985
38,CI,2.0,0,10.92766361005122,0.005862849968552985
39,사업기획,2.0,0,10.92766361005122,0.005862849968552985
40,XR,2.0,0,10.92766361005122,0.005862849968552985
41,컨설팅,2.0,0,10.92766361005122,0.005862849968552985
42,경력자,5.0,32,9.83662121779565,0.005277489905927891
43,사업계획,2.0,1,9.54136924893133,0.00511908294373158
44,프로젝트,3.0,9,9.483740136094694,0.005088164089121961
45,제품,3.0,10,9.19780959668172,0.004934758208979038
46,모니터링,2.0,2,8.730439032715001,0.004684007124938117
47,비용,2.0,2,8.730439032715001,0.004684007124938117
48,진행,7.0,69,8.507355940833758,0.004564319811630115
49,최적화,2.0,3,8.15507488781144,0.004375315918910176
50,밸브,2.0,3,8.15507488781144,0.004375315918910176
51,기능,3.0,16,7.891855382908181,0.004234094838072259
52,데이터베이스,3.0,19,7.404298594414858,0.003972513551889853
53,설계,2.0,6,7.035843311940593,0.003774831950556473
54,MR,2.0,7,6.768780526691549,0.00363154889408877
55,VR,2.0,8,6.533214455378781,0.003505164281323248
56,대기,2.0,8,6.533214455378781,0.003505164281323248
57,부동산,3.0,26,6.503984817063843,0.0034894821565625697
58,수행,2.0,12,5.797764895128147,0.003110584928860226
59,문서,2.0,12,5.797764895128147,0.003110584928860226
60,안내,2.0,14,5.5115632078468,0.0029570335739545098
61,제작,2.0,14,5.5115632078468,0.0029570335739545098
62,서비스 배포 체계,1.0,0,5.4638318050256105,0.002931424984276493
63,AWS 환경에서의 자원 구축,1.0,0,5.4638318050256105,0.002931424984276493
64,IMMERSIVE MEDIA,1.0,0,5.4638318050256105,0.002931424984276493
65,IAC,1.0,0,5.4638318050256105,0.002931424984276493
66,GIT,1.0,0,5.4638318050256105,0.002931424984276493
67,로깅 파이프라인과 모니터링 시스템 구축,1.0,0,5.4638318050256105,0.002931424984276493
68,CONFIGURATION MANAGEMENT,1.0,0,5.4638318050256105,0.002931424984276493
69,MSSQL,1.0,0,5.4638318050256105,0.002931424984276493
70,장애 대응 경험,1.0,0,5.4638318050256105,0.002931424984276493
71,방화벽,1.0,0,5.4638318050256105,0.002931424984276493
72,국가정보자원 관리원 보안환경 운영 경험,1.0,0,5.4638318050256105,0.002931424984276493
73,MSA,1.0,0,5.4638318050256105,0.002931424984276493
74,3D VIRTUALIZATION,1.0,0,5.4638318050256105,0.002931424984276493
