idx,skill,tf,df,tfidf,pr
0,기획,72.0,8,235.1957203936361,0.04027037794321248
1,경력,58.0,20,140.31994330352686,0.024025680145649757
2,마케팅,119.0,77,131.7476344219862,0.022557923343239247
3,광고,40.0,10,122.63746128908956,0.020998073042494684
4,SNS,27.0,2,117.86092694165252,0.02018023144610809
5,제작,39.0,14,107.4754825530126,0.018402028297093392
6,관리,79.0,69,96.01158847512384,0.016439172227923064
7,홍보,34.0,15,91.5022648147182,0.015667082634758345
8,IT,24.0,5,88.12973605914132,0.015089635870913625
9,운영,51.0,58,70.70101241711441,0.012105477456136545
10,경험,29.0,24,65.10372342456486,0.011147105667695396
11,C,44.0,53,64.89330137229878,0.011111077054767578
12,업무,65.0,88,63.38770329407557,0.010853287484705897
13,온라인 마케팅,13.0,1,62.01890011805365,0.01061892003475393
14,온라인,32.0,34,61.07147979315828,0.010456702055231332
15,미디어,17.0,6,59.80466815149504,0.010239797668079817
16,디자인,16.0,5,58.75315737276088,0.010059757247275751
17,SI,15.0,4,57.81590838887264,0.009899280811969436
18,분석,33.0,43,55.42819164654251,0.009490454259028584
19,지원,30.0,41,51.784865602267246,0.00886664139148253
20,채용,17.0,11,50.64172763903937,0.008670912499207727
21,커뮤니케이션,17.0,12,49.28100160858925,0.008437928023845326
22,실행,10.0,1,47.70684624465665,0.008168400026733792
23,영업,17.0,17,43.74882080120057,0.007490704105013525
24,제안,13.0,8,42.46589395996208,0.007271040461968922
25,부동산,19.0,26,41.19190384140434,0.007052906970915713
26,블로그,13.0,11,38.72602701808893,0.0066306977935117915
27,자격,16.0,20,38.70894987683499,0.006627773833282691
28,홈페이지,10.0,4,38.54393892591509,0.006599520541312957
29,콘텐츠 기획,7.0,0,38.24682263517927,0.006548648079428907
30,서비스,20.0,39,35.49904701823348,0.006078171990780889
31,협의,11.0,10,33.725301854499634,0.005774470086686039
32,경력자,17.0,32,33.44451214050521,0.0057263930728432815
33,편집,8.0,4,30.83515114073208,0.005279616433050366
34,PL,8.0,4,30.83515114073208,0.005279616433050366
35,프로모션,9.0,7,30.45951237011197,0.005215299296506904
36,환경,9.0,7,30.45951237011197,0.005215299296506904
37,인스타,7.0,3,28.54276210734004,0.004887111957998401
38,제품,9.0,10,27.59342879004516,0.004724566434561305
39,GIT,5.0,0,27.31915902512805,0.004677605771020648
40,프로모션 기획,5.0,0,27.31915902512805,0.004677605771020648
41,공연,5.0,0,27.31915902512805,0.004677605771020648
42,B2B,5.0,0,27.31915902512805,0.004677605771020648
43,카피라이팅,5.0,0,27.31915902512805,0.004677605771020648
44,모집,16.0,42,27.242107029312763,0.00466441287368575
45,연구,6.0,2,26.191317098145003,0.004484495876912909
46,급여,10.0,17,25.734600471294456,0.004406296532360897
47,CE,7.0,5,25.70450635058289,0.0044011437956831415
48,교육,9.0,13,25.422970278693164,0.004352938989912562
49,정규직,15.0,44,24.85753972882935,0.0042561255704100945
50,워드,7.0,6,24.625451591792075,0.00421638727509169
51,운영관리,5.0,1,23.853423122328326,0.004084200013366896
52,행사,8.0,12,23.191059580512587,0.003970789658280152
53,수행,8.0,12,23.191059580512587,0.003970789658280152
54,기술,8.0,13,22.598195803282813,0.0038692791021444997
55,계약,9.0,19,22.212895783244573,0.003803307759628154
56,개발,13.0,42,22.13421196131662,0.0037898354598696724
57,쇼핑몰,7.0,9,22.128726984220958,0.0037888963182038183
58,SNS 컨텐츠 기획,4.0,0,21.85532722010244,0.003742084616816518
59,컨설팅,4.0,0,21.85532722010244,0.003742084616816518
60,학력,8.0,17,20.587680377035564,0.0035250372258887174
61,계획,8.0,19,19.744796251772957,0.0033807180085583598
62,예산,5.0,4,19.271969462957543,0.003299760270656478
63,마케팅 경력,4.0,1,19.08273849786266,0.003267360010693517
64,서류,11.0,41,18.987784054164656,0.0032511018435435945
65,프로젝트,6.0,9,18.967480272189388,0.0032476254156032724
66,NAVER,5.0,5,18.360361678987772,0.0031436741397736713
67,작성,14.0,66,17.627948598885013,0.0030182698530930854
68,이미지,4.0,2,17.460878065430002,0.0029896639179419395
69,프로그램,7.0,19,17.276696720301334,0.0029581282574885643
70,사무실,5.0,7,16.921951316728872,0.0028973884980593913
71,부동산 시장 분석,3.0,0,16.391495415076832,0.002806563462612389
72,전략수립,3.0,0,16.391495415076832,0.002806563462612389
73,경영컨설팅,3.0,0,16.391495415076832,0.002806563462612389
74,자료 수집,3.0,0,16.391495415076832,0.002806563462612389
75,공간,3.0,0,16.391495415076832,0.002806563462612389
76,전략기획,3.0,0,16.391495415076832,0.002806563462612389
77,프로젝트 기획,3.0,0,16.391495415076832,0.002806563462612389
78,마케팅 기획,3.0,0,16.391495415076832,0.002806563462612389
79,최적화,4.0,3,16.31014977562288,0.0027926354045705146
80,평가,6.0,15,16.147458496714975,0.002764779288486767
81,열정,6.0,16,15.783710765816362,0.002702498144192317
82,수학,5.0,10,15.329682661136196,0.0026247591303118355
83,해외,10.0,51,15.125880864441829,0.002589864042235182
84,인터넷,5.0,11,14.894625776188049,0.0025502683821199195
85,포토샵,4.0,5,14.68828934319022,0.0025149393118189377
86,유튜브,7.0,28,14.675751825273952,0.002512792629115218
87,카페,3.0,1,14.312053873396994,0.0024505200080201374
88,판매,5.0,13,14.123872377051756,0.002418299438840312
89,사무,7.0,33,13.56229896286614,0.0023221464408424504
90,접수,6.0,25,13.234411602024768,0.002266005334525612
91,조직,3.0,2,13.0956585490725,0.002242247938456454
92,CCTV,4.0,8,13.066428910757562,0.0022372432190673605
93,기업,14.0,94,12.73936878795097,0.0021812437530331504
94,실무,4.0,9,12.644986848126258,0.0021650836104021814
95,경영,5.0,18,12.596964129295849,0.002156861126447437
96,AS,4.0,10,12.263746128908958,0.0020998073042494685
97,제안서 작성,3.0,3,12.23261233171716,0.002094476553427886
98,시행,3.0,3,12.23261233171716,0.002094476553427886
99,문화,11.0,77,12.178352761696202,0.002085186191391863
100,진행,10.0,69,12.153365629762511,0.0020809078769522867
101,상품,5.0,21,11.86394675833647,0.0020313533726580833
102,문서,4.0,12,11.595529790256291,0.001985394829140076
103,인스타그램,3.0,4,11.563181677774528,0.0019798561623938873
104,조정,5.0,23,11.428889873388322,0.0019568626244661673
105,전화,5.0,24,11.224779900787045,0.0019219147702923096
106,촬영,3.0,5,11.016217007392664,0.0018862044838642029
107,온라인 바이럴 마케팅,2.0,0,10.92766361005122,0.001871042308408259
108,온라인 쇼핑몰 상세페이지 관리,2.0,0,10.92766361005122,0.001871042308408259
109,예산 수립,2.0,0,10.92766361005122,0.001871042308408259
110,영향력 있는 인플루언서들과의 공동구매 협업 제안,2.0,0,10.92766361005122,0.001871042308408259
111,A 게시판 문의 답변,2.0,0,10.92766361005122,0.001871042308408259
112,SNS 콘텐츠 기획,2.0,0,10.92766361005122,0.001871042308408259
113,시장조사,2.0,0,10.92766361005122,0.001871042308408259
114,검색광고,2.0,0,10.92766361005122,0.001871042308408259
115,이벤트 기획,2.0,0,10.92766361005122,0.001871042308408259
116,글쓰기,2.0,0,10.92766361005122,0.001871042308408259
117,해외 영업,2.0,0,10.92766361005122,0.001871042308408259
118,세팅,2.0,0,10.92766361005122,0.001871042308408259
119,감독,2.0,0,10.92766361005122,0.001871042308408259
120,쓰기,2.0,0,10.92766361005122,0.001871042308408259
121,광고관리,2.0,0,10.92766361005122,0.001871042308408259
122,외국어,2.0,0,10.92766361005122,0.001871042308408259
123,SNS 운영,2.0,0,10.92766361005122,0.001871042308408259
124,제작 반응 분석,2.0,0,10.92766361005122,0.001871042308408259
125,모바일 앱,2.0,0,10.92766361005122,0.001871042308408259
126,엑셀,4.0,16,10.522473843877576,0.001801665429461545
127,근무시간,5.0,28,10.48267987519568,0.0017948518779394413
128,일러스트,3.0,7,10.153170790037322,0.0017384330988356345
129,보고,3.0,7,10.153170790037322,0.0017384330988356345
130,대기,3.0,8,9.79982168306817,0.0016779324143005201
131,기타,4.0,20,9.677237469208748,0.0016569434583206728
132,일러스트레이터,2.0,1,9.54136924893133,0.0016336800053467584
133,예산 관리,2.0,1,9.54136924893133,0.0016336800053467584
134,페이스북,2.0,1,9.54136924893133,0.0016336800053467584
135,운영 관리,2.0,1,9.54136924893133,0.0016336800053467584
136,답변,2.0,1,9.54136924893133,0.0016336800053467584
137,온라인 쇼핑,2.0,1,9.54136924893133,0.0016336800053467584
138,사업계획,2.0,1,9.54136924893133,0.0016336800053467584
139,타일,2.0,1,9.54136924893133,0.0016336800053467584
140,번역,2.0,1,9.54136924893133,0.0016336800053467584
141,PPT,2.0,1,9.54136924893133,0.0016336800053467584
142,보수,2.0,1,9.54136924893133,0.0016336800053467584
143,홈페이지 관리,3.0,9,9.483740136094694,0.0016238127078016362
144,유통,3.0,9,9.483740136094694,0.0016238127078016362
145,구매,3.0,9,9.483740136094694,0.0016238127078016362
146,상담,3.0,9,9.483740136094694,0.0016238127078016362
147,솔루션,4.0,22,9.313350356385842,0.001594638448954357
148,경력직,5.0,36,9.264569461906929,0.001586286149627711
149,런칭,3.0,10,9.19780959668172,0.0015748554781871017
150,개인,3.0,10,9.19780959668172,0.0015748554781871017
151,인원,3.0,10,9.19780959668172,0.0015748554781871017
152,4대보험,4.0,23,9.143111898710655,0.0015654900995729336
153,캠페인 기획,2.0,2,8.730439032715001,0.0014948319589709698
154,예술,2.0,2,8.730439032715001,0.0014948319589709698
