idx,skill,tf,df,tfidf,pr
0,기획,248.0,8,810.1185924669688,0.03492468762861356
1,홍보,208.0,15,559.7785612194524,0.024132382065507562
2,광고,167.0,10,512.0114008819489,0.02207311176952157
3,SNS,112.0,2,488.9045858320401,0.021076963421348564
4,관리,400.0,69,486.13462519050046,0.02095754879360285
5,업무,451.0,88,439.8131413173551,0.018960602457836057
6,지원,251.0,41,433.2667088723027,0.018678381915866953
7,경력,179.0,20,433.05637674709146,0.018669314374596367
8,마케팅,374.0,77,414.06399389767085,0.01785054161156279
9,채용,124.0,11,369.3867192494636,0.015924478099756605
10,디자인,99.0,5,363.53516124395793,0.015672214002396895
11,C,227.0,53,334.7904411707232,0.014433012262226251
12,블로그,110.0,11,327.6817670761371,0.014126553153009891
13,온라인,135.0,34,257.6453053773865,0.011107240215142769
14,홈페이지,66.0,4,254.3899969110396,0.010966901958029405
15,경험,112.0,24,251.43506977762985,0.01083951331634253
16,제작,91.0,14,250.7761259570294,0.010811105861788012
17,운영,180.0,58,249.5329850015803,0.010757513326138158
18,상품,99.0,21,234.9061458150621,0.01012694171065713
19,자격,95.0,20,229.83438989370777,0.009908295338472933
20,포토샵,59.0,5,216.65226781205573,0.009340006324660775
21,협의,68.0,10,208.48368419145228,0.008987853894176449
22,판매,68.0,13,192.0846643279039,0.008280882530384169
23,급여,72.0,17,185.28912339332007,0.007987922775337596
24,제품,56.0,10,171.6924458047254,0.007401762030498252
25,교육,58.0,13,163.8369195738004,0.007063105687680615
26,인스타,40.0,3,163.10149775622878,0.0070314012218248905
27,IT,42.0,5,154.2270381034973,0.006648818061622925
28,편집,40.0,4,154.17575570366037,0.006646607247290549
29,영업,59.0,17,151.83414278063728,0.0065456589409016415
30,사무,75.0,33,145.31034603070864,0.006264414237024398
31,행사,47.0,12,136.24747503551146,0.005873708553351807
32,쇼핑몰,43.0,9,135.9336086173573,0.005860177587993062
33,모집,79.0,42,134.50790345723178,0.005798714602411829
34,서류,76.0,41,131.18832619241036,0.0056556056797047345
35,분석,77.0,43,129.33244717526586,0.005575597646864884
36,일러스트,38.0,7,128.60683000713942,0.005544315865196841
37,온라인 마케팅,24.0,1,114.49643098717596,0.004936008288170811
38,마케팅 기획,20.0,0,109.2766361005122,0.0047109798693722406
39,인스타그램,27.0,4,104.06863509997076,0.004486459891921121
40,기타,43.0,20,104.03030279399404,0.004484807363729854
41,작성,82.0,66,103.2494132220408,0.004451142756317426
42,근무시간,49.0,28,102.73026277691766,0.004428761876163857
43,학력,37.0,17,95.21802174378948,0.004104904759548487
44,접수,41.0,25,90.43514594716925,0.003898712178960073
45,제안,27.0,8,88.19839514761354,0.0038022845402119598
46,CE,24.0,5,88.12973605914132,0.003799324606641672
47,콘텐츠 기획,16.0,0,87.42130888040977,0.0037687838954977926
48,보조,33.0,16,86.81040921198999,0.0037424476525200656
49,실행,18.0,1,85.87232324038197,0.003702006216128109
50,커뮤니케이션,28.0,12,81.16870853179405,0.003499230627528736
51,소통,21.0,4,80.9422717444217,0.0034894688048275383
52,경력자,41.0,32,80.66029398592433,0.003477312578288226
53,수행,27.0,12,78.26982608422998,0.003374258105116995
54,카페,16.0,1,76.33095399145064,0.003290672192113875
55,유통,24.0,9,75.86992108875755,0.003270796793298453
56,상담,24.0,9,75.86992108875755,0.003270796793298453
57,문서,26.0,12,75.37094363666591,0.003249285582705255
58,촬영,20.0,5,73.4414467159511,0.00316610383886806
59,페이스북,15.0,1,71.56026936698498,0.0030850051801067577
60,상품기획,15.0,1,71.56026936698498,0.0030850051801067577
61,개발,41.0,42,69.80789926261396,0.0030094594772010754
62,AR,48.0,59,65.73538765456846,0.0028338911133868713
63,서비스,37.0,39,65.67323698373193,0.0028312117615178264
64,SI,17.0,4,65.52469617405566,0.0028248080800984837
65,이미지,15.0,2,65.47829274536251,0.0028228076010734684
66,환경,19.0,7,64.30341500356971,0.0027721579325984203
67,계약,26.0,19,64.1705878182621,0.002766431674741124
68,4대보험,28.0,23,64.0017832909746,0.00275915441257157
69,행정,18.0,6,63.32258980746534,0.002729873983173305
70,엑셀,23.0,16,60.50422460229606,0.0026083726063018645
71,데이터 분석,11.0,0,60.10214985528172,0.0025910389281547327
72,공간,11.0,0,60.10214985528172,0.0025910389281547327
73,홈페이지 관리,19.0,9,60.06368752859973,0.0025893807946946084
74,등록,19.0,9,60.06368752859973,0.0025893807946946084
75,계획,24.0,19,59.23438875531886,0.0025536292382225753
76,제출,56.0,81,59.19830323463599,0.0025520735702629902
77,진행,48.0,69,58.336155022860055,0.002514905855232342
78,프로모션,17.0,7,57.53463447687816,0.0024803518344301656
79,주문,18.0,9,56.90244081656816,0.0024530975949738393
80,대행사,16.0,6,56.286746495524746,0.0024265546517096047
81,워드,16.0,6,56.286746495524746,0.0024265546517096047
82,문화,50.0,77,55.35614891680092,0.0023864360443265763
83,인원,18.0,10,55.18685758009031,0.0023791377955172956
84,컨설팅,10.0,0,54.6383180502561,0.0023554899346861203
