idx,skill,tf,df,tfidf,pr
0,쇼핑몰,111.0,9,350.8983850355037,0.03567376735495732
1,기획,99.0,8,323.3941155412497,0.03287757064089496
2,관리,229.0,69,278.31207292156154,0.028294345499695447
3,MD,68.0,4,262.09878469622265,0.026646036197413858
4,상품,109.0,21,258.63403933173504,0.026293795989570233
5,경력,104.0,20,251.60817419942745,0.02557951775722132
6,C,135.0,53,199.10444739228032,0.020241773796966577
7,오픈마켓,41.0,1,195.59806960309223,0.019885301066271538
8,온라인,98.0,34,187.03140686654723,0.019014379037260297
9,판매,55.0,13,155.36259614756935,0.015794798001335358
10,IT,37.0,5,135.86667642450954,0.013812762932975066
11,온라인 쇼핑,28.0,1,133.57916948503862,0.013580205606234224
12,업무,136.0,88,132.62657919991196,0.013483361375353074
13,지원,74.0,41,127.73600181892589,0.012986165243478424
14,경험,53.0,24,118.98266694834268,0.012096265360577493
15,포토샵,32.0,5,117.50631474552176,0.011946173347437895
16,운영,82.0,58,113.67613761183102,0.011556781848865636
17,프로모션,32.0,7,108.30048842706478,0.01101027133021559
18,쇼핑몰 관리,24.0,2,104.76526839258,0.010650866378705099
19,유통,33.0,9,104.32114149704164,0.010605714619041367
20,채용,34.0,11,101.28345527807872,0.010296890993473301
21,사방넷,18.0,0,98.348972490461,0.009998559451531296
22,등록,31.0,9,97.9986480729785,0.009962944036069161
23,자격,40.0,20,96.77237469208748,0.009838276060469739
24,자사몰,21.0,2,91.66960984350752,0.009319508081366964
25,제품,28.0,10,85.8462229023627,0.008727478708147484
26,상품등록,17.0,1,81.1016386159163,0.008245124832356492
27,분석,45.0,43,75.5838976998307,0.0076841686861905565
28,영업,28.0,17,72.05688131962448,0.007325597751782096
29,AI,23.0,11,68.51527857046503,0.006965543907349588
30,디자인,18.0,5,66.09730204435598,0.006719722507933816
31,프로모션 기획,12.0,0,65.56598166030733,0.006665706301020864
32,광고,20.0,10,61.31873064454479,0.00623391336296249
33,식품,18.0,7,60.91902474022394,0.0061932776232462685
