idx,skill,tf,df,tfidf,pr
0,수출,157.0,4,605.139841136867,0.06082200028104332
1,수출입,84.0,5,308.4540762069946,0.03100241073948324
2,무역,93.0,11,277.0400394370977,0.027845017318389297
3,해외,154.0,51,232.9385653124041,0.023412422256449125
4,통관,41.0,0,224.01710400605003,0.022515735102182483
5,업무,217.0,88,211.61740945868303,0.021269454203162595
6,수입,68.0,10,208.48368419145228,0.020954486610339513
7,관리,166.0,69,201.7458694540577,0.020277275589029906
8,경력,59.0,20,142.73925267082905,0.014346579543913232
9,영업,55.0,17,141.5403025921195,0.014226074270475557
10,영어,96.0,63,125.27507727993006,0.012591272739889392
11,수출입관리,21.0,0,114.74046790553784,0.011532449686483712
12,서류,63.0,41,108.74821776476122,0.010930174617201064
13,지원,61.0,41,105.29589339127672,0.010583184946813727
14,무역업무,17.0,1,81.1016386159163,0.008151444594068087
15,제품,26.0,10,79.71434983790823,0.008012009586306285
16,사무,41.0,33,79.4363224967874,0.007984065336282984
17,작성,62.0,66,78.06662950934792,0.007846398863835096
18,C,51.0,53,75.21723568152812,0.007560009139650234
19,선적,14.0,1,66.78958474251931,0.006712954371585484
20,자격,27.0,20,65.32135291715905,0.006565383859078936
21,회화,19.0,7,64.30341500356971,0.006463071937341804
22,해외영업,14.0,2,61.11307322900501,0.006142413875984197
23,결제,22.0,16,57.87360614132667,0.005816818278531807
24,영어 가능자,12.0,1,57.24821549358798,0.005753960889930415
25,경험,25.0,24,56.12389950393523,0.0056409570141482965
26,발주,20.0,18,50.387856517183394,0.005064433069704537
27,계약,20.0,19,49.361990629432384,0.004961324315212544
28,전시,14.0,6,49.25090318358415,0.004950159027119947
29,출장,14.0,6,49.25090318358415,0.004950159027119947
30,수출입계약,9.0,0,49.1744862452305,0.004942478437064447
31,협의,16.0,10,49.05498451563583,0.004930467437726944
32,구매,14.0,9,44.25745396844191,0.004448272440052438
33,해외 영업,8.0,0,43.71065444020488,0.004393314166279508
34,무역사무,10.0,2,43.652195163575,0.004387438482845854
35,해외 수,12.0,6,42.21505987164356,0.004242993451817098
36,문서,14.0,12,40.58435426589703,0.00407909286212087
37,서류 작성,13.0,11,38.72602701808893,0.0038923142488071064
38,기타,16.0,20,38.70894987683499,0.0038905978424171473
39,영어능통,7.0,0,38.24682263517927,0.00384414989549457
40,이메일,20.0,36,37.05827784762771,0.0037246904474656905
41,전화,16.0,24,35.919295682518545,0.0036102124890549096
42,영어 가능,12.0,11,35.74710186285132,0.0035929054604373297
43,경력자,18.0,32,35.41183638406434,0.003559208262436456
44,상담,11.0,9,34.77371383234721,0.0034950712028983437
45,거래처,29.0,71,34.42780489427709,0.0034603042414485885
46,관련 업무,21.0,46,33.88736826962658,0.0034059854967521124
47,거래처 관리,10.0,7,33.843902633457745,0.0034016168091272657
48,신고하기,7.0,1,33.394792371259655,0.003356477185792742
49,번역,7.0,1,33.394792371259655,0.003356477185792742
50,소싱,6.0,0,32.782990830153665,0.0032949856247096315
51,영어 회화,6.0,0,32.782990830153665,0.0032949856247096315
52,외국어,6.0,0,32.782990830153665,0.0032949856247096315
53,채용,11.0,11,32.768176707613705,0.0032934966720675513
54,은행,10.0,8,32.66607227689391,0.003283234257842323
55,국제,8.0,3,32.62029955124576,0.0032786336869610445
56,판매,11.0,13,31.07251922951387,0.003123067834634229
57,통화,7.0,2,30.556536614502505,0.0030712069379920984
58,해외출장,6.0,1,28.62410774679399,0.0028769804449652074
59,포워딩,6.0,1,28.62410774679399,0.0028769804449652074
60,신고,11.0,17,28.3080605184239,0.0028452148540951115
61,전자,8.0,6,28.143373247762373,0.0028286623012113983
62,운송,9.0,10,27.59342879004516,0.0027733879337214066
63,물류,11.0,19,27.14909484618781,0.002728728373366899
64,사후관리,8.0,7,27.075122106766194,0.0027212934473018124
65,무역 업무,7.0,4,26.980757248140566,0.0027118089297280463
66,FTA,7.0,4,26.980757248140566,0.0027118089297280463
67,영어능통자,7.0,4,26.980757248140566,0.0027118089297280463
68,소통,7.0,4,26.980757248140566,0.0027118089297280463
69,해상,6.0,2,26.191317098145003,0.0026324630897075125
70,영어회화,8.0,8,26.132857821515124,0.0026265874062738584
71,영어가능자,7.0,5,25.70450635058289,0.00258353422829027
72,CE,7.0,5,25.70450635058289,0.00258353422829027
73,원료,7.0,5,25.70450635058289,0.00258353422829027
74,통역,7.0,6,24.625451591792075,0.0024750795135599734
75,컴퓨터활용,7.0,6,24.625451591792075,0.0024750795135599734
76,서류작성,8.0,10,24.527492257817915,0.002465233718863472
77,견적,7.0,7,23.69073184342042,0.0023811317663890857
78,생산,9.0,16,23.675566148724545,0.0023796074775811935
79,보조,9.0,16,23.675566148724545,0.0023796074775811935
80,급여,9.0,17,23.16114042416501,0.002327903062441455
81,인근거주자,6.0,4,23.126363355549056,0.0023244076540526112
82,항공,8.0,14,22.0462528313872,0.0022158468254006567
83,서류 관리,8.0,14,22.0462528313872,0.0022158468254006567
84,영업지원,6.0,5,22.03243401478533,0.0022144579099630884
85,관세 등 제세 납부하기,4.0,0,21.85532722010244,0.002196657083139754
86,환급,4.0,0,21.85532722010244,0.002196657083139754
87,수입신고하기,4.0,0,21.85532722010244,0.002196657083139754
88,수출입프로세스 정립하기,4.0,0,21.85532722010244,0.002196657083139754
89,해상화물,4.0,0,21.85532722010244,0.002196657083139754
90,거래당사자 구분하기,4.0,0,21.85532722010244,0.002196657083139754
91,해상화물 통관하기,4.0,0,21.85532722010244,0.002196657083139754
92,수출입계획 수립하기,4.0,0,21.85532722010244,0.002196657083139754
93,항공화물 통관하기,4.0,0,21.85532722010244,0.002196657083139754
94,수입 사후관리하기,4.0,0,21.85532722010244,0.002196657083139754
95,영작,4.0,0,21.85532722010244,0.002196657083139754
96,수출입요건 구분하기,4.0,0,21.85532722010244,0.002196657083139754
97,해외 출장,4.0,0,21.85532722010244,0.002196657083139754
98,수출입서식 준비하기,4.0,0,21.85532722010244,0.002196657083139754
99,관세 혜택,4.0,0,21.85532722010244,0.002196657083139754
100,영어 능통자,4.0,0,21.85532722010244,0.002196657083139754
101,미팅,4.0,0,21.85532722010244,0.002196657083139754
102,국내외 무역규범 파악하기,4.0,0,21.85532722010244,0.002196657083139754
103,해외시장 조사,4.0,0,21.85532722010244,0.002196657083139754
104,발굴,10.0,26,21.67994939021281,0.002179030032838792
105,부품,7.0,10,21.461555725590674,0.002157079504005538
106,재고,11.0,34,20.99332117889816,0.0021100177179611363
