idx,skill,tf,df,tfidf,pr
0,수출,63.0,4,242.8268152332651,0.06888571374191552
1,수출입,43.0,5,157.89911043929487,0.044793211620288625
2,중국어,21.0,0,114.74046790553784,0.03254986076871937
3,수출입관리,15.0,0,81.95747707538416,0.023249900549085264
4,수입,25.0,10,76.64841330568099,0.02174381215960476
5,통관,14.0,0,76.49364527035854,0.021699907179146244
6,관리,53.0,69,64.41283783774131,0.018272793737102992
7,무역,21.0,11,62.557428259989805,0.017746446542192824
8,수출입계약,9.0,0,49.1744862452305,0.013949940329451158
9,계약,18.0,19,44.425791566489146,0.012602818834762452
10,업무,43.0,88,41.93340371761922,0.01189577206265801
11,해외영업,9.0,2,39.2869756472175,0.011145026778117914
12,해외,25.0,51,37.81470216110457,0.01072736858078595
13,선적,7.0,1,33.394792371259655,0.009473517599559403
14,무역사무,7.0,2,30.556536614502505,0.008668354160758378
15,영업,11.0,17,28.3080605184239,0.008030500880175583
16,작성,22.0,66,27.701062083962164,0.007858306057466423
17,경력,11.0,20,26.612403040324057,0.007549472557465355
18,결제,9.0,16,23.675566148724545,0.0067163433776131175
19,사무,12.0,33,23.249655364913384,0.006595519949174925
20,해외시장 조사,4.0,0,21.85532722010244,0.006199973479756069
21,자격,9.0,20,21.773784305719683,0.006176841183380744
22,발주,8.0,18,20.15514260687336,0.005717660888114157
23,신고하기,4.0,1,19.08273849786266,0.005413438628319659
24,계약서,6.0,11,17.873550931425658,0.005070413297769378
25,통역,5.0,6,17.589608279851483,0.00498986374150777
26,사후관리,5.0,7,16.921951316728872,0.004800461156808548
27,상품,7.0,21,16.60952546167106,0.004711831414675615
28,국제계약규범 활용하기,3.0,0,16.391495415076832,0.004649980109817053
29,무역분쟁 해결하기,3.0,0,16.391495415076832,0.004649980109817053
30,수출입계약서 작성하기,3.0,0,16.391495415076832,0.004649980109817053
31,수출입계약서 검토하기,3.0,0,16.391495415076832,0.004649980109817053
32,계약체결방법 구분하기,3.0,0,16.391495415076832,0.004649980109817053
33,중국어 능통자,3.0,0,16.391495415076832,0.004649980109817053
34,국제,4.0,3,16.31014977562288,0.004626903776883249
35,구매,5.0,9,15.806233560157825,0.004483951573951751
36,신고,6.0,17,15.440760282776672,0.0043802732073685
37,무역 업무,4.0,4,15.417575570366038,0.00437369611059781
38,FTA,4.0,4,15.417575570366038,0.00437369611059781
39,발굴,7.0,26,15.175964573148969,0.0043051553031288915
40,분석,9.0,43,15.11677953996614,0.004288365545993867
41,기구,4.0,5,14.68828934319022,0.0041668103832826625
42,번역,3.0,1,14.312053873396994,0.004060078971239744
43,거래처 관리,4.0,7,13.537561053383095,0.0038403689254468375
44,계약체결,3.0,2,13.0956585490725,0.0037150089260393044
45,보고서 작성,3.0,2,13.0956585490725,0.0037150089260393044
46,학력,5.0,17,12.867300235647228,0.0036502276728070837
47,상담,4.0,9,12.644986848126258,0.0035871612591614
48,서류,7.0,41,12.083135307195692,0.003427773819282416
49,지원,7.0,41,12.083135307195692,0.003427773819282416
50,검토,6.0,33,11.624827682456692,0.0032977599745874623
51,문서,4.0,12,11.595529790256291,0.0032894486757985724
52,소통,3.0,4,11.563181677774528,0.0032802720829483573
53,재고,6.0,34,11.450902461217176,0.0032484204360719348
54,경험,5.0,24,11.224779900787045,0.0031842734267994383
55,대응,3.0,5,11.016217007392664,0.0031251077874619964
56,수입환경 조사하기,2.0,0,10.92766361005122,0.0030999867398780346
57,수입조건 협상,2.0,0,10.92766361005122,0.0030999867398780346
58,수입환경 조사,2.0,0,10.92766361005122,0.0030999867398780346
59,관세 등 제세 납부하기,2.0,0,10.92766361005122,0.0030999867398780346
60,수출통관 준비하기,2.0,0,10.92766361005122,0.0030999867398780346
61,수입전략 수립하기,2.0,0,10.92766361005122,0.0030999867398780346
62,환급,2.0,0,10.92766361005122,0.0030999867398780346
63,수입신고하기,2.0,0,10.92766361005122,0.0030999867398780346
64,수입원가 계산하기,2.0,0,10.92766361005122,0.0030999867398780346
65,수출입프로세스 정립하기,2.0,0,10.92766361005122,0.0030999867398780346
66,수출신고서 작성,2.0,0,10.92766361005122,0.0030999867398780346
67,해상화물,2.0,0,10.92766361005122,0.0030999867398780346
68,거래당사자 구분하기,2.0,0,10.92766361005122,0.0030999867398780346
69,해상화물 통관하기,2.0,0,10.92766361005122,0.0030999867398780346
70,수출입계획 수립하기,2.0,0,10.92766361005122,0.0030999867398780346
71,스마트팜,2.0,0,10.92766361005122,0.0030999867398780346
72,항공화물 통관하기,2.0,0,10.92766361005122,0.0030999867398780346
73,수입 사후관리하기,2.0,0,10.92766361005122,0.0030999867398780346
74,중국어 통역,2.0,0,10.92766361005122,0.0030999867398780346
75,수출신고하기,2.0,0,10.92766361005122,0.0030999867398780346
76,수출입요건 구분하기,2.0,0,10.92766361005122,0.0030999867398780346
77,수출신고서 작성하기,2.0,0,10.92766361005122,0.0030999867398780346
78,수입조건 협상하기,2.0,0,10.92766361005122,0.0030999867398780346
79,수출입서식 준비하기,2.0,0,10.92766361005122,0.0030999867398780346
80,관세 혜택,2.0,0,10.92766361005122,0.0030999867398780346
81,외국어,2.0,0,10.92766361005122,0.0030999867398780346
82,수출물품 FTA 검토하기,2.0,0,10.92766361005122,0.0030999867398780346
83,수입원가 계산,2.0,0,10.92766361005122,0.0030999867398780346
84,국내외 무역규범 파악하기,2.0,0,10.92766361005122,0.0030999867398780346
85,수출입회계 작성하기,2.0,0,10.92766361005122,0.0030999867398780346
86,상거래 문서 작성,2.0,0,10.92766361005122,0.0030999867398780346
87,원가,5.0,26,10.839974695106404,0.0030751109308063507
88,거래처,9.0,71,10.684491174085991,0.0030310029795889023
89,문서 작성,3.0,6,10.55376496791089,0.002993918244904662
90,보고,3.0,7,10.153170790037322,0.0028802766940851285
91,환경,3.0,7,10.153170790037322,0.0028802766940851285
92,계산,3.0,8,9.79982168306817,0.0027800377422615573
93,수입마케팅,2.0,1,9.54136924893133,0.0027067193141598295
94,신규 거래처 발굴,2.0,1,9.54136924893133,0.0027067193141598295
95,보고서,3.0,9,9.483740136094694,0.00269037094437105
96,채용,3.0,11,8.936775465712829,0.002535206648884689
97,프로세스 정립,2.0,2,8.730439032715001,0.002476672617359537
98,협정관세 혜택받기,2.0,2,8.730439032715001,0.002476672617359537
99,기존 거래처 관리,2.0,2,8.730439032715001,0.002476672617359537
100,해상,2.0,2,8.730439032715001,0.002476672617359537
101,사무원,5.0,43,8.398210855536744,0.002382425303329926
102,계획,3.0,19,7.404298594414858,0.0021004698057937423
103,해외공급자 발굴하기,2.0,5,7.34414467159511,0.0020834051916413313
104,수출입사전준비,2.0,5,7.34414467159511,0.0020834051916413313
105,관세환급 받기,2.0,5,7.34414467159511,0.0020834051916413313
106,회계 작성,2.0,5,7.34414467159511,0.0020834051916413313
107,CE,2.0,5,7.34414467159511,0.0020834051916413313
108,수출자의 FTA 사후관리하기,2.0,6,7.035843311940593,0.001995945496603108
109,신고서 작성,2.0,6,7.035843311940593,0.001995945496603108
110,모집,4.0,42,6.810526757328191,0.0019320271370618246
111,납부,2.0,7,6.768780526691549,0.0019201844627234192
112,회화,2.0,7,6.768780526691549,0.0019201844627234192
113,제안,2.0,8,6.533214455378781,0.0018533584948410384
114,관련 업무,4.0,46,6.454736813262206,0.001831095762511457
115,자재,4.0,47,6.3705231764708765,0.0018072058289734312
116,자격증,4.0,47,6.3705231764708765,0.0018072058289734312
117,주문,2.0,9,6.322493424063129,0.0017935806295807
118,재고 관리,2.0,9,6.322493424063129,0.0017935806295807
119,협의,2.0,10,6.131873064454479,0.0017395049727683808
120,진행,5.0,69,6.076682814881256,0.0017238484657644331
121,서류 작성,2.0,11,5.957850310475219,0.0016901377659231261
122,사무업무,3.0,32,5.9019727306773895,0.0016742862753748242
123,경력자,3.0,32,5.9019727306773895,0.0016742862753748242
124,관련업무,2.0,12,5.797764895128147,0.0016447243378992864
125,마케팅,5.0,77,5.535614891680092,0.001570356974156458
126,항공,2.0,14,5.5115632078468,0.001563533932780407
127,제작,2.0,14,5.5115632078468,0.001563533932780407
128,상품 원가 분석,1.0,0,5.4638318050256105,0.0015499933699390175
129,거래제안서 작성,1.0,0,5.4638318050256105,0.0015499933699390175
130,협상 실행,1.0,0,5.4638318050256105,0.0015499933699390175
131,해외로부터 물품확보하기,1.0,0,5.4638318050256105,0.0015499933699390175
132,수입관련업무,1.0,0,5.4638318050256105,0.0015499933699390175
133,물품구매하기,1.0,0,5.4638318050256105,0.0015499933699390175
134,고객 의전 수행,1.0,0,5.4638318050256105,0.0015499933699390175
135,협상전략 수립,1.0,0,5.4638318050256105,0.0015499933699390175
136,대금 결제 관리,1.0,0,5.4638318050256105,0.0015499933699390175
137,업체개발,1.0,0,5.4638318050256105,0.0015499933699390175
138,해외시장 조사보고서 작성,1.0,0,5.4638318050256105,0.0015499933699390175
139,ARM,1.0,0,5.4638318050256105,0.0015499933699390175
140,상품 사업성 분석,1.0,0,5.4638318050256105,0.0015499933699390175
141,한국어,1.0,0,5.4638318050256105,0.0015499933699390175
142,사업성 분석하기,1.0,0,5.4638318050256105,0.0015499933699390175
143,운전 면허 2종 이상,1.0,0,5.4638318050256105,0.0015499933699390175
144,인콰이어리 검토,1.0,0,5.4638318050256105,0.0015499933699390175
145,해외시장 진출전략 수립하기,1.0,0,5.4638318050256105,0.0015499933699390175
146,중국어능통자,1.0,0,5.4638318050256105,0.0015499933699390175
147,상품소개서 작성,1.0,0,5.4638318050256105,0.0015499933699390175
148,상품 분석보고서 작성,1.0,0,5.4638318050256105,0.0015499933699390175
149,자재입출고 관리,1.0,0,5.4638318050256105,0.0015499933699390175
150,보세창고 수출,1.0,0,5.4638318050256105,0.0015499933699390175
151,해외시장 조사하기,1.0,0,5.4638318050256105,0.0015499933699390175
152,품질 보고서 작성,1.0,0,5.4638318050256105,0.0015499933699390175
153,국제 비즈니스매너 습득하기,1.0,0,5.4638318050256105,0.0015499933699390175
154,바이어 발굴하기,1.0,0,5.4638318050256105,0.0015499933699390175
155,수출원가 계산하기,1.0,0,5.4638318050256105,0.0015499933699390175
156,오더관리,1.0,0,5.4638318050256105,0.0015499933699390175
157,중국 현지 소통,1.0,0,5.4638318050256105,0.0015499933699390175
158,해외 시장 분석,1.0,0,5.4638318050256105,0.0015499933699390175
159,인보이스 작성,1.0,0,5.4638318050256105,0.0015499933699390175
160,소싱,1.0,0,5.4638318050256105,0.0015499933699390175
161,고객 전화응대,1.0,0,5.4638318050256105,0.0015499933699390175
162,해외영업 환경 분석,1.0,0,5.4638318050256105,0.0015499933699390175
163,사업성 분석,1.0,0,5.4638318050256105,0.0015499933699390175
164,PCB의 기본공정,1.0,0,5.4638318050256105,0.0015499933699390175
165,거래선 신용조사하기,1.0,0,5.4638318050256105,0.0015499933699390175
166,제조사,1.0,0,5.4638318050256105,0.0015499933699390175
167,행정 보조,1.0,0,5.4638318050256105,0.0015499933699390175
168,중국발주 관리,1.0,0,5.4638318050256105,0.0015499933699390175
169,환경 분석하기,1.0,0,5.4638318050256105,0.0015499933699390175
170,수출조건 협상하기,1.0,0,5.4638318050256105,0.0015499933699390175
171,계약상품 관리,1.0,0,5.4638318050256105,0.0015499933699390175
172,상품 특성 분석,1.0,0,5.4638318050256105,0.0015499933699390175
173,회계,2.0,15,5.382486165571658,0.0015269170370052138
174,보조,2.0,16,5.261236921938788,0.0014925207505806927
175,품질,2.0,17,5.146920094258891,0.0014600910691228333
176,운전,2.0,17,5.146920094258891,0.0014600910691228333
177,급여,2.0,17,5.146920094258891,0.0014600910691228333
178,기타,2.0,20,4.838618734604374,0.0013726313740846099
179,입 대행 포워딩,1.0,1,4.770684624465665,0.0013533596570799147
180,중국 공장과의 업무 진행,1.0,1,4.770684624465665,0.0013533596570799147
181,용어,1.0,1,4.770684624465665,0.0013533596570799147
182,샘플 전달,1.0,1,4.770684624465665,0.0013533596570799147
183,인터넷 마케팅 활용하기,1.0,1,4.770684624465665,0.0013533596570799147
184,영어 가능자,1.0,1,4.770684624465665,0.0013533596570799147
185,포워딩,1.0,1,4.770684624465665,0.0013533596570799147
186,무역업무,1.0,1,4.770684624465665,0.0013533596570799147
187,유관업무 경력,1.0,1,4.770684624465665,0.0013533596570799147
188,실행,1.0,1,4.770684624465665,0.0013533596570799147
189,자재입출고,1.0,1,4.770684624465665,0.0013533596570799147
190,스케줄 관리,1.0,1,4.770684624465665,0.0013533596570799147
191,납품,2.0,22,4.656675178192921,0.0013210171743426842
192,설비,2.0,23,4.571555949355329,0.0012968703402049208
193,4대보험,2.0,23,4.571555949355329,0.0012968703402049208
194,C,3.0,53,4.424543275384007,0.0012551654199065027
195,발주관리,2.0,25,4.411470534008256,0.001251456912181081
196,EXCEL,2.0,25,4.411470534008256,0.001251456912181081
197,해외 박람회,1.0,2,4.3652195163575005,0.0012383363086797684
198,교포지원,1.0,2,4.3652195163575005,0.0012383363086797684
199,PL 작성,1.0,2,4.3652195163575005,0.0012383363086797684
200,수입 통관 업무,1.0,2,4.3652195163575005,0.0012383363086797684
201,수출 업무,1.0,2,4.3652195163575005,0.0012383363086797684
202,WORD,1.0,2,4.3652195163575005,0.0012383363086797684
203,섭외,1.0,2,4.3652195163575005,0.0012383363086797684
204,수출입 관련 업무,1.0,2,4.3652195163575005,0.0012383363086797684
205,불출,1.0,2,4.3652195163575005,0.0012383363086797684
206,거래처 납품,1.0,2,4.3652195163575005,0.0012383363086797684
207,도매,1.0,2,4.3652195163575005,0.0012383363086797684
208,SNS,1.0,2,4.3652195163575005,0.0012383363086797684
209,유경험자,3.0,57,4.210166383437572,0.0011943504510270664
210,근무시간,2.0,28,4.193071950078272,0.0011895010597362495
211,수출마케팅,1.0,3,4.07753744390572,0.0011567259442208122
212,국내 거래처 관리,1.0,3,4.07753744390572,0.0011567259442208122
213,SNS마케팅,1.0,3,4.07753744390572,0.0011567259442208122
214,제안서 작성,1.0,3,4.07753744390572,0.0011567259442208122
215,재고 조사,1.0,3,4.07753744390572,0.0011567259442208122
216,EXCEL 사용,1.0,3,4.07753744390572,0.0011567259442208122
217,중국어 가능자,1.0,3,4.07753744390572,0.0011567259442208122
218,컴퓨터활용능력,1.0,3,4.07753744390572,0.0011567259442208122
219,견적서,1.0,3,4.07753744390572,0.0011567259442208122
220,영어,3.0,63,3.9148461649978143,0.001110573278353205
221,선적 관리,1.0,4,3.8543938925915096,0.0010934240276494526
222,납기,1.0,4,3.8543938925915096,0.0010934240276494526
223,성상,1.0,4,3.8543938925915096,0.0010934240276494526
224,PL,1.0,4,3.8543938925915096,0.0010934240276494526
225,인근거주자,1.0,4,3.8543938925915096,0.0010934240276494526
226,납기관리,1.0,5,3.672072335797555,0.0010417025958206656
227,내장,1.0,5,3.672072335797555,0.0010417025958206656
228,발주업무,1.0,5,3.672072335797555,0.0010417025958206656
229,보증,1.0,5,3.672072335797555,0.0010417025958206656
230,업무 보조,1.0,5,3.672072335797555,0.0010417025958206656
231,응대,2.0,37,3.652491290598448,0.0010361477963103337
232,해외 수,1.0,6,3.5179216559702966,0.000997972748301554
233,유관업무 경험,1.0,6,3.5179216559702966,0.000997972748301554
234,주차,1.0,6,3.5179216559702966,0.000997972748301554
235,컴퓨터활용,1.0,6,3.5179216559702966,0.000997972748301554
236,전시,1.0,6,3.5179216559702966,0.000997972748301554
237,출장,1.0,6,3.5179216559702966,0.000997972748301554
238,전자,1.0,6,3.5179216559702966,0.000997972748301554
239,행정,1.0,6,3.5179216559702966,0.000997972748301554
240,창고,2.0,40,3.5005194766426047,0.0009930360548704709
241,개발,2.0,42,3.405263378664096,0.0009660135685309124
242,발주 관리,1.0,7,3.3843902633457743,0.0009600922313617096
243,식품,1.0,7,3.3843902633457743,0.0009600922313617096
244,견적,1.0,7,3.3843902633457743,0.0009600922313617096
245,제조,3.0,77,3.321368935008055,0.0009422141844938746
246,외국어 가능자,1.0,8,3.2666072276893905,0.0009266792474205192
247,기획,1.0,8,3.2666072276893905,0.0009266792474205192
248,고객응대,1.0,8,3.2666072276893905,0.0009266792474205192
249,일반사무,1.0,8,3.2666072276893905,0.0009266792474205192
250,컴퓨터활용능력 우수자,1.0,9,3.1612467120315646,0.00089679031479035
251,문서작성 우수자,1.0,9,3.1612467120315646,0.00089679031479035
252,ERP,1.0,9,3.1612467120315646,0.00089679031479035
253,출고 관리,1.0,10,3.0659365322272394,0.0008697524863841904
254,운전 가능자,1.0,10,3.0659365322272394,0.0008697524863841904
255,운전 가능,1.0,10,3.0659365322272394,0.0008697524863841904
256,서류작성,1.0,10,3.0659365322272394,0.0008697524863841904
257,가공,1.0,10,3.0659365322272394,0.0008697524863841904
258,입출고,1.0,10,3.0659365322272394,0.0008697524863841904
259,부품,1.0,10,3.0659365322272394,0.0008697524863841904
260,제품,1.0,10,3.0659365322272394,0.0008697524863841904
261,창고 관리,1.0,11,2.9789251552376097,0.0008450688829615631
262,영어 가능,1.0,11,2.9789251552376097,0.0008450688829615631
263,일반사무업무,1.0,11,2.9789251552376097,0.0008450688829615631
264,인터넷,1.0,11,2.9789251552376097,0.0008450688829615631
265,방수,1.0,12,2.8988824475640733,0.0008223621689496432
266,수행,1.0,12,2.8988824475640733,0.0008223621689496432
267,유관업무 경력자,1.0,13,2.824774475410352,0.0008013390354424516
268,거래처관리,1.0,13,2.824774475410352,0.0008013390354424516
269,업무 진행,1.0,13,2.824774475410352,0.0008013390354424516
270,차량,1.0,13,2.824774475410352,0.0008013390354424516
271,유관업무 경험자,1.0,14,2.7557816039234,0.0007817669663902035
272,서류 관리,1.0,14,2.7557816039234,0.0007817669663902035
273,안내,1.0,14,2.7557816039234,0.0007817669663902035
274,AR,2.0,59,2.738974485607019,0.0007769990813439965
275,발생,1.0,15,2.691243082785829,0.0007634585185026069
276,재고관리,1.0,15,2.691243082785829,0.0007634585185026069
277,성실,1.0,16,2.630618460969394,0.0007462603752903463
278,생산,1.0,16,2.630618460969394,0.0007462603752903463
279,공정,1.0,17,2.573460047129445,0.0007300455345614165
280,포장,1.0,17,2.573460047129445,0.0007300455345614165
281,주차장,1.0,18,2.51939282585917,0.0007147076110142696
282,조립,1.0,18,2.51939282585917,0.0007147076110142696
283,원자재,1.0,19,2.468099531471619,0.0007001566019312474
284,입출고 관리,1.0,19,2.468099531471619,0.0007001566019312474
285,일반 사무,1.0,21,2.372789351667294,0.0006731187735250877
286,샘플,1.0,24,2.244955980157409,0.0006368546853598877
287,전화,1.0,24,2.244955980157409,0.0006368546853598877
288,면허,1.0,25,2.205735267004128,0.0006257284560905405
289,입고,1.0,25,2.205735267004128,0.0006257284560905405
290,사무 업무,1.0,26,2.167994939021281,0.0006150221861612702
291,주말근무,1.0,27,2.1316272948504063,0.0006047053225833488
292,영업관리,1.0,30,2.029844600540464,0.0005758313551947789
293,매입,1.0,30,2.029844600540464,0.0005758313551947789
294,비품,1.0,33,1.9374712804094487,0.0005496266624312438
295,원사,1.0,35,1.8803128665695,0.000533411821702314
296,컴퓨터,1.0,36,1.8529138923813853,0.0005256392126890486
297,문서작성,1.0,40,1.7502597383213023,0.0004965180274352354
298,전화응대,1.0,41,1.7261621867422416,0.0004896819741832023
299,협의 가능,1.0,44,1.6571693152552902,0.0004701099051309544
300,정규직,1.0,44,1.6571693152552902,0.0004701099051309544
301,출고,1.0,47,1.5926307941177191,0.0004518014572433578
302,보험,3.0,146,1.4201976547406212,0.0004028851962145249
303,개선,1.0,57,1.4033887944791907,0.00039811681700902213
304,운영,1.0,58,1.3862943611198906,0.0003932674257182052
305,PC,1.0,60,1.3529579408522987,0.000383810467261918
306,컴퓨터활용능력 우수,1.0,66,1.259139185634644,0.0003571957298848375
307,매출,1.0,79,1.0818051703517284,0.00030688917621304206
308,제출,1.0,81,1.057112557761357,0.0002998843145761328
309,기업,1.0,94,0.9099549134250692,0.0002581382687247048
310,직원,1.0,147,0.4666195312614949,0.00013237178697084347
311,법인세 관리,0.01,0,0.0546383180502561,1.5499933699390176e-05
312,소모품 수입,0.01,0,0.0546383180502561,1.5499933699390176e-05
313,영문 서신 작성,0.01,0,0.0546383180502561,1.5499933699390176e-05
314,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,1.5499933699390176e-05
315,유해화학물질관리자,0.01,0,0.0546383180502561,1.5499933699390176e-05
316,가구 설치,0.01,0,0.0546383180502561,1.5499933699390176e-05
317,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,1.5499933699390176e-05
318,타이어 탈착,0.01,0,0.0546383180502561,1.5499933699390176e-05
319,현장 조율,0.01,0,0.0546383180502561,1.5499933699390176e-05
320,경영계획 분석,0.01,0,0.0546383180502561,1.5499933699390176e-05
321,폐기물 관련 업무,0.01,0,0.0546383180502561,1.5499933699390176e-05
322,납품계획 세우기,0.01,0,0.0546383180502561,1.5499933699390176e-05
323,불량재고 처리하기,0.01,0,0.0546383180502561,1.5499933699390176e-05
324,매뉴얼 업무,0.01,0,0.0546383180502561,1.5499933699390176e-05
325,건축업무 경험,0.01,0,0.0546383180502561,1.5499933699390176e-05
