idx,skill,tf,df,tfidf,pr
0,수출,81.0,4,312.2059052999123,0.0632055809043536
1,무역,45.0,11,134.05163198569244,0.027138536225614115
2,수출입,36.0,5,132.19460408871197,0.026762583929415593
3,업무,124.0,88,120.9242339763903,0.02448091571666332
4,수입,37.0,10,113.43965169240786,0.022965674130726296
5,관리,92.0,69,111.8109637938151,0.022635948898131617
6,통관,20.0,0,109.2766361005122,0.022122878352898577
7,해외,55.0,51,83.19234475443005,0.01684215573035954
8,경력,33.0,20,79.83720912097218,0.016162913944327697
9,사무,37.0,33,71.68643737514961,0.01451280337861428
10,선적,14.0,1,66.78958474251931,0.013521443478002887
11,지원,34.0,41,58.68951434923622,0.011881597319161644
12,포워딩,12.0,1,57.24821549358798,0.011589808695431044
13,서류,33.0,41,56.963352162493976,0.011532138574480419
14,영업,22.0,17,56.6161210368478,0.011461842194328813
15,운송,17.0,10,52.12092104786307,0.010551796222225594
16,해상,11.0,2,48.01741467993251,0.009721047990603858
17,수출입관리,8.0,0,43.71065444020488,0.00884915134115943
18,자격,18.0,20,43.54756861143937,0.008816134878724199
19,항공,15.0,14,41.336724058851,0.008368552972477619
20,상품,16.0,21,37.964629626676704,0.007685877905056425
21,제품,11.0,10,33.725301854499634,0.006827632849675385
22,작성,24.0,66,30.219340455231453,0.006117856631137446
23,기타,12.0,20,29.031712407626244,0.005877423252482799
24,영어,22.0,63,28.70887187665064,0.005812064708799324
25,급여,11.0,17,28.3080605184239,0.005730921097164407
26,중국어,5.0,0,27.31915902512805,0.005530719588224644
27,계약,11.0,19,27.14909484618781,0.005496290370075763
28,정산,8.0,7,27.075122106766194,0.0054813147085432294
29,등록,8.0,9,25.28997369625252,0.005119914298199895
30,C,17.0,53,25.07241189384271,0.0050758692629508
31,물류,10.0,19,24.680995314716192,0.004996627609159784
32,국제,6.0,3,24.46522466343432,0.004952945189561473
33,경력자,12.0,32,23.60789092270956,0.0047793793594745745
34,문서,8.0,12,23.191059580512587,0.00469499252797825
35,소통,6.0,4,23.126363355549056,0.004681894881803971
36,영어가능자,6.0,5,22.03243401478533,0.0044604306549026
37,해외 영업,4.0,0,21.85532722010244,0.004424575670579715
38,외국어,4.0,0,21.85532722010244,0.004424575670579715
39,협의,7.0,10,21.461555725590674,0.004344857267975245
40,채용,7.0,11,20.852476086663263,0.004221550079539973
41,식품,6.0,7,20.306341580074644,0.0041109860314074214
42,견적,6.0,7,20.306341580074644,0.0041109860314074214
43,사무실,6.0,7,20.306341580074644,0.0041109860314074214
44,무역업무,4.0,1,19.08273849786266,0.0038632695651436818
45,스케줄 관리,4.0,1,19.08273849786266,0.0038632695651436818
46,신고,7.0,17,18.01422032990612,0.0036469497891046224
47,경험,8.0,24,17.959647841259272,0.0036359016769844923
48,무역사무,4.0,2,17.460878065430002,0.0035349265420377665
49,모집,10.0,42,17.026316893320477,0.003446950335132666
50,회화,5.0,7,16.921951316728872,0.0034258216928395183
51,소싱,3.0,0,16.391495415076832,0.0033184317529347867
52,수출입계약,3.0,0,16.391495415076832,0.0033184317529347867
53,미팅,3.0,0,16.391495415076832,0.0033184317529347867
54,제조사,3.0,0,16.391495415076832,0.0033184317529347867
55,성실,6.0,16,15.783710765816362,0.003195386733064474
56,생산,6.0,16,15.783710765816362,0.003195386733064474
57,거래처,13.0,71,15.433153918124212,0.0031244170658600795
58,발주,6.0,18,15.11635695515502,0.0030602820327511834
59,서류 작성,5.0,11,14.894625776188049,0.003015392913957124
60,이메일,8.0,36,14.823311139051084,0.0030009553809357834
61,진행,12.0,69,14.584038755715014,0.002952515073669341
62,출고,9.0,47,14.333677147059472,0.002901829770660672
63,매출 관리,4.0,7,13.537561053383095,0.0027406573542716143
64,정규직,8.0,44,13.257354522042322,0.0026839299949041663
65,기획,4.0,8,13.066428910757562,0.0026452774134958176
66,관련 업무,8.0,46,12.909473626524411,0.0026135020698922606
67,학력,5.0,17,12.867300235647228,0.0026049641350747305
68,경력자 우대,7.0,37,12.78371951709457,0.0025880433536966544
69,근무시간,6.0,28,12.579215850234815,0.002546641916883586
70,출고 관리,4.0,10,12.263746128908958,0.00248277558170014
71,PACKING,3.0,3,12.23261233171716,0.0024764725947807363
72,중국어 가능자,3.0,3,12.23261233171716,0.0024764725947807363
73,계약서,4.0,11,11.91570062095044,0.0024123143311656995
74,기계,4.0,11,11.91570062095044,0.0024123143311656995
75,검토,6.0,33,11.624827682456692,0.0023534275749104235
76,임금,4.0,13,11.299097901641408,0.002287484107266849
77,자재,7.0,47,11.148415558824034,0.002256978710513856
78,제작,4.0,14,11.0231264156936,0.002231614125994032
79,영업지원,3.0,5,11.016217007392664,0.0022302153274512994
80,해외 영업 관리,2.0,0,10.92766361005122,0.0022122878352898575
81,INVOICE,2.0,0,10.92766361005122,0.0022122878352898575
