idx,skill,tf,df,tfidf,pr
0,관리,7.0,69,8.507355940833758,0.019393559775811215
1,청소,4.0,31,7.992383608903534,0.018219617275740046
2,위생관리,2.0,4,7.708787785183019,0.017573125863161954
3,근무 시간,2.0,7,6.768780526691549,0.015430264193327539
4,청결 관리,1.0,0,5.4638318050256105,0.012455473763256907
5,숙박,1.0,0,5.4638318050256105,0.012455473763256907
6,펜션 청소,1.0,0,5.4638318050256105,0.012455473763256907
7,예약관리,1.0,1,4.770684624465665,0.010875359874392528
8,건물 관리,1.0,1,4.770684624465665,0.010875359874392528
9,경기진행,1.0,2,4.3652195163575005,0.00995105250253819
10,모집,2.0,42,3.405263378664096,0.007762714919393719
11,환경,1.0,7,3.3843902633457743,0.007715132096663769
12,협의,1.0,10,3.0659365322272394,0.006989177815071533
13,업무,3.0,88,2.925586305880411,0.006669232285210572
14,예약,1.0,15,2.691243082785829,0.0061350182077993904
15,조정,1.0,23,2.2857779746776643,0.005210710835945051
16,총괄,1.0,23,2.2857779746776643,0.005210710835945051
17,근무시간,1.0,28,2.096535975039136,0.004779310521016632
18,직원 모집,1.0,33,1.9374712804094487,0.00441670306871581
19,정리,1.0,33,1.9374712804094487,0.00441670306871581
20,관련 업무,1.0,46,1.6136842033155514,0.0036785907717898293
21,안전,1.0,58,1.3862943611198906,0.003160227777728758
22,진행,1.0,69,1.2153365629762511,0.002770508539401602
23,직원,2.0,147,0.93323906252299,0.002127432738213121
24,법인세 관리,0.01,0,0.0546383180502561,0.00012455473763256907
25,소모품 수입,0.01,0,0.0546383180502561,0.00012455473763256907
26,영문 서신 작성,0.01,0,0.0546383180502561,0.00012455473763256907
27,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00012455473763256907
28,유해화학물질관리자,0.01,0,0.0546383180502561,0.00012455473763256907
29,가구 설치,0.01,0,0.0546383180502561,0.00012455473763256907
30,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00012455473763256907
31,타이어 탈착,0.01,0,0.0546383180502561,0.00012455473763256907
32,현장 조율,0.01,0,0.0546383180502561,0.00012455473763256907
33,경영계획 분석,0.01,0,0.0546383180502561,0.00012455473763256907
34,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00012455473763256907
35,납품계획 세우기,0.01,0,0.0546383180502561,0.00012455473763256907
36,불량재고 처리하기,0.01,0,0.0546383180502561,0.00012455473763256907
37,매뉴얼 업무,0.01,0,0.0546383180502561,0.00012455473763256907
38,건축업무 경험,0.01,0,0.0546383180502561,0.00012455473763256907
39,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00012455473763256907
40,평가계획 수립하기,0.01,0,0.0546383180502561,0.00012455473763256907
41,현장상황파악,0.01,0,0.0546383180502561,0.00012455473763256907
42,인허가관리,0.01,0,0.0546383180502561,0.00012455473763256907
43,사건 수임,0.01,0,0.0546383180502561,0.00012455473763256907
44,PF심의자료 작성,0.01,0,0.0546383180502561,0.00012455473763256907
45,디지털 교육 이해,0.01,0,0.0546383180502561,0.00012455473763256907
46,여행상품개발,0.01,0,0.0546383180502561,0.00012455473763256907
47,주차매출 관리,0.01,0,0.0546383180502561,0.00012455473763256907
48,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00012455473763256907
49,어도비 포토샵,0.01,0,0.0546383180502561,0.00012455473763256907
50,데미지 관리,0.01,0,0.0546383180502561,0.00012455473763256907
51,기관 소통 업무,0.01,0,0.0546383180502561,0.00012455473763256907
52,비디오메타 사용,0.01,0,0.0546383180502561,0.00012455473763256907
53,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00012455473763256907
54,자습감독,0.01,0,0.0546383180502561,0.00012455473763256907
55,JLPT 2급이상,0.01,0,0.0546383180502561,0.00012455473763256907
56,한자 관련 자격증,0.01,0,0.0546383180502561,0.00012455473763256907
57,기성취합,0.01,0,0.0546383180502561,0.00012455473763256907
58,KUBERNETES,0.01,0,0.0546383180502561,0.00012455473763256907
59,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00012455473763256907
60,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00012455473763256907
61,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00012455473763256907
62,데이터 마이닝,0.01,0,0.0546383180502561,0.00012455473763256907
63,채권현황 파악,0.01,0,0.0546383180502561,0.00012455473763256907
64,제품표준서 작성,0.01,0,0.0546383180502561,0.00012455473763256907
65,일용직 투입,0.01,0,0.0546383180502561,0.00012455473763256907
66,영업 손익관리,0.01,0,0.0546383180502561,0.00012455473763256907
67,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00012455473763256907
68,생산검토,0.01,0,0.0546383180502561,0.00012455473763256907
69,화학사고대응,0.01,0,0.0546383180502561,0.00012455473763256907
