idx,skill,tf,df,tfidf,pr
0,개발,47.0,42,80.02368939860624,0.03860816002388764
1,기술,19.0,13,53.67071503279668,0.02589392678786909
2,C,35.0,53,51.61967154614676,0.024904382119988386
3,설계,13.0,6,45.73298152761386,0.022064294741431473
4,보수,9.0,1,42.93616162019099,0.020714943426148855
5,SQL,15.0,15,40.36864624178743,0.019476222175752178
6,유지보수,9.0,2,39.2869756472175,0.018954360315568852
7,MES,9.0,5,33.04865102217799,0.01594462360866967
8,JAVA,6.0,0,32.782990830153665,0.01581645342203203
9,DB,6.0,0,32.782990830153665,0.01581645342203203
10,ERP,9.0,9,28.45122040828408,0.013726551208185873
11,유지,11.0,27,23.447900243354468,0.011312653685714099
12,C#,6.0,4,23.126363355549056,0.01115752527672337
13,교육,8.0,13,22.598195803282813,0.01090270601594488
14,ORACLE,4.0,0,21.85532722010244,0.010544302281354683
15,UI,4.0,0,21.85532722010244,0.010544302281354683
16,AS,7.0,10,21.461555725590674,0.010354323626443774
17,경력,8.0,20,19.354474938417496,0.009337743250984878
18,경험,8.0,24,17.959647841259272,0.008664796175219619
19,자격,7.0,20,16.93516557111531,0.008170525344611768
20,MSSQL,3.0,0,16.391495415076832,0.007908226711016014
21,MS-SQL,3.0,0,16.391495415076832,0.007908226711016014
22,HTML5,3.0,0,16.391495415076832,0.007908226711016014
23,SPRING,3.0,0,16.391495415076832,0.007908226711016014
24,WEB,3.0,0,16.391495415076832,0.007908226711016014
25,정보처리기사,3.0,0,16.391495415076832,0.007908226711016014
26,테스트,5.0,8,16.333036138446953,0.007880022498938703
27,솔루션,7.0,22,16.298363123675223,0.00786329418619934
28,기능,6.0,16,15.783710765816362,0.007614995454433643
29,업무,16.0,88,15.603126964695525,0.007527871149820956
30,소프트웨어 개발,4.0,4,15.417575570366038,0.007438350184482246
31,PL,4.0,4,15.417575570366038,0.007438350184482246
32,프로그램,6.0,19,14.808597188829715,0.007144543000857794
33,관리,12.0,69,14.584038755715014,0.007036202733300012
34,HTML,3.0,3,12.23261233171716,0.005901735573083225
35,.NET,4.0,12,11.595529790256291,0.005594369280751611
36,PM,3.0,4,11.563181677774528,0.005578762638361685
37,CE,3.0,5,11.016217007392664,0.005314874536223222
38,IT,3.0,5,11.016217007392664,0.005314874536223222
39,JSP,2.0,0,10.92766361005122,0.005272151140677341
40,네트워크,2.0,0,10.92766361005122,0.005272151140677341
41,DBMS,2.0,0,10.92766361005122,0.005272151140677341
42,CSS,2.0,0,10.92766361005122,0.005272151140677341
43,SERVER,2.0,0,10.92766361005122,0.005272151140677341
44,컨설팅,2.0,0,10.92766361005122,0.005272151140677341
45,구성하기,2.0,0,10.92766361005122,0.005272151140677341
46,안정화,2.0,0,10.92766361005122,0.005272151140677341
47,개발 경험자,2.0,0,10.92766361005122,0.005272151140677341
48,서비스,6.0,39,10.649714105470045,0.005138051862925006
49,전자,3.0,6,10.55376496791089,0.005091760324945725
50,급여,4.0,17,10.293840188517782,0.004966357240529104
51,모집,6.0,42,10.215790135992286,0.00492870127964523
52,프로그램 개발,3.0,7,10.153170790037322,0.00489849000411683
53,근무 형태,3.0,7,10.153170790037322,0.00489849000411683
54,모듈 설계하기,2.0,1,9.54136924893133,0.004603320761366413
55,펌웨어,2.0,1,9.54136924893133,0.004603320761366413
56,협의,3.0,10,9.19780959668172,0.004437567268475905
57,IPT,2.0,2,8.730439032715001,0.004212080070126412
58,웹개발,2.0,2,8.730439032715001,0.004212080070126412
59,분석,5.0,43,8.398210855536744,0.004051793550905192
60,운영,6.0,58,8.317766166719343,0.004012982275865576
61,JAVASCRIPT,2.0,3,8.15507488781144,0.003934490382055483
62,MYSQL,3.0,15,8.073729248357488,0.0038952444351504365
63,학력,3.0,17,7.720380141388336,0.003724767930396828
64,SI,2.0,4,7.708787785183019,0.003719175092241123
65,IP,2.0,4,7.708787785183019,0.003719175092241123
66,프로그래밍 언어,2.0,6,7.035843311940593,0.0033945068832971492
67,유지관리,2.0,6,7.035843311940593,0.0033945068832971492
68,환경,2.0,7,6.768780526691549,0.0032656600027445534
69,프로젝트,2.0,9,6.322493424063129,0.003050344712930194
70,개인,2.0,10,6.131873064454479,0.0029583781789839355
71,구축,5.0,73,5.7988335591072016,0.0027977002270755096
72,커뮤니케이션,2.0,12,5.797764895128147,0.002797184640375806
73,UI 설계,1.0,0,5.4638318050256105,0.002636075570338671
74,DEVEXPRESS,1.0,0,5.4638318050256105,0.002636075570338671
75,요구사항 명세화하기,1.0,0,5.4638318050256105,0.002636075570338671
76,요구사항 검증하기,1.0,0,5.4638318050256105,0.002636075570338671
77,GIT,1.0,0,5.4638318050256105,0.002636075570338671
78,모듈 구현하기,1.0,0,5.4638318050256105,0.002636075570338671
79,INFRA,1.0,0,5.4638318050256105,0.002636075570338671
80,EMR프로그램 설치,1.0,0,5.4638318050256105,0.002636075570338671
81,C언어,1.0,0,5.4638318050256105,0.002636075570338671
82,AJAX,1.0,0,5.4638318050256105,0.002636075570338671
83,오라클,1.0,0,5.4638318050256105,0.002636075570338671
84,고객 커뮤니케이션,1.0,0,5.4638318050256105,0.002636075570338671
85,MIS,1.0,0,5.4638318050256105,0.002636075570338671
86,기능 구현,1.0,0,5.4638318050256105,0.002636075570338671
87,소스 코드 인스펙션,1.0,0,5.4638318050256105,0.002636075570338671
88,WINDOWS,1.0,0,5.4638318050256105,0.002636075570338671
89,임베디드,1.0,0,5.4638318050256105,0.002636075570338671
90,인터페이스 설계,1.0,0,5.4638318050256105,0.002636075570338671
91,요구사항 분석하기,1.0,0,5.4638318050256105,0.002636075570338671
92,인프라 관리,1.0,0,5.4638318050256105,0.002636075570338671
93,관련학과 전공자,1.0,0,5.4638318050256105,0.002636075570338671
94,백엔드,1.0,0,5.4638318050256105,0.002636075570338671
95,전자정부프레임워크,1.0,0,5.4638318050256105,0.002636075570338671
96,간단한 컴퓨터 프로그래밍 능력,1.0,0,5.4638318050256105,0.002636075570338671
97,프로젝트관리,1.0,0,5.4638318050256105,0.002636075570338671
98,POP,1.0,0,5.4638318050256105,0.002636075570338671
99,RDBMS,1.0,0,5.4638318050256105,0.002636075570338671
100,응용 소프트웨어,1.0,0,5.4638318050256105,0.002636075570338671
101,고객 서비스,1.0,0,5.4638318050256105,0.002636075570338671
102,프로그래밍에 대한 기본적인 이해,1.0,0,5.4638318050256105,0.002636075570338671
103,WPF,1.0,0,5.4638318050256105,0.002636075570338671
104,시스템공학,1.0,0,5.4638318050256105,0.002636075570338671
