idx,skill,tf,df,tfidf,pr
0,수납,96.0,4,370.0218136887849,0.07039876642724677
1,행정,87.0,6,306.0591840694158,0.05822951030216405
2,접수,89.0,25,196.3104387633674,0.037349183789894776
3,경력,70.0,20,169.3516557111531,0.032220121121033056
4,지원,77.0,41,132.9144883791526,0.025287741630472888
5,관리,100.0,69,121.53365629762511,0.0231224732332723
6,업무,110.0,88,107.27149788228172,0.020409016021058806
7,원무행정,22.0,1,104.95506173824464,0.01996830079559143
8,심사,24.0,6,84.43011974328712,0.016063313186803877
9,청구,30.0,14,82.673448117702,0.015729096362595365
10,자격,31.0,20,74.9985903863678,0.014268910782171781
11,요양병원,23.0,9,72.70867437672598,0.013833241163957398
12,안내,26.0,14,71.6503217020084,0.013631883514249318
13,채용,23.0,11,68.51527857046503,0.013035423627312777
14,급여,25.0,17,64.33650117823613,0.012240387327549087
15,의학,11.0,0,60.10214985528172,0.011434777769604785
16,경력자,28.0,32,55.08507881965564,0.010480251309489088
17,협의,17.0,10,52.12092104786307,0.009916303339639283
18,서류,29.0,41,50.05870341552501,0.00952395464004823
19,근무시간,23.0,28,48.22032742590012,0.009174193093265717
20,보건,29.0,47,46.186293029413854,0.008787206415492015
21,제증명,10.0,2,43.652195163575,0.008305079802516113
22,심사청구,9.0,1,42.93616162019099,0.008168850325469223
23,상담,13.0,9,41.09620725641034,0.00781878848397592
24,모집,23.0,42,39.16052885463709,0.007450514596752306
25,기록,11.0,6,38.69713821567326,0.00736235187728511
26,입원수속,7.0,0,38.24682263517927,0.007276676762475771
27,접수 수납,8.0,1,38.16547699572532,0.007261200289305975
28,경험,16.0,24,35.919295682518545,0.006833851447232876
29,행정업무,10.0,6,35.179216559702965,0.0066930471611682816
30,예약,13.0,15,34.986160076215775,0.006656317060980969
31,강의,7.0,1,33.394792371259655,0.006353550253142728
32,사무,16.0,33,30.99954048655118,0.005897839882218925
33,발급,16.0,38,28.804322542335417,0.005480187112585927
34,병원 접수,6.0,1,28.62410774679399,0.005445900216979481
35,운전,11.0,17,28.3080605184239,0.005385770424121599
36,퇴원수속하기,5.0,0,27.31915902512805,0.005197626258911265
37,미수금 환불관리하기,5.0,0,27.31915902512805,0.005197626258911265
38,증명서 발급하기,5.0,0,27.31915902512805,0.005197626258911265
39,수납관리,6.0,3,24.46522466343432,0.004654648923265445
40,면허,11.0,25,24.263087937045405,0.004616191254930815
41,기타,10.0,20,24.19309367302187,0.0046028744458618655
42,입원수속하기,5.0,1,23.853423122328326,0.004538250180816234
43,진료비 수납기록 관리하기,5.0,1,23.853423122328326,0.004538250180816234
44,영수증 발행하기,5.0,1,23.853423122328326,0.004538250180816234
45,경력자 우대,13.0,37,23.741193388889915,0.004516897832121549
46,운영,16.0,58,22.18070977791825,0.004220006899808197
47,행정 업무,7.0,9,22.128726984220958,0.004210116875987035
48,NAVER,6.0,5,22.03243401478533,0.004191796587795631
49,자격증,13.0,47,20.704200323530348,0.003939092531082627
50,서류발급,5.0,3,20.3876872195286,0.003878874102721204
51,시행,5.0,3,20.3876872195286,0.003878874102721204
52,응대,11.0,37,20.088702098291467,0.0038219904733336183
53,교육,7.0,13,19.773421327872462,0.003762006503484755
54,납기,5.0,4,19.271969462957543,0.0036666024180857684
55,직원,41.0,147,19.131400781721293,0.00363985842248539
56,시설,11.0,42,18.728948582652524,0.003563289589751103
57,인원,6.0,10,18.39561919336344,0.003499871766931512
58,행정 사무,4.0,2,17.460878065430002,0.003322031921006445
59,수납 업무,4.0,2,17.460878065430002,0.003322031921006445
60,운전면허,6.0,12,17.39329468538444,0.0033091737964035723
61,수금,5.0,7,16.921951316728872,0.003219498024626173
