idx,skill,tf,df,tfidf,pr
0,관리,13.0,69,15.799375318691265,0.029842362162312296
1,보건관리,2.0,1,9.54136924893133,0.018022041435657502
2,업무,8.0,88,7.8015634823477615,0.014735841017528123
3,협력,3.0,34,5.725451230608589,0.010814414223348631
4,교육,2.0,13,5.649548950820703,0.010671047585321143
5,근무표관리,1.0,0,5.4638318050256105,0.010320259138767093
6,인적관리,1.0,0,5.4638318050256105,0.010320259138767093
7,적정인력관리,1.0,0,5.4638318050256105,0.010320259138767093
8,건설현장 보건관리,1.0,0,5.4638318050256105,0.010320259138767093
9,훈련생,1.0,0,5.4638318050256105,0.010320259138767093
10,직원교육,1.0,0,5.4638318050256105,0.010320259138767093
11,감독,1.0,0,5.4638318050256105,0.010320259138767093
12,평가,2.0,15,5.382486165571658,0.01016661091002745
13,감염관리,1.0,1,4.770684624465665,0.009011020717828751
14,협력관리,1.0,1,4.770684624465665,0.009011020717828751
15,간호학,1.0,1,4.770684624465665,0.009011020717828751
16,관리자,2.0,23,4.571555949355329,0.008634900148522829
17,인증평가,1.0,4,3.8543938925915096,0.007280301666284389
18,인력관리,1.0,4,3.8543938925915096,0.007280301666284389
19,배치,1.0,5,3.672072335797555,0.006935926916138098
20,보고,1.0,7,3.3843902633457743,0.006392543875952067
21,건설현장,1.0,7,3.3843902633457743,0.006392543875952067
22,기획,1.0,8,3.2666072276893905,0.006170071535385788
23,보건,2.0,47,3.1852615882354383,0.006016423306646146
24,요양병원,1.0,9,3.1612467120315646,0.005971063245346048
25,보고서,1.0,9,3.1612467120315646,0.005971063245346048
26,채용,1.0,11,2.9789251552376097,0.0056266884951997565
27,거래처관리,1.0,13,2.824774475410352,0.005335523792660573
28,홍보,1.0,15,2.691243082785829,0.005083305455013725
29,영업,1.0,17,2.573460047129445,0.004860833114447446
30,자격,1.0,20,2.419309367302187,0.004569668411908261
31,경력,1.0,20,2.419309367302187,0.004569668411908261
32,거래처,2.0,71,2.374331372019109,0.004484712545141525
33,조정,1.0,23,2.2857779746776643,0.004317450074261414
34,자문,1.0,25,2.205735267004128,0.004166262864472184
35,인증,1.0,26,2.167994939021281,0.004094977733695136
36,건설,1.0,27,2.1316272948504063,0.0040262853717222295
37,학생,1.0,30,2.029844600540464,0.0038340349843376206
38,영업관리,1.0,30,2.029844600540464,0.0038340349843376206
39,비품,1.0,33,1.9374712804094487,0.0036595573219060083
40,검토,1.0,33,1.9374712804094487,0.0036595573219060083
41,서류,1.0,41,1.7261621867422416,0.003260429990969919
42,시설,1.0,42,1.7026316893320477,0.003215984839727539
43,개발,1.0,42,1.7026316893320477,0.003215984839727539
44,자격증,1.0,47,1.5926307941177191,0.003008211653323073
45,훈련,1.0,52,1.4935398914734883,0.0028210456075743406
46,현장,1.0,70,1.2011519279842946,0.0022687739308566665
47,마케팅,1.0,77,1.1071229783360184,0.0020911690627815325
48,직원,1.0,147,0.4666195312614949,0.0008813657985224323
49,법인세 관리,0.01,0,0.0546383180502561,0.00010320259138767092
50,소모품 수입,0.01,0,0.0546383180502561,0.00010320259138767092
