idx,skill,tf,df,tfidf,pr
0,채용,46.0,11,137.03055714093006,0.0477840496191835
1,경력,54.0,20,130.6427058343181,0.04555653620784132
2,업무,101.0,88,98.49473896464048,0.03434618958072612
3,대리점,22.0,5,80.78559138754622,0.028170816698989822
4,서류,44.0,41,75.95113621665863,0.026484989460253378
5,지원,44.0,41,75.95113621665863,0.026484989460253378
6,심사,21.0,6,73.87635477537623,0.0257614905457942
7,총무,41.0,41,70.77264965643191,0.024679194724327013
8,계약,26.0,19,64.1705878182621,0.02237698376462426
9,수납,16.0,4,61.67030228146415,0.02150510693185617
10,급여,20.0,17,51.46920094258891,0.017947871650051017
11,자격,20.0,20,48.38618734604374,0.01687279118808938
12,보험,97.0,146,45.919724169946754,0.01601270858133696
13,설계,12.0,6,42.21505987164356,0.014720851740453829
14,사무,21.0,33,40.686896888598426,0.01418796464335965
15,접수,18.0,25,39.70323480607431,0.01384495094816245
16,청구,14.0,14,38.5809424549276,0.01345359536650725
17,유선,8.0,3,32.62029955124576,0.011375054184055235
18,전산,11.0,18,27.713321084450868,0.009663937281155657
19,근무시간,13.0,28,27.25496767550877,0.009504104449026938
20,정산,8.0,7,27.075122106766194,0.009441390337956462
21,확정,7.0,4,26.980757248140566,0.009408484282687075
22,총무 업무,9.0,11,26.81032639713849,0.009349053186361988
23,관리,22.0,69,26.737404385477525,0.009323624485667483
24,모집,15.0,42,25.539475339980715,0.008905893563859948
25,컴퓨터 활용 능력,5.0,1,23.853423122328326,0.008317948768846256
26,엑셀,9.0,16,23.675566148724545,0.008255928102586683
27,학력,9.0,17,23.16114042416501,0.008076542242522957
28,자동차,11.0,31,21.97905492448472,0.007664336137918508
29,대출,5.0,2,21.8260975817875,0.007610998244491238
30,부동산,9.0,26,19.511954451191528,0.006804031298683926
31,인근거주자,5.0,4,19.271969462957543,0.006720345916205052
32,경력자,9.0,32,17.70591819203217,0.006174246759948089
33,견적,5.0,7,16.921951316728872,0.005900868961222789
34,정규직,10.0,44,16.571693152552903,0.005778730119743106
35,안내,6.0,14,16.5346896235404,0.005765826585645965
36,보험 청약,3.0,0,16.391495415076832,0.0057158932035947935
37,친절,5.0,9,15.806233560157825,0.005511806012393322
38,기타,6.0,20,14.515856203813122,0.005061837356426814
39,임금,5.0,13,14.123872377051756,0.004925148321377361
40,제출,13.0,81,13.74246325089764,0.004792146799748767
41,사무원,8.0,43,13.43713736885879,0.004685676335045333
42,조직,3.0,2,13.0956585490725,0.004566598946694742
43,기본급,7.0,36,12.970397246669698,0.0045229189645486926
44,컴퓨터,7.0,36,12.970397246669698,0.0045229189645486926
45,총무업무,4.0,9,12.644986848126258,0.004409444809914657
46,협의,4.0,10,12.263746128908958,0.00427650201362144
47,컴퓨터 활용,7.0,41,12.083135307195692,0.004213521050494855
48,홈페이지,3.0,4,11.563181677774528,0.004032207549723032
49,조정,5.0,23,11.428889873388322,0.003985378533056037
50,4대보험,5.0,23,11.428889873388322,0.003985378533056037
51,경력직,6.0,36,11.117483354288312,0.0038767876838988794
52,인사,4.0,14,11.0231264156936,0.0038438843904306428
53,보증,3.0,5,11.016217007392664,0.003841475004407702
54,CE,3.0,5,11.016217007392664,0.003841475004407702
55,법인,4.0,15,10.764972331143316,0.003753863245928844
56,파워포인트,3.0,6,10.55376496791089,0.003680212935113457
57,전자,3.0,6,10.55376496791089,0.003680212935113457
58,행정,3.0,6,10.55376496791089,0.003680212935113457
59,워드,3.0,6,10.55376496791089,0.003680212935113457
60,C,7.0,53,10.323934309229353,0.003600068478084406
61,전산입력,3.0,7,10.153170790037322,0.003540521376733673
62,워드프로세스,2.0,1,9.54136924893133,0.003327179507538502
63,총무 사무원,2.0,1,9.54136924893133,0.003327179507538502
64,상품,4.0,21,9.491157406669176,0.003309670090572053
65,상담,3.0,9,9.483740136094694,0.0033070836074359927
66,계약관리,4.0,22,9.313350356385842,0.003247666833118744
67,개인,3.0,10,9.19780959668172,0.003207376510216081
68,경력자 우대,5.0,37,9.131228226496122,0.0031841588603499283
69,경험,4.0,24,8.979823920629636,0.0031313625278016955
70,해상,2.0,2,8.730439032715001,0.003044399297796495
71,정산 업무,2.0,2,8.730439032715001,0.003044399297796495
72,진행,7.0,69,8.507355940833758,0.0029666077908941987
73,계약 관리,2.0,3,8.15507488781144,0.002843763546013809
74,영업,3.0,17,7.720380141388336,0.0026921807475076523
75,업무지원,2.0,4,7.708787785183019,0.0026881383664820215
76,영업지원,2.0,5,7.34414467159511,0.002560983336271802
77,서비스,4.0,39,7.099809403646695,0.0024757809638158833
78,레벨,2.0,6,7.035843311940593,0.002453475290075638
79,총괄,3.0,23,6.857333924032993,0.0023912271198336227
80,사무실,2.0,7,6.768780526691549,0.0023603475844891156
81,환경,2.0,7,6.768780526691549,0.0023603475844891156
82,전화,3.0,24,6.734867940472228,0.0023485218958512718
83,면허,3.0,25,6.617205801012384,0.002307491824693741
84,퇴직연금,2.0,8,6.533214455378781,0.002278203126529795
85,자격증,4.0,47,6.3705231764708765,0.0022214709033954437
86,등록,2.0,9,6.322493424063129,0.0022047224049573286
87,인사업무,2.0,10,6.131873064454479,0.00213825100681072
88,계약서,2.0,11,5.957850310475219,0.0020775673747471086
89,MS OFFICE,2.0,11,5.957850310475219,0.0020775673747471086
90,기계,2.0,11,5.957850310475219,0.0020775673747471086
91,사무업무,3.0,32,5.9019727306773895,0.0020580822533160298
92,문서,2.0,12,5.797764895128147,0.002021743844653854
93,교육,2.0,13,5.649548950820703,0.001970059328550945
94,응대,3.0,37,5.478736935897673,0.001910495316209957
95,행정 지원,1.0,0,5.4638318050256105,0.001905297734531598
96,보험료 수납,1.0,0,5.4638318050256105,0.001905297734531598
97,B2B,1.0,0,5.4638318050256105,0.001905297734531598
98,행정 관련 업무,1.0,0,5.4638318050256105,0.001905297734531598
99,발급,3.0,38,5.400810476687891,0.0018833215100807308
100,평가,2.0,15,5.382486165571658,0.001876931622964422
101,보조,2.0,16,5.261236921938788,0.0018346506894637074
102,관련 업무,3.0,46,4.841052609946654,0.001688127837682662
103,보건,3.0,47,4.777892382353158,0.0016661031775465826
104,문제해결,1.0,1,4.770684624465665,0.001663589753769251
105,심사청구,1.0,1,4.770684624465665,0.001663589753769251
106,보험 수납,1.0,1,4.770684624465665,0.001663589753769251
107,비교견적,1.0,1,4.770684624465665,0.001663589753769251
108,소통 능력,1.0,1,4.770684624465665,0.001663589753769251
109,운영관리,1.0,1,4.770684624465665,0.001663589753769251
110,전반적인 관리업무,1.0,1,4.770684624465665,0.001663589753769251
111,고객상담,1.0,1,4.770684624465665,0.001663589753769251
112,서류 입력,1.0,1,4.770684624465665,0.001663589753769251
113,유관업무 경력,1.0,1,4.770684624465665,0.001663589753769251
114,훈련,3.0,52,4.480619674420465,0.001562440942475352
115,교육 지원,1.0,2,4.3652195163575005,0.0015221996488982475
116,팀워크,1.0,2,4.3652195163575005,0.0015221996488982475
117,WORD,1.0,2,4.3652195163575005,0.0015221996488982475
118,실무자,1.0,2,4.3652195163575005,0.0015221996488982475
119,기타서류,1.0,3,4.07753744390572,0.0014218817730069044
120,시행,1.0,3,4.07753744390572,0.0014218817730069044
121,비품관리,1.0,3,4.07753744390572,0.0014218817730069044
122,전산업무,2.0,30,4.059689201080928,0.001415657896095436
123,출하,2.0,32,3.93464848711826,0.00137205483554402
124,직원 모집,2.0,33,3.8749425608188974,0.0013512347279390142
125,전화 응대,1.0,4,3.8543938925915096,0.0013440691832410107
126,소통,1.0,4,3.8543938925915096,0.0013440691832410107
127,정비,1.0,4,3.8543938925915096,0.0013440691832410107
128,온라인,2.0,34,3.8169674870723926,0.0013310181874944644
129,회계 관련 자격증,1.0,5,3.672072335797555,0.001280491668135901
130,수납업무,1.0,5,3.672072335797555,0.001280491668135901
131,상담 업무,1.0,5,3.672072335797555,0.001280491668135901
132,재무,1.0,5,3.672072335797555,0.001280491668135901
133,업무 보조,1.0,5,3.672072335797555,0.001280491668135901
134,지원업무,1.0,5,3.672072335797555,0.001280491668135901
135,NAVER,1.0,5,3.672072335797555,0.001280491668135901
136,유관업무 경험,1.0,6,3.5179216559702966,0.001226737645037819
137,비서,1.0,6,3.5179216559702966,0.001226737645037819
138,유지관리,1.0,6,3.5179216559702966,0.001226737645037819
139,문서작업,1.0,6,3.5179216559702966,0.001226737645037819
140,기록,1.0,6,3.5179216559702966,0.001226737645037819
141,수금,1.0,7,3.3843902633457743,0.0011801737922445578
142,보고,1.0,7,3.3843902633457743,0.0011801737922445578
143,엑셀 사용,1.0,7,3.3843902633457743,0.0011801737922445578
144,사무관리,1.0,7,3.3843902633457743,0.0011801737922445578
145,분석,2.0,43,3.3592843422146976,0.0011714190837613333
146,B2C,1.0,8,3.2666072276893905,0.0011391015632648974
147,제안,1.0,8,3.2666072276893905,0.0011391015632648974
148,대기,1.0,8,3.2666072276893905,0.0011391015632648974
149,상실,1.0,8,3.2666072276893905,0.0011391015632648974
150,일반사무,1.0,8,3.2666072276893905,0.0011391015632648974
151,요양병원,1.0,9,3.1612467120315646,0.0011023612024786643
152,문서작성 우수자,1.0,9,3.1612467120315646,0.0011023612024786643
153,실무,1.0,9,3.1612467120315646,0.0011023612024786643
154,경리업무,1.0,10,3.0659365322272394,0.00106912550340536
155,사무직,2.0,51,3.025176172888365,0.0010549119216044672
156,해외,2.0,51,3.025176172888365,0.0010549119216044672
157,사무 보조,1.0,11,2.9789251552376097,0.0010387836873735543
158,근무 가능자,2.0,53,2.9496955169226715,0.0010285909937384015
159,구청,1.0,12,2.8988824475640733,0.001010871922326927
160,고객 상담,1.0,12,2.8988824475640733,0.001010871922326927
