idx,skill,tf,df,tfidf,pr
0,부동산,3.0,26,6.503984817063843,0.015921402457159204
1,사무 보조,2.0,11,5.957850310475219,0.014584494773683872
2,부동산 중개업무,1.0,0,5.4638318050256105,0.013375164237439124
3,보조,2.0,16,5.261236921938788,0.01287922293989431
4,건물 임대,1.0,1,4.770684624465665,0.011678377492982651
5,사무 보조 업무,1.0,2,4.3652195163575005,0.010685820875754882
6,매매,1.0,3,4.07753744390572,0.009981590748526177
7,사무,2.0,33,3.8749425608188974,0.009485649450981364
8,보조 업무,1.0,5,3.672072335797555,0.00898903413129841
9,초보,1.0,8,3.2666072276893905,0.00799647751407064
10,블로그,1.0,11,2.9789251552376097,0.007292247386841936
11,업무,3.0,88,2.925586305880411,0.00716167677342511
12,열정,1.0,16,2.630618460969394,0.006439611469947155
13,자격,1.0,20,2.419309367302187,0.005922338257022905
14,책임감,1.0,36,1.8529138923813853,0.004535832820775761
15,자격증,1.0,47,1.5926307941177191,0.0038986738979289903
16,직원,1.0,147,0.4666195312614949,0.0011422593318628153
17,법인세 관리,0.01,0,0.0546383180502561,0.00013375164237439124
18,소모품 수입,0.01,0,0.0546383180502561,0.00013375164237439124
19,영문 서신 작성,0.01,0,0.0546383180502561,0.00013375164237439124
20,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00013375164237439124
21,유해화학물질관리자,0.01,0,0.0546383180502561,0.00013375164237439124
22,가구 설치,0.01,0,0.0546383180502561,0.00013375164237439124
23,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00013375164237439124
24,타이어 탈착,0.01,0,0.0546383180502561,0.00013375164237439124
25,현장 조율,0.01,0,0.0546383180502561,0.00013375164237439124
26,경영계획 분석,0.01,0,0.0546383180502561,0.00013375164237439124
27,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00013375164237439124
28,납품계획 세우기,0.01,0,0.0546383180502561,0.00013375164237439124
29,불량재고 처리하기,0.01,0,0.0546383180502561,0.00013375164237439124
30,매뉴얼 업무,0.01,0,0.0546383180502561,0.00013375164237439124
31,건축업무 경험,0.01,0,0.0546383180502561,0.00013375164237439124
32,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00013375164237439124
33,평가계획 수립하기,0.01,0,0.0546383180502561,0.00013375164237439124
34,현장상황파악,0.01,0,0.0546383180502561,0.00013375164237439124
35,인허가관리,0.01,0,0.0546383180502561,0.00013375164237439124
36,사건 수임,0.01,0,0.0546383180502561,0.00013375164237439124
37,PF심의자료 작성,0.01,0,0.0546383180502561,0.00013375164237439124
38,디지털 교육 이해,0.01,0,0.0546383180502561,0.00013375164237439124
39,여행상품개발,0.01,0,0.0546383180502561,0.00013375164237439124
40,주차매출 관리,0.01,0,0.0546383180502561,0.00013375164237439124
41,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00013375164237439124
42,어도비 포토샵,0.01,0,0.0546383180502561,0.00013375164237439124
43,데미지 관리,0.01,0,0.0546383180502561,0.00013375164237439124
44,기관 소통 업무,0.01,0,0.0546383180502561,0.00013375164237439124
45,비디오메타 사용,0.01,0,0.0546383180502561,0.00013375164237439124
46,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00013375164237439124
47,자습감독,0.01,0,0.0546383180502561,0.00013375164237439124
48,JLPT 2급이상,0.01,0,0.0546383180502561,0.00013375164237439124
49,한자 관련 자격증,0.01,0,0.0546383180502561,0.00013375164237439124
50,기성취합,0.01,0,0.0546383180502561,0.00013375164237439124
51,KUBERNETES,0.01,0,0.0546383180502561,0.00013375164237439124
52,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00013375164237439124
53,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00013375164237439124
54,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00013375164237439124
55,데이터 마이닝,0.01,0,0.0546383180502561,0.00013375164237439124
56,채권현황 파악,0.01,0,0.0546383180502561,0.00013375164237439124
57,제품표준서 작성,0.01,0,0.0546383180502561,0.00013375164237439124
58,일용직 투입,0.01,0,0.0546383180502561,0.00013375164237439124
59,영업 손익관리,0.01,0,0.0546383180502561,0.00013375164237439124
60,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00013375164237439124
61,생산검토,0.01,0,0.0546383180502561,0.00013375164237439124
62,화학사고대응,0.01,0,0.0546383180502561,0.00013375164237439124
63,나라사업 발굴,0.01,0,0.0546383180502561,0.00013375164237439124
64,영상 프로그램,0.01,0,0.0546383180502561,0.00013375164237439124
65,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00013375164237439124
66,운영 원칙 이해,0.01,0,0.0546383180502561,0.00013375164237439124
67,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00013375164237439124
68,법규 검토,0.01,0,0.0546383180502561,0.00013375164237439124
69,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00013375164237439124
70,각종 사무관리,0.01,0,0.0546383180502561,0.00013375164237439124
71,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00013375164237439124
72,가격별 상품 구성,0.01,0,0.0546383180502561,0.00013375164237439124
73,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00013375164237439124
74,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00013375164237439124
75,수입신고서 작성,0.01,0,0.0546383180502561,0.00013375164237439124
76,근무표관리,0.01,0,0.0546383180502561,0.00013375164237439124
77,직업훈련 평가,0.01,0,0.0546383180502561,0.00013375164237439124
78,제품 기술정보,0.01,0,0.0546383180502561,0.00013375164237439124
79,지장물 조서 작성,0.01,0,0.0546383180502561,0.00013375164237439124
80,의료 비품 관리,0.01,0,0.0546383180502561,0.00013375164237439124
81,어도브 프로그램,0.01,0,0.0546383180502561,0.00013375164237439124
82,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00013375164237439124
83,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00013375164237439124
84,에어컨 조립,0.01,0,0.0546383180502561,0.00013375164237439124
85,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00013375164237439124
86,서버 기본 설치,0.01,0,0.0546383180502561,0.00013375164237439124
87,CLAIM 업무,0.01,0,0.0546383180502561,0.00013375164237439124
