idx,skill,tf,df,tfidf,pr
0,채용,97.0,11,288.9557400580481,0.06066952526101205
1,지원,113.0,41,195.0563271018733,0.04095428165590347
2,접수,65.0,25,143.3727923552683,0.03010273907620724
3,서류,82.0,41,141.54529931286382,0.029719036245876858
4,보조,44.0,16,115.74721228265334,0.02430243613801702
5,자격,47.0,20,113.7075402632028,0.023874183932044664
6,행정,31.0,6,109.0555713350792,0.022897450449119075
7,발표,19.0,0,103.8128042954866,0.021796672221691352
8,업무,77.0,88,75.09004851759721,0.01576600483684386
9,기타,24.0,20,58.06342481525249,0.012191072646150465
10,제출,46.0,81,48.62717765702242,0.01020982584613748
11,등록,15.0,9,47.41870068047347,0.009956092438933459
12,C,32.0,53,47.19512827076274,0.009909150883261693
13,경력,19.0,20,45.96687797874155,0.009651265844869118
14,행정업무,13.0,6,45.73298152761386,0.009602156639953162
15,연구,10.0,2,43.652195163575,0.009165272012395791
16,보수,9.0,1,42.93616162019099,0.009014932672746952
17,계약,17.0,19,41.95769203501753,0.008809491918384753
18,안내,15.0,14,41.336724058851,0.008679112669615558
19,사무,21.0,33,40.686896888598426,0.008542674106695817
20,홈페이지,10.0,4,38.54393892591509,0.008092735848939853
21,수행,13.0,12,37.68547181833296,0.007912490971787596
22,상담,11.0,9,34.77371383234721,0.007301134455217869
23,검사,11.0,10,33.725301854499634,0.007081008504575071
24,관리,27.0,69,32.814087200358784,0.006889688683530862
25,DB,6.0,0,32.782990830153665,0.006883159648955165
26,경험,14.0,24,31.429383722203728,0.006598954529469542
27,인원,10.0,10,30.659365322272397,0.00643728045870461
28,캠핑,7.0,2,30.556536614502505,0.006415690408677055
29,자격증,19.0,47,30.259985088236665,0.006353426062205298
30,업무 보조,8.0,5,29.37657868638044,0.006167944898195927
31,자가,8.0,5,29.37657868638044,0.006167944898195927
32,사무보조,13.0,27,27.71115483305528,0.005818270326860868
33,모집,15.0,42,25.539475339980715,0.005362301659003842
34,이메일,13.0,36,24.08788060095801,0.0050575229282882024
35,컴퓨터,13.0,36,24.08788060095801,0.0050575229282882024
36,이메일 접수,5.0,1,23.853423122328326,0.0050082959293038624
37,문서,8.0,12,23.191059580512587,0.004869225213407751
38,학력,9.0,17,23.16114042416501,0.004862943348193885
39,운전,9.0,17,23.16114042416501,0.004862943348193885
40,급여,9.0,17,23.16114042416501,0.004862943348193885
41,청구,8.0,14,22.0462528313872,0.0046288600904616315
42,CE,6.0,5,22.03243401478533,0.004625958673646945
