idx,skill,tf,df,tfidf,pr
0,관리,1997.0,69,2427.0271162635736,0.048320505479983136
1,품질,935.0,17,2406.185144066032,0.0479055555912751
2,생산,814.0,16,2141.3234272290865,0.042632333897913724
3,검사,503.0,10,1542.1660757103014,0.030703507106721206
4,경력,511.0,20,1236.2670866914175,0.02461326045221986
5,품질관리,387.0,12,1121.8675072072965,0.022335640449407366
6,부품,335.0,10,1027.0887382961253,0.020448657814615516
7,공정,369.0,17,949.6067573907654,0.01890604279484546
8,업무,884.0,88,862.0727647994277,0.017163298867366738
9,생산관리,286.0,14,788.1535387220924,0.01569161594103635
10,측정,247.0,10,757.2863234601281,0.015077070090179199
11,제품,244.0,10,748.0885138634465,0.0148939477813916
12,대응,193.0,5,708.7099608089281,0.014109946821569602
13,지원,353.0,41,609.3352519200113,0.012131462060002084
14,가공,161.0,10,493.6157816885855,0.00982756390493462
15,자동차,242.0,31,483.5392083386638,0.009626945990733505
16,C,324.0,53,477.8506737414728,0.009513691027352705
17,모집,266.0,42,452.9000293623247,0.009016940191578027
18,기계,146.0,11,434.923072664691,0.00865903086753276
19,협의,139.0,10,426.1651779795863,0.008484666973825543
20,채용,129.0,11,384.28134502565166,0.0076507875473405896
21,공정관리,87.0,2,379.77409792310254,0.007561051237078982
22,보증,99.0,5,363.53516124395793,0.007237744742670416
23,경험,157.0,24,352.4580888847132,0.007017207554581198
24,계획,134.0,19,330.72533721719697,0.00658452283548254
25,급여,125.0,17,321.6825058911807,0.006404486041614317
26,성적서,87.0,5,319.4702932143873,0.0063604423496194575
27,자격,131.0,20,316.9295271165865,0.006309857376205091
28,경력자,158.0,32,310.83723048234253,0.006188563777576547
29,작성,225.0,66,283.3063167677949,0.005640441485040829
30,인원,91.0,10,279.0002244326788,0.005554710033223917
31,운전,105.0,17,270.21330494859177,0.005379768274956026
32,제작,93.0,14,256.2876891648762,0.0051025184703369945
33,사무,130.0,33,251.87126645322837,0.005014590413658073
34,서류,143.0,41,246.84119270414052,0.00491444497048243
35,품질보증,59.0,3,240.57470919043743,0.004789683426231422
36,자재,149.0,47,237.30198832354012,0.004724525717228639
37,생산계획,61.0,4,235.11802744808207,0.004681044499922298
38,문서,79.0,12,229.0117133575618,0.004559471823005638
39,출하,114.0,32,224.2749637657408,0.004465166269897002
40,자동차부품,73.0,11,217.4615363323455,0.00432951543376638
41,수입,69.0,10,211.5496207236795,0.0042118131021148374
42,기타,82.0,20,198.38336811877932,0.003949681716403187
43,현장,165.0,70,198.1900681174086,0.003945833241158339
44,제조업,68.0,12,197.124006434357,0.003924608657777005
45,금속,53.0,6,186.44984776642573,0.0037120932149326616
46,품질 관리,67.0,15,180.31328654665052,0.0035899183376676322
47,납품,77.0,22,179.28199436042746,0.003569385991983513
48,관리자,78.0,23,178.2906820248578,0.003549649618696917
49,엑셀,65.0,16,170.9901999630106,0.003404301846885003
50,조립,67.0,18,168.79931933256438,0.003360682861831204
51,제조,152.0,77,168.2826927070748,0.0033503971672376857
52,출하검사,43.0,4,165.7389373814349,0.0032997526802730948
53,생산관리 업무,40.0,3,163.10149775622878,0.003247243000834863
54,설비,71.0,23,162.29023620211416,0.003231091319583091
55,QC,42.0,4,161.8845434888434,0.0032230142458481393
56,CAD,47.0,7,159.0663423772514,0.0031669057247097265
57,성적서 작성,39.0,3,159.02396031232306,0.003166061925813991
58,불량,46.0,7,155.68195211390562,0.003099524751843562
59,도면,78.0,32,153.45129099761212,0.0030551137636137377
60,CNC,30.0,1,143.12053873396997,0.002849435315267363
61,개발,84.0,42,143.02106190389202,0.00284745479734043
62,고객사 대응,42.0,7,142.1443910605225,0.002830000860378904
63,공정 관리,40.0,6,140.71686623881186,0.002801579784854839
64,근무시간,66.0,28,138.37137435258296,0.002754882591905359
65,금형,41.0,8,133.930896335265,0.00266647560999249
66,용접,46.0,12,133.34859258794737,0.002654882327319738
67,공정검사,42.0,9,132.7723619053257,0.002643409955350438
68,임금,47.0,13,132.7644003442865,0.0026432514459331985
69,인증,61.0,26,132.24769128029814,0.002632964110043666
70,출고,79.0,47,125.81783273529982,0.0025049498769198824
71,입출고,41.0,10,125.7033978213168,0.0025026715534305554
72,사출,47.0,16,123.63906766556153,0.0024615721046706944
73,공학,28.0,2,122.22614645801002,0.0024334417774507073
74,관리 업무,125.0,88,121.89942941168376,0.0024269370570371516
75,접수,55.0,25,121.31543968522703,0.0024153102076342704
76,설계,34.0,6,119.60933630299007,0.0023813428171266127
77,캐드,34.0,6,119.60933630299007,0.0023813428171266127
78,SI,31.0,4,119.4862106703368,0.0023788914671736268
79,수행,41.0,12,118.854180350127,0.0023663081613067233
80,경력자 우대,65.0,37,118.70596694444956,0.0023633573303772897
81,운전가능,36.0,8,117.59786019681806,0.0023412956575543814
82,구매,37.0,9,116.96612834516787,0.002328718293999195
83,협력,60.0,34,114.5090246121718,0.0022797989829624454
84,인근거주자,29.0,4,111.77742288515378,0.0022254145983237154
85,조선,44.0,18,110.85328433780349,0.0022070156107548205
86,도장,28.0,4,107.92302899256228,0.0021486761638987596
87,차량,38.0,13,107.34143006559336,0.0021370969137332243
88,품질검사,29.0,5,106.4900977381291,0.0021201474498731524
89,밸브,26.0,3,106.01597354154872,0.002110707950542661
90,기술,37.0,13,104.516655590183,0.0020808575212665605
91,재고,54.0,34,103.0581221509546,0.0020518190846662
92,보조,39.0,16,102.59411997780636,0.0020425811081310015
93,프레스,37.0,14,101.9639193451658,0.002030034230134073
94,자재관리,34.0,11,101.28345527807872,0.002016486640384341
95,초보,31.0,8,101.2648240583711,0.002016115705116273
96,발주,39.0,18,98.25632020850762,0.001956218382259954
97,외주,50.0,33,96.87356402047244,0.0019286886206377203
98,유경험자,68.0,57,95.43043802458496,0.0018999569360490696
99,치수,20.0,1,95.4136924893133,0.0018996235435115752
100,검수,28.0,7,94.76292737368168,0.0018866672402526028
101,생산 관리,36.0,16,94.70226459489818,0.001885459484428617
102,학력,35.0,17,90.07110164953059,0.0017932560916520085
103,운전가능자,32.0,14,88.1850113255488,0.001755705280115955
104,생산 계획,18.0,1,85.87232324038197,0.0017096611891604177
105,지게차,31.0,14,85.4292297216254,0.0017008394901123314
106,관리업무,62.0,59,84.90820905381759,0.0016904663130409723
107,지시,23.0,5,84.45766372334377,0.0016814962533476727
108,자동화,24.0,6,84.43011974328712,0.0016809478709129033
109,운전면허,29.0,12,84.06759097935813,0.0016737301628754874
110,분석,49.0,43,82.30246638426009,0.0016385876990361893
111,면허,37.0,25,81.61220487915273,0.0016248450487721454
112,제품 검사,24.0,7,81.22536632029858,0.0016171433487879453
113,심사,23.0,6,80.91219808731682,0.0016109083762915323
114,ISIR,22.0,5,80.78559138754622,0.0016083877205934263
115,잔업,30.0,15,80.73729248357486,0.001607426121343716
116,입고,36.0,25,79.40646961214861,0.0015809303177242498
117,열처리,18.0,2,78.573951294435,0.0015643554283611687
118,플랜트,24.0,8,78.39857346454536,0.0015608637717029208
119,검토,40.0,33,77.49885121637794,0.001542950896510176
120,특근,19.0,3,77.47321143420868,0.00154244042539656
121,고객대응,22.0,6,77.39427643134653,0.0015408688816701615
122,전자,22.0,6,77.39427643134653,0.0015408688816701615
123,개선,54.0,57,75.7829949018763,0.0015087893315683788
124,사무원,45.0,43,75.5838976998307,0.0015048254378903783
125,유지,35.0,27,74.60695531976423,0.0014853751609184816
126,협의 가능,45.0,44,74.57261918648805,0.0014846915512031164
127,인원 관리,17.0,2,74.2087317780775,0.0014774467934522148
128,재고관리,27.0,15,72.66356323521738,0.0014466835092093447
129,시험,30.0,20,72.5792810190656,0.0014450055060011657
130,품질 보증,15.0,1,71.56026936698498,0.0014247176576336815
131,정규직,43.0,44,71.25828055597748,0.0014187052600385336
132,배관,20.0,6,70.35843311940593,0.0014007898924274194
133,IA,26.0,15,69.97232015243155,0.0013931026384978874
134,3차원측정기,16.0,2,69.84351226172001,0.0013905381585432612
135,등록,22.0,9,69.54742766469442,0.0013846433099454676
136,포장,27.0,17,69.48342127249504,0.0013833689849886924
137,MCT,17.0,3,69.31813654639724,0.001380078275354817
138,성실,26.0,16,68.39607998520424,0.001361720738754001
139,절단,20.0,7,67.68780526691549,0.0013476194573232877
140,생산계획 수립,14.0,1,66.78958474251931,0.0013297364804581025
141,자재 입,18.0,5,66.09730204435598,0.0013159535895764394
142,서류 작성,22.0,11,65.53635341522741,0.0013047854731898679
143,생산일정,16.0,3,65.24059910249152,0.0012988972003339452
144,AS,21.0,10,64.38466717677203,0.0012818561615132113
145,영업,25.0,17,64.33650117823613,0.0012808972083228631
146,운영,46.0,58,63.76954061151497,0.0012696093982330606
147,생산기술,18.0,6,63.32258980746534,0.0012607109031846776
148,ERP,20.0,9,63.22493424063129,0.0012587666454049705
149,실적관리,16.0,4,61.67030228146415,0.0012278149507992911
150,관련 업무,38.0,46,61.31999972599096,0.0012208406584900014
151,경력직,33.0,36,61.14615844858572,0.0012173795935759683
152,컴퓨터,33.0,36,61.14615844858572,0.0012173795935759683
153,원가,27.0,26,58.53586335357458,0.001165410343789819
154,출고 관리,19.0,10,58.252794112317545,0.0011597746223214768
155,화학,15.0,4,57.81590838887264,0.0011510765163743354
156,선박,17.0,7,57.53463447687816,0.0011454765387247945
157,자격증,36.0,47,57.33470858823789,0.0011414961464445033
158,설치,18.0,9,56.90244081656816,0.0011328899808644734
159,프로그램,23.0,19,56.76628922384724,0.0011301792926574508
160,일정 관리,19.0,11,56.59957794951458,0.0011268601813912496
161,MES,15.0,5,55.08108503696333,0.0010966279913136997
162,관리직,25.0,26,54.19987347553202,0.0010790836516572399
163,승인,21.0,17,54.04266098971836,0.001075953654991205
164,납기,14.0,4,53.96151449628113,0.0010743380819493798
165,1종보통,14.0,4,53.96151449628113,0.0010743380819493798
166,문서관리,14.0,4,53.96151449628113,0.0010743380819493798
167,제관,18.0,11,53.62065279427698,0.0010675517507917102
168,품질경영,13.0,3,53.00798677077436,0.0010553539752713305
169,1톤,11.0,1,52.47753086912232,0.0010447929489313663
170,품질관리자,11.0,1,52.47753086912232,0.0010447929489313663
171,보수,11.0,1,52.47753086912232,0.0010447929489313663
172,운용,12.0,2,52.382634196290006,0.0010429036189074459
173,CE,14.0,5,51.40901270116577,0.0010235194585594529
174,IT,14.0,5,51.40901270116577,0.0010235194585594529
175,조정,22.0,23,50.287115442908615,0.0010011832257863101
176,현장관리,29.0,41,50.05870341552501,0.0009966356933146189
177,인원관리,14.0,6,49.25090318358415,0.0009805529246991935
178,현장 관리,14.0,6,49.25090318358415,0.0009805529246991935
179,문서 작성,14.0,6,49.25090318358415,0.0009805529246991935
180,운전 가능,16.0,10,49.05498451563583,0.0009766523135338752
181,일정관리,15.0,8,48.99910841534086,0.0009755398573143255
182,품질대응,12.0,3,48.93044932686864,0.000974172900250459
