idx,skill,tf,df,tfidf,pr
0,품질,297.0,17,764.3176339974453,0.06690764834058426
1,관리,371.0,69,450.8898648641892,0.03947047559387797
2,검사,121.0,10,370.978320399496,0.03247509399129346
3,품질관리,120.0,12,347.8658937076888,0.030451853850535258
4,경력,131.0,20,316.9295271165865,0.027743713354041372
5,생산,97.0,16,255.1699907140312,0.022337341500904863
6,제품,83.0,10,254.47273217486088,0.022276304142788077
7,부품,75.0,10,229.94523991704293,0.020129190490471148
8,업무,224.0,88,218.44377750573733,0.01912236326552104
9,대응,53.0,5,194.6198337972704,0.017036837592908714
10,C,127.0,53,187.30566532458965,0.016396562149420063
11,전자,49.0,6,172.37816114254454,0.015089822443322673
12,공정,61.0,17,156.98106287489617,0.013741974911702488
13,지원,78.0,41,134.64065056589484,0.011786316185451883
14,채용,43.0,11,128.09378167521723,0.011213209427233568
15,측정,37.0,10,113.43965169240786,0.00993040064196577
16,모집,61.0,42,103.86053304925493,0.009091853586291068
17,경력자,52.0,32,102.30086066507477,0.008955321329588489
18,문서,35.0,12,101.46088566474256,0.008881790706406116
19,QC,26.0,4,100.21424120737925,0.008772660620629131
20,보증,26.0,5,95.47388073073644,0.008357693913502391
21,자동차,43.0,31,85.91812379571299,0.0075211919198315425
22,급여,33.0,17,84.9241815552717,0.0074341831489538055
23,성적서,22.0,5,80.78559138754622,0.007071894849886638
24,품질 관리,29.0,15,78.04604940078904,0.0068320779155244685
25,품질보증,19.0,3,77.47321143420868,0.00678193221755903
26,협의,25.0,10,76.64841330568099,0.006709730163490384
27,작성,58.0,66,73.03007276680934,0.0063929840286601185
28,자격,29.0,20,70.15997165176343,0.006141738070741983
29,IT,18.0,5,66.09730204435598,0.005786095786270885
30,경험,28.0,24,62.858767444407455,0.0055025975068724335
31,운전,24.0,17,61.76304113110669,0.005406678653784585
32,출하검사,16.0,4,61.67030228146415,0.00539856038192562
33,전자부품,16.0,4,61.67030228146415,0.00539856038192562
34,수입,20.0,10,61.31873064454479,0.005367784130792308
35,인증,28.0,26,60.70385829259587,0.005313958782182486
36,전기,39.0,49,60.52054318430109,0.005297911549650174
37,출하,30.0,32,59.019727306773895,0.005166531536301051
38,성적서 작성,14.0,3,57.08552421468008,0.0049972132129382325
39,서류,32.0,41,55.23718997575173,0.0048354117683905165
40,생산관리,19.0,14,52.3598504745446,0.004583532168941314
41,사무,27.0,33,52.31172457105512,0.004579319272517733
42,경력자 우대,28.0,37,51.13487806837828,0.004476299234186115
43,사출,19.0,16,49.981750758418485,0.004375355551723633
44,기술,17.0,13,48.02116608197598,0.004203727809226994
45,제조,37.0,77,40.96355019843268,0.003585910738607615
46,계획,16.0,19,39.48959250354591,0.003456881865359465
47,제조업,13.0,12,37.68547181833296,0.0032989508338079863
48,엑셀,14.0,16,36.82865845357152,0.003223946196006888
49,CE,10.0,5,36.72072335797555,0.003214497659039381
50,학력,14.0,17,36.02844065981224,0.003153895881374342
51,자동차부품,12.0,11,35.74710186285132,0.0031292677471349496
52,공정관리,8.0,2,34.921756130860004,0.0030570177563730436
53,공정검사,11.0,9,34.77371383234721,0.003044058272504248
54,SI,9.0,4,34.68954503332358,0.0030366902148331607
55,설비,15.0,23,34.286669620164965,0.003001422879278301
56,고객사 대응,10.0,7,33.843902633457745,0.002962663472814671
57,불량,10.0,7,33.843902633457745,0.002962663472814671
58,근무시간,16.0,28,33.544575600626175,0.002936460665289767
59,품질검사,9.0,5,33.04865102217799,0.0028930478931354425
60,문서 작성,9.0,6,31.66129490373267,0.0027716000406102868
61,심사,9.0,6,31.66129490373267,0.0027716000406102868
62,차량,11.0,13,31.07251922951387,0.0027200591706762907
63,개선,22.0,57,30.8745534785422,0.0027027294346341985
64,도장,8.0,4,30.83515114073208,0.00269928019096281
65,공학,7.0,2,30.556536614502505,0.0026748905368264133
66,검수,9.0,7,30.45951237011197,0.002666397125533204
67,기계,10.0,11,29.789251552376097,0.0026077231226124572
68,운전가능,9.0,8,29.399465049204515,0.0025736015779534507
69,시험,12.0,20,29.031712407626244,0.0025414088568587517
70,기타,12.0,20,29.031712407626244,0.0025414088568587517
71,자재,18.0,47,28.667354294118944,0.0025095132895654993
72,임금,10.0,13,28.247744754103515,0.0024727810642511732
73,QA,8.0,6,28.143373247762373,0.002463644480542477
74,참여,8.0,6,28.143373247762373,0.002463644480542477
75,조립,11.0,18,27.713321084450868,0.00242599811778559
76,가공,9.0,10,27.59342879004516,0.0024155028588565388
77,인원,9.0,10,27.59342879004516,0.0024155028588565388
78,관리자,12.0,23,27.42933569613197,0.002401138303422641
79,전기전자,5.0,0,27.31915902512805,0.0023914935410477207
80,품질개선,6.0,2,26.191317098145003,0.0022927633172797825
81,운전면허,9.0,12,26.08994202807666,0.002283889038790144
82,영업,10.0,17,25.734600471294456,0.0022527827724102443
83,정규직,15.0,44,24.85753972882935,0.0021760056981678577
84,협력,13.0,34,24.810288665970557,0.0021718693844720188
85,운전가능자,9.0,14,24.8020344353106,0.002171146816866938
86,품질경영,6.0,3,24.46522466343432,0.0021416628055449566
87,검증,12.0,30,24.358135206485564,0.0021322882949909644
88,현장,20.0,70,24.023038559685894,0.0021029542490303603
89,환경,7.0,7,23.69073184342042,0.0020738644309702694
90,보조,9.0,16,23.675566148724545,0.002072536840290142
91,분석,14.0,43,23.514990395502885,0.0020584801895592295
92,관리 업무,24.0,88,23.404690447043286,0.0020488246355915398
93,외관,6.0,4,23.126363355549056,0.0020244601432221074
94,인근거주자,6.0,4,23.126363355549056,0.0020244601432221074
95,면허,10.0,25,22.05735267004128,0.0019308799511176813
96,조명,6.0,5,22.03243401478533,0.0019286985954236285
97,기구,6.0,5,22.03243401478533,0.0019286985954236285
98,부적합품 관리,4.0,0,21.85532722010244,0.0019131948328381763
99,사무원,13.0,43,21.83534822439553,0.0019114458903049987
100,인증관리,5.0,2,21.8260975817875,0.001910636097733152
101,IA,8.0,15,21.52994466228663,0.001884711149110198
102,AS,7.0,10,21.461555725590674,0.0018787244457773074
103,자동화,6.0,6,21.10752993582178,0.0018477333604068578
104,파워포인트,6.0,6,21.10752993582178,0.0018477333604068578
105,납품,9.0,22,20.955038301868143,0.001834384385889432
106,수행,7.0,12,20.292177132948517,0.0017763581412812235
107,경영,8.0,18,20.15514260687336,0.0017643622674804289
108,입고,9.0,25,19.851617403037157,0.0017377919560059136
109,접수,9.0,25,19.851617403037157,0.0017377919560059136
110,관련 업무,12.0,46,19.364210439786618,0.001695124807891903
111,자격증,12.0,47,19.11156952941263,0.0016730088597103328
112,PPT,4.0,1,19.08273849786266,0.001670485018267407
113,보수,4.0,1,19.08273849786266,0.001670485018267407
114,설치,6.0,9,18.967480272189388,0.0016603954213659535
115,구매,6.0,9,18.967480272189388,0.0016603954213659535
116,공단,7.0,16,18.41432922678576,0.001611973098003444
117,성실,7.0,16,18.41432922678576,0.001611973098003444
118,품질관리 사무원,5.0,5,18.360361678987772,0.00160724882951969
119,공정 관리,5.0,6,17.589608279851483,0.0015397778003390483
120,PC,13.0,60,17.588453231079882,0.001539676688453637
121,유지보수,4.0,2,17.460878065430002,0.0015285088781865218
122,검토,9.0,33,17.43724152368504,0.001526439757505911
123,운영,12.0,58,16.635532333438686,0.001456258887424616
124,관리업무,12.0,59,16.433846913642114,0.0014386035350646346
125,운전면허 1종,3.0,0,16.391495415076832,0.0014348961246286325
126,동종업계 경력,3.0,0,16.391495415076832,0.0014348961246286325
127,데이터 관리,4.0,3,16.31014977562288,0.0014277752036966377
128,잔업,6.0,15,16.147458496714975,0.0014135333618326487
