idx,skill,tf,df,tfidf,pr
0,품질,499.0,17,1284.1565635175932,0.06235229696278851
1,관리,723.0,69,878.6883350318295,0.042664763440966695
2,검사,224.0,10,686.7697832189016,0.0333461469456938
3,품질관리,208.0,12,602.9675490933273,0.029277124571950083
4,생산,218.0,16,573.4748244913279,0.02784510360591745
5,경력,223.0,20,539.5059889083877,0.026195744809708172
6,업무,388.0,88,378.3758288938664,0.018372060476883112
7,제품,119.0,10,364.8464473350415,0.017715140564899833
8,부품,99.0,10,303.5277166904967,0.014737806016177172
9,지원,160.0,41,276.18594987875866,0.013410224931310919
10,공정,105.0,17,270.21330494859177,0.01312022280780119
11,대응,73.0,5,268.0612805132215,0.013015731135619237
12,C,167.0,53,246.29957566304307,0.011959090285287056
13,협의,66.0,10,202.3518111269978,0.009825204010784782
14,자격,82.0,20,198.38336811877932,0.009632516028681927
15,생산관리,66.0,14,181.8815858589444,0.008831271027011688
16,채용,58.0,11,172.77765900378137,0.008389229326702415
17,모집,93.0,42,158.34474710788044,0.007688438446417631
18,QC,41.0,4,158.0301495962519,0.007673163145861533
19,성적서,42.0,5,154.2270381034973,0.007488502845150794
20,사무,79.0,33,153.06023115234646,0.007431848465472107
21,측정,49.0,10,150.23089007913472,0.007294469644370519
22,경력자,72.0,32,141.64734553625735,0.00687769513763532
23,급여,54.0,17,138.96684254499007,0.006747543158297756
24,보증,37.0,5,135.86667642450954,0.006597014411204271
25,수입,43.0,10,131.83527088577128,0.00640126927975372
26,가공,40.0,10,122.63746128908956,0.005954669097445321
27,경험,54.0,24,121.22762292850008,0.005886214313483302
28,기계,37.0,11,110.22023074379156,0.005351749742896368
29,자동차,55.0,31,109.8952746224236,0.005335971479439217
30,작성,87.0,66,109.54510915021402,0.005318969174479204
31,품질보증,25.0,3,101.938436097643,0.004949626720025246
32,인증,46.0,26,99.72776719497892,0.0048422875623077965
33,품질 관리,36.0,15,96.88475098028984,0.004704244743912867
34,서류,56.0,41,96.66508245756552,0.004693578725958821
35,출하,49.0,32,96.39888793439737,0.004680653635335149
36,공정관리,22.0,2,96.034829359865,0.004662976749980211
37,운전,37.0,17,95.21802174378948,0.004623316608463276
38,문서,32.0,12,92.76423832205036,0.004504173011069244
39,출하검사,24.0,4,92.50545342219624,0.004491607695138459
40,공학,21.0,2,91.66960984350752,0.004451023261344747
41,기타,37.0,20,89.51444659018092,0.004346379183673553
42,자재,56.0,47,89.18732447059227,0.004330495750046257
43,식품,25.0,7,84.60975658364436,0.004108231673871257
44,접수,38.0,25,83.81794014615686,0.004069784980490663
45,제작,30.0,14,82.673448117702,0.004014214103187131
46,계획,33.0,19,81.44728453856344,0.003954677658968851
47,엑셀,28.0,16,73.65731690714303,0.0035764353255306816
48,품질검사,20.0,5,73.4414467159511,0.0035659537357860924
49,인원,23.0,10,70.51654024122651,0.0034239347310310603
50,심사,20.0,6,70.35843311940593,0.0034162578304943497
51,성적서 작성,17.0,3,69.31813654639724,0.0033657461696171673
52,근무시간,33.0,28,69.18568717629148,0.0033593150827139107
53,전자,19.0,6,66.84051146343563,0.003245444938969632
54,제조,59.0,77,65.32025572182508,0.0031716288326214853
55,현장,53.0,70,63.66105218316761,0.0030910661078703125
56,협력,33.0,34,62.97996353669448,0.0030579958088512047
57,IT,17.0,5,62.42522970855843,0.0030310606754181783
58,학력,23.0,17,59.189581083977245,0.002873953567423118
59,제조업,20.0,12,57.977648951281466,0.002815108131918277
60,발주,23.0,18,57.94603499476091,0.002813573114412515
61,개선,41.0,57,57.53894057364682,0.0027938066210126218
62,검수,17.0,7,57.53463447687816,0.002793597538232455
63,HACCP,13.0,2,56.74785371264751,0.0027553953522610345
64,임금,20.0,13,56.49548950820703,0.0027431417935711595
65,선박,16.0,7,54.15024421353239,0.0026292682712776043
66,분석,32.0,43,53.74854947543516,0.0026097639598020475
67,참여,15.0,6,52.76882483955445,0.0025621933728707624
68,감정,12.0,2,52.382634196290006,0.00254344186362557
69,경력자 우대,28.0,37,51.13487806837828,0.0024828569919401592
70,보고,15.0,7,50.76585395018662,0.002464939004322754
71,품질경영,12.0,3,48.93044932686864,0.002375820825612118
72,납품,21.0,22,48.89508937102567,0.0023741039208904128
73,의료기기,18.0,15,48.44237549014492,0.0023521223719564334
74,평가,18.0,15,48.44237549014492,0.0023521223719564334
75,설비,21.0,23,48.00133746823095,0.0023307077450366964
76,SI,12.0,4,46.25272671109811,0.002245803847569229
77,인근거주자,12.0,4,46.25272671109811,0.002245803847569229
78,설계,13.0,6,45.73298152761386,0.0022205675898213277
79,보조,17.0,16,44.7205138364797,0.0021714071619293425
80,자동차부품,15.0,11,44.683877328564144,0.002169628274147176
81,ACC,14.0,9,44.25745396844191,0.002148923262984534
82,CE,12.0,5,44.06486802957066,0.0021395722414716553
83,품질개선,10.0,2,43.652195163575,0.0021195348863546413
84,출고,27.0,47,43.00103144117842,0.0020879175937723025
85,경영,17.0,18,42.82967803960589,0.0020795975193483806
86,운전가능,13.0,8,42.46589395996208,0.0020619339621087925
87,도장,11.0,4,42.3983328185066,0.00205865352693846
88,생산계획,11.0,4,42.3983328185066,0.00205865352693846
89,차량,15.0,13,42.37161713115528,0.00205735634517837
90,사출,16.0,16,42.0898953755103,0.002043677328874675
91,사무원,25.0,43,41.99105427768372,0.00203887809359535
92,구매,13.0,9,41.09620725641034,0.0019954287441999244
93,불량,12.0,7,40.61268316014929,0.001971951203458203
94,CAD,12.0,7,40.61268316014929,0.001971951203458203
95,환경,12.0,7,40.61268316014929,0.001971951203458203
96,도면,20.0,32,39.3464848711826,0.0019104708715653668
97,스케줄 관리,8.0,1,38.16547699572532,0.0018531269651773548
98,협의 가능,23.0,44,38.11489425087167,0.0018506709170459119
99,공정검사,12.0,9,37.934960544378775,0.0018419342254153148
100,관리 업무,38.0,88,37.05742654115187,0.001799325510622573
101,검사 업무,12.0,10,36.79123838672688,0.001786400729233597
102,AS,12.0,10,36.79123838672688,0.001786400729233597
103,운전가능자,13.0,14,35.8251608510042,0.001739492778047757
104,입고,16.0,25,35.29176427206605,0.0017135936759960688
105,경력직,19.0,36,35.20536395524633,0.0017093985035653292
106,공정 관리,10.0,6,35.179216559702965,0.0017081289152471749
107,금속,10.0,6,35.179216559702965,0.0017081289152471749
108,인증관리,8.0,2,34.921756130860004,0.0016956279090837134
109,수행,12.0,12,34.78658937076888,0.001689064879150966
110,성실,13.0,16,34.19803999260212,0.0016604878297106736
111,교육,12.0,13,33.89729370492422,0.001645885076142696
112,출고 관리,11.0,10,33.725301854499634,0.0016375340017974636
113,자격증,21.0,47,33.4452466764721,0.0016239359062673465
114,지게차,12.0,14,33.0693792470808,0.0016056856412748526
115,품질관리 사무원,9.0,5,33.04865102217799,0.0016046791811037415
116,진행,27.0,69,32.814087200358784,0.0015932899210319516
117,운전면허,11.0,12,31.887706923204806,0.0015483094725550523
118,행사,11.0,12,31.887706923204806,0.0015483094725550523
119,ERP,10.0,9,31.61246712031565,0.001534945187846096
120,포장,12.0,17,30.881520565553345,0.0014994540351772787
121,제품 검사,9.0,7,30.45951237011197,0.0014789634025936527
122,해당직무 근무경험,10.0,11,29.789251552376097,0.0014464188494314508
123,초보,9.0,8,29.399465049204515,0.0014274927429983948
124,ISIR,8.0,5,29.37657868638044,0.001426381494314437
125,검토,15.0,33,29.06206920614173,0.001411110468127615
126,시험,12.0,20,29.031712407626244,0.0014096364920022334
127,관리업무,21.0,59,28.7592320988737,0.0013964061946922916
128,면허,13.0,25,28.674558471053665,0.001392294861746806
129,PPT,6.0,1,28.62410774679399,0.001389845223883016
130,치수,6.0,1,28.62410774679399,0.001389845223883016
131,품질대응,7.0,3,28.54276210734004,0.0013858954816070687
132,생산관리 업무,7.0,3,28.54276210734004,0.0013858954816070687
133,특근,7.0,3,28.54276210734004,0.0013858954816070687
134,QA,8.0,6,28.143373247762373,0.00136650313219774
135,운영,20.0,58,27.72588722239781,0.0013462320738463812
136,전산,11.0,18,27.713321084450868,0.0013456219242842461
137,입출고,9.0,10,27.59342879004516,0.0013398005469251978
138,사무업무,14.0,32,27.542539409827818,0.0013373296100957568
139,지그,5.0,0,27.31915902512805,0.0013264833624666444
140,원자재,11.0,19,27.14909484618781,0.0013182258863229503
141,외주,14.0,33,27.12459792573228,0.0013170364369191074
142,고객사 대응,8.0,7,27.075122106766194,0.0013146341356388021
143,납기,7.0,4,26.980757248140566,0.0013100522444153837
144,화학,7.0,4,26.980757248140566,0.0013100522444153837
145,홈페이지,7.0,4,26.980757248140566,0.0013100522444153837
146,지게차 운전,7.0,4,26.980757248140566,0.0013100522444153837
147,재고,14.0,34,26.718772409506748,0.0012973315552702082
148,일정관리,8.0,8,26.132857821515124,0.0012688824382207954
149,플랜트,8.0,8,26.132857821515124,0.0012688824382207954
150,관련 업무,16.0,46,25.818947253048822,0.0012536404922300717
151,조선,10.0,18,25.193928258591697,0.0012232926584402237
152,관리자,11.0,23,25.143557721454307,0.001220846914066841
153,4대보험,11.0,23,25.143557721454307,0.001220846914066841
154,프로그램,10.0,19,24.680995314716192,0.0011983871693845003
155,자동화,7.0,6,24.625451591792075,0.0011956902406730224
156,문서 작성,7.0,6,24.625451591792075,0.0011956902406730224
157,컴퓨터,13.0,36,24.08788060095801,0.0011695884498078566
158,일정 관리,8.0,11,23.83140124190088,0.001157135079545161
159,서류 작성,8.0,11,23.83140124190088,0.001157135079545161
160,정규직,14.0,44,23.200370413574063,0.001126495340810555
161,MD,6.0,4,23.126363355549056,0.0011229019237846145
162,IP,6.0,4,23.126363355549056,0.0011229019237846145
163,전자부품,6.0,4,23.126363355549056,0.0011229019237846145
164,이메일,12.0,36,22.234966708576625,0.0010796201075149447
165,등록,7.0,9,22.128726984220958,0.0010744616314922672
166,별도,20.0,78,21.887679051171773,0.0010627575350209
167,시정조치하기,4.0,0,21.85532722010244,0.0010611866899733154
168,결과보고하기,4.0,0,21.85532722010244,0.0010611866899733154
169,학사,5.0,2,21.8260975817875,0.0010597674431773207
