idx,skill,tf,df,tfidf,pr
0,생산,12.0,16,31.567421531632725,0.03789512205490639
1,관리,22.0,69,26.737404385477525,0.032096926307514435
2,완성품,3.0,1,14.312053873396994,0.017180910003856218
3,생산관리,5.0,14,13.778908019617,0.01654089487997875
4,품질,5.0,17,12.867300235647228,0.015446555001597478
5,자재,8.0,47,12.741046352941751,0.015294993484600103
6,구매,4.0,9,12.644986848126258,0.015179678818944903
7,외주,6.0,33,11.624827682456692,0.01395502839699832
8,자재 입,3.0,5,11.016217007392664,0.013224421502407348
9,작업진척 관리하기,2.0,0,10.92766361005122,0.013118117546055769
10,편직,2.0,0,10.92766361005122,0.013118117546055769
11,원단 생산,2.0,1,9.54136924893133,0.011453940002570811
12,납품,4.0,22,9.313350356385842,0.011180214644445593
13,제품,3.0,10,9.19780959668172,0.01104151369964664
14,봉제,2.0,2,8.730439032715001,0.01048045854508986
15,재고,4.0,34,7.633934974144785,0.009164159870154358
16,발주,3.0,18,7.55817847757751,0.009073217957746585
17,관리자,3.0,23,6.857333924032993,0.008231888871952477
18,자재 발주,2.0,8,6.533214455378781,0.007842799544123948
19,품질관리,2.0,12,5.797764895128147,0.006959928866105555
20,제작,2.0,14,5.5115632078468,0.006616357951991499
21,불량재고 처리하기,1.0,0,5.4638318050256105,0.006559058773027885
22,품질지도 관리하기,1.0,0,5.4638318050256105,0.006559058773027885
23,저장특성 파악하기,1.0,0,5.4638318050256105,0.006559058773027885
24,재고 매뉴얼 작성하기,1.0,0,5.4638318050256105,0.006559058773027885
25,최종제품 평가하기,1.0,0,5.4638318050256105,0.006559058773027885
26,자재 입·출고 관리하기,1.0,0,5.4638318050256105,0.006559058773027885
27,이화학검사하기,1.0,0,5.4638318050256105,0.006559058773027885
28,1톤 트럭 운전,1.0,0,5.4638318050256105,0.006559058773027885
29,부자재 발주,1.0,0,5.4638318050256105,0.006559058773027885
30,엑셀,2.0,16,5.261236921938788,0.006315853675817731
31,운전,2.0,17,5.146920094258891,0.006178622000638991
32,프로그램,2.0,19,4.936199062943238,0.005925661865987493
33,출고,3.0,47,4.777892382353158,0.0057356225567250394
34,품질 보증,1.0,1,4.770684624465665,0.0057269700012854054
35,프로그램 활용,1.0,1,4.770684624465665,0.0057269700012854054
36,제품 납품,1.0,1,4.770684624465665,0.0057269700012854054
37,1톤,1.0,1,4.770684624465665,0.0057269700012854054
38,입고,2.0,25,4.411470534008256,0.0052957513226205965
39,재단,1.0,2,4.3652195163575005,0.00524022927254493
40,품질관리 매뉴얼 작성하기,1.0,3,4.07753744390572,0.0048948812295429266
41,재고실사하기,1.0,3,4.07753744390572,0.0048948812295429266
42,부자재 입고,1.0,3,4.07753744390572,0.0048948812295429266
43,생산직,1.0,3,4.07753744390572,0.0048948812295429266
44,업무,4.0,88,3.9007817411738808,0.004682694785293378
45,공장 관리,1.0,4,3.8543938925915096,0.004627008476478705
46,납기,1.0,4,3.8543938925915096,0.004627008476478705
47,IP,1.0,4,3.8543938925915096,0.004627008476478705
48,화학,1.0,4,3.8543938925915096,0.004627008476478705
49,수출,1.0,4,3.8543938925915096,0.004627008476478705
50,지게차 운전,1.0,4,3.8543938925915096,0.004627008476478705
51,납기관리,1.0,5,3.672072335797555,0.00440814050080245
52,보증,1.0,5,3.672072335797555,0.00440814050080245
53,해외 수,1.0,6,3.5179216559702966,0.0042230902640877695
54,자재 출고,1.0,6,3.5179216559702966,0.0042230902640877695
55,패킹,1.0,6,3.5179216559702966,0.0042230902640877695
56,제품 생산,1.0,6,3.5179216559702966,0.0042230902640877695
57,공정 관리,1.0,6,3.5179216559702966,0.0042230902640877695
58,불량,1.0,7,3.3843902633457743,0.004062792457800448
59,외주관리,1.0,7,3.3843902633457743,0.004062792457800448
60,거래처 관리,1.0,7,3.3843902633457743,0.004062792457800448
61,주문,1.0,9,3.1612467120315646,0.003794919704736226
62,유통,1.0,9,3.1612467120315646,0.003794919704736226
63,출고 관리,1.0,10,3.0659365322272394,0.0036805045665488792
64,검사,1.0,10,3.0659365322272394,0.0036805045665488792
65,입출고,1.0,10,3.0659365322272394,0.0036805045665488792
66,지게차,1.0,14,2.7557816039234,0.0033081789759957497
67,자차필수,1.0,15,2.691243082785829,0.0032307036860579684
68,평가,1.0,15,2.691243082785829,0.0032307036860579684
69,재고관리,1.0,15,2.691243082785829,0.0032307036860579684
70,생산 관리,1.0,16,2.630618460969394,0.0031579268379088657
71,기능,1.0,16,2.630618460969394,0.0031579268379088657
72,공정,1.0,17,2.573460047129445,0.0030893110003194953
73,급여,1.0,17,2.573460047129445,0.0030893110003194953
74,작성,2.0,66,2.518278371269288,0.003023068138519095
75,경력,1.0,20,2.419309367302187,0.0029042607636048145
76,거래처,2.0,71,2.374331372019109,0.0028502669136690737
77,자재발주,1.0,23,2.2857779746776643,0.002743962957317492
78,총괄,1.0,23,2.2857779746776643,0.002743962957317492
79,매입,1.0,30,2.029844600540464,0.0024367276501469476
80,출하,1.0,32,1.9673242435591296,0.002361675066065924
81,경력자,1.0,32,1.9673242435591296,0.002361675066065924
82,점검,1.0,33,1.9374712804094487,0.002325838066166387
83,모집,1.0,42,1.7026316893320477,0.0020439247981383114
84,관련 업무,1.0,46,1.6136842033155514,0.0019371477579009718
85,해외,1.0,51,1.5125880864441827,0.0018157868895678194
86,C,1.0,53,1.4748477584613358,0.0017704814998365406
87,현장,1.0,70,1.2011519279842946,0.0014419232458323847
88,제조,1.0,77,1.1071229783360184,0.0013290461608273436
89,매출,1.0,79,1.0818051703517284,0.0012986533895087884
90,기업,1.0,94,0.9099549134250692,0.0010923556893663482
91,직원,1.0,147,0.4666195312614949,0.0005601535770870096
92,법인세 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
93,소모품 수입,0.01,0,0.0546383180502561,6.559058773027885e-05
94,영문 서신 작성,0.01,0,0.0546383180502561,6.559058773027885e-05
95,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,6.559058773027885e-05
96,유해화학물질관리자,0.01,0,0.0546383180502561,6.559058773027885e-05
97,가구 설치,0.01,0,0.0546383180502561,6.559058773027885e-05
98,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,6.559058773027885e-05
99,타이어 탈착,0.01,0,0.0546383180502561,6.559058773027885e-05
100,현장 조율,0.01,0,0.0546383180502561,6.559058773027885e-05
101,경영계획 분석,0.01,0,0.0546383180502561,6.559058773027885e-05
102,폐기물 관련 업무,0.01,0,0.0546383180502561,6.559058773027885e-05
103,납품계획 세우기,0.01,0,0.0546383180502561,6.559058773027885e-05
104,매뉴얼 업무,0.01,0,0.0546383180502561,6.559058773027885e-05
105,건축업무 경험,0.01,0,0.0546383180502561,6.559058773027885e-05
106,UX 시나리오 제작,0.01,0,0.0546383180502561,6.559058773027885e-05
107,평가계획 수립하기,0.01,0,0.0546383180502561,6.559058773027885e-05
108,현장상황파악,0.01,0,0.0546383180502561,6.559058773027885e-05
109,인허가관리,0.01,0,0.0546383180502561,6.559058773027885e-05
110,사건 수임,0.01,0,0.0546383180502561,6.559058773027885e-05
111,PF심의자료 작성,0.01,0,0.0546383180502561,6.559058773027885e-05
112,디지털 교육 이해,0.01,0,0.0546383180502561,6.559058773027885e-05
113,여행상품개발,0.01,0,0.0546383180502561,6.559058773027885e-05
114,주차매출 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
115,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
116,어도비 포토샵,0.01,0,0.0546383180502561,6.559058773027885e-05
117,데미지 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
118,기관 소통 업무,0.01,0,0.0546383180502561,6.559058773027885e-05
119,비디오메타 사용,0.01,0,0.0546383180502561,6.559058773027885e-05
120,소프트웨어 테스트하기,0.01,0,0.0546383180502561,6.559058773027885e-05
121,자습감독,0.01,0,0.0546383180502561,6.559058773027885e-05
122,JLPT 2급이상,0.01,0,0.0546383180502561,6.559058773027885e-05
123,한자 관련 자격증,0.01,0,0.0546383180502561,6.559058773027885e-05
124,기성취합,0.01,0,0.0546383180502561,6.559058773027885e-05
125,KUBERNETES,0.01,0,0.0546383180502561,6.559058773027885e-05
126,프로젝트 코디네이팅,0.01,0,0.0546383180502561,6.559058773027885e-05
127,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,6.559058773027885e-05
128,경비지도사 직무교육,0.01,0,0.0546383180502561,6.559058773027885e-05
129,데이터 마이닝,0.01,0,0.0546383180502561,6.559058773027885e-05
130,채권현황 파악,0.01,0,0.0546383180502561,6.559058773027885e-05
131,제품표준서 작성,0.01,0,0.0546383180502561,6.559058773027885e-05
132,일용직 투입,0.01,0,0.0546383180502561,6.559058773027885e-05
133,영업 손익관리,0.01,0,0.0546383180502561,6.559058773027885e-05
134,불꽃놀이 연출,0.01,0,0.0546383180502561,6.559058773027885e-05
135,생산검토,0.01,0,0.0546383180502561,6.559058773027885e-05
136,화학사고대응,0.01,0,0.0546383180502561,6.559058773027885e-05
137,나라사업 발굴,0.01,0,0.0546383180502561,6.559058773027885e-05
138,영상 프로그램,0.01,0,0.0546383180502561,6.559058773027885e-05
139,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,6.559058773027885e-05
140,운영 원칙 이해,0.01,0,0.0546383180502561,6.559058773027885e-05
141,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,6.559058773027885e-05
142,법규 검토,0.01,0,0.0546383180502561,6.559058773027885e-05
143,분양 타당성 분석하기,0.01,0,0.0546383180502561,6.559058773027885e-05
144,각종 사무관리,0.01,0,0.0546383180502561,6.559058773027885e-05
145,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,6.559058773027885e-05
146,가격별 상품 구성,0.01,0,0.0546383180502561,6.559058773027885e-05
147,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,6.559058773027885e-05
148,국제계약규범 활용하기,0.01,0,0.0546383180502561,6.559058773027885e-05
149,수입신고서 작성,0.01,0,0.0546383180502561,6.559058773027885e-05
150,근무표관리,0.01,0,0.0546383180502561,6.559058773027885e-05
151,직업훈련 평가,0.01,0,0.0546383180502561,6.559058773027885e-05
152,제품 기술정보,0.01,0,0.0546383180502561,6.559058773027885e-05
153,지장물 조서 작성,0.01,0,0.0546383180502561,6.559058773027885e-05
154,의료 비품 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
155,어도브 프로그램,0.01,0,0.0546383180502561,6.559058773027885e-05
156,농산식품 매장 관리하기,0.01,0,0.0546383180502561,6.559058773027885e-05
157,UX 콘셉트 디자인,0.01,0,0.0546383180502561,6.559058773027885e-05
158,에어컨 조립,0.01,0,0.0546383180502561,6.559058773027885e-05
159,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,6.559058773027885e-05
160,서버 기본 설치,0.01,0,0.0546383180502561,6.559058773027885e-05
161,CLAIM 업무,0.01,0,0.0546383180502561,6.559058773027885e-05
162,PPT 활용능력,0.01,0,0.0546383180502561,6.559058773027885e-05
163,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,6.559058773027885e-05
164,중량 점검표,0.01,0,0.0546383180502561,6.559058773027885e-05
165,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,6.559058773027885e-05
166,관련업계 경험,0.01,0,0.0546383180502561,6.559058773027885e-05
167,대표 업무,0.01,0,0.0546383180502561,6.559058773027885e-05
168,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,6.559058773027885e-05
169,농업법인 상담,0.01,0,0.0546383180502561,6.559058773027885e-05
170,온라인 MD 경력,0.01,0,0.0546383180502561,6.559058773027885e-05
171,GUI 프로그래밍,0.01,0,0.0546383180502561,6.559058773027885e-05
172,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,6.559058773027885e-05
173,인터칩 통신,0.01,0,0.0546383180502561,6.559058773027885e-05
174,품질 개선방법 파악,0.01,0,0.0546383180502561,6.559058773027885e-05
175,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,6.559058773027885e-05
176,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,6.559058773027885e-05
177,유통사 파트너 시스템,0.01,0,0.0546383180502561,6.559058773027885e-05
178,입출납업무,0.01,0,0.0546383180502561,6.559058773027885e-05
179,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,6.559058773027885e-05
180,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,6.559058773027885e-05
181,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,6.559058773027885e-05
182,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,6.559058773027885e-05
183,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,6.559058773027885e-05
184,축구 전공자,0.01,0,0.0546383180502561,6.559058773027885e-05
185,플레이스토어 배포 경험,0.01,0,0.0546383180502561,6.559058773027885e-05
186,펌웨어 코딩하기,0.01,0,0.0546383180502561,6.559058773027885e-05
187,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,6.559058773027885e-05
188,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,6.559058773027885e-05
189,DB DESIGN,0.01,0,0.0546383180502561,6.559058773027885e-05
190,식자재 입고하기,0.01,0,0.0546383180502561,6.559058773027885e-05
191,펌웨어 검증하기,0.01,0,0.0546383180502561,6.559058773027885e-05
192,불만사항 수집,0.01,0,0.0546383180502561,6.559058773027885e-05
193,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,6.559058773027885e-05
194,화장품과학,0.01,0,0.0546383180502561,6.559058773027885e-05
195,노무 관련 업무,0.01,0,0.0546383180502561,6.559058773027885e-05
196,구내통신구축 공사관리,0.01,0,0.0546383180502561,6.559058773027885e-05
197,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,6.559058773027885e-05
198,소분하기,0.01,0,0.0546383180502561,6.559058773027885e-05
199,자재사무원,0.01,0,0.0546383180502561,6.559058773027885e-05
200,사진 찍기,0.01,0,0.0546383180502561,6.559058773027885e-05
201,경제적 환경분석하기,0.01,0,0.0546383180502561,6.559058773027885e-05
202,인적관리,0.01,0,0.0546383180502561,6.559058773027885e-05
203,공구자재 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
204,봉제부,0.01,0,0.0546383180502561,6.559058773027885e-05
205,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,6.559058773027885e-05
206,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,6.559058773027885e-05
207,음 매출대비 원가 산출,0.01,0,0.0546383180502561,6.559058773027885e-05
208,관련 유경헙자,0.01,0,0.0546383180502561,6.559058773027885e-05
209,사무OA 프로그램 자,0.01,0,0.0546383180502561,6.559058773027885e-05
210,수강생관리,0.01,0,0.0546383180502561,6.559058773027885e-05
211,신규 수강상담,0.01,0,0.0546383180502561,6.559058773027885e-05
212,일반행정관리,0.01,0,0.0546383180502561,6.559058773027885e-05
213,간이지급명세서 전자신고,0.01,0,0.0546383180502561,6.559058773027885e-05
214,HSK 5급 이상,0.01,0,0.0546383180502561,6.559058773027885e-05
215,MES전산사용,0.01,0,0.0546383180502561,6.559058773027885e-05
216,신선 수산물 취급관리하기,0.01,0,0.0546383180502561,6.559058773027885e-05
217,HRD-NET 교육 행정사무,0.01,0,0.0546383180502561,6.559058773027885e-05
218,학교 환경,0.01,0,0.0546383180502561,6.559058773027885e-05
219,빅데이터 또는 RDB 기반 데이터를 분석하고 조합하여 고객이 원하는 데이터 융복합 DATASET을 만들어 제공한 경험,0.01,0,0.0546383180502561,6.559058773027885e-05
220,판매처별 행사,0.01,0,0.0546383180502561,6.559058773027885e-05
221,산업용 미디어 컨버터,0.01,0,0.0546383180502561,6.559058773027885e-05
222,원자력공학,0.01,0,0.0546383180502561,6.559058773027885e-05
223,전화 소통,0.01,0,0.0546383180502561,6.559058773027885e-05
224,철판 절단절곡제작,0.01,0,0.0546383180502561,6.559058773027885e-05
225,인스타그램운영,0.01,0,0.0546383180502561,6.559058773027885e-05
226,건축 또는 토목 소지자,0.01,0,0.0546383180502561,6.559058773027885e-05
227,SIEM,0.01,0,0.0546383180502561,6.559058773027885e-05
228,기타서류 보조,0.01,0,0.0546383180502561,6.559058773027885e-05
229,카본섬유 활용 스포츠제품 개발,0.01,0,0.0546383180502561,6.559058773027885e-05
230,국내외 식품 관련 규정,0.01,0,0.0546383180502561,6.559058773027885e-05
231,관능평가,0.01,0,0.0546383180502561,6.559058773027885e-05
232,재가장깅양기관,0.01,0,0.0546383180502561,6.559058773027885e-05
233,수집 데이터 검증모듈 개발,0.01,0,0.0546383180502561,6.559058773027885e-05
234,현장검측·시공 확인하기,0.01,0,0.0546383180502561,6.559058773027885e-05
235,보증수리 일반정비 내역서 발행,0.01,0,0.0546383180502561,6.559058773027885e-05
236,서버내 탑재된 솔류션,0.01,0,0.0546383180502561,6.559058773027885e-05
237,상품 원가 분석,0.01,0,0.0546383180502561,6.559058773027885e-05
238,영문 E-MAIL 독해,0.01,0,0.0546383180502561,6.559058773027885e-05
239,각종 센서 활용한 개발 경험,0.01,0,0.0546383180502561,6.559058773027885e-05
240,자동화 등,0.01,0,0.0546383180502561,6.559058773027885e-05
241,RETAIL DEVELOPMENT,0.01,0,0.0546383180502561,6.559058773027885e-05
242,EAP,0.01,0,0.0546383180502561,6.559058773027885e-05
243,조직문화 활성화 방안 실행하기,0.01,0,0.0546383180502561,6.559058773027885e-05
244,SW테스트 전략,0.01,0,0.0546383180502561,6.559058773027885e-05
245,생산진도 관리하기,0.01,0,0.0546383180502561,6.559058773027885e-05
246,개인결체창,0.01,0,0.0546383180502561,6.559058773027885e-05
247,SNS 기반 활용,0.01,0,0.0546383180502561,6.559058773027885e-05
248,세미나 개최,0.01,0,0.0546383180502561,6.559058773027885e-05
249,교육 개발,0.01,0,0.0546383180502561,6.559058773027885e-05
250,정보통신 지식,0.01,0,0.0546383180502561,6.559058773027885e-05
251,구급차 운전,0.01,0,0.0546383180502561,6.559058773027885e-05
252,환경미화원,0.01,0,0.0546383180502561,6.559058773027885e-05
253,원자재 입출고 검수,0.01,0,0.0546383180502561,6.559058773027885e-05
254,거래처 불만대응,0.01,0,0.0546383180502561,6.559058773027885e-05
255,분양상품 수요 분석하기,0.01,0,0.0546383180502561,6.559058773027885e-05
256,부동산 권리분석,0.01,0,0.0546383180502561,6.559058773027885e-05
257,활동 유경험자,0.01,0,0.0546383180502561,6.559058773027885e-05
258,부동산관련업무,0.01,0,0.0546383180502561,6.559058773027885e-05
259,3D 렌더링,0.01,0,0.0546383180502561,6.559058773027885e-05
260,제품공정별 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
261,고객사 데이터베이스 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
262,거래약정 감리하기,0.01,0,0.0546383180502561,6.559058773027885e-05
263,내PC지키미,0.01,0,0.0546383180502561,6.559058773027885e-05
264,UI 설계,0.01,0,0.0546383180502561,6.559058773027885e-05
265,경영실적 측정하기,0.01,0,0.0546383180502561,6.559058773027885e-05
266,과제비 집행,0.01,0,0.0546383180502561,6.559058773027885e-05
267,기타 관련서류 작성,0.01,0,0.0546383180502561,6.559058773027885e-05
268,치킨가맹점 수발주관리,0.01,0,0.0546383180502561,6.559058773027885e-05
269,제조수량 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
270,운영 관련 프로그램 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
271,장비운용 전문교육,0.01,0,0.0546383180502561,6.559058773027885e-05
272,사회복지사 1급,0.01,0,0.0546383180502561,6.559058773027885e-05
273,여행상품 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
274,자동소화장치,0.01,0,0.0546383180502561,6.559058773027885e-05
275,무역분쟁 해결하기,0.01,0,0.0546383180502561,6.559058773027885e-05
276,조선소 납품,0.01,0,0.0546383180502561,6.559058773027885e-05
277,구매단가 결정하기,0.01,0,0.0546383180502561,6.559058773027885e-05
278,도급직원 관리,0.01,0,0.0546383180502561,6.559058773027885e-05
279,공공 사업 현장대리인,0.01,0,0.0546383180502561,6.559058773027885e-05
280,인공지능 모델 개발,0.01,0,0.0546383180502561,6.559058773027885e-05
