idx,skill,tf,df,tfidf,pr
0,현장조사,2.0,2,8.730439032715001,0.02174726659235772
1,기록,2.0,6,7.035843311940593,0.017526078543526103
2,보조,2.0,16,5.261236921938788,0.013105586273291536
3,통화,1.0,2,4.3652195163575005,0.01087363329617886
4,보고서 작성,1.0,2,4.3652195163575005,0.01087363329617886
5,업무 보조,1.0,5,3.672072335797555,0.009147024076769364
6,보고,1.0,7,3.3843902633457743,0.008430416504113851
7,보고서,1.0,9,3.1612467120315646,0.007874572487494395
8,평가,1.0,15,2.691243082785829,0.006703807284704354
9,경력,1.0,20,2.419309367302187,0.006026428405599573
10,현장,2.0,70,2.402303855968589,0.005984068177537124
11,경력자,1.0,32,1.9673242435591296,0.004900546769522986
12,업무,2.0,88,1.9503908705869404,0.0048583662359949365
13,경력자 우대,1.0,37,1.826245645299224,0.004549124134837891
14,작성,1.0,66,1.259139185634644,0.003136478640337662
15,보험,1.0,146,0.4733992182468737,0.001179223515020287
16,법인세 관리,0.01,0,0.0546383180502561,0.00013610244162342338
17,소모품 수입,0.01,0,0.0546383180502561,0.00013610244162342338
18,영문 서신 작성,0.01,0,0.0546383180502561,0.00013610244162342338
19,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00013610244162342338
20,유해화학물질관리자,0.01,0,0.0546383180502561,0.00013610244162342338
21,가구 설치,0.01,0,0.0546383180502561,0.00013610244162342338
22,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00013610244162342338
23,타이어 탈착,0.01,0,0.0546383180502561,0.00013610244162342338
24,현장 조율,0.01,0,0.0546383180502561,0.00013610244162342338
25,경영계획 분석,0.01,0,0.0546383180502561,0.00013610244162342338
26,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00013610244162342338
27,납품계획 세우기,0.01,0,0.0546383180502561,0.00013610244162342338
28,불량재고 처리하기,0.01,0,0.0546383180502561,0.00013610244162342338
29,매뉴얼 업무,0.01,0,0.0546383180502561,0.00013610244162342338
30,건축업무 경험,0.01,0,0.0546383180502561,0.00013610244162342338
31,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00013610244162342338
32,평가계획 수립하기,0.01,0,0.0546383180502561,0.00013610244162342338
33,현장상황파악,0.01,0,0.0546383180502561,0.00013610244162342338
34,인허가관리,0.01,0,0.0546383180502561,0.00013610244162342338
35,사건 수임,0.01,0,0.0546383180502561,0.00013610244162342338
36,PF심의자료 작성,0.01,0,0.0546383180502561,0.00013610244162342338
37,디지털 교육 이해,0.01,0,0.0546383180502561,0.00013610244162342338
38,여행상품개발,0.01,0,0.0546383180502561,0.00013610244162342338
39,주차매출 관리,0.01,0,0.0546383180502561,0.00013610244162342338
40,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00013610244162342338
41,어도비 포토샵,0.01,0,0.0546383180502561,0.00013610244162342338
42,데미지 관리,0.01,0,0.0546383180502561,0.00013610244162342338
43,기관 소통 업무,0.01,0,0.0546383180502561,0.00013610244162342338
44,비디오메타 사용,0.01,0,0.0546383180502561,0.00013610244162342338
45,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00013610244162342338
46,자습감독,0.01,0,0.0546383180502561,0.00013610244162342338
47,JLPT 2급이상,0.01,0,0.0546383180502561,0.00013610244162342338
48,한자 관련 자격증,0.01,0,0.0546383180502561,0.00013610244162342338
49,기성취합,0.01,0,0.0546383180502561,0.00013610244162342338
50,KUBERNETES,0.01,0,0.0546383180502561,0.00013610244162342338
51,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00013610244162342338
52,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00013610244162342338
53,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00013610244162342338
54,데이터 마이닝,0.01,0,0.0546383180502561,0.00013610244162342338
55,채권현황 파악,0.01,0,0.0546383180502561,0.00013610244162342338
56,제품표준서 작성,0.01,0,0.0546383180502561,0.00013610244162342338
57,일용직 투입,0.01,0,0.0546383180502561,0.00013610244162342338
58,영업 손익관리,0.01,0,0.0546383180502561,0.00013610244162342338
59,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00013610244162342338
60,생산검토,0.01,0,0.0546383180502561,0.00013610244162342338
61,화학사고대응,0.01,0,0.0546383180502561,0.00013610244162342338
62,나라사업 발굴,0.01,0,0.0546383180502561,0.00013610244162342338
63,영상 프로그램,0.01,0,0.0546383180502561,0.00013610244162342338
64,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00013610244162342338
65,운영 원칙 이해,0.01,0,0.0546383180502561,0.00013610244162342338
66,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00013610244162342338
67,법규 검토,0.01,0,0.0546383180502561,0.00013610244162342338
68,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00013610244162342338
69,각종 사무관리,0.01,0,0.0546383180502561,0.00013610244162342338
70,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00013610244162342338
71,가격별 상품 구성,0.01,0,0.0546383180502561,0.00013610244162342338
72,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00013610244162342338
73,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00013610244162342338
74,수입신고서 작성,0.01,0,0.0546383180502561,0.00013610244162342338
75,근무표관리,0.01,0,0.0546383180502561,0.00013610244162342338
76,직업훈련 평가,0.01,0,0.0546383180502561,0.00013610244162342338
77,제품 기술정보,0.01,0,0.0546383180502561,0.00013610244162342338
78,지장물 조서 작성,0.01,0,0.0546383180502561,0.00013610244162342338
79,의료 비품 관리,0.01,0,0.0546383180502561,0.00013610244162342338
80,어도브 프로그램,0.01,0,0.0546383180502561,0.00013610244162342338
81,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00013610244162342338
82,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00013610244162342338
83,에어컨 조립,0.01,0,0.0546383180502561,0.00013610244162342338
84,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00013610244162342338
85,서버 기본 설치,0.01,0,0.0546383180502561,0.00013610244162342338
86,CLAIM 업무,0.01,0,0.0546383180502561,0.00013610244162342338
87,PPT 활용능력,0.01,0,0.0546383180502561,0.00013610244162342338
88,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00013610244162342338
89,중량 점검표,0.01,0,0.0546383180502561,0.00013610244162342338
90,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.00013610244162342338
91,관련업계 경험,0.01,0,0.0546383180502561,0.00013610244162342338
92,대표 업무,0.01,0,0.0546383180502561,0.00013610244162342338
93,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.00013610244162342338
94,농업법인 상담,0.01,0,0.0546383180502561,0.00013610244162342338
95,온라인 MD 경력,0.01,0,0.0546383180502561,0.00013610244162342338
96,GUI 프로그래밍,0.01,0,0.0546383180502561,0.00013610244162342338
97,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.00013610244162342338
98,인터칩 통신,0.01,0,0.0546383180502561,0.00013610244162342338
99,품질 개선방법 파악,0.01,0,0.0546383180502561,0.00013610244162342338
100,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.00013610244162342338
101,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.00013610244162342338
102,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.00013610244162342338
103,입출납업무,0.01,0,0.0546383180502561,0.00013610244162342338
104,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.00013610244162342338
105,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.00013610244162342338
106,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.00013610244162342338
107,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,0.00013610244162342338
108,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,0.00013610244162342338
109,축구 전공자,0.01,0,0.0546383180502561,0.00013610244162342338
110,플레이스토어 배포 경험,0.01,0,0.0546383180502561,0.00013610244162342338
111,펌웨어 코딩하기,0.01,0,0.0546383180502561,0.00013610244162342338
112,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,0.00013610244162342338
113,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,0.00013610244162342338
114,DB DESIGN,0.01,0,0.0546383180502561,0.00013610244162342338
115,식자재 입고하기,0.01,0,0.0546383180502561,0.00013610244162342338
116,펌웨어 검증하기,0.01,0,0.0546383180502561,0.00013610244162342338
117,불만사항 수집,0.01,0,0.0546383180502561,0.00013610244162342338
118,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,0.00013610244162342338
119,화장품과학,0.01,0,0.0546383180502561,0.00013610244162342338
120,노무 관련 업무,0.01,0,0.0546383180502561,0.00013610244162342338
121,구내통신구축 공사관리,0.01,0,0.0546383180502561,0.00013610244162342338
122,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,0.00013610244162342338
123,소분하기,0.01,0,0.0546383180502561,0.00013610244162342338
124,자재사무원,0.01,0,0.0546383180502561,0.00013610244162342338
125,사진 찍기,0.01,0,0.0546383180502561,0.00013610244162342338
126,경제적 환경분석하기,0.01,0,0.0546383180502561,0.00013610244162342338
127,인적관리,0.01,0,0.0546383180502561,0.00013610244162342338
128,공구자재 관리,0.01,0,0.0546383180502561,0.00013610244162342338
129,봉제부,0.01,0,0.0546383180502561,0.00013610244162342338
130,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,0.00013610244162342338
131,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,0.00013610244162342338
132,음 매출대비 원가 산출,0.01,0,0.0546383180502561,0.00013610244162342338
133,관련 유경헙자,0.01,0,0.0546383180502561,0.00013610244162342338
134,사무OA 프로그램 자,0.01,0,0.0546383180502561,0.00013610244162342338
135,수강생관리,0.01,0,0.0546383180502561,0.00013610244162342338
136,신규 수강상담,0.01,0,0.0546383180502561,0.00013610244162342338
137,일반행정관리,0.01,0,0.0546383180502561,0.00013610244162342338
138,간이지급명세서 전자신고,0.01,0,0.0546383180502561,0.00013610244162342338
139,HSK 5급 이상,0.01,0,0.0546383180502561,0.00013610244162342338
140,MES전산사용,0.01,0,0.0546383180502561,0.00013610244162342338
141,신선 수산물 취급관리하기,0.01,0,0.0546383180502561,0.00013610244162342338
142,HRD-NET 교육 행정사무,0.01,0,0.0546383180502561,0.00013610244162342338
143,학교 환경,0.01,0,0.0546383180502561,0.00013610244162342338
144,빅데이터 또는 RDB 기반 데이터를 분석하고 조합하여 고객이 원하는 데이터 융복합 DATASET을 만들어 제공한 경험,0.01,0,0.0546383180502561,0.00013610244162342338
145,판매처별 행사,0.01,0,0.0546383180502561,0.00013610244162342338
146,산업용 미디어 컨버터,0.01,0,0.0546383180502561,0.00013610244162342338
147,원자력공학,0.01,0,0.0546383180502561,0.00013610244162342338
148,전화 소통,0.01,0,0.0546383180502561,0.00013610244162342338
149,철판 절단절곡제작,0.01,0,0.0546383180502561,0.00013610244162342338
150,인스타그램운영,0.01,0,0.0546383180502561,0.00013610244162342338
151,건축 또는 토목 소지자,0.01,0,0.0546383180502561,0.00013610244162342338
152,SIEM,0.01,0,0.0546383180502561,0.00013610244162342338
153,기타서류 보조,0.01,0,0.0546383180502561,0.00013610244162342338
154,카본섬유 활용 스포츠제품 개발,0.01,0,0.0546383180502561,0.00013610244162342338
155,국내외 식품 관련 규정,0.01,0,0.0546383180502561,0.00013610244162342338
156,관능평가,0.01,0,0.0546383180502561,0.00013610244162342338
157,재가장깅양기관,0.01,0,0.0546383180502561,0.00013610244162342338
158,수집 데이터 검증모듈 개발,0.01,0,0.0546383180502561,0.00013610244162342338
159,현장검측·시공 확인하기,0.01,0,0.0546383180502561,0.00013610244162342338
160,보증수리 일반정비 내역서 발행,0.01,0,0.0546383180502561,0.00013610244162342338
161,서버내 탑재된 솔류션,0.01,0,0.0546383180502561,0.00013610244162342338
162,상품 원가 분석,0.01,0,0.0546383180502561,0.00013610244162342338
163,영문 E-MAIL 독해,0.01,0,0.0546383180502561,0.00013610244162342338
164,각종 센서 활용한 개발 경험,0.01,0,0.0546383180502561,0.00013610244162342338
165,자동화 등,0.01,0,0.0546383180502561,0.00013610244162342338
166,RETAIL DEVELOPMENT,0.01,0,0.0546383180502561,0.00013610244162342338
167,EAP,0.01,0,0.0546383180502561,0.00013610244162342338
168,조직문화 활성화 방안 실행하기,0.01,0,0.0546383180502561,0.00013610244162342338
169,SW테스트 전략,0.01,0,0.0546383180502561,0.00013610244162342338
170,생산진도 관리하기,0.01,0,0.0546383180502561,0.00013610244162342338
171,개인결체창,0.01,0,0.0546383180502561,0.00013610244162342338
172,SNS 기반 활용,0.01,0,0.0546383180502561,0.00013610244162342338
173,세미나 개최,0.01,0,0.0546383180502561,0.00013610244162342338
174,교육 개발,0.01,0,0.0546383180502561,0.00013610244162342338
175,정보통신 지식,0.01,0,0.0546383180502561,0.00013610244162342338
176,구급차 운전,0.01,0,0.0546383180502561,0.00013610244162342338
177,환경미화원,0.01,0,0.0546383180502561,0.00013610244162342338
178,원자재 입출고 검수,0.01,0,0.0546383180502561,0.00013610244162342338
179,거래처 불만대응,0.01,0,0.0546383180502561,0.00013610244162342338
180,분양상품 수요 분석하기,0.01,0,0.0546383180502561,0.00013610244162342338
181,부동산 권리분석,0.01,0,0.0546383180502561,0.00013610244162342338
182,활동 유경험자,0.01,0,0.0546383180502561,0.00013610244162342338
183,부동산관련업무,0.01,0,0.0546383180502561,0.00013610244162342338
184,3D 렌더링,0.01,0,0.0546383180502561,0.00013610244162342338
185,제품공정별 관리,0.01,0,0.0546383180502561,0.00013610244162342338
186,고객사 데이터베이스 관리,0.01,0,0.0546383180502561,0.00013610244162342338
187,거래약정 감리하기,0.01,0,0.0546383180502561,0.00013610244162342338
188,내PC지키미,0.01,0,0.0546383180502561,0.00013610244162342338
189,UI 설계,0.01,0,0.0546383180502561,0.00013610244162342338
190,경영실적 측정하기,0.01,0,0.0546383180502561,0.00013610244162342338
191,과제비 집행,0.01,0,0.0546383180502561,0.00013610244162342338
192,기타 관련서류 작성,0.01,0,0.0546383180502561,0.00013610244162342338
193,치킨가맹점 수발주관리,0.01,0,0.0546383180502561,0.00013610244162342338
194,제조수량 관리,0.01,0,0.0546383180502561,0.00013610244162342338
195,운영 관련 프로그램 관리,0.01,0,0.0546383180502561,0.00013610244162342338
196,장비운용 전문교육,0.01,0,0.0546383180502561,0.00013610244162342338
197,사회복지사 1급,0.01,0,0.0546383180502561,0.00013610244162342338
198,여행상품 관리,0.01,0,0.0546383180502561,0.00013610244162342338
199,자동소화장치,0.01,0,0.0546383180502561,0.00013610244162342338
200,무역분쟁 해결하기,0.01,0,0.0546383180502561,0.00013610244162342338
201,조선소 납품,0.01,0,0.0546383180502561,0.00013610244162342338
202,구매단가 결정하기,0.01,0,0.0546383180502561,0.00013610244162342338
203,도급직원 관리,0.01,0,0.0546383180502561,0.00013610244162342338
204,공공 사업 현장대리인,0.01,0,0.0546383180502561,0.00013610244162342338
205,인공지능 모델 개발,0.01,0,0.0546383180502561,0.00013610244162342338
206,펌웨어 개발환경 구축하기,0.01,0,0.0546383180502561,0.00013610244162342338
207,정보통신기술자 경력수첩,0.01,0,0.0546383180502561,0.00013610244162342338
208,경영 업무지원,0.01,0,0.0546383180502561,0.00013610244162342338
209,정보화 활용 능력 자격증 소지자,0.01,0,0.0546383180502561,0.00013610244162342338
210,물류고객관리,0.01,0,0.0546383180502561,0.00013610244162342338
211,테스트자격증,0.01,0,0.0546383180502561,0.00013610244162342338
212,네트워크 운영,0.01,0,0.0546383180502561,0.00013610244162342338
213,전기설비 관련 경험,0.01,0,0.0546383180502561,0.00013610244162342338
214,소방 특급 선임 가능자,0.01,0,0.0546383180502561,0.00013610244162342338
215,장기요양보험수가 청구,0.01,0,0.0546383180502561,0.00013610244162342338
216,산업용광스위치,0.01,0,0.0546383180502561,0.00013610244162342338
217,우주항공 개발,0.01,0,0.0546383180502561,0.00013610244162342338
218,현장별 원가관리,0.01,0,0.0546383180502561,0.00013610244162342338
219,절차 준수,0.01,0,0.0546383180502561,0.00013610244162342338
220,행정 서류 관리,0.01,0,0.0546383180502561,0.00013610244162342338
221,안드로이드 AOSP,0.01,0,0.0546383180502561,0.00013610244162342338
222,자재 공급원 승인·검수하기,0.01,0,0.0546383180502561,0.00013610244162342338
223,부동산 시장 분석,0.01,0,0.0546383180502561,0.00013610244162342338
224,단가 협의,0.01,0,0.0546383180502561,0.00013610244162342338
225,모바일 홈페이지 관리,0.01,0,0.0546383180502561,0.00013610244162342338
226,VR 디지털 콘텐츠 제작,0.01,0,0.0546383180502561,0.00013610244162342338
227,예산 업무,0.01,0,0.0546383180502561,0.00013610244162342338
228,기술인 입퇴사 신고,0.01,0,0.0546383180502561,0.00013610244162342338
229,새로운 상품 컨텍,0.01,0,0.0546383180502561,0.00013610244162342338
230,생산일보작성,0.01,0,0.0546383180502561,0.00013610244162342338
231,산출기초 작성,0.01,0,0.0546383180502561,0.00013610244162342338
232,수리원,0.01,0,0.0546383180502561,0.00013610244162342338
233,생산직 직원관리,0.01,0,0.0546383180502561,0.00013610244162342338
234,조직문화 활성화 방안 수립하기,0.01,0,0.0546383180502561,0.00013610244162342338
235,GUI 설계,0.01,0,0.0546383180502561,0.00013610244162342338
236,이벤트 관리,0.01,0,0.0546383180502561,0.00013610244162342338
237,빅데이터 플랫폼 테스트 설계,0.01,0,0.0546383180502561,0.00013610244162342338
238,전기자재 납품,0.01,0,0.0546383180502561,0.00013610244162342338
239,연간 교육 프로그램 수립,0.01,0,0.0546383180502561,0.00013610244162342338
240,미들웨어 설계하기,0.01,0,0.0546383180502561,0.00013610244162342338
241,PC 자격증,0.01,0,0.0546383180502561,0.00013610244162342338
242,자동차 품질 LQC 업무,0.01,0,0.0546383180502561,0.00013610244162342338
243,근무수칙,0.01,0,0.0546383180502561,0.00013610244162342338
244,영문자료 작성 교정,0.01,0,0.0546383180502561,0.00013610244162342338
245,기능시험,0.01,0,0.0546383180502561,0.00013610244162342338
246,반응기,0.01,0,0.0546383180502561,0.00013610244162342338
247,파워포인트사용,0.01,0,0.0546383180502561,0.00013610244162342338
248,퇴직금 산정서 작성,0.01,0,0.0546383180502561,0.00013610244162342338
249,외부 품질문제 관리,0.01,0,0.0546383180502561,0.00013610244162342338
250,관리체계정립,0.01,0,0.0546383180502561,0.00013610244162342338
251,해운 계통 전공,0.01,0,0.0546383180502561,0.00013610244162342338
252,피드백 반영,0.01,0,0.0546383180502561,0.00013610244162342338
253,생물공학,0.01,0,0.0546383180502561,0.00013610244162342338
254,프레스작업,0.01,0,0.0546383180502561,0.00013610244162342338
255,IPT 운용 경험,0.01,0,0.0546383180502561,0.00013610244162342338
256,주간계획 수립,0.01,0,0.0546383180502561,0.00013610244162342338
