idx,skill,tf,df,tfidf,pr
0,수리,2.0,4,7.708787785183019,0.018475800139951017
1,설비 수리,1.0,0,5.4638318050256105,0.013095270909129625
2,소방관리,1.0,0,5.4638318050256105,0.013095270909129625
3,비교견적,1.0,1,4.770684624465665,0.011433991712910055
4,설비관리,1.0,1,4.770684624465665,0.011433991712910055
5,설비,2.0,23,4.571555949355329,0.01095673618246942
6,전기관리,1.0,2,4.3652195163575005,0.010462205679893422
7,보고서 작성,1.0,2,4.3652195163575005,0.010462205679893422
8,관리,3.0,69,3.6460096889287534,0.008738461636011078
9,보고,1.0,7,3.3843902633457743,0.008111433320470913
10,견적,1.0,7,3.3843902633457743,0.008111433320470913
11,보고서,1.0,9,3.1612467120315646,0.007576620873755938
12,기계,1.0,11,2.9789251552376097,0.007139647287454281
13,공무,1.0,12,2.8988824475640733,0.006947807388517217
14,총괄,1.0,23,2.2857779746776643,0.00547836809123471
15,소방,1.0,24,2.244955980157409,0.005380529230821392
16,모집,1.0,42,1.7026316893320477,0.004080730158963538
17,전기,1.0,49,1.551808799597464,0.0037192500346018217
18,작성,1.0,66,1.259139185634644,0.003017803134609711
19,업무,1.0,88,0.9751954352934702,0.002337269680001565
20,법인세 관리,0.01,0,0.0546383180502561,0.00013095270909129625
21,소모품 수입,0.01,0,0.0546383180502561,0.00013095270909129625
22,영문 서신 작성,0.01,0,0.0546383180502561,0.00013095270909129625
23,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00013095270909129625
24,유해화학물질관리자,0.01,0,0.0546383180502561,0.00013095270909129625
25,가구 설치,0.01,0,0.0546383180502561,0.00013095270909129625
26,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00013095270909129625
27,타이어 탈착,0.01,0,0.0546383180502561,0.00013095270909129625
28,현장 조율,0.01,0,0.0546383180502561,0.00013095270909129625
29,경영계획 분석,0.01,0,0.0546383180502561,0.00013095270909129625
30,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00013095270909129625
31,납품계획 세우기,0.01,0,0.0546383180502561,0.00013095270909129625
32,불량재고 처리하기,0.01,0,0.0546383180502561,0.00013095270909129625
33,매뉴얼 업무,0.01,0,0.0546383180502561,0.00013095270909129625
34,건축업무 경험,0.01,0,0.0546383180502561,0.00013095270909129625
35,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00013095270909129625
36,평가계획 수립하기,0.01,0,0.0546383180502561,0.00013095270909129625
37,현장상황파악,0.01,0,0.0546383180502561,0.00013095270909129625
38,인허가관리,0.01,0,0.0546383180502561,0.00013095270909129625
39,사건 수임,0.01,0,0.0546383180502561,0.00013095270909129625
40,PF심의자료 작성,0.01,0,0.0546383180502561,0.00013095270909129625
41,디지털 교육 이해,0.01,0,0.0546383180502561,0.00013095270909129625
42,여행상품개발,0.01,0,0.0546383180502561,0.00013095270909129625
43,주차매출 관리,0.01,0,0.0546383180502561,0.00013095270909129625
44,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00013095270909129625
45,어도비 포토샵,0.01,0,0.0546383180502561,0.00013095270909129625
46,데미지 관리,0.01,0,0.0546383180502561,0.00013095270909129625
47,기관 소통 업무,0.01,0,0.0546383180502561,0.00013095270909129625
48,비디오메타 사용,0.01,0,0.0546383180502561,0.00013095270909129625
49,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00013095270909129625
50,자습감독,0.01,0,0.0546383180502561,0.00013095270909129625
51,JLPT 2급이상,0.01,0,0.0546383180502561,0.00013095270909129625
52,한자 관련 자격증,0.01,0,0.0546383180502561,0.00013095270909129625
53,기성취합,0.01,0,0.0546383180502561,0.00013095270909129625
54,KUBERNETES,0.01,0,0.0546383180502561,0.00013095270909129625
55,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00013095270909129625
56,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00013095270909129625
57,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00013095270909129625
58,데이터 마이닝,0.01,0,0.0546383180502561,0.00013095270909129625
59,채권현황 파악,0.01,0,0.0546383180502561,0.00013095270909129625
