idx,skill,tf,df,tfidf,pr
0,관리,159.0,69,193.23851351322392,0.06277719257599641
1,관리소장,34.0,0,185.77028137087075,0.06035099585734557
2,주택관리사,24.0,1,114.49643098717596,0.03719633507144707
3,아파트,27.0,9,85.35366122485225,0.027728754120291993
4,자격,33.0,20,79.83720912097218,0.025936630129243795
5,공동주택,11.0,0,60.10214985528172,0.019525322189141218
6,안전관리,15.0,4,57.81590838887264,0.018782593329336728
7,아파트 관리,10.0,0,54.6383180502561,0.017750292899219287
8,업무,50.0,88,48.75977176467351,0.015840535752325934
9,지원,28.0,41,48.332541228782766,0.015701741817626555
10,경력,17.0,20,41.12825924413718,0.01336129430900438
11,자격증,23.0,47,36.63050826470754,0.011900114680466154
12,관리자,16.0,23,36.57244759484263,0.011881252571733615
13,급여,13.0,17,33.45498061268279,0.010868484353171606
14,소방안전관리,7.0,1,33.394792371259655,0.010848931062505394
15,채용,10.0,11,29.789251552376097,0.009677602810116518
16,소방,13.0,24,29.18442774204632,0.009481114335198592
17,안전,21.0,58,29.112181583517703,0.009457643801688632
18,접수,13.0,25,28.674558471053665,0.009315473641572068
19,소방안전관리자,7.0,3,28.54276210734004,0.00927265709555729
20,회계,10.0,15,26.912430827858287,0.008743013088087254
21,C,17.0,53,25.07241189384271,0.008145248072904239
22,경험,11.0,24,24.6945157817315,0.008022481360552653
23,주택관리사 자격증,5.0,1,23.853423122328326,0.007749236473218139
24,공동주택관리,4.0,0,21.85532722010244,0.007100117159687713
25,기계,7.0,11,20.852476086663263,0.0067743219670815605
26,서류,12.0,41,20.7139462409069,0.006729317921839952
27,시설관리,5.0,3,20.3876872195286,0.006623326496826636
28,회계겸직,4.0,1,19.08273849786266,0.0061993891785745115
29,모집,11.0,42,18.728948582652524,0.006084453821047699
30,경력자,9.0,32,17.70591819203217,0.005752103014391986
31,근무시간,8.0,28,16.772287800313087,0.005448795491320293
32,관리업무,12.0,59,16.433846913642114,0.005338846556546063
33,소방안전관리자 2급,3.0,0,16.391495415076832,0.005325087869765786
34,상담,5.0,9,15.806233560157825,0.00513495446672074
35,사무,8.0,33,15.49977024327559,0.005035394051399711
36,이메일,8.0,36,14.823311139051084,0.0048156334939227375
37,NAVER,4.0,5,14.68828934319022,0.00477176910515981
38,유지관리,4.0,6,14.071686623881186,0.004571454028474554
39,설비,6.0,23,13.714667848065986,0.004455469714400106
40,관리비 부과,3.0,2,13.0956585490725,0.00425437281470476
41,2급,5.0,18,12.596964129295849,0.004092362483235555
42,전기,8.0,49,12.414470396779713,0.004033075936357343
43,POS,3.0,3,12.23261233171716,0.003973995898095981
44,기타,5.0,20,12.096546836510935,0.003929792443824818
45,시설,7.0,42,11.918421825324334,0.0038719251588485355
46,제출,11.0,81,11.628238135374929,0.0037776534888011443
47,방화관리,3.0,4,11.563181677774528,0.003756518665867345
48,기계설비,3.0,4,11.563181677774528,0.003756518665867345
49,SI,3.0,4,11.563181677774528,0.003756518665867345
50,경리,5.0,25,11.02867633502064,0.003582874477527718
51,경력자 우대,6.0,37,10.957473871795344,0.003559743008212861
52,설비유지관리,2.0,0,10.92766361005122,0.0035500585798438566
53,아파트 관리업무,2.0,0,10.92766361005122,0.0035500585798438566
54,기계설비유지관리,2.0,0,10.92766361005122,0.0035500585798438566
55,에너지관리,2.0,0,10.92766361005122,0.0035500585798438566
56,유지관리자,2.0,0,10.92766361005122,0.0035500585798438566
57,유지,5.0,27,10.658136474252032,0.003462497582810186
58,기능,4.0,16,10.522473843877576,0.0034184250068130585
59,아파트 관리소장 업무,2.0,1,9.54136924893133,0.0030996945892872558
60,주택관리사보 자격증 소지자,2.0,1,9.54136924893133,0.0030996945892872558
61,승강기안전관리자,2.0,1,9.54136924893133,0.0030996945892872558
62,소방안전관리자 1급,2.0,1,9.54136924893133,0.0030996945892872558
63,기계설비유지관리자,2.0,1,9.54136924893133,0.0030996945892872558
64,중급,3.0,9,9.483740136094694,0.0030809726800324435
65,인원,3.0,10,9.19780959668172,0.002988082726525021
66,총괄,4.0,23,9.143111898710655,0.0029703131429334034
67,보일러,2.0,2,8.730439032715001,0.0028362485431365067
68,에너지,2.0,2,8.730439032715001,0.0028362485431365067
69,부과,3.0,13,8.474323426231056,0.002753044535521014
70,기술,3.0,13,8.474323426231056,0.002753044535521014
71,성실,3.0,16,7.891855382908181,0.002563818755109794
72,조경,2.0,4,7.708787785183019,0.0025043457772448968
73,계약,3.0,19,7.404298594414858,0.002405426694197541
74,전기산업기사,2.0,5,7.34414467159511,0.002385884552579905
75,IT,2.0,5,7.34414467159511,0.002385884552579905
76,대응,2.0,5,7.34414467159511,0.002385884552579905
77,행정,2.0,6,7.035843311940593,0.002285727014237277
78,유경험자,5.0,57,7.0169439723959535,0.0022795872056836793
