idx,skill,tf,df,tfidf,pr
0,채용,37.0,11,110.22023074379156,0.044970963614843144
1,지원,50.0,41,86.30810933711209,0.03521457738268978
2,접수,39.0,25,86.02367541316099,0.03509852547861996
3,안내,28.0,14,77.1618849098552,0.03148282575092751
4,전화 업무,13.0,1,62.01890011805365,0.02530433552733859
5,업무,62.0,88,60.46211698819515,0.024669152339854547
6,서류,33.0,41,56.963352162493976,0.023241621072575255
7,전화,24.0,24,53.87894352377782,0.021983151300474683
8,자격,21.0,20,50.80549671334593,0.02072915406465531
9,경력,16.0,20,38.70894987683499,0.01579364119211833
10,게임,6.0,0,32.782990830153665,0.013375790250662488
11,관리,26.0,69,31.59875063738253,0.012892608331508817
12,상담,8.0,9,25.28997369625252,0.010318563835691973
13,시설관리,6.0,3,24.46522466343432,0.009982057928419288
14,공단,9.0,16,23.675566148724545,0.009659869305754255
15,학력,9.0,17,23.16114042416501,0.009449978431950133
16,정비,6.0,4,23.126363355549056,0.009435789037890578
17,발표,4.0,0,21.85532722010244,0.008917193500441655
18,예약,8.0,15,21.52994466228663,0.008784434141568117
19,사무,11.0,33,21.312184084503937,0.008695585633865601
20,기타,8.0,20,19.354474938417496,0.007896820596059164
21,인원,6.0,10,18.39561919336344,0.007505597800282735
22,급여,7.0,17,18.01422032990612,0.007349983224850105
23,응대,9.0,37,16.43621080769302,0.006706139455621572
24,등록,5.0,9,15.806233560157825,0.006449102397307483
25,엑셀,6.0,16,15.783710765816362,0.0064399128705028355
26,보조,6.0,16,15.783710765816362,0.0064399128705028355
27,영업,6.0,17,15.440760282776672,0.006299985621300089
28,수납,4.0,4,15.417575570366038,0.006290526025260385
29,홈페이지,4.0,4,15.417575570366038,0.006290526025260385
30,확정,4.0,4,15.417575570366038,0.006290526025260385
31,개인,5.0,10,15.329682661136196,0.006254664833568945
32,운영,11.0,58,15.249237972318795,0.006221842590779196
33,근무시간,7.0,28,14.675751825273952,0.005987854470101787
34,문서,5.0,12,14.494412237820368,0.0059138660930654315
