idx,skill,tf,df,tfidf,pr
0,결제,4.0,16,10.522473843877576,0.024225381701791282
1,안내,3.0,14,8.2673448117702,0.019033507395410456
2,국제,2.0,3,8.15507488781144,0.018775033789119235
3,급여,3.0,17,7.720380141388336,0.01777425713601401
4,계약,3.0,19,7.404298594414858,0.01704655790502182
5,채권,2.0,5,7.34414467159511,0.016908068443057856
6,납부,1.0,7,3.3843902633457743,0.007791717724732716
7,상담,1.0,9,3.1612467120315646,0.007277985138167507
8,채용,1.0,11,2.9789251552376097,0.006858235051702026
9,C,2.0,53,2.9496955169226715,0.006790941071627494
10,기타,1.0,20,2.419309367302187,0.005569858737326839
11,자격,1.0,20,2.419309367302187,0.005569858737326839
12,경력,1.0,20,2.419309367302187,0.005569858737326839
13,마감,1.0,23,2.2857779746776643,0.005262435881875125
14,문화,2.0,77,2.2142459566720367,0.005097751182649761
15,접수,1.0,25,2.205735267004128,0.00507815743418247
16,업무,2.0,88,1.9503908705869404,0.004490290402113862
17,기본급,1.0,36,1.8529138923813853,0.004265873878090784
18,경력직,1.0,36,1.8529138923813853,0.004265873878090784
19,발급,1.0,38,1.8002701588959635,0.0041446747611517815
20,서류,1.0,41,1.7261621867422416,0.003974059567499938
21,운영,1.0,58,1.3862943611198906,0.003191598339653802
22,별도,1.0,78,1.0943839525585886,0.002519547149501596
23,직원,1.0,147,0.4666195312614949,0.001074275538436982
24,법인세 관리,0.01,0,0.0546383180502561,0.0001257911523421342
25,소모품 수입,0.01,0,0.0546383180502561,0.0001257911523421342
26,영문 서신 작성,0.01,0,0.0546383180502561,0.0001257911523421342
27,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.0001257911523421342
28,유해화학물질관리자,0.01,0,0.0546383180502561,0.0001257911523421342
29,가구 설치,0.01,0,0.0546383180502561,0.0001257911523421342
30,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.0001257911523421342
31,타이어 탈착,0.01,0,0.0546383180502561,0.0001257911523421342
32,현장 조율,0.01,0,0.0546383180502561,0.0001257911523421342
33,경영계획 분석,0.01,0,0.0546383180502561,0.0001257911523421342
34,폐기물 관련 업무,0.01,0,0.0546383180502561,0.0001257911523421342
35,납품계획 세우기,0.01,0,0.0546383180502561,0.0001257911523421342
36,불량재고 처리하기,0.01,0,0.0546383180502561,0.0001257911523421342
37,매뉴얼 업무,0.01,0,0.0546383180502561,0.0001257911523421342
