idx,skill,tf,df,tfidf,pr
0,개발,110.0,42,187.28948582652524,0.037362210200169874
1,JAVA,33.0,0,180.3064495658452,0.03596917060985036
2,경험,58.0,24,130.20744684912972,0.025974965852117466
3,C,77.0,53,113.56327740152284,0.02265463553691372
4,경력,41.0,20,99.19168405938969,0.019787659374367744
5,CSS,16.0,0,87.42130888040977,0.017439597871442593
6,DB,14.0,0,76.49364527035854,0.015259648137512268
7,IPT,17.0,2,74.2087317780775,0.014803832810714474
8,IP,19.0,4,73.23348395923868,0.014609281505050347
9,프론트,16.0,2,69.84351226172001,0.013933019115966564
10,백엔드,12.0,0,65.56598166030733,0.013079698403581945
11,UX,12.0,0,65.56598166030733,0.013079698403581945
12,보수,13.0,1,62.01890011805365,0.012372094313614097
13,서비스,34.0,39,60.34837993099691,0.01203884375180599
14,GIT,11.0,0,60.10214985528172,0.011989723536616783
15,AS,19.0,10,58.252794112317545,0.011620797231444916
16,HTML,14.0,3,57.08552421468008,0.011387939614887321
17,SPRING,10.0,0,54.6383180502561,0.01089974866965162
18,UI,10.0,0,54.6383180502561,0.01089974866965162
19,지원,30.0,41,51.784865602267246,0.010330516020592524
20,환경,15.0,7,50.76585395018662,0.010127234307401624
21,채용,17.0,11,50.64172763903937,0.010102472461812754
22,서버,9.0,0,49.1744862452305,0.009809773802686458
23,프론트엔드,9.0,0,49.1744862452305,0.009809773802686458
24,AWS,9.0,0,49.1744862452305,0.009809773802686458
25,JAVASCRIPT,12.0,3,48.93044932686864,0.009761091098474848
26,IT,13.0,5,47.73694036536821,0.009522999074789821
27,JSP,8.0,0,43.71065444020488,0.008719798935721295
28,API,8.0,0,43.71065444020488,0.008719798935721295
29,SQL,16.0,15,43.05988932457326,0.008589978391157
30,유지보수,9.0,2,39.2869756472175,0.007837323252731192
31,자격,16.0,20,38.70894987683499,0.007722013414387411
32,백앤드,7.0,0,38.24682263517927,0.007629824068756134
33,프로젝트,12.0,9,37.934960544378775,0.007567610982215093
34,HTML5,6.0,0,32.782990830153665,0.006539849201790972
35,JQUERY,6.0,0,32.782990830153665,0.006539849201790972
36,WEB,6.0,0,32.782990830153665,0.006539849201790972
37,운영,23.0,58,31.884770305757485,0.0063606640014552684
38,CS,16.0,34,30.53573989657914,0.006091547144779035
39,업무,30.0,88,29.255863058804103,0.005836225671540695
40,LINUX,6.0,1,28.62410774679399,0.005710197375514197
41,PHP,6.0,1,28.62410774679399,0.005710197375514197
42,웹 개발,7.0,3,28.54276210734004,0.005693969807443661
43,기술,10.0,13,28.247744754103515,0.005635117062370025
44,AZURE,5.0,0,27.31915902512805,0.00544987433482581
45,관리,22.0,69,26.737404385477525,0.005333820627723002
46,REACT,6.0,2,26.191317098145003,0.005224882168487461
47,웹개발,6.0,2,26.191317098145003,0.005224882168487461
48,서류,15.0,41,25.892432801133623,0.005165258010296262
49,유지,12.0,27,25.579527538204875,0.005102836822290483
50,프로그램,10.0,19,24.680995314716192,0.004923589441384621
51,학력,9.0,17,23.16114042416501,0.004620394963360765
52,홈페이지,6.0,4,23.126363355549056,0.00461345731738432
53,클라우드,10.0,25,22.05735267004128,0.004400201342218881
54,NODE.JS,4.0,0,21.85532722010244,0.004359899467860647
55,개발 경험자,4.0,0,21.85532722010244,0.004359899467860647
56,백엔드 개발,5.0,2,21.8260975817875,0.004354068473739551
57,급여,8.0,17,20.587680377035564,0.0041070177452095695
58,교육,7.0,13,19.773421327872462,0.003944581943659018
59,앱 개발,4.0,1,19.08273849786266,0.0038067982503427987
60,MYSQL,7.0,15,18.838701579500803,0.003758115546131188
61,협의,6.0,10,18.39561919336344,0.003669725441508922
62,세무,7.0,17,18.01422032990612,0.003593640527058374
63,경력자,9.0,32,17.70591819203217,0.0035321376123081164
64,심사,5.0,6,17.589608279851483,0.003508935053082324
65,설계,5.0,6,17.589608279851483,0.003508935053082324
66,공학,4.0,2,17.460878065430002,0.003483254778991641
67,선정,4.0,2,17.460878065430002,0.003483254778991641
68,제작,6.0,14,16.5346896235404,0.003298490284080811
69,IOT,3.0,0,16.391495415076832,0.003269924600895486
70,ORACLE,3.0,0,16.391495415076832,0.003269924600895486
71,SERVER,3.0,0,16.391495415076832,0.003269924600895486
72,SPRING BOOT,3.0,0,16.391495415076832,0.003269924600895486
73,정보처리기사,3.0,0,16.391495415076832,0.003269924600895486
74,창업,5.0,8,16.333036138446953,0.0032582626126532927
75,기획,5.0,8,16.333036138446953,0.0032582626126532927
76,통신,5.0,8,16.333036138446953,0.0032582626126532927
77,솔루션,7.0,22,16.298363123675223,0.0032513457242841566
78,SI,4.0,4,15.417575570366038,0.003075638211589547
79,골프장,4.0,4,15.417575570366038,0.003075638211589547
80,세무사,4.0,4,15.417575570366038,0.003075638211589547
81,시스템 운영,4.0,5,14.68828934319022,0.0029301535614737915
82,커뮤니케이션 가능,3.0,1,14.312053873396994,0.0028550986877570986
83,전자,4.0,6,14.071686623881186,0.0028071480424658596
84,AR,10.0,59,13.694872428035094,0.002731977719212103
85,IA,5.0,15,13.456215413929144,0.0026843682472365623
86,구축,11.0,73,12.757433830035843,0.002544968940830161
87,LMS,3.0,3,12.23261233171716,0.002440272774618712
88,모집,7.0,42,11.918421825324334,0.002377595194556265
89,커뮤니케이션,4.0,12,11.595529790256291,0.0023131817544054015
90,VUE.JS,3.0,4,11.563181677774528,0.00230672865869216
91,C#,3.0,4,11.563181677774528,0.00230672865869216
92,접수,5.0,25,11.02867633502064,0.0022001006711094406
93,CE,3.0,5,11.016217007392664,0.0021976151711053434
94,대응,3.0,5,11.016217007392664,0.0021976151711053434
95,NUXT,2.0,0,10.92766361005122,0.0021799497339303237
96,DOCKER,2.0,0,10.92766361005122,0.0021799497339303237
97,모듈 구현하기,2.0,0,10.92766361005122,0.0021799497339303237
98,ANGULAR,2.0,0,10.92766361005122,0.0021799497339303237
99,MSSQL,2.0,0,10.92766361005122,0.0021799497339303237
100,SPRINGBOOT,2.0,0,10.92766361005122,0.0021799497339303237
101,웹 접근성,2.0,0,10.92766361005122,0.0021799497339303237
102,REST API,2.0,0,10.92766361005122,0.0021799497339303237
103,영어능통,2.0,0,10.92766361005122,0.0021799497339303237
104,채용 프로세스,2.0,0,10.92766361005122,0.0021799497339303237
105,퍼블리셔,2.0,0,10.92766361005122,0.0021799497339303237
106,RESTFUL 서비스 개발,2.0,0,10.92766361005122,0.0021799497339303237
107,인공지능,2.0,0,10.92766361005122,0.0021799497339303237
108,SPRING FRAMEWORK,2.0,0,10.92766361005122,0.0021799497339303237
109,시스템공학,2.0,0,10.92766361005122,0.0021799497339303237
110,MVC,2.0,0,10.92766361005122,0.0021799497339303237
111,C#.NET,2.0,0,10.92766361005122,0.0021799497339303237
112,MVVM,2.0,0,10.92766361005122,0.0021799497339303237
113,TYPESCRIPT,2.0,0,10.92766361005122,0.0021799497339303237
114,구성하기,2.0,0,10.92766361005122,0.0021799497339303237
115,미팅,2.0,0,10.92766361005122,0.0021799497339303237
116,제출,10.0,81,10.57112557761357,0.002108824284183353
117,온라인,5.0,34,9.54241871768098,0.001903608482743448
118,JAVA SCRIPT,2.0,1,9.54136924893133,0.0019033991251713994
119,꼼꼼함,2.0,1,9.54136924893133,0.0019033991251713994
120,중급,3.0,9,9.483740136094694,0.0018919027455537732
121,실무,3.0,9,9.483740136094694,0.0018919027455537732
122,웹표준,2.0,2,8.730439032715001,0.0017416273894958205
123,모니터링,2.0,2,8.730439032715001,0.0017416273894958205
124,회의,2.0,2,8.730439032715001,0.0017416273894958205
125,GO,2.0,2,8.730439032715001,0.0017416273894958205
126,.NET,3.0,12,8.69664734269222,0.0017348863158040515
127,문서,3.0,12,8.69664734269222,0.0017348863158040515
128,임금,3.0,13,8.474323426231056,0.001690535118711008
129,분석,5.0,43,8.398210855536744,0.0016753514907961438
130,정규직,5.0,44,8.285846576276452,0.0016529360423144168
131,STL,2.0,3,8.15507488781144,0.0016268485164124746
132,POS,2.0,3,8.15507488781144,0.0016268485164124746
133,시행,2.0,3,8.15507488781144,0.0016268485164124746
134,법인,3.0,15,8.073729248357488,0.0016106209483419376
135,영업,3.0,17,7.720380141388336,0.0015401316544535885
136,NODEJS,2.0,4,7.708787785183019,0.0015378191057947735
137,소프트웨어 개발,2.0,4,7.708787785183019,0.0015378191057947735
138,영어능통자,2.0,4,7.708787785183019,0.0015378191057947735
139,PL,2.0,4,7.708787785183019,0.0015378191057947735
140,소통,2.0,4,7.708787785183019,0.0015378191057947735
141,전산,3.0,18,7.55817847757751,0.0015077741911855725
142,데이터베이스,3.0,19,7.404298594414858,0.001477076832415386
143,MES,2.0,5,7.34414467159511,0.0014650767807368958
144,NAVER,2.0,5,7.34414467159511,0.0014650767807368958
145,경력자 우대,4.0,37,7.304982581196897,0.0014572643707295803
146,기타,3.0,20,7.257928101906561,0.0014478775151976395
147,고도화,2.0,6,7.035843311940593,0.0014035740212329298
148,소득세,2.0,6,7.035843311940593,0.0014035740212329298
149,마감,3.0,23,6.857333924032993,0.0013679633448285694
150,프로그램 개발,2.0,7,6.768780526691549,0.0013502979076535498
151,세금계산서,2.0,8,6.533214455378781,0.001303305045061317
152,계산,2.0,8,6.533214455378781,0.001303305045061317
153,문서작성 우수자,2.0,9,6.322493424063129,0.0012612684970358487
154,홈페이지 관리,2.0,9,6.322493424063129,0.0012612684970358487
155,설치,2.0,9,6.322493424063129,0.0012612684970358487
156,쇼핑몰,2.0,9,6.322493424063129,0.0012612684970358487
157,진행,5.0,69,6.076682814881256,0.0012122319608461368
158,코딩,2.0,13,5.649548950820703,0.0011270234124740053
159,개선,4.0,57,5.613555177916763,0.0011198430472591644
160,책임감,3.0,36,5.558741677144156,0.0011089083515466128
161,이메일,3.0,36,5.558741677144156,0.0011089083515466128
162,컴퓨터,3.0,36,5.558741677144156,0.0011089083515466128
163,IOS,2.0,14,5.5115632078468,0.0010994967613602701
164,협업,3.0,37,5.478736935897673,0.0010929482780471854
165,개선 능력,1.0,0,5.4638318050256105,0.001089974866965162
166,리팩토링 적용하기,1.0,0,5.4638318050256105,0.001089974866965162
167,APPLICATION,1.0,0,5.4638318050256105,0.001089974866965162
168,시계열 DB,1.0,0,5.4638318050256105,0.001089974866965162
169,JIRA,1.0,0,5.4638318050256105,0.001089974866965162
170,클라우드 서비스,1.0,0,5.4638318050256105,0.001089974866965162
171,FIGMA,1.0,0,5.4638318050256105,0.001089974866965162
172,웹퍼블리싱,1.0,0,5.4638318050256105,0.001089974866965162
173,소스 코드 분석하기,1.0,0,5.4638318050256105,0.001089974866965162
174,네트워크,1.0,0,5.4638318050256105,0.001089974866965162
175,UX 개발,1.0,0,5.4638318050256105,0.001089974866965162
