idx,skill,tf,df,tfidf,pr
0,자재,67.0,47,106.70626320588718,0.03988284093541665
1,관리,71.0,69,86.28889597131383,0.03225158682463124
2,설치,19.0,9,60.06368752859973,0.02244957721999534
3,경력,21.0,20,50.80549671334593,0.01898920909781626
4,구매,12.0,9,37.934960544378775,0.01417868034947074
5,설비,16.0,23,36.57244759484263,0.0136694235766612
6,업무,33.0,88,32.18144936468452,0.012028231403871947
7,운전,12.0,17,30.881520565553345,0.011542366263762201
8,발주,12.0,18,30.23271391031004,0.011299866415566965
9,자재관리,10.0,11,29.789251552376097,0.011134116644644912
10,건설,13.0,27,27.71115483305528,0.010357401216562048
11,현장,23.0,70,27.62649434363877,0.010325758267671615
12,지원,15.0,41,25.892432801133623,0.009677630420306976
13,엑셀,9.0,16,23.675566148724545,0.008849047941484094
14,자재 입,6.0,5,22.03243401478533,0.008234906132325944
15,자격,9.0,20,21.773784305719683,0.008138232470492682
16,재고,11.0,34,20.99332117889816,0.007846524319463892
17,모집,12.0,42,20.43158027198457,0.007636566416673089
18,문서,7.0,12,20.292177132948517,0.007584462697050323
19,서류,11.0,41,18.987784054164656,0.0070969289748917825
20,입출고,6.0,10,18.39561919336344,0.006875599727279492
21,인원,6.0,10,18.39561919336344,0.006875599727279492
22,급여,7.0,17,18.01422032990612,0.006733046987194618
23,자재 관리,6.0,11,17.873550931425658,0.006680469986786947
24,자재 구매,6.0,11,17.873550931425658,0.006680469986786947
25,사무,9.0,33,17.43724152368504,0.006517393723175601
26,기타,7.0,20,16.93516557111531,0.006329736365938752
27,납품,7.0,22,16.298363123675223,0.006091723245101289
28,재고관리,6.0,15,16.147458496714975,0.006035320696153798
29,거래명세서,4.0,4,15.417575570366038,0.005762517546849578
30,출고 관리,5.0,10,15.329682661136196,0.005729666439399575
31,근무시간,7.0,28,14.675751825273952,0.005485251362665645
32,공무,5.0,12,14.494412237820368,0.005417473355035945
33,출고,9.0,47,14.333677147059472,0.005357396543563431
34,시운전,3.0,1,14.312053873396994,0.005349314566385393
35,소방설비,3.0,1,14.312053873396994,0.005349314566385393
36,판매,5.0,13,14.123872377051756,0.005278979307139694
37,작성,11.0,66,13.850531041981082,0.005176814460764523
38,지게차,5.0,14,13.778908019617,0.00515004443319127
39,제어,4.0,7,13.537561053383095,0.0050598378944618615
40,건설현장,4.0,7,13.537561053383095,0.0050598378944618615
41,견적,4.0,7,13.537561053383095,0.0050598378944618615
42,경험,6.0,24,13.469735880944455,0.005034487362238949
43,접수,6.0,25,13.234411602024768,0.004946531880504136
44,자재 발주,4.0,8,13.066428910757562,0.004883746184946731
45,영업,5.0,17,12.867300235647228,0.004809319276567584
46,협의,4.0,10,12.263746128908958,0.00458373315151966
47,건축자재,3.0,3,12.23261233171716,0.004572096493615896
48,자재 입출고 관리,3.0,3,12.23261233171716,0.004572096493615896
49,건축,5.0,20,12.096546836510935,0.004521240261384823
50,출하,6.0,32,11.80394546135478,0.004411876726834648
51,경력자,6.0,32,11.80394546135478,0.004411876726834648
52,소방,5.0,24,11.224779900787045,0.004195406135199123
53,자재 재고 파악,2.0,0,10.92766361005122,0.004084355092769928
54,건설현장 자재,2.0,0,10.92766361005122,0.004084355092769928
55,배관,3.0,6,10.55376496791089,0.003944605657053316
56,전자,3.0,6,10.55376496791089,0.003944605657053316
57,생산,4.0,16,10.522473843877576,0.003932910196215153
58,학력,4.0,17,10.293840188517782,0.0038474554212540673
59,거래처 관리,3.0,7,10.153170790037322,0.0037948784208463966
60,전산,4.0,18,10.07757130343668,0.0037666221385223215
61,입출고 관리,4.0,19,9.872398125886477,0.003689936019464249
62,계획,4.0,19,9.872398125886477,0.003689936019464249
63,노무,3.0,8,9.79982168306817,0.003662809638710048
64,자재입출고,2.0,1,9.54136924893133,0.003566209710923596
65,실무,3.0,9,9.483740136094694,0.003544670087367685
66,컴퓨터,5.0,36,9.264569461906929,0.003462752223563638
67,채용,3.0,11,8.936775465712829,0.0033402349933934735
68,C,6.0,53,8.849086550768014,0.003307460131436257
69,면허,4.0,25,8.822941068016512,0.003297687920336091
70,엑셀 고급능력,2.0,2,8.730439032715001,0.003263114092621647
71,재고 파악,2.0,2,8.730439032715001,0.003263114092621647
72,하차,2.0,2,8.730439032715001,0.003263114092621647
73,운전면허,3.0,12,8.69664734269222,0.0032504840130215666
74,현장관리,5.0,41,8.630810933711208,0.0032258768067689922
75,시설,5.0,42,8.513158446660238,0.003181902673613788
76,덕트,2.0,3,8.15507488781144,0.0030480643290772638
77,견적서,2.0,3,8.15507488781144,0.0030480643290772638
78,관련 사무,2.0,3,8.15507488781144,0.0030480643290772638
79,보조,3.0,16,7.891855382908181,0.0029496826471613648
80,전기,5.0,49,7.75904399798732,0.0029000426805832935
81,정리,4.0,33,7.749885121637795,0.002896619432522489
82,상하차,2.0,4,7.708787785183019,0.002881258773424789
83,조경,2.0,4,7.708787785183019,0.002881258773424789
84,지게차 운전,2.0,4,7.708787785183019,0.002881258773424789
85,인근거주자,2.0,4,7.708787785183019,0.002881258773424789
86,자재 입출고,3.0,19,7.404298594414858,0.0027674520145981865
87,건설업,2.0,5,7.34414467159511,0.0027449687107753144
88,컴퓨터활용,2.0,6,7.035843311940593,0.00262973710470221
89,자재발주,3.0,23,6.857333924032993,0.002563016920623975
90,마감,3.0,23,6.857333924032993,0.002563016920623975
91,자재구매,2.0,7,6.768780526691549,0.002529918947230931
92,시공,2.0,7,6.768780526691549,0.002529918947230931
93,발송,2.0,7,6.768780526691549,0.002529918947230931
94,입고,3.0,25,6.617205801012384,0.002473265940252068
95,경리,3.0,25,6.617205801012384,0.002473265940252068
96,문서정리,2.0,8,6.533214455378781,0.0024418730924733656
97,운전가능,2.0,8,6.533214455378781,0.0024418730924733656
98,계산,2.0,8,6.533214455378781,0.0024418730924733656
99,주문,2.0,9,6.322493424063129,0.0023631133915784567
100,아파트,2.0,9,6.322493424063129,0.0023631133915784567
101,운전 가능자,2.0,10,6.131873064454479,0.00229186657575983
102,운전 가능,2.0,10,6.131873064454479,0.00229186657575983
103,서류작성,2.0,10,6.131873064454479,0.00229186657575983
104,가공,2.0,10,6.131873064454479,0.00229186657575983
105,검사,2.0,10,6.131873064454479,0.00229186657575983
106,수입,2.0,10,6.131873064454479,0.00229186657575983
107,제품,2.0,10,6.131873064454479,0.00229186657575983
108,한글,3.0,30,6.089533801621391,0.002276041730674245
109,관련업무,2.0,12,5.797764895128147,0.0021669893420143776
