idx,skill,tf,df,tfidf,pr
0,구매,13.0,9,41.09620725641034,0.033085471229378674
1,관리,33.0,69,40.10610657821629,0.03228836731907883
2,자재,15.0,47,23.889461911765785,0.019232774933112005
3,지원,12.0,41,20.7139462409069,0.016676251122748592
4,생산관리,7.0,14,19.2904712274638,0.015530248979310773
5,생산,7.0,16,18.41432922678576,0.014824890190957818
6,영업,7.0,17,18.01422032990612,0.014502773083806405
7,수불,5.0,6,17.589608279851483,0.014160929135091677
8,업무,17.0,88,16.578322399988995,0.013346769578368878
9,입출고,5.0,10,15.329682661136196,0.01234152269760644
10,사무,7.0,33,13.56229896286614,0.010918648753654699
11,제품,4.0,10,12.263746128908958,0.009873218158085152
12,경력,5.0,20,12.096546836510935,0.009738610423028426
13,자재 구매,4.0,11,11.91570062095044,0.009593015910509622
14,섬유,3.0,4,11.563181677774528,0.009309212218371138
15,출고,7.0,47,11.148415558824034,0.008975294968785604
16,정보검색,2.0,0,10.92766361005122,0.00879757340425332
17,샘플발송,2.0,0,10.92766361005122,0.00879757340425332
18,환경,3.0,7,10.153170790037322,0.008174049686990259
19,재고,5.0,34,9.54241871768098,0.007682349321743605
20,샘플,4.0,24,8.979823920629636,0.007229419107149728
21,자재 관리,3.0,11,8.936775465712829,0.007194761932882216
22,채용,3.0,11,8.936775465712829,0.007194761932882216
23,엑셀,3.0,16,7.891855382908181,0.006353524367553349
24,품질,3.0,17,7.720380141388336,0.006215474178774173
25,화학,2.0,4,7.708787785183019,0.0062061414789140925
26,영업지원,2.0,5,7.34414467159511,0.0059125769373414155
27,참여,2.0,6,7.035843311940593,0.005664371654036671
28,마감,3.0,23,6.857333924032993,0.005520658459752309
29,모집,4.0,42,6.810526757328191,0.00548297524588106
30,발송,2.0,7,6.768780526691549,0.005449366457993507
31,배차,2.0,9,6.322493424063129,0.005090072496827488
32,작성,5.0,66,6.295695928173219,0.005068498540531394
33,근무시간,3.0,28,6.289607925117408,0.005063597250037829
34,출고 관리,2.0,10,6.131873064454479,0.004936609079042576
35,배송,2.0,11,5.957850310475219,0.00479650795525481
36,외주,3.0,33,5.812413841228346,0.004679420894423442
37,행사,2.0,12,5.797764895128147,0.004667627414754749
38,품질관리,2.0,12,5.797764895128147,0.004667627414754749
39,불량재고 처리하기,1.0,0,5.4638318050256105,0.004398786702126661
40,하청,1.0,0,5.4638318050256105,0.004398786702126661
41,화학 제품 자재 구매 사무원,1.0,0,5.4638318050256105,0.004398786702126661
42,업체평가하기,1.0,0,5.4638318050256105,0.004398786702126661
43,품질지도 관리하기,1.0,0,5.4638318050256105,0.004398786702126661
44,구매적합성 판단하기,1.0,0,5.4638318050256105,0.004398786702126661
45,원사 운송,1.0,0,5.4638318050256105,0.004398786702126661
46,저장특성 파악하기,1.0,0,5.4638318050256105,0.004398786702126661
47,물성시험하기,1.0,0,5.4638318050256105,0.004398786702126661
48,금융 동향 파악하기,1.0,0,5.4638318050256105,0.004398786702126661
49,작업진척 관리하기,1.0,0,5.4638318050256105,0.004398786702126661
50,데이터 작성 기록,1.0,0,5.4638318050256105,0.004398786702126661
51,재고 매뉴얼 작성하기,1.0,0,5.4638318050256105,0.004398786702126661
52,섬유 수불 관리,1.0,0,5.4638318050256105,0.004398786702126661
53,원단 영업보조,1.0,0,5.4638318050256105,0.004398786702126661
54,최종제품 평가하기,1.0,0,5.4638318050256105,0.004398786702126661
55,원 · 부자재 특성파악 하기,1.0,0,5.4638318050256105,0.004398786702126661
56,자재 입·출고 관리하기,1.0,0,5.4638318050256105,0.004398786702126661
57,섬유관련,1.0,0,5.4638318050256105,0.004398786702126661
58,물류 환경 조사하기,1.0,0,5.4638318050256105,0.004398786702126661
59,고객요구 조사하기,1.0,0,5.4638318050256105,0.004398786702126661
60,이화학검사하기,1.0,0,5.4638318050256105,0.004398786702126661
61,원 · 부자재 환경조사 하기,1.0,0,5.4638318050256105,0.004398786702126661
62,평가,2.0,15,5.382486165571658,0.004333297475906901
63,성실,2.0,16,5.261236921938788,0.004235682911702233
64,창고,3.0,40,5.250779214963907,0.00422726368797475
65,운전,2.0,17,5.146920094258891,0.004143649452516115
66,전산,2.0,18,5.03878565171834,0.004056593268346656
67,물류,2.0,19,4.936199062943238,0.003974003514740883
68,거래명세서 관리,1.0,1,4.770684624465665,0.003840752211083358
69,부자재 구매,1.0,1,4.770684624465665,0.003840752211083358
70,경험,2.0,24,4.489911960314818,0.003614709553574864
71,일반 자재 구매,1.0,2,4.3652195163575005,0.0035143229597140104
72,창고 입출고,1.0,2,4.3652195163575005,0.0035143229597140104
73,외주 관리,1.0,2,4.3652195163575005,0.0035143229597140104
74,선정,1.0,2,4.3652195163575005,0.0035143229597140104
75,창고 입,1.0,2,4.3652195163575005,0.0035143229597140104
76,관리직,2.0,26,4.335989878042562,0.003490790949777419
77,원가,2.0,26,4.335989878042562,0.003490790949777419
78,품질관리 매뉴얼 작성하기,1.0,3,4.07753744390572,0.003282717720040056
79,재고실사하기,1.0,3,4.07753744390572,0.003282717720040056
80,수불 관리,1.0,3,4.07753744390572,0.003282717720040056
81,제품 관리,1.0,3,4.07753744390572,0.003282717720040056
82,전산프로그램,1.0,3,4.07753744390572,0.003282717720040056
83,컴퓨터활용능력,1.0,3,4.07753744390572,0.003282717720040056
84,창고 입출고 관리,1.0,4,3.8543938925915096,0.0031030707394570462
85,납기,1.0,4,3.8543938925915096,0.0031030707394570462
86,사무 관리,1.0,4,3.8543938925915096,0.0031030707394570462
87,거래명세서,1.0,4,3.8543938925915096,0.0031030707394570462
88,원사,2.0,35,3.760625733139,0.0030275804704295102
89,경력직,2.0,36,3.705827784762771,0.002983464089248181
90,배송업무,1.0,5,3.672072335797555,0.0029562884686707078
91,납기관리,1.0,5,3.672072335797555,0.0029562884686707078
92,영업사원,1.0,5,3.672072335797555,0.0029562884686707078
93,자재 입,1.0,5,3.672072335797555,0.0029562884686707078
94,해외 수,1.0,6,3.5179216559702966,0.0028321858270183354
95,배차관리,1.0,6,3.5179216559702966,0.0028321858270183354
96,컴퓨터활용,1.0,6,3.5179216559702966,0.0028321858270183354
97,기록,1.0,6,3.5179216559702966,0.0028321858270183354
98,불량,1.0,7,3.3843902633457743,0.0027246832289967533
99,외주관리,1.0,7,3.3843902633457743,0.0027246832289967533
100,엑셀 사용,1.0,7,3.3843902633457743,0.0027246832289967533
101,사무실,1.0,7,3.3843902633457743,0.0027246832289967533
102,정산,1.0,7,3.3843902633457743,0.0027246832289967533
103,거래처 관리,1.0,7,3.3843902633457743,0.0027246832289967533
104,사무원,2.0,43,3.3592843422146976,0.002704471114869367
105,자재 발주,1.0,8,3.2666072276893905,0.0026298592173013596
106,세금계산서,1.0,8,3.2666072276893905,0.0026298592173013596
107,운전가능,1.0,8,3.2666072276893905,0.0026298592173013596
108,계산,1.0,8,3.2666072276893905,0.0026298592173013596
109,구매 업무,1.0,9,3.1612467120315646,0.002545036248413744
110,회계관련,1.0,9,3.1612467120315646,0.002545036248413744
111,세금계산서 발행,1.0,9,3.1612467120315646,0.002545036248413744
112,재고 관리,1.0,9,3.1612467120315646,0.002545036248413744
113,상담,1.0,9,3.1612467120315646,0.002545036248413744
114,운송,1.0,10,3.0659365322272394,0.002468304539521288
115,검사,1.0,10,3.0659365322272394,0.002468304539521288
116,수입,1.0,10,3.0659365322272394,0.002468304539521288
117,협의,1.0,10,3.0659365322272394,0.002468304539521288
118,창고 관리,1.0,11,2.9789251552376097,0.002398253977627405
119,해당직무 근무경험,1.0,11,2.9789251552376097,0.002398253977627405
120,임금,1.0,13,2.824774475410352,0.0022741513359750337
121,안내,1.0,14,2.7557816039234,0.002218606997044396
122,운전가능자,1.0,14,2.7557816039234,0.002218606997044396
123,재고관리,1.0,15,2.691243082785829,0.0021666487379534507
124,법인,1.0,15,2.691243082785829,0.0021666487379534507
125,회계,1.0,15,2.691243082785829,0.0021666487379534507
126,자료정리,1.0,16,2.630618460969394,0.0021178414558511165
127,보조,1.0,16,2.630618460969394,0.0021178414558511165
128,학력,1.0,17,2.573460047129445,0.0020718247262580575
129,급여,1.0,17,2.573460047129445,0.0020718247262580575
130,발주,1.0,18,2.51939282585917,0.002028296634173328
131,월마감,1.0,19,2.468099531471619,0.0019870017573704415
132,입출고 관리,1.0,19,2.468099531471619,0.0019870017573704415
133,프로그램,1.0,19,2.468099531471619,0.0019870017573704415
134,시험,1.0,20,2.419309367302187,0.0019477220846056851
135,자격,1.0,20,2.419309367302187,0.0019477220846056851
136,계산서 발행,1.0,23,2.2857779746776643,0.0018402194865841028
137,전화,1.0,24,2.244955980157409,0.001807354776787432
138,사무업무,1.0,32,1.9673242435591296,0.001583840797108638
139,경력자,1.0,32,1.9673242435591296,0.001583840797108638
140,정리,1.0,33,1.9374712804094487,0.001559806964807814
141,이메일,1.0,36,1.8529138923813853,0.0014917320446240904
142,컴퓨터,1.0,36,1.8529138923813853,0.0014917320446240904
143,응대,1.0,37,1.826245645299224,0.0014702621431300254
144,경력자 우대,1.0,37,1.826245645299224,0.0014702621431300254
