idx,skill,tf,df,tfidf,pr
0,회계,27.0,15,72.66356323521738,0.04005004559822312
1,재무,18.0,5,66.09730204435598,0.0364309131418012
2,지원,24.0,41,41.4278924818138,0.022833851094860417
3,재무회계,8.0,3,32.62029955124576,0.01797936168126013
4,경력,13.0,20,31.45102177492843,0.017334889731723237
5,정산,9.0,7,30.45951237011197,0.016788398545412676
6,관리,24.0,69,29.168077511430027,0.016076597160034442
7,업무,28.0,88,27.305472188217166,0.015049983203811422
8,자금,11.0,31,21.97905492448472,0.012114216709714458
9,엑셀,7.0,16,18.41432922678576,0.010149443439845317
10,경영,7.0,18,17.635749781014187,0.009720313062574223
11,사무,9.0,33,17.43724152368504,0.009610901076653293
12,자격,7.0,20,16.93516557111531,0.00933417139400482
13,보고,5.0,7,16.921951316728872,0.009326888080784822
14,세무,6.0,17,15.440760282776672,0.00851049860291906
15,월별,4.0,5,14.68828934319022,0.008095758475955823
16,대응,4.0,5,14.68828934319022,0.008095758475955823
17,결산,5.0,12,14.494412237820368,0.007988899046486628
18,서류,8.0,41,13.809297493937931,0.007611283698286804
19,급여,5.0,17,12.867300235647228,0.007092082169099217
20,감사,4.0,12,11.595529790256291,0.006391119237189301
21,회계감사,3.0,4,11.563181677774528,0.006373289897115277
22,경험,5.0,24,11.224779900787045,0.00618677266625782
23,회계감사 대응,2.0,0,10.92766361005122,0.006023010796317241
24,차입금,2.0,0,10.92766361005122,0.006023010796317241
25,감사 대응,2.0,0,10.92766361005122,0.006023010796317241
26,일별,2.0,0,10.92766361005122,0.006023010796317241
27,신고,4.0,17,10.293840188517782,0.0056736657352793735
28,작성,8.0,66,10.073113485077153,0.005552007587179389
29,경력자,5.0,32,9.83662121779565,0.00542165991818893
30,재무제표 작성,2.0,1,9.54136924893133,0.005258925608316137
31,회계프로그램 사용,2.0,1,9.54136924893133,0.005258925608316137
32,보고서,3.0,9,9.483740136094694,0.0052271621151136205
33,협의,3.0,10,9.19780959668172,0.005069565506420697
34,더존,3.0,11,8.936775465712829,0.0049256910749652105
35,채용,3.0,11,8.936775465712829,0.0049256910749652105
36,공시,2.0,2,8.730439032715001,0.004811964425979016
37,정산 업무,2.0,2,8.730439032715001,0.004811964425979016
38,보고서 작성,2.0,2,8.730439032715001,0.004811964425979016
39,운용,2.0,2,8.730439032715001,0.004811964425979016
40,모집,5.0,42,8.513158446660238,0.0046922056776923056
41,운영,6.0,58,8.317766166719343,0.004584511128006626
42,컴퓨터활용능력,2.0,3,8.15507488781144,0.004494840420315033
43,부가세,2.0,3,8.15507488781144,0.004494840420315033
44,보조,3.0,16,7.891855382908181,0.00434976147421942
45,세무업무,2.0,4,7.708787785183019,0.004248859931410185
46,홈페이지,2.0,4,7.708787785183019,0.004248859931410185
47,경영지원,4.0,34,7.633934974144785,0.004207603236007949
48,계획,3.0,19,7.404298594414858,0.004081034333111964
49,프로그램,3.0,19,7.404298594414858,0.004081034333111964
50,기타,3.0,20,7.257928101906561,0.004000359168859209
51,컴퓨터활용,2.0,6,7.035843311940593,0.0038779524829110307
52,사무실,2.0,7,6.768780526691549,0.003730755232313928
53,기획,2.0,8,6.533214455378781,0.0036009180556407904
54,운전가능,2.0,8,6.533214455378781,0.0036009180556407904
55,프로그램 사용,2.0,9,6.322493424063129,0.0034847747434090808
56,장부,2.0,10,6.131873064454479,0.003379710337613797
57,수행,2.0,12,5.797764895128147,0.003195559618594651
58,기장,2.0,13,5.649548950820703,0.003113867294909927
59,컴퓨터,3.0,36,5.558741677144156,0.003063816963086488
60,원천세,2.0,14,5.5115632078468,0.0030378135610719596
61,운전가능자,2.0,14,5.5115632078468,0.0030378135610719596
62,회계감사 준비,1.0,0,5.4638318050256105,0.003011505398158621
63,회계프로그램 사용경험자,1.0,0,5.4638318050256105,0.003011505398158621
64,외부 회계감사,1.0,0,5.4638318050256105,0.003011505398158621
