idx,skill,tf,df,tfidf,pr
0,업무,38.0,88,37.05742654115187,0.02805538860420479
1,전산,12.0,18,30.23271391031004,0.022888543983797405
2,경력,11.0,20,26.612403040324057,0.02014768370811982
3,급여,10.0,17,25.734600471294456,0.019483118073359763
4,지원,13.0,41,22.440108427649143,0.016988928293740567
5,기록,5.0,6,17.589608279851483,0.013316717909133914
6,교육,6.0,13,16.94864685246211,0.012831459659866516
7,엑셀,6.0,16,15.783710765816362,0.011949511352592283
8,인터넷,5.0,11,14.894625776188049,0.011276404037423268
9,채용,5.0,11,14.894625776188049,0.011276404037423268
10,자격,6.0,20,14.515856203813122,0.010989645658974447
11,평가,5.0,15,13.456215413929144,0.010187414178921503
12,근무시간,6.0,28,12.579215850234815,0.009523456482403119
13,프로그램,5.0,19,12.340497657358096,0.00934272802138566
14,유선,3.0,3,12.23261233171716,0.009261050338447088
15,보고,3.0,7,10.153170790037322,0.007686749422899994
16,사무실,3.0,7,10.153170790037322,0.007686749422899994
17,환경,3.0,7,10.153170790037322,0.007686749422899994
18,정리,5.0,33,9.687356402047245,0.007334091267915084
19,업무 보고,2.0,1,9.54136924893133,0.007223567502662787
20,LIST 관리,2.0,1,9.54136924893133,0.007223567502662787
21,ERP,3.0,9,9.483740136094694,0.0071799377283784886
22,C,6.0,53,8.849086550768014,0.006699455012029606
23,접수,4.0,25,8.822941068016512,0.006679660823730444
24,감정,2.0,2,8.730439032715001,0.006609629502365431
25,문서,3.0,12,8.69664734269222,0.006584046533344925
26,모집,5.0,42,8.513158446660238,0.0064451309970214
27,정규직,5.0,44,8.285846576276452,0.006273038019898884
28,경력자,4.0,32,7.869296974236519,0.005957677185406519
29,사무,4.0,33,7.749885121637795,0.005867273014332067
30,학력,3.0,17,7.720380141388336,0.0058449354220079285
31,소통,2.0,4,7.708787785183019,0.005836159095950387
32,계약,3.0,19,7.404298594414858,0.005605636812831396
33,대응,2.0,5,7.34414467159511,0.0055600955586673695
34,관리,6.0,69,7.292019377857507,0.005520632608635132
35,기타,3.0,20,7.257928101906561,0.005494822829487224
36,전자,2.0,6,7.035843311940593,0.005326687163653566
37,서류,4.0,41,6.904648746968967,0.005227362551920175
38,4대보험,3.0,23,6.857333924032993,0.005191541506906868
39,전화,3.0,24,6.734867940472228,0.00509882511830989
40,테스트,2.0,8,6.533214455378781,0.004946157558370014
41,퇴직연금,2.0,8,6.533214455378781,0.004946157558370014
42,아파트,2.0,9,6.322493424063129,0.004786625152252325
43,상담,2.0,9,6.322493424063129,0.004786625152252325
44,개인,2.0,10,6.131873064454479,0.004642310536698676
45,기본급,3.0,36,5.558741677144156,0.004208404966531733
46,컴퓨터,3.0,36,5.558741677144156,0.004208404966531733
47,안내,2.0,14,5.5115632078468,0.00417268715195497
48,경력자 우대,3.0,37,5.478736935897673,0.0041478350804022585
49,한자 관련 자격증,1.0,0,5.4638318050256105,0.0041365507231804245
50,유선 대응,1.0,0,5.4638318050256105,0.0041365507231804245
51,고객 클레임 상담,1.0,0,5.4638318050256105,0.0041365507231804245
52,생산 자재 전산 입력,1.0,0,5.4638318050256105,0.0041365507231804245
53,중증장애인,1.0,0,5.4638318050256105,0.0041365507231804245
54,ORT 시료 분할,1.0,0,5.4638318050256105,0.0041365507231804245
55,고객관리업무,1.0,0,5.4638318050256105,0.0041365507231804245
56,본사 오창 이동,1.0,0,5.4638318050256105,0.0041365507231804245
57,생활가전,1.0,0,5.4638318050256105,0.0041365507231804245
58,렌탈상담,1.0,0,5.4638318050256105,0.0041365507231804245
59,손해사정사,1.0,0,5.4638318050256105,0.0041365507231804245
60,전산 처리,1.0,0,5.4638318050256105,0.0041365507231804245
61,지그 수리,1.0,0,5.4638318050256105,0.0041365507231804245
62,급여지급,1.0,0,5.4638318050256105,0.0041365507231804245
63,BB,1.0,0,5.4638318050256105,0.0041365507231804245
64,지그,1.0,0,5.4638318050256105,0.0041365507231804245
65,고객사 이동,1.0,0,5.4638318050256105,0.0041365507231804245
66,PC활용,1.0,0,5.4638318050256105,0.0041365507231804245
67,수정,2.0,18,5.03878565171834,0.003814757330632901
68,작성,4.0,66,5.036556742538576,0.0038130698709510397
69,환경가전,1.0,1,4.770684624465665,0.0036117837513313933
70,천장 크레인 신호수,1.0,1,4.770684624465665,0.0036117837513313933
71,한글 작업,1.0,1,4.770684624465665,0.0036117837513313933
