idx,skill,tf,df,tfidf,pr
0,기술지원,20.0,0,109.2766361005122,0.045754569242374366
1,보수,16.0,1,76.33095399145064,0.031960078973568895
2,기술,26.0,13,73.44413636066915,0.030751356762755165
3,IT,19.0,5,69.76937438015355,0.029212719067757912
4,유지보수,15.0,2,65.47829274536251,0.027416025842289863
5,지원,34.0,41,58.68951434923622,0.024573536886910684
6,관리,38.0,69,46.18278939309754,0.019336920594342576
7,채용,13.0,11,38.72602701808893,0.01621474404694733
8,전산,15.0,18,37.790892387887546,0.01582319939737433
9,유지,16.0,27,34.1060367176065,0.014280335433672584
10,운영,24.0,58,33.27106466687737,0.013930729260991778
11,대응,9.0,5,33.04865102217799,0.013837603768937955
12,자격,13.0,20,31.45102177492843,0.013168669945337398
13,서버,5.0,0,27.31915902512805,0.011438642310593591
14,DB,5.0,0,27.31915902512805,0.011438642310593591
15,교육,9.0,13,25.422970278693164,0.010644700417876787
16,보안,7.0,8,22.866250593825733,0.009574191551306175
17,경험,10.0,24,22.44955980157409,0.009399721432284564
18,장애 대응,4.0,0,21.85532722010244,0.009150913848474872
19,네트워크,4.0,0,21.85532722010244,0.009150913848474872
20,경력,8.0,20,19.354474938417496,0.008103796889438398
21,수행,6.0,12,17.39329468538444,0.007282642790206773
22,보고,5.0,7,16.921951316728872,0.00708528941653366
23,업무,17.0,88,16.578322399988995,0.006941410600112232
24,오라클,3.0,0,16.391495415076832,0.006863185386356155
25,UX,3.0,0,16.391495415076832,0.006863185386356155
26,통신,5.0,8,16.333036138446953,0.006838708250932983
27,점검,8.0,33,15.49977024327559,0.006489816452480665
28,접수,7.0,25,15.440146869028895,0.006464851904679933
29,홈페이지,4.0,4,15.417575570366038,0.006455401210694349
30,시스템 운영,4.0,5,14.68828934319022,0.006150046119527981
31,교육원,4.0,6,14.071686623881186,0.005891872068583442
32,서류,8.0,41,13.809297493937931,0.005782008679273101
33,C,9.0,53,13.27362982615202,0.0055577224615488635
34,모니터링,3.0,2,13.0956585490725,0.005483205168457971
35,인원,4.0,10,12.263746128908958,0.00513488007546231
36,구축,10.0,73,11.597667118214405,0.004855990101326537
37,컴퓨터,6.0,36,11.117483354288312,0.004654935218419893
38,진단,3.0,5,11.016217007392664,0.004612534589645985
39,방화벽,2.0,0,10.92766361005122,0.004575456924237436
40,MS-SQL,2.0,0,10.92766361005122,0.004575456924237436
41,장애 처리 결과 보고,2.0,0,10.92766361005122,0.004575456924237436
42,고객시스템 장애 처리,2.0,0,10.92766361005122,0.004575456924237436
43,시스템 장애 대응,2.0,0,10.92766361005122,0.004575456924237436
44,장애 처리 결과 보고하기,2.0,0,10.92766361005122,0.004575456924237436
45,장애 대응 방안 수립하기,2.0,0,10.92766361005122,0.004575456924237436
46,기술 문의 대응,2.0,0,10.92766361005122,0.004575456924237436
47,컴퓨터 관련,2.0,0,10.92766361005122,0.004575456924237436
48,UI,2.0,0,10.92766361005122,0.004575456924237436
49,발표,2.0,0,10.92766361005122,0.004575456924237436
50,시스템 유지보수 수행,2.0,0,10.92766361005122,0.004575456924237436
51,SQL,4.0,15,10.764972331143316,0.004507337428144279
52,전자,3.0,6,10.55376496791089,0.004418904051437581
53,개발,6.0,42,10.215790135992286,0.004277392623185197
54,프로그램,4.0,19,9.872398125886477,0.004133613000529053
55,자격증,6.0,47,9.555784764706315,0.004001045706420054
56,LINUX,2.0,1,9.54136924893133,0.003995009871696112
57,설치,3.0,9,9.483740136094694,0.003970880329208776
58,오피스,2.0,2,8.730439032715001,0.003655470112305315
59,근무시간,4.0,28,8.386143900156544,0.003511312348627736
60,고객시스템 장애 처리하기,2.0,3,8.15507488781144,0.003414562819154788
61,엑셀,3.0,16,7.891855382908181,0.0033043517484922353
62,운전,3.0,17,7.720380141388336,0.003232554371747804
63,보안관리,2.0,4,7.708787785183019,0.0032277006053471743
64,IP,2.0,4,7.708787785183019,0.0032277006053471743
65,MES,2.0,5,7.34414467159511,0.0030750230597639907
66,기타,3.0,20,7.257928101906561,0.0030389238335393996
67,자동화,2.0,6,7.035843311940593,0.002945936034291721
68,파워포인트,2.0,6,7.035843311940593,0.002945936034291721
69,심사,2.0,6,7.035843311940593,0.002945936034291721
70,솔루션,3.0,22,6.985012767289382,0.0029246530797841144
71,환경,2.0,7,6.768780526691549,0.002834115766613464
72,테스트,2.0,8,6.533214455378781,0.0027354833003731933
73,관련 업무,4.0,46,6.454736813262206,0.0027026243944045063
74,ERP,2.0,9,6.322493424063129,0.0026472535528058506
75,개인,2.0,10,6.131873064454479,0.002567440037731155
76,문서,2.0,12,5.797764895128147,0.002427547596735591
77,컴퓨터 활용능력,2.0,13,5.649548950820703,0.002365488981750397
78,개선,4.0,57,5.613555177916763,0.002350418243545088
79,기본급,3.0,36,5.558741677144156,0.0023274676092099465
80,DBMS 기초 기술지원,1.0,0,5.4638318050256105,0.002287728462118718
81,인프라 운영,1.0,0,5.4638318050256105,0.002287728462118718
82,웹방화벽,1.0,0,5.4638318050256105,0.002287728462118718
83,JSP,1.0,0,5.4638318050256105,0.002287728462118718
84,IOT,1.0,0,5.4638318050256105,0.002287728462118718
85,시스템 개선 대응,1.0,0,5.4638318050256105,0.002287728462118718
86,AJAX,1.0,0,5.4638318050256105,0.002287728462118718
87,ICT시스템 구축,1.0,0,5.4638318050256105,0.002287728462118718
88,장애지원,1.0,0,5.4638318050256105,0.002287728462118718
89,정보보안관리,1.0,0,5.4638318050256105,0.002287728462118718
90,책이음서비스 구축,1.0,0,5.4638318050256105,0.002287728462118718
91,GPDB,1.0,0,5.4638318050256105,0.002287728462118718
92,WINDOWS,1.0,0,5.4638318050256105,0.002287728462118718
93,전산시스템,1.0,0,5.4638318050256105,0.002287728462118718
94,ORACLE,1.0,0,5.4638318050256105,0.002287728462118718
95,WINDOW NT,1.0,0,5.4638318050256105,0.002287728462118718
96,프로그램 자격증,1.0,0,5.4638318050256105,0.002287728462118718
97,DBMS,1.0,0,5.4638318050256105,0.002287728462118718
98,게시판 관리,1.0,0,5.4638318050256105,0.002287728462118718
99,정보통신공사관련 업무,1.0,0,5.4638318050256105,0.002287728462118718
100,교육용 컨텐츠 납품,1.0,0,5.4638318050256105,0.002287728462118718
101,자바스크립트,1.0,0,5.4638318050256105,0.002287728462118718
102,사내 보안관리,1.0,0,5.4638318050256105,0.002287728462118718
103,시스템 설치지원,1.0,0,5.4638318050256105,0.002287728462118718
104,해당업무 경험자,1.0,0,5.4638318050256105,0.002287728462118718
105,경영정보시스템 개발,1.0,0,5.4638318050256105,0.002287728462118718
106,개선 방안 처리,1.0,0,5.4638318050256105,0.002287728462118718
107,이수자,1.0,0,5.4638318050256105,0.002287728462118718
108,W 관련 전공,1.0,0,5.4638318050256105,0.002287728462118718
109,개선 방안 수립,1.0,0,5.4638318050256105,0.002287728462118718
110,JQUERY,1.0,0,5.4638318050256105,0.002287728462118718
111,UNIX,1.0,0,5.4638318050256105,0.002287728462118718
112,전산장비 유지보수,1.0,0,5.4638318050256105,0.002287728462118718
113,DDOS,1.0,0,5.4638318050256105,0.002287728462118718
114,네트워크 관리,1.0,0,5.4638318050256105,0.002287728462118718
115,JAVA,1.0,0,5.4638318050256105,0.002287728462118718
116,개선 결과 보고,1.0,0,5.4638318050256105,0.002287728462118718
117,가상화,1.0,0,5.4638318050256105,0.002287728462118718
118,서비스,3.0,39,5.324857052735021,0.0022295391715848037
119,하드웨어,2.0,16,5.261236921938788,0.0022029011656614903
120,학력,2.0,17,5.146920094258891,0.002155036247831869
121,데이터베이스,2.0,19,4.936199062943238,0.0020668065002645264
122,계약,2.0,19,4.936199062943238,0.0020668065002645264
123,BIS,1.0,1,4.770684624465665,0.001997504935848056
124,사내 전산,1.0,1,4.770684624465665,0.001997504935848056
125,컴퓨터 활용능력자,1.0,1,4.770684624465665,0.001997504935848056
126,전산실,1.0,1,4.770684624465665,0.001997504935848056
127,IPS,1.0,1,4.770684624465665,0.001997504935848056
128,운영 관리,1.0,1,4.770684624465665,0.001997504935848056
129,운영관리,1.0,1,4.770684624465665,0.001997504935848056
130,문의 응대,1.0,1,4.770684624465665,0.001997504935848056
131,인력채용,1.0,1,4.770684624465665,0.001997504935848056
132,컴퓨터 관련 자격증,1.0,1,4.770684624465665,0.001997504935848056
133,환경 관리,1.0,1,4.770684624465665,0.001997504935848056
134,정보통신,2.0,21,4.745578703334588,0.0019869929851898307
135,RFID 자동화시스템 구축,1.0,2,4.3652195163575005,0.0018277350561526574
136,MES 구축 개발,1.0,2,4.3652195163575005,0.0018277350561526574
137,오라클 데이터 베이스 운영,1.0,2,4.3652195163575005,0.0018277350561526574
138,APM,1.0,2,4.3652195163575005,0.0018277350561526574
139,정보보안 관리,1.0,2,4.3652195163575005,0.0018277350561526574
140,도서관리프로그램 구축,1.0,2,4.3652195163575005,0.0018277350561526574
141,컴퓨터 활용능력 우수자,1.0,2,4.3652195163575005,0.0018277350561526574
142,원가,2.0,26,4.335989878042562,0.0018154964884410719
143,PD,1.0,3,4.07753744390572,0.001707281409577394
144,시행,1.0,3,4.07753744390572,0.001707281409577394
145,한글,2.0,30,4.059689201080928,0.0016998082781622713
146,경력자,2.0,32,3.93464848711826,0.0016474532257990337
147,PM,1.0,4,3.8543938925915096,0.0016138503026735872
148,엑셀 활용,1.0,4,3.8543938925915096,0.0016138503026735872
149,스캔,1.0,5,3.672072335797555,0.0015375115298819954
150,BI,1.0,5,3.672072335797555,0.0015375115298819954
151,엑셀 작업,1.0,5,3.672072335797555,0.0015375115298819954
152,유지관리,1.0,6,3.5179216559702966,0.0014729680171458605
153,문서작업,1.0,6,3.5179216559702966,0.0014729680171458605
154,설계,1.0,6,3.5179216559702966,0.0014729680171458605
155,행정,1.0,6,3.5179216559702966,0.0014729680171458605
156,워드,1.0,6,3.5179216559702966,0.0014729680171458605
157,컴퓨터 활용,2.0,41,3.4523243734844837,0.0014455021698182755
158,사후관리,1.0,7,3.3843902633457743,0.001417057883306732
159,건설현장,1.0,7,3.3843902633457743,0.001417057883306732
160,분석,2.0,43,3.3592843422146976,0.0014065459326485065
161,별도,3.0,78,3.2831518576757657,0.0013746689536369406
162,CCTV,1.0,8,3.2666072276893905,0.0013677416501865966
163,운전가능,1.0,8,3.2666072276893905,0.0013677416501865966
164,제출,3.0,81,3.1713376732840706,0.001327851902668024
165,업무 관리,1.0,9,3.1612467120315646,0.0013236267764029253
166,실무,1.0,9,3.1612467120315646,0.0013236267764029253
167,프로그램 사용,1.0,9,3.1612467120315646,0.0013236267764029253
168,AS,1.0,10,3.0659365322272394,0.0012837200188655774
169,운전 가능자,1.0,10,3.0659365322272394,0.0012837200188655774
170,운전 가능,1.0,10,3.0659365322272394,0.0012837200188655774
171,부품,1.0,10,3.0659365322272394,0.0012837200188655774
172,제품,1.0,10,3.0659365322272394,0.0012837200188655774
173,협의,1.0,10,3.0659365322272394,0.0012837200188655774
174,인터넷,1.0,11,2.9789251552376097,0.0012472880036113333
175,기계,1.0,11,2.9789251552376097,0.0012472880036113333
176,기술 지원,1.0,12,2.8988824475640733,0.0012137737983677955
177,운전면허,1.0,12,2.8988824475640733,0.0012137737983677955
178,제조업,1.0,12,2.8988824475640733,0.0012137737983677955
179,임금,1.0,13,2.824774475410352,0.0011827444908751987
180,관련 업무 경력자,1.0,14,2.7557816039234,0.0011538568967075266
181,안내,1.0,14,2.7557816039234,0.0011538568967075266
182,운전가능자,1.0,14,2.7557816039234,0.0011538568967075266
183,MYSQL,1.0,15,2.691243082785829,0.0011268343570360697
184,발생,1.0,15,2.691243082785829,0.0011268343570360697
185,공단,1.0,16,2.630618460969394,0.0011014505828307452
186,열정,1.0,16,2.630618460969394,0.0011014505828307452
187,성실,1.0,16,2.630618460969394,0.0011014505828307452
188,보조,1.0,16,2.630618460969394,0.0011014505828307452
189,정보통신공사,1.0,17,2.573460047129445,0.0010775181239159343
190,경영,1.0,18,2.51939282585917,0.0010548799598249555
191,작성,2.0,66,2.518278371269288,0.0010544133331834352
192,계획,1.0,19,2.468099531471619,0.0010334032501322632
193,진행,2.0,69,2.4306731259525023,0.0010177326628601356
194,현장,2.0,70,2.402303855968589,0.001005854334846445
195,MANAGEMENT,1.0,21,2.372789351667294,0.0009934964925949153
196,납품,1.0,22,2.3283375890964604,0.0009748843599280381
197,경력 3년 이상,1.0,23,2.2857779746776643,0.0009570644773406711
198,관리자,1.0,23,2.2857779746776643,0.0009570644773406711
199,제조,2.0,77,2.2142459566720367,0.0009271137322621454
200,면허,1.0,25,2.205735267004128,0.0009235502720971333
201,업체 관리,1.0,26,2.167994939021281,0.0009077482442205359
202,건설,1.0,27,2.1316272948504063,0.0008925209646045365
203,학생,1.0,30,2.029844600540464,0.0008499041390811357
204,선발,1.0,30,2.029844600540464,0.0008499041390811357
205,취득,1.0,30,2.029844600540464,0.0008499041390811357
206,정리,1.0,33,1.9374712804094487,0.0008112270565600831
207,CS,1.0,34,1.9084837435361963,0.0007990898577007298
208,온라인,1.0,34,1.9084837435361963,0.0007990898577007298
209,원사,1.0,35,1.8803128665695,0.0007872945976452725
210,책임감,1.0,36,1.8529138923813853,0.0007758225364033154
211,응대,1.0,37,1.826245645299224,0.0007646564335542932
212,경력자 우대,1.0,37,1.826245645299224,0.0007646564335542932
213,정규직,1.0,44,1.6571693152552902,0.0006938634907414659
214,훈련,1.0,52,1.4935398914734883,0.0006253511895975329
215,업무 지원,1.0,55,1.4384801142904609,0.0006022974383338743
216,유경험자,1.0,57,1.4033887944791907,0.000587604560886272
217,영어,1.0,63,1.304948721665938,0.0005463873044947456
218,성과급,1.0,66,1.259139185634644,0.0005272066665917176
219,관리 업무,1.0,88,0.9751954352934702,0.00040831827059483714
220,기업,1.0,94,0.9099549134250692,0.0003810018003798247
221,직원,1.0,147,0.4666195312614949,0.00019537548386199148
222,법인세 관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
223,소모품 수입,0.01,0,0.0546383180502561,2.2877284621187182e-05
224,영문 서신 작성,0.01,0,0.0546383180502561,2.2877284621187182e-05
225,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,2.2877284621187182e-05
226,유해화학물질관리자,0.01,0,0.0546383180502561,2.2877284621187182e-05
227,가구 설치,0.01,0,0.0546383180502561,2.2877284621187182e-05
228,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,2.2877284621187182e-05
229,타이어 탈착,0.01,0,0.0546383180502561,2.2877284621187182e-05
230,현장 조율,0.01,0,0.0546383180502561,2.2877284621187182e-05
231,경영계획 분석,0.01,0,0.0546383180502561,2.2877284621187182e-05
232,폐기물 관련 업무,0.01,0,0.0546383180502561,2.2877284621187182e-05
233,납품계획 세우기,0.01,0,0.0546383180502561,2.2877284621187182e-05
234,불량재고 처리하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
235,매뉴얼 업무,0.01,0,0.0546383180502561,2.2877284621187182e-05
236,건축업무 경험,0.01,0,0.0546383180502561,2.2877284621187182e-05
237,UX 시나리오 제작,0.01,0,0.0546383180502561,2.2877284621187182e-05
238,평가계획 수립하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
239,현장상황파악,0.01,0,0.0546383180502561,2.2877284621187182e-05
240,인허가관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
241,사건 수임,0.01,0,0.0546383180502561,2.2877284621187182e-05
242,PF심의자료 작성,0.01,0,0.0546383180502561,2.2877284621187182e-05
243,디지털 교육 이해,0.01,0,0.0546383180502561,2.2877284621187182e-05
244,여행상품개발,0.01,0,0.0546383180502561,2.2877284621187182e-05
245,주차매출 관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
246,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
247,어도비 포토샵,0.01,0,0.0546383180502561,2.2877284621187182e-05
248,데미지 관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
249,기관 소통 업무,0.01,0,0.0546383180502561,2.2877284621187182e-05
250,비디오메타 사용,0.01,0,0.0546383180502561,2.2877284621187182e-05
251,소프트웨어 테스트하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
252,자습감독,0.01,0,0.0546383180502561,2.2877284621187182e-05
253,JLPT 2급이상,0.01,0,0.0546383180502561,2.2877284621187182e-05
254,한자 관련 자격증,0.01,0,0.0546383180502561,2.2877284621187182e-05
255,기성취합,0.01,0,0.0546383180502561,2.2877284621187182e-05
256,KUBERNETES,0.01,0,0.0546383180502561,2.2877284621187182e-05
257,프로젝트 코디네이팅,0.01,0,0.0546383180502561,2.2877284621187182e-05
258,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,2.2877284621187182e-05
259,경비지도사 직무교육,0.01,0,0.0546383180502561,2.2877284621187182e-05
260,데이터 마이닝,0.01,0,0.0546383180502561,2.2877284621187182e-05
261,채권현황 파악,0.01,0,0.0546383180502561,2.2877284621187182e-05
262,제품표준서 작성,0.01,0,0.0546383180502561,2.2877284621187182e-05
263,일용직 투입,0.01,0,0.0546383180502561,2.2877284621187182e-05
264,영업 손익관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
265,불꽃놀이 연출,0.01,0,0.0546383180502561,2.2877284621187182e-05
266,생산검토,0.01,0,0.0546383180502561,2.2877284621187182e-05
267,화학사고대응,0.01,0,0.0546383180502561,2.2877284621187182e-05
268,나라사업 발굴,0.01,0,0.0546383180502561,2.2877284621187182e-05
269,영상 프로그램,0.01,0,0.0546383180502561,2.2877284621187182e-05
270,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,2.2877284621187182e-05
271,운영 원칙 이해,0.01,0,0.0546383180502561,2.2877284621187182e-05
272,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,2.2877284621187182e-05
273,법규 검토,0.01,0,0.0546383180502561,2.2877284621187182e-05
274,분양 타당성 분석하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
275,각종 사무관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
276,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,2.2877284621187182e-05
277,가격별 상품 구성,0.01,0,0.0546383180502561,2.2877284621187182e-05
278,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,2.2877284621187182e-05
279,국제계약규범 활용하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
280,수입신고서 작성,0.01,0,0.0546383180502561,2.2877284621187182e-05
281,근무표관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
282,직업훈련 평가,0.01,0,0.0546383180502561,2.2877284621187182e-05
283,제품 기술정보,0.01,0,0.0546383180502561,2.2877284621187182e-05
284,지장물 조서 작성,0.01,0,0.0546383180502561,2.2877284621187182e-05
285,의료 비품 관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
286,어도브 프로그램,0.01,0,0.0546383180502561,2.2877284621187182e-05
287,농산식품 매장 관리하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
288,UX 콘셉트 디자인,0.01,0,0.0546383180502561,2.2877284621187182e-05
289,에어컨 조립,0.01,0,0.0546383180502561,2.2877284621187182e-05
290,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
291,서버 기본 설치,0.01,0,0.0546383180502561,2.2877284621187182e-05
292,CLAIM 업무,0.01,0,0.0546383180502561,2.2877284621187182e-05
293,PPT 활용능력,0.01,0,0.0546383180502561,2.2877284621187182e-05
294,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,2.2877284621187182e-05
295,중량 점검표,0.01,0,0.0546383180502561,2.2877284621187182e-05
296,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,2.2877284621187182e-05
297,관련업계 경험,0.01,0,0.0546383180502561,2.2877284621187182e-05
298,대표 업무,0.01,0,0.0546383180502561,2.2877284621187182e-05
299,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,2.2877284621187182e-05
300,농업법인 상담,0.01,0,0.0546383180502561,2.2877284621187182e-05
301,온라인 MD 경력,0.01,0,0.0546383180502561,2.2877284621187182e-05
302,GUI 프로그래밍,0.01,0,0.0546383180502561,2.2877284621187182e-05
303,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,2.2877284621187182e-05
304,인터칩 통신,0.01,0,0.0546383180502561,2.2877284621187182e-05
305,품질 개선방법 파악,0.01,0,0.0546383180502561,2.2877284621187182e-05
306,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,2.2877284621187182e-05
307,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,2.2877284621187182e-05
308,유통사 파트너 시스템,0.01,0,0.0546383180502561,2.2877284621187182e-05
309,입출납업무,0.01,0,0.0546383180502561,2.2877284621187182e-05
310,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,2.2877284621187182e-05
311,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,2.2877284621187182e-05
312,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,2.2877284621187182e-05
313,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
314,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,2.2877284621187182e-05
315,축구 전공자,0.01,0,0.0546383180502561,2.2877284621187182e-05
316,플레이스토어 배포 경험,0.01,0,0.0546383180502561,2.2877284621187182e-05
317,펌웨어 코딩하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
318,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,2.2877284621187182e-05
319,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,2.2877284621187182e-05
320,DB DESIGN,0.01,0,0.0546383180502561,2.2877284621187182e-05
321,식자재 입고하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
322,펌웨어 검증하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
323,불만사항 수집,0.01,0,0.0546383180502561,2.2877284621187182e-05
324,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,2.2877284621187182e-05
325,화장품과학,0.01,0,0.0546383180502561,2.2877284621187182e-05
326,노무 관련 업무,0.01,0,0.0546383180502561,2.2877284621187182e-05
327,구내통신구축 공사관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
328,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,2.2877284621187182e-05
329,소분하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
330,자재사무원,0.01,0,0.0546383180502561,2.2877284621187182e-05
331,사진 찍기,0.01,0,0.0546383180502561,2.2877284621187182e-05
332,경제적 환경분석하기,0.01,0,0.0546383180502561,2.2877284621187182e-05
333,인적관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
334,공구자재 관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
335,봉제부,0.01,0,0.0546383180502561,2.2877284621187182e-05
336,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,2.2877284621187182e-05
337,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,2.2877284621187182e-05
338,음 매출대비 원가 산출,0.01,0,0.0546383180502561,2.2877284621187182e-05
339,관련 유경헙자,0.01,0,0.0546383180502561,2.2877284621187182e-05
340,사무OA 프로그램 자,0.01,0,0.0546383180502561,2.2877284621187182e-05
341,수강생관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
342,신규 수강상담,0.01,0,0.0546383180502561,2.2877284621187182e-05
343,일반행정관리,0.01,0,0.0546383180502561,2.2877284621187182e-05
344,간이지급명세서 전자신고,0.01,0,0.0546383180502561,2.2877284621187182e-05
345,HSK 5급 이상,0.01,0,0.0546383180502561,2.2877284621187182e-05
346,MES전산사용,0.01,0,0.0546383180502561,2.2877284621187182e-05
