idx,skill,tf,df,tfidf,pr
0,채용,6.0,11,17.873550931425658,0.0377401130986451
1,시험,6.0,20,14.515856203813122,0.030650319959218058
2,발표,2.0,0,10.92766361005122,0.023073829152894916
3,자격,3.0,20,7.257928101906561,0.015325159979609029
4,제관,2.0,11,5.957850310475219,0.012580037699548366
5,기타,2.0,20,4.838618734604374,0.010216773319739351
6,경력,2.0,20,4.838618734604374,0.010216773319739351
7,직무기술서,1.0,1,4.770684624465665,0.010073330026924891
8,SI,1.0,4,3.8543938925915096,0.008138576491667942
9,행정업무,1.0,6,3.5179216559702966,0.007428113287497813
10,심사,1.0,6,3.5179216559702966,0.007428113287497813
11,행정,1.0,6,3.5179216559702966,0.007428113287497813
12,서류,2.0,41,3.4523243734844837,0.007289604220694215
13,기술,1.0,13,2.824774475410352,0.005964528737975246
14,인사,1.0,14,2.7557816039234,0.005818849864039804
15,평가,1.0,15,2.691243082785829,0.005682576378357183
16,급여,1.0,17,2.573460047129445,0.005433876771668614
17,계약,1.0,19,2.468099531471619,0.005211407392622804
18,관리,2.0,69,2.4306731259525023,0.005132381306391457
19,마감,1.0,23,2.2857779746776643,0.0048264343002516145
20,접수,1.0,25,2.205735267004128,0.004657423629013937
21,유지,1.0,27,2.1316272948504063,0.004500944188452676
22,제출,2.0,81,2.114225115522714,0.004464199379404393
23,근무시간,1.0,28,2.096535975039136,0.00442684865010447
24,업무,2.0,88,1.9503908705869404,0.004118262360116529
25,이메일,1.0,36,1.8529138923813853,0.0039124391190545815
26,지원,1.0,41,1.7261621867422416,0.0036448021103471073
27,보건,1.0,47,1.5926307941177191,0.0033628497507290456
28,자격증,1.0,47,1.5926307941177191,0.0033628497507290456
29,C,1.0,53,1.4748477584613358,0.0031141501440404775
30,운영,1.0,58,1.3862943611198906,0.0029271690990451374
31,직원,1.0,147,0.4666195312614949,0.0009852700200094443
32,법인세 관리,0.01,0,0.0546383180502561,0.00011536914576447459
33,소모품 수입,0.01,0,0.0546383180502561,0.00011536914576447459
34,영문 서신 작성,0.01,0,0.0546383180502561,0.00011536914576447459
35,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00011536914576447459
36,유해화학물질관리자,0.01,0,0.0546383180502561,0.00011536914576447459
37,가구 설치,0.01,0,0.0546383180502561,0.00011536914576447459
38,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00011536914576447459
