idx,skill,tf,df,tfidf,pr
0,컨설팅,1.0,0,5.4638318050256105,0.01531988402531175
1,고객 관리,1.0,9,3.1612467120315646,0.008863730570764642
2,관리,1.0,69,1.2153365629762511,0.003407647940295608
3,법인세 관리,0.01,0,0.0546383180502561,0.0001531988402531175
4,소모품 수입,0.01,0,0.0546383180502561,0.0001531988402531175
5,영문 서신 작성,0.01,0,0.0546383180502561,0.0001531988402531175
6,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.0001531988402531175
7,유해화학물질관리자,0.01,0,0.0546383180502561,0.0001531988402531175
8,가구 설치,0.01,0,0.0546383180502561,0.0001531988402531175
9,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.0001531988402531175
10,타이어 탈착,0.01,0,0.0546383180502561,0.0001531988402531175
11,현장 조율,0.01,0,0.0546383180502561,0.0001531988402531175
12,경영계획 분석,0.01,0,0.0546383180502561,0.0001531988402531175
13,폐기물 관련 업무,0.01,0,0.0546383180502561,0.0001531988402531175
14,납품계획 세우기,0.01,0,0.0546383180502561,0.0001531988402531175
15,불량재고 처리하기,0.01,0,0.0546383180502561,0.0001531988402531175
16,매뉴얼 업무,0.01,0,0.0546383180502561,0.0001531988402531175
17,건축업무 경험,0.01,0,0.0546383180502561,0.0001531988402531175
18,UX 시나리오 제작,0.01,0,0.0546383180502561,0.0001531988402531175
19,평가계획 수립하기,0.01,0,0.0546383180502561,0.0001531988402531175
20,현장상황파악,0.01,0,0.0546383180502561,0.0001531988402531175
21,인허가관리,0.01,0,0.0546383180502561,0.0001531988402531175
22,사건 수임,0.01,0,0.0546383180502561,0.0001531988402531175
23,PF심의자료 작성,0.01,0,0.0546383180502561,0.0001531988402531175
24,디지털 교육 이해,0.01,0,0.0546383180502561,0.0001531988402531175
25,여행상품개발,0.01,0,0.0546383180502561,0.0001531988402531175
26,주차매출 관리,0.01,0,0.0546383180502561,0.0001531988402531175
27,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.0001531988402531175
28,어도비 포토샵,0.01,0,0.0546383180502561,0.0001531988402531175
29,데미지 관리,0.01,0,0.0546383180502561,0.0001531988402531175
30,기관 소통 업무,0.01,0,0.0546383180502561,0.0001531988402531175
31,비디오메타 사용,0.01,0,0.0546383180502561,0.0001531988402531175
32,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.0001531988402531175
33,자습감독,0.01,0,0.0546383180502561,0.0001531988402531175
34,JLPT 2급이상,0.01,0,0.0546383180502561,0.0001531988402531175
35,한자 관련 자격증,0.01,0,0.0546383180502561,0.0001531988402531175
36,기성취합,0.01,0,0.0546383180502561,0.0001531988402531175
37,KUBERNETES,0.01,0,0.0546383180502561,0.0001531988402531175
38,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.0001531988402531175
39,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.0001531988402531175
40,경비지도사 직무교육,0.01,0,0.0546383180502561,0.0001531988402531175
41,데이터 마이닝,0.01,0,0.0546383180502561,0.0001531988402531175
42,채권현황 파악,0.01,0,0.0546383180502561,0.0001531988402531175
43,제품표준서 작성,0.01,0,0.0546383180502561,0.0001531988402531175
44,일용직 투입,0.01,0,0.0546383180502561,0.0001531988402531175
45,영업 손익관리,0.01,0,0.0546383180502561,0.0001531988402531175
