idx,skill,tf,df,tfidf,pr
0,상담,350.0,9,1106.4363492110476,0.07097688996732646
1,상담사,183.0,0,999.8812203196868,0.0641414749304206
2,직업상담,170.0,0,928.8514068543536,0.05958497671131967
3,지원,470.0,41,811.2962277688536,0.05204391841457225
4,취업지원,229.0,12,663.8440804921728,0.04258499667888847
5,경력,237.0,20,573.3763200506183,0.03678157176155881
6,자격,212.0,20,512.8935858680636,0.03290165912848298
7,직업상담사,143.0,8,467.1248335595829,0.029965635109697596
8,채용,130.0,11,387.2602701808893,0.02484239568317288
9,업무,299.0,88,291.5834351527476,0.01870481334772564
10,사회복지사,77.0,6,270.87996750971286,0.017376704644599977
11,행정,62.0,6,218.1111426701584,0.013991632311236344
12,2급,85.0,18,214.14839019802943,0.013737425328265652
13,협의,62.0,10,190.08806499808884,0.01219397725236686
14,참여,51.0,6,179.41400445448514,0.011509245933436349
15,사회복지,84.0,29,173.26129156253018,0.011114554972456775
16,자격증,108.0,47,172.00412576471368,0.011033908924840992
17,급여,65.0,17,167.27490306341397,0.010730533570677618
18,교육,59.0,13,166.66169404921075,0.010691196767653108
19,서류,94.0,41,162.2592455537707,0.01040878368291445
20,경력자,77.0,32,151.483966754053,0.009717559304503371
21,사회복지사 자격증,29.0,1,138.3498541095043,0.008875017870777583
22,계약,56.0,19,138.21357376241068,0.008866275609908016
23,취업알선,39.0,6,137.19894458284156,0.008801188066745442
24,모집,80.0,42,136.2105351465638,0.008737782496374063
25,프로그램,55.0,19,135.74547423093907,0.008707949259731089
26,취업성공패키지,31.0,2,135.3218050070825,0.008680771262636496
27,직업상담사 2급,30.0,2,130.95658549072502,0.008400746383196609
28,관리,99.0,69,120.31831973464888,0.00771831126747522
29,기타,49.0,20,118.54615899780715,0.007604628760828614
30,컨설팅,21.0,0,114.74046790553784,0.00736049712316302
31,사회복지사 2급,20.0,0,109.2766361005122,0.007009997260155256
32,발굴,46.0,26,99.72776719497892,0.006397445965990224
33,매칭,22.0,2,96.034829359865,0.006160547347677512
34,운영,68.0,58,94.26801655615256,0.006047207906098808
35,경험,41.0,24,92.04319518645376,0.005904487629720806
36,홍보,34.0,15,91.5022648147182,0.005869787436165129
37,접수,41.0,25,90.43514594716925,0.005801332727045994
38,C,57.0,53,84.06632223229614,0.005392778452456066
39,직업상담사 자격증,19.0,3,77.47321143420868,0.004969836364561062
40,행정업무,22.0,6,77.39427643134653,0.004964772755599993
41,인원,22.0,10,67.45060370899927,0.00432689515406566
42,직업상담사2급,15.0,3,61.1630616585858,0.00392355502465347
43,경력자 우대,32.0,37,58.43986064957517,0.00374886414567676
44,제출,55.0,81,58.14119067687463,0.0037297047373619245
45,문서,20.0,12,57.977648951281466,0.0037192136837457183
46,사후관리,17.0,7,57.53463447687816,0.0036907947063449147
47,프로그램 운영,22.0,17,56.6161210368478,0.003631872900844732
48,엑셀,20.0,16,52.61236921938788,0.0033750358469943516
49,훈련,35.0,52,52.27389620157209,0.0033533231093754636
50,서비스,29.0,39,51.47361817643854,0.003301985998683397
51,학력,20.0,17,51.46920094258891,0.003301702637131575
52,직업정보제공,9.0,0,49.1744862452305,0.0031544987670698655
53,운전,19.0,17,48.89574089545947,0.0031366175052749963
54,관련 업무,30.0,46,48.410526099466544,0.003105491415454949
55,기업,53.0,94,48.22761041152867,0.0030937575396966896
56,임금,17.0,13,48.02116608197598,0.0030805143228830986
57,정규직,27.0,44,44.74357151189284,0.0028702595989451344
58,진행,36.0,69,43.75211626714504,0.0028066586427182615
59,직업상담사 2급 자격증,8.0,0,43.71065444020488,0.0028039989040621023
60,발표,8.0,0,43.71065444020488,0.0028039989040621023
61,직업안정법,10.0,2,43.652195163575,0.0028002487943988696
62,사무,22.0,33,42.62436816900787,0.0027343146233542743
63,원사,22.0,35,41.366883064529006,0.0026536480925052194
64,행정 업무,13.0,9,41.09620725641034,0.0026362844845006965
65,이메일,22.0,36,40.76410563239048,0.002614980466024771
66,컴퓨터,22.0,36,40.76410563239048,0.002614980466024771
67,훈련생,7.0,0,38.24682263517927,0.0024534990410543397
68,개발,22.0,42,37.45789716530505,0.0024028901865028674
69,사업 운영,7.0,1,33.394792371259655,0.002142245692946313
70,NAVER,9.0,5,33.04865102217799,0.002120041038820091
71,컴퓨터활용능력,8.0,3,32.62029955124576,0.002092562679815184
72,별도,29.0,78,31.73713462419907,0.002035908449416217
73,컴퓨터활용,9.0,6,31.66129490373267,0.002031043400018179
74,안내,11.0,14,30.3135976431574,0.0019445898410390965
75,작성,24.0,66,30.219340455231453,0.0019385433277798203
76,운전가능,9.0,8,29.399465049204515,0.0018859490628481003
77,OA,8.0,5,29.37657868638044,0.0018844809233956364
78,근무시간,14.0,28,29.351503650547905,0.0018828723825514372
