idx,skill,tf,df,tfidf,pr
0,관리,1033.0,69,1255.442669554467,0.039176190330012226
1,출고,573.0,47,912.5774450294532,0.02847705318956348
2,물류,328.0,19,809.5366463226911,0.025261656708475935
3,지게차,284.0,14,782.6419755142456,0.024422406324522836
4,제품,248.0,10,760.3522599923554,0.023726853943785858
5,입출고,241.0,10,738.8907042667647,0.02305714435666287
6,자재,450.0,47,716.6838573529736,0.02236417789756294
7,창고,409.0,40,715.8562329734126,0.0223383518116717
8,지원,349.0,41,602.4306031730423,0.01879889583401423
9,운전,216.0,17,555.8673701799603,0.017345886371809914
10,재고,288.0,34,549.6433181384245,0.017151664323032778
11,업무,551.0,88,537.332684846702,0.016767510012672543
12,포장,192.0,17,494.1043290488535,0.01541856566383103
13,경력,198.0,20,479.02325472583306,0.014947959516383948
14,급여,171.0,17,440.0616680591352,0.013732160044349512
15,창고관리,99.0,4,381.5849953665594,0.011907390730046078
16,상품,160.0,21,379.646296266767,0.011846893467392865
17,채용,123.0,11,366.407794094226,0.011433784933349012
18,재고관리,133.0,15,357.93533001051526,0.011169401004431383
19,입고,157.0,25,346.30043691964806,0.010806333221846843
20,하차,79.0,2,344.85234179224256,0.010761145295943915
21,검수,99.0,7,335.05463607123164,0.010455407094246508
22,출고 관리,106.0,10,324.9892724160874,0.010141316605005246
23,자격,130.0,20,314.5102177492843,0.00981431685419148
24,지게차 운전,78.0,4,300.64272362213774,0.009381580575187821
25,모집,169.0,42,287.74475549711605,0.008979098433716876
26,자재관리,93.0,11,277.0400394370977,0.00864505690082486
27,재고 관리,78.0,9,246.57724353846203,0.007694462884028549
28,자재 입,67.0,5,246.0288464984362,0.0076773501099151025
29,근무시간,110.0,28,230.61895725430492,0.007196483266185204
30,출하,114.0,32,224.2749637657408,0.0069985184348253255
31,상하차,56.0,4,215.84605798512453,0.006735493746288692
32,생산,81.0,16,213.0800953385209,0.0066491816575594605
33,협의,69.0,10,211.5496207236795,0.006601423073069452
