idx,skill,tf,df,tfidf,pr
0,채용,36.0,11,107.24130558855396,0.08112336033995036
1,지원,61.0,41,105.29589339127672,0.07965174104341785
2,은행,24.0,8,78.39857346454536,0.05930509415563468
3,접수,22.0,25,48.52617587409081,0.03670793105090503
4,경력,18.0,20,43.54756861143937,0.032941832263291296
5,업무,40.0,88,39.007817411738806,0.029507708905636667
6,자격,14.0,20,33.87033114223062,0.025621425093671005
7,은행업무,8.0,5,29.37657868638044,0.02222209777521117
8,학력,11.0,17,28.3080605184239,0.02141381048429093
9,영업,11.0,17,28.3080605184239,0.02141381048429093
10,개인,9.0,10,27.59342879004516,0.020873222817127935
11,보조,9.0,16,23.675566148724545,0.01790953097218079
12,수행,8.0,12,23.191059580512587,0.017543022930298777
13,서류,12.0,41,20.7139462409069,0.01566919495936089
14,원가,8.0,26,17.343959512170247,0.01311994729554531
15,근무시간,8.0,28,16.772287800313087,0.012687502632338091
16,경력자,8.0,32,15.73859394847304,0.011905558414447466
17,제신고,3.0,1,14.312053873396994,0.010826443199329034
18,서비스,8.0,39,14.19961880729339,0.010741390986170019
19,전자,4.0,6,14.071686623881186,0.01064461588112008
20,해외,8.0,51,12.100704691553462,0.009153654197632153
21,C,8.0,53,11.798782067690686,0.008925262929211999
22,금융텔러직,2.0,0,10.92766361005122,0.008266299891136017
23,발표,2.0,0,10.92766361005122,0.008266299891136017
24,제출,10.0,81,10.57112557761357,0.007996594453276974
25,신고,4.0,17,10.293840188517782,0.007786840176105793
26,진행,8.0,69,9.72269250381001,0.007354791916532736
27,사무,5.0,33,9.687356402047245,0.007328061700031009
28,별도,8.0,78,8.755071620468708,0.006622829011372661
29,총무,5.0,41,8.630810933711208,0.0065288312330670385
30,유선,2.0,3,8.15507488781144,0.006168957707969361
31,사무지원,2.0,3,8.15507488781144,0.006168957707969361
32,홈페이지,2.0,4,7.708787785183019,0.005831361021292489
33,인원,2.0,10,6.131873064454479,0.004638493959361762
34,임금,2.0,13,5.649548950820703,0.004273636848976713
35,AE,1.0,0,5.4638318050256105,0.004133149945568009
36,계약,2.0,19,4.936199062943238,0.003734018838125833
37,기타,2.0,20,4.838618734604374,0.0036602035848101438
38,E-MAIL,1.0,1,4.770684624465665,0.003608814399776345
39,운용,1.0,2,4.3652195163575005,0.0033020977676930605
40,기타서류,1.0,3,4.07753744390572,0.0030844788539846806
41,통상,1.0,3,4.07753744390572,0.0030844788539846806
