idx,skill,tf,df,tfidf,pr
0,제출,4.0,81,4.228450231045428,0.010884100009586914
1,기록,1.0,6,3.5179216559702966,0.009055187843609968
2,기획,1.0,8,3.2666072276893905,0.008408300397429652
3,등록,1.0,9,3.1612467120315646,0.008137100707987429
4,개인,1.0,10,3.0659365322272394,0.00789177074730689
5,업무,3.0,88,2.925586305880411,0.007530506970637259
6,결제,1.0,16,2.630618460969394,0.006771254916527097
7,영업,1.0,17,2.573460047129445,0.006624128225037211
8,자격,1.0,20,2.419309367302187,0.006227341855537746
9,경력,1.0,20,2.419309367302187,0.006227341855537746
10,사무,1.0,33,1.9374712804094487,0.004987082744134656
11,협업,1.0,37,1.826245645299224,0.00470078614135539
12,총무,1.0,41,1.7261621867422416,0.004443169683145304
13,서류,1.0,41,1.7261621867422416,0.004443169683145304
14,지원,1.0,41,1.7261621867422416,0.004443169683145304
15,자격증,1.0,47,1.5926307941177191,0.004099457695932109
16,관리,1.0,69,1.2153365629762511,0.003128296178023298
17,법인세 관리,0.01,0,0.0546383180502561,0.000140639923735741
18,소모품 수입,0.01,0,0.0546383180502561,0.000140639923735741
19,영문 서신 작성,0.01,0,0.0546383180502561,0.000140639923735741
20,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.000140639923735741
21,유해화학물질관리자,0.01,0,0.0546383180502561,0.000140639923735741
22,가구 설치,0.01,0,0.0546383180502561,0.000140639923735741
23,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.000140639923735741
24,타이어 탈착,0.01,0,0.0546383180502561,0.000140639923735741
25,현장 조율,0.01,0,0.0546383180502561,0.000140639923735741
26,경영계획 분석,0.01,0,0.0546383180502561,0.000140639923735741
27,폐기물 관련 업무,0.01,0,0.0546383180502561,0.000140639923735741
28,납품계획 세우기,0.01,0,0.0546383180502561,0.000140639923735741
29,불량재고 처리하기,0.01,0,0.0546383180502561,0.000140639923735741
30,매뉴얼 업무,0.01,0,0.0546383180502561,0.000140639923735741
31,건축업무 경험,0.01,0,0.0546383180502561,0.000140639923735741
32,UX 시나리오 제작,0.01,0,0.0546383180502561,0.000140639923735741
33,평가계획 수립하기,0.01,0,0.0546383180502561,0.000140639923735741
