idx,skill,tf,df,tfidf,pr
0,상담,8.0,9,25.28997369625252,0.03363830000580148
1,관리,15.0,69,18.230048444643767,0.024247863839893594
2,C,11.0,53,16.223325343074695,0.021578713032150545
3,경력,6.0,20,14.515856203813122,0.019307601173871335
4,채용,4.0,11,11.91570062095044,0.015849123335634
5,관리자,5.0,23,11.428889873388322,0.015201614320036663
6,교육,4.0,13,11.299097901641408,0.015028977474446975
7,IT,3.0,5,11.016217007392664,0.014652716411428998
8,업무,9.0,88,8.776758917641232,0.011674003820492596
9,민원관리,2.0,2,8.730439032715001,0.011612393547421667
10,에너지,2.0,2,8.730439032715001,0.011612393547421667
11,안내,3.0,14,8.2673448117702,0.010996429983275992
12,급여,3.0,17,7.720380141388336,0.010268909982825938
13,인바운드,2.0,4,7.708787785183019,0.010253490941252701
14,자격,3.0,20,7.257928101906561,0.009653800586935667
15,판매,2.0,13,5.649548950820703,0.007514488737223487
16,아웃바운드 CS,1.0,0,5.4638318050256105,0.007267465583245188
17,OFFICE 활용 능력,1.0,0,5.4638318050256105,0.007267465583245188
18,DB제공,1.0,0,5.4638318050256105,0.007267465583245188
19,결혼정보사,1.0,0,5.4638318050256105,0.007267465583245188
20,게시판 관리,1.0,0,5.4638318050256105,0.007267465583245188
21,CI,1.0,0,5.4638318050256105,0.007267465583245188
22,대면상담,1.0,0,5.4638318050256105,0.007267465583245188
23,재출고 송장출력,1.0,0,5.4638318050256105,0.007267465583245188
24,콜센터 관리자 경력,1.0,0,5.4638318050256105,0.007267465583245188
25,DB,1.0,0,5.4638318050256105,0.007267465583245188
26,발표,1.0,0,5.4638318050256105,0.007267465583245188
27,고객상담,1.0,1,4.770684624465665,0.006345507613344021
28,CNC,1.0,1,4.770684624465665,0.006345507613344021
29,아웃바운드,1.0,1,4.770684624465665,0.006345507613344021
30,고객안내,1.0,2,4.3652195163575005,0.005806196773710834
31,조직,1.0,2,4.3652195163575005,0.005806196773710834
32,회원관리,1.0,2,4.3652195163575005,0.005806196773710834
33,근무시간,2.0,28,4.193071950078272,0.00557722257431784
34,교육 진행,1.0,3,4.07753744390572,0.005423549643442854
35,관리자 경력,1.0,3,4.07753744390572,0.005423549643442854
36,국제,1.0,3,4.07753744390572,0.005423549643442854
37,송장출력,1.0,3,4.07753744390572,0.005423549643442854
38,인력관리,1.0,4,3.8543938925915096,0.005126745470626351
39,실적관리,1.0,4,3.8543938925915096,0.005126745470626351
40,CS,2.0,34,3.8169674870723926,0.005076964451788147
41,온라인,2.0,34,3.8169674870723926,0.005076964451788147
42,고객문의,1.0,5,3.672072335797555,0.004884238803809666
43,CE,1.0,5,3.672072335797555,0.004884238803809666
44,QA,1.0,6,3.5179216559702966,0.00467920233851291
45,인원관리,1.0,6,3.5179216559702966,0.00467920233851291
46,심사,1.0,6,3.5179216559702966,0.00467920233851291
47,전자,1.0,6,3.5179216559702966,0.00467920233851291
48,모집,2.0,42,3.405263378664096,0.004529355091707576
49,보고,1.0,7,3.3843902633457743,0.004501591673541687
50,정규직,2.0,44,3.3143386305105804,0.004408415703115285
51,민원 응대,1.0,8,3.2666072276893905,0.004344927964176479
52,출고,2.0,47,3.1852615882354383,0.004236729788212331
53,친절,1.0,9,3.1612467120315646,0.004204787500725184
54,문자,1.0,9,3.1612467120315646,0.004204787500725184
55,AS,1.0,10,3.0659365322272394,0.0040780150311144365
56,검사,1.0,10,3.0659365322272394,0.0040780150311144365
57,인원,1.0,10,3.0659365322272394,0.0040780150311144365
58,AI,1.0,11,2.9789251552376097,0.0039622808339085
59,관련업무,1.0,12,2.8988824475640733,0.0038558156929661795
60,온라인 판매,1.0,13,2.824774475410352,0.003757244368611744
