idx,skill,tf,df,tfidf,pr
0,광고,35.0,10,107.30777862795338,0.04834477288132101
1,아웃바운드,18.0,1,85.87232324038197,0.038687577144255615
2,영업,30.0,17,77.20380141388337,0.0347821965252808
3,상담,20.0,9,63.22493424063129,0.028484375740339306
4,홈페이지,13.0,4,50.10712060368962,0.022574480585616206
5,업무,48.0,88,46.80938089408657,0.021088768372383025
6,안내,16.0,14,44.0925056627744,0.01986474978133507
7,급여,17.0,17,43.74882080120057,0.019709911364325785
8,지원,25.0,41,43.15405466855604,0.019441954707615058
9,전화,18.0,24,40.409207642833366,0.01820533414059528
10,경력,15.0,20,36.2896405095328,0.01634936861810249
11,판매,10.0,13,28.247744754103515,0.012726298335570227
12,컨설팅,5.0,0,27.31915902512805,0.012307947804582156
13,모집,14.0,42,23.836843650648667,0.010739079750160582
14,DB,4.0,0,21.85532722010244,0.009846358243665723
15,채용,7.0,11,20.852476086663263,0.009394549335683514
16,자격,8.0,20,19.354474938417496,0.008719663262987993
17,문자,6.0,9,18.967480272189388,0.008545312722101791
18,관리,15.0,69,18.230048444643767,0.008213081688396809
19,조직,4.0,2,17.460878065430002,0.007866551662656042
20,교육,6.0,13,16.94864685246211,0.007635779001342137
21,인사,6.0,14,16.5346896235404,0.007449281168000652
22,C,11.0,53,16.223325343074695,0.007309003961493002
23,4대보험,7.0,23,16.00044582274365,0.007208591298701237
24,학력,6.0,17,15.440760282776672,0.006956439305056159
25,제품,5.0,10,15.329682661136196,0.006906396125903001
26,커뮤니케이션,5.0,12,14.494412237820368,0.006530086417268613
27,영업직,3.0,1,14.312053873396994,0.006447929524042602
28,서비스,8.0,39,14.19961880729339,0.00639727478303337
29,발송,4.0,7,13.537561053383095,0.006099001608838959
30,경험,6.0,24,13.469735880944455,0.00606844471353176
31,온라인,7.0,34,13.359386204753374,0.006018729491567456
32,관공서,6.0,25,13.234411602024768,0.005962425383308953
33,접수,6.0,25,13.234411602024768,0.005962425383308953
34,인원,4.0,10,12.263746128908958,0.005525116900722401
35,사무,6.0,33,11.624827682456692,0.005237268549201546
36,전화상담,4.0,13,11.299097901641408,0.005090519334228091
37,기술,4.0,13,11.299097901641408,0.005090519334228091
38,AE,2.0,0,10.92766361005122,0.004923179121832861
39,미팅,2.0,0,10.92766361005122,0.004923179121832861
40,광고 영업,2.0,0,10.92766361005122,0.004923179121832861
41,프로모션,3.0,7,10.153170790037322,0.0045742512066292195
42,퇴직연금,3.0,8,9.79982168306817,0.00441505881123477
43,구매,3.0,9,9.483740136094694,0.0042726563610508955
44,개인,3.0,10,9.19780959668172,0.004143837675541802
