idx,skill,tf,df,tfidf,pr
0,보수,3.0,1,14.312053873396994,0.03220710376200753
1,유지보수,3.0,2,13.0956585490725,0.029469790810792287
2,유지,4.0,27,8.526509179401625,0.01918761404183546
3,통신,2.0,8,6.533214455378781,0.01470200697434136
4,네트워크,1.0,0,5.4638318050256105,0.012295523720024182
5,보안장비,1.0,0,5.4638318050256105,0.012295523720024182
6,BIS,1.0,1,4.770684624465665,0.010735701254002509
7,정보통신,2.0,21,4.745578703334588,0.010679204191172667
8,BI,1.0,5,3.672072335797555,0.008263441137575758
9,유지관리,1.0,6,3.5179216559702966,0.00791654844250221
10,시공,1.0,7,3.3843902633457743,0.007616056321959165
11,보안,1.0,8,3.2666072276893905,0.00735100348717068
12,초급,1.0,8,3.2666072276893905,0.00735100348717068
13,설치,1.0,9,3.1612467120315646,0.0071139056471103005
14,행사,1.0,12,2.8988824475640733,0.006523494713508801
15,기술,1.0,13,2.824774475410352,0.0063567259764805385
16,송장,1.0,15,2.691243082785829,0.006056233855937492
17,지원,1.0,41,1.7261621867422416,0.003884465860053787
18,C,1.0,53,1.4748477584613358,0.003318920904722258
19,관리,1.0,69,1.2153365629762511,0.0027349303695883287
20,구축,1.0,73,1.1597667118214403,0.0026098788586022604
21,업무,1.0,88,0.9751954352934702,0.00219452923043519
22,법인세 관리,0.01,0,0.0546383180502561,0.00012295523720024182
23,소모품 수입,0.01,0,0.0546383180502561,0.00012295523720024182
24,영문 서신 작성,0.01,0,0.0546383180502561,0.00012295523720024182
25,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00012295523720024182
26,유해화학물질관리자,0.01,0,0.0546383180502561,0.00012295523720024182
27,가구 설치,0.01,0,0.0546383180502561,0.00012295523720024182
28,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00012295523720024182
29,타이어 탈착,0.01,0,0.0546383180502561,0.00012295523720024182
30,현장 조율,0.01,0,0.0546383180502561,0.00012295523720024182
31,경영계획 분석,0.01,0,0.0546383180502561,0.00012295523720024182
32,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00012295523720024182
33,납품계획 세우기,0.01,0,0.0546383180502561,0.00012295523720024182
34,불량재고 처리하기,0.01,0,0.0546383180502561,0.00012295523720024182
35,매뉴얼 업무,0.01,0,0.0546383180502561,0.00012295523720024182
36,건축업무 경험,0.01,0,0.0546383180502561,0.00012295523720024182
37,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00012295523720024182
38,평가계획 수립하기,0.01,0,0.0546383180502561,0.00012295523720024182
39,현장상황파악,0.01,0,0.0546383180502561,0.00012295523720024182
40,인허가관리,0.01,0,0.0546383180502561,0.00012295523720024182
41,사건 수임,0.01,0,0.0546383180502561,0.00012295523720024182
42,PF심의자료 작성,0.01,0,0.0546383180502561,0.00012295523720024182
43,디지털 교육 이해,0.01,0,0.0546383180502561,0.00012295523720024182
44,여행상품개발,0.01,0,0.0546383180502561,0.00012295523720024182
45,주차매출 관리,0.01,0,0.0546383180502561,0.00012295523720024182
46,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00012295523720024182
47,어도비 포토샵,0.01,0,0.0546383180502561,0.00012295523720024182
48,데미지 관리,0.01,0,0.0546383180502561,0.00012295523720024182
49,기관 소통 업무,0.01,0,0.0546383180502561,0.00012295523720024182
50,비디오메타 사용,0.01,0,0.0546383180502561,0.00012295523720024182
51,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00012295523720024182
52,자습감독,0.01,0,0.0546383180502561,0.00012295523720024182
53,JLPT 2급이상,0.01,0,0.0546383180502561,0.00012295523720024182
54,한자 관련 자격증,0.01,0,0.0546383180502561,0.00012295523720024182
55,기성취합,0.01,0,0.0546383180502561,0.00012295523720024182
56,KUBERNETES,0.01,0,0.0546383180502561,0.00012295523720024182
57,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00012295523720024182
58,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00012295523720024182
59,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00012295523720024182
60,데이터 마이닝,0.01,0,0.0546383180502561,0.00012295523720024182
61,채권현황 파악,0.01,0,0.0546383180502561,0.00012295523720024182
62,제품표준서 작성,0.01,0,0.0546383180502561,0.00012295523720024182
63,일용직 투입,0.01,0,0.0546383180502561,0.00012295523720024182
64,영업 손익관리,0.01,0,0.0546383180502561,0.00012295523720024182
65,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00012295523720024182
66,생산검토,0.01,0,0.0546383180502561,0.00012295523720024182
67,화학사고대응,0.01,0,0.0546383180502561,0.00012295523720024182
68,나라사업 발굴,0.01,0,0.0546383180502561,0.00012295523720024182
69,영상 프로그램,0.01,0,0.0546383180502561,0.00012295523720024182
