idx,skill,tf,df,tfidf,pr
0,항공,5.0,14,13.778908019617,0.03002857350687471
1,항공기 유도,1.0,0,5.4638318050256105,0.011907407666327684
2,항공기 지원장비 운용,1.0,0,5.4638318050256105,0.011907407666327684
3,상하역,1.0,0,5.4638318050256105,0.011907407666327684
4,중국어,1.0,0,5.4638318050256105,0.011907407666327684
5,계약,2.0,19,4.936199062943238,0.010757530001298117
6,수하물 분류,1.0,1,4.770684624465665,0.010396821991984396
7,영어 가능자,1.0,1,4.770684624465665,0.010396821991984396
8,포워딩,1.0,1,4.770684624465665,0.010396821991984396
9,견인,1.0,1,4.770684624465665,0.010396821991984396
10,하역,1.0,2,4.3652195163575005,0.009513186018366994
11,운용,1.0,2,4.3652195163575005,0.009513186018366994
12,관련 사무,1.0,3,4.07753744390572,0.00888623631764111
13,업무,4.0,88,3.9007817411738808,0.008501030058575752
14,운송,1.0,10,3.0659365322272394,0.006681639821843972
15,영어 가능,1.0,11,2.9789251552376097,0.006492014669680418
16,급여,1.0,17,2.573460047129445,0.005608378696063014
17,물류,1.0,19,2.468099531471619,0.005378765000649059
18,관리,2.0,69,2.4306731259525023,0.005297201093870026
19,기타,1.0,20,2.419309367302187,0.00527243589030966
20,경력,1.0,20,2.419309367302187,0.00527243589030966
21,마감,1.0,23,2.2857779746776643,0.004981428995337131
22,업체 관리,1.0,26,2.167994939021281,0.004724742722445612
23,사무업무,1.0,32,1.9673242435591296,0.0042874181738832805
24,사무,1.0,33,1.9374712804094487,0.004222359179581124
25,경력직,1.0,36,1.8529138923813853,0.004038082041049168
26,서비스,1.0,39,1.7749523509116738,0.0038681793263057713
27,지원,1.0,41,1.7261621867422416,0.0037618502159663726
28,정규직,1.0,44,1.6571693152552902,0.0036114930534142512
29,해외,1.0,51,1.5125880864441827,0.003296405090646263
30,영어,1.0,63,1.304948721665938,0.002843893620267959
31,법인세 관리,0.01,0,0.0546383180502561,0.00011907407666327685
32,소모품 수입,0.01,0,0.0546383180502561,0.00011907407666327685
33,영문 서신 작성,0.01,0,0.0546383180502561,0.00011907407666327685
34,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00011907407666327685
35,유해화학물질관리자,0.01,0,0.0546383180502561,0.00011907407666327685
36,가구 설치,0.01,0,0.0546383180502561,0.00011907407666327685
37,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00011907407666327685
