idx,skill,tf,df,tfidf,pr
0,채용,36.0,11,107.24130558855396,0.027828874427802124
1,지원,54.0,41,93.21275808408105,0.02418849831746035
2,행정,23.0,6,80.91219808731682,0.020996531027777026
3,업무,78.0,88,76.06524395289067,0.01973875747472306
4,경력,30.0,20,72.5792810190656,0.018834158036913302
5,관리,59.0,69,71.70485721559882,0.018607247052476766
6,접수,28.0,25,61.76058747611558,0.016026731715242673
7,사무,29.0,33,56.18666713187401,0.01458031208729079
8,현장조사,12.0,2,52.382634196290006,0.013593174208815638
9,자격,21.0,20,50.80549671334593,0.013183910625839313
10,협의,15.0,10,45.98904798340859,0.011934053155737053
11,회계,17.0,15,45.75113240735909,0.011872314605894125
12,운영,31.0,58,42.97512519471661,0.011151947059944127
13,서류,24.0,41,41.4278924818138,0.010750443696649046
14,홈페이지,10.0,4,38.54393892591509,0.010002064320603063
15,기타,15.0,20,36.2896405095328,0.009417079018456651
16,심사,10.0,6,35.179216559702965,0.009128926533816098
17,모집,20.0,42,34.05263378664095,0.008836580871368158
18,발표,6.0,0,32.782990830153665,0.00850711141731482
19,환경,9.0,7,30.45951237011197,0.007904174051480431
20,계약,12.0,19,29.61719437765943,0.00768559445184208
21,경영,11.0,18,27.713321084450868,0.007191543670640083
22,보조,10.0,16,26.30618460969394,0.006826394961904386
23,행사,9.0,12,26.08994202807666,0.0067702805047300295
24,문서,9.0,12,26.08994202807666,0.0067702805047300295
25,시설,15.0,42,25.539475339980715,0.006627435653526119
26,교육,9.0,13,25.422970278693164,0.006597202855603891
27,C,17.0,53,25.07241189384271,0.00650623375355803
28,행정업무,7.0,6,24.625451591792075,0.006390248573671269
29,홍보,9.0,15,24.22118774507246,0.0062853430266498304
30,이메일,13.0,36,24.08788060095801,0.00625075012652119
31,학력,9.0,17,23.16114042416501,0.006010263162420632
32,급여,9.0,17,23.16114042416501,0.006010263162420632
33,재단,5.0,2,21.8260975817875,0.005663822587006515
34,경력자,11.0,32,21.640566679150428,0.005615677740544342
35,개인,7.0,10,21.461555725590674,0.005569224806010625
36,출장,6.0,6,21.10752993582178,0.005477355920289659
37,협력,11.0,34,20.99332117889816,0.005447719008117247
38,운전,8.0,17,20.587680377035564,0.0053424561443738946
39,국제,5.0,3,20.3876872195286,0.00529055837572835
40,기획,6.0,8,19.59964336613634,0.0050860627915008194
41,사업 운영,4.0,1,19.08273849786266,0.004951927156062946
42,이메일 접수,4.0,1,19.08273849786266,0.004951927156062946
43,실무,6.0,9,18.967480272189388,0.004922017909141439
44,자가,5.0,5,18.360361678987772,0.004764472017656182
45,참여,5.0,6,17.589608279851483,0.004564463266908049
46,수행,6.0,12,17.39329468538444,0.004513520336486687
47,기술,6.0,13,16.94864685246211,0.004398135237069261
48,건축,7.0,20,16.93516557111531,0.004394636875279771
49,현장,14.0,70,16.816126991780123,0.004363746635197349
50,기술지원,3.0,0,16.391495415076832,0.00425355570865741
51,PD,4.0,3,16.31014977562288,0.0042324467005826795
52,등록,5.0,9,15.806233560157825,0.0041016815909512
53,예산,4.0,4,15.417575570366038,0.0040008257282412255
