idx,skill,tf,df,tfidf,pr
0,객실,182.0,1,868.264601652751,0.08166149860099405
1,프론트,111.0,2,484.53936631568257,0.04557160421972304
2,예약,129.0,15,347.17035767937193,0.03265185707671975
3,C,232.0,53,342.16467996302987,0.03218106609543133
4,체크인,50.0,1,238.53423122328329,0.02243447763763573
5,관리,181.0,69,219.97591789870145,0.020689042346703244
6,업무,216.0,88,210.6422140233896,0.019811194459659356
7,객실관리,43.0,1,205.1394388520236,0.019293650768366727
8,응대,112.0,37,204.5395122735131,0.019237226835664093
9,경력,74.0,20,179.02889318036185,0.01683791747602833
10,채용,49.0,11,145.96733260664288,0.013728431522785245
11,고객응대,43.0,8,140.4641107906438,0.013210845823940987
12,지원,71.0,41,122.55751525869915,0.011526705501743124
13,접수,55.0,25,121.31543968522703,0.01140988655909321
14,체크 인,25.0,1,119.26711561164164,0.011217238818817865
15,CE,32.0,5,117.50631474552176,0.011051633037824868
16,프런트,28.0,3,114.17104842936016,0.010737946581999388
17,안내,38.0,14,104.7197009490892,0.009849034149581316
18,IT,27.0,5,99.145953066534,0.009324815375664734
19,협의,31.0,10,95.04403249904442,0.0089390240166184
20,정산,28.0,7,94.76292737368168,0.008912585686922768
21,프론트 업무,19.0,2,82.9391708107925,0.007800544866439078
22,숙박,15.0,0,81.95747707538416,0.007708215199367479
23,서비스,45.0,39,79.87285579102532,0.007512153655717961
24,고객 응대,25.0,9,79.03116780078912,0.007432991724543626
25,자격,32.0,20,77.41789975366999,0.007281261611255493
26,예약관리,16.0,1,76.33095399145064,0.0071790328440434325
27,등록,24.0,9,75.86992108875755,0.007135672055561881
28,급여,29.0,17,74.63034136675392,0.007019087851228852
29,CI,12.0,0,65.56598166030733,0.0061665721594939835
30,중국어,12.0,0,65.56598166030733,0.0061665721594939835
31,전화,29.0,24,65.10372342456486,0.006123096126727559
32,SI,16.0,4,61.67030228146415,0.0058001780723231314
33,근무시간,29.0,28,60.79954327613494,0.005718281971572115
34,AI,20.0,11,59.578503104752194,0.005603441437871528
35,기타,24.0,20,58.06342481525249,0.00546094620844162
36,모집,34.0,42,57.88947743728962,0.0054445862145697955
37,데스크,25.0,23,57.14444936694161,0.005374515283878142
38,경력자,28.0,32,55.08507881965564,0.005180828607321243
39,일본어,10.0,0,54.6383180502561,0.005138810132911653
40,골프장,14.0,4,53.96151449628113,0.005075155813282739
41,경험,23.0,24,51.63398754362041,0.004856248652232202
42,아웃 업무,8.0,0,43.71065444020488,0.004111048106329321
43,객실 키 발급,8.0,0,43.71065444020488,0.004111048106329321
44,외국어,8.0,0,43.71065444020488,0.004111048106329321
45,정보 제공하기,8.0,0,43.71065444020488,0.004111048106329321
46,마감,18.0,23,41.14400354419796,0.003869651004392262
47,내장,11.0,5,40.39279569377311,0.0037989988567522985
48,AR,29.0,59,39.71513004130178,0.0037352634555556006
49,고객정보 등록하기,7.0,0,38.24682263517927,0.0035971670930381567
50,예약 현황 확인하기,7.0,0,38.24682263517927,0.0035971670930381567
51,예약 변경하기,7.0,0,38.24682263517927,0.0035971670930381567
52,고객 이력과 기호 확인하기,7.0,0,38.24682263517927,0.0035971670930381567
53,부대시설 이용정보 파악하기,7.0,0,38.24682263517927,0.0035971670930381567
54,체크 인 준비하기,7.0,0,38.24682263517927,0.0035971670930381567
55,체크 아웃,7.0,0,38.24682263517927,0.0035971670930381567
56,단체 체크 인 하기,7.0,0,38.24682263517927,0.0035971670930381567
57,UI,7.0,0,38.24682263517927,0.0035971670930381567
58,객실 예약 접수,8.0,1,38.16547699572532,0.0035895164220217162
59,프런트 업무,8.0,1,38.16547699572532,0.0035895164220217162
60,운전,14.0,17,36.02844065981224,0.0033885251695587562
61,영어,27.0,63,35.23361548498033,0.003313770751632446
62,행사,12.0,12,34.78658937076888,0.0032717273211726548
63,인근거주자,9.0,4,34.68954503332358,0.003262600165681761
64,서류,20.0,41,34.52324373484483,0.003246959296265669
65,작성,27.0,66,33.99675801213539,0.0031974425786353037
66,예약 접수,10.0,7,33.843902633457745,0.0031830663167581315
67,AS,11.0,10,33.725301854499634,0.003171911747832335
68,등록카드 작성하기,7.0,1,33.394792371259655,0.0031408268692690016
69,예약 관련 자료 작성하기,7.0,1,33.394792371259655,0.0031408268692690016
70,영어가능자,9.0,5,33.04865102217799,0.003108271791888244
71,사무,17.0,33,32.93701176696063,0.00309777196399431
72,추가 사용 내역 확인하기,6.0,0,32.782990830153665,0.0030832860797469917
73,투숙객 정보 확인하기,6.0,0,32.782990830153665,0.0030832860797469917
74,환송하기,6.0,0,32.782990830153665,0.0030832860797469917
75,최종 내역 계산하기,6.0,0,32.782990830153665,0.0030832860797469917
76,상담,10.0,9,31.61246712031565,0.0029731966898174506
77,학력,12.0,17,30.881520565553345,0.0029044501453360763
78,인원,10.0,10,30.659365322272397,0.002883556134393032
79,조리,7.0,2,30.556536614502505,0.002873884950793345
80,근무 가능자,20.0,53,29.49695516922672,0.002774229835813047
81,중국어 가능자,7.0,3,28.54276210734004,0.002684486645499847
82,차량,10.0,13,28.247744754103515,0.0026567398513397088
83,동종업계 경력,5.0,0,27.31915902512805,0.0025694050664558264
84,IP,7.0,4,26.980757248140566,0.0025375779066413697
85,PM,7.0,4,26.980757248140566,0.0025375779066413697
86,PL,7.0,4,26.980757248140566,0.0025375779066413697
87,홈페이지,7.0,4,26.980757248140566,0.0025375779066413697
88,정규직,16.0,44,26.514709044084643,0.002493745422061134
89,시설,15.0,42,25.539475339980715,0.0024020233299572626
90,고객 관리,8.0,9,25.28997369625252,0.0023785573518539604
91,예약업무,7.0,6,24.625451591792075,0.0023160581197069507
92,고객 응대하기,7.0,6,24.625451591792075,0.0023160581197069507
93,참여,7.0,6,24.625451591792075,0.0023160581197069507
94,홍보,9.0,15,24.22118774507246,0.0022780365402362618
95,실행,5.0,1,23.853423122328326,0.0022434477637635728
96,해당직무 근무경험,8.0,11,23.83140124190088,0.0022413765751486117
97,경력자 우대,13.0,37,23.741193388889915,0.0022328924005681535
98,매출 관리,7.0,7,23.69073184342042,0.002228146421730692
99,일본어 가능자,6.0,4,23.126363355549056,0.002175066777121174
100,전화 응대,6.0,4,23.126363355549056,0.002175066777121174
101,계약,9.0,19,22.212895783244573,0.0020891538759896487
102,야간근무,7.0,9,22.128726984220958,0.0020812376828722155
103,매니저,6.0,5,22.03243401478533,0.002072181194592163
104,추가요금 적용하기,4.0,0,21.85532722010244,0.0020555240531646606
105,객실 업셀링하기,4.0,0,21.85532722010244,0.0020555240531646606
106,GUEST SERVICE,4.0,0,21.85532722010244,0.0020555240531646606
107,객실 수요 예측하기,4.0,0,21.85532722010244,0.0020555240531646606
108,동종업계 경력자,5.0,2,21.8260975817875,0.002052774964852389
109,매출,19.0,79,20.55429823668284,0.0019331604599614647
110,보고,6.0,7,20.306341580074644,0.0019098397900548785
111,계산,6.0,8,19.59964336613634,0.0018433738358987423
112,운영,14.0,58,19.408121055678468,0.0018253608950766196
113,수납,5.0,4,19.271969462957543,0.001812555647600978
114,확정,5.0,4,19.271969462957543,0.001812555647600978
115,OTA 예약,4.0,1,19.08273849786266,0.0017947582110108581
116,문의 응대,4.0,1,19.08273849786266,0.0017947582110108581
117,유관업무 경력,4.0,1,19.08273849786266,0.0017947582110108581
118,예약 관리,4.0,1,19.08273849786266,0.0017947582110108581
119,GO,4.0,2,17.460878065430002,0.0016422199718819114
120,점검,9.0,33,17.43724152368504,0.0016399969221146348
121,운전면허,6.0,12,17.39329468538444,0.0016358636605863274
122,직원,36.0,147,16.79830312541382,0.0015799038732707367
123,관련분야 유경험자,3.0,0,16.391495415076832,0.0015416430398734959
124,영어능통,3.0,0,16.391495415076832,0.0015416430398734959
125,고객 서비스,3.0,0,16.391495415076832,0.0015416430398734959
126,기획,5.0,8,16.333036138446953,0.001536144863248952
127,운전가능,5.0,8,16.333036138446953,0.001536144863248952
128,POS,4.0,3,16.31014977562288,0.0015339923688570554
129,컴퓨터활용능력,4.0,3,16.31014977562288,0.0015339923688570554
130,회계,6.0,15,16.147458496714975,0.0015186910268241746
131,자료 작성,7.0,23,16.00044582274365,0.0015048642794858798
132,4대보험,7.0,23,16.00044582274365,0.0015048642794858798
133,보고서,5.0,9,15.806233560157825,0.0014865983449087253
134,영업,6.0,17,15.440760282776672,0.0014522250726680382
135,수입,5.0,10,15.329682661136196,0.0014417780671965158
136,별도,14.0,78,15.32137533582024,0.0014409967516466528
137,경력직,8.0,36,14.823311139051084,0.0013941531182309304
138,발급,8.0,38,14.402161271167708,0.001354543384882937
139,하우스키핑,3.0,1,14.312053873396994,0.0013460686582581435
140,운전면허증,3.0,1,14.312053873396994,0.0013460686582581435
141,판매,5.0,13,14.123872377051756,0.0013283699256698542
142,컴퓨터활용,4.0,6,14.071686623881186,0.0013234617826896862
143,운전가능자,5.0,14,13.778908019617,0.0012959255459975415
144,직원 모집,7.0,33,13.56229896286614,0.0012755531616447159
145,환경,4.0,7,13.537561053383095,0.0012732265267032523
146,IA,5.0,15,13.456215413929144,0.001265575855686812
147,면허,6.0,25,13.234411602024768,0.001244714897355623
148,조출,3.0,2,13.0956585490725,0.0012316649789114334
149,예약실,3.0,2,13.0956585490725,0.0012316649789114334
150,회원관리,3.0,2,13.0956585490725,0.0012316649789114334
151,오피스,3.0,2,13.0956585490725,0.0012316649789114334
152,외국어 가능자,4.0,8,13.066428910757562,0.0012289158905991616
153,창업,4.0,8,13.066428910757562,0.0012289158905991616
154,이메일,7.0,36,12.970397246669698,0.0012198839784520641
155,관련 업무,8.0,46,12.909473626524411,0.0012141540268776343
156,경영,5.0,18,12.596964129295849,0.0011847620721415434
157,컨시어지,3.0,3,12.23261233171716,0.0011504942766427915
158,유선,3.0,3,12.23261233171716,0.0011504942766427915
159,진행,10.0,69,12.153365629762511,0.0011430410136300136
160,개발,7.0,42,11.918421825324334,0.0011209442206467225
161,영어능통자,3.0,4,11.563181677774528,0.001087533388560587
162,소통,3.0,4,11.563181677774528,0.001087533388560587
163,온라인,6.0,34,11.450902461217176,0.0010769733714087121
164,유관업무 경력자,4.0,13,11.299097901641408,0.0010626959405358838
165,월급,8.0,57,11.227110355833526,0.0010559254112984951
166,NAVER,3.0,5,11.016217007392664,0.0010360905972960812
167,근로계약,3.0,5,11.016217007392664,0.0010360905972960812
168,환전 업무하기,2.0,0,10.92766361005122,0.0010277620265823303
169,주차관리,2.0,0,10.92766361005122,0.0010277620265823303
170,객실 요금 중간 정산하기,2.0,0,10.92766361005122,0.0010277620265823303
171,키오스크,2.0,0,10.92766361005122,0.0010277620265823303
172,전화 응대하기,2.0,0,10.92766361005122,0.0010277620265823303
173,온라인 응대하기,2.0,0,10.92766361005122,0.0010277620265823303
174,배식지원,2.0,0,10.92766361005122,0.0010277620265823303
175,조별 정산,2.0,0,10.92766361005122,0.0010277620265823303
176,투숙객 입-퇴실 관리,2.0,0,10.92766361005122,0.0010277620265823303
177,현금 지급,2.0,0,10.92766361005122,0.0010277620265823303
178,호텔경영학,2.0,0,10.92766361005122,0.0010277620265823303
179,고객 응대 서비스,2.0,0,10.92766361005122,0.0010277620265823303
180,상담사,2.0,0,10.92766361005122,0.0010277620265823303
181,BB,2.0,0,10.92766361005122,0.0010277620265823303
182,DB,2.0,0,10.92766361005122,0.0010277620265823303
183,발표,2.0,0,10.92766361005122,0.0010277620265823303
184,방문 응대하기,2.0,0,10.92766361005122,0.0010277620265823303
185,평가,4.0,15,10.764972331143316,0.0010124606845494496
186,주차,3.0,6,10.55376496791089,0.0009925963370172647
187,청소,5.0,31,9.990479511129418,0.0009396185529945585
188,사무업무,5.0,32,9.83662121779565,0.000925147965593079
189,유경험자,7.0,57,9.823721561354334,0.0009239347348861832
190,프론트 영업자금,2.0,1,9.54136924893133,0.0008973791055054291
191,주변환경 정리 정돈,2.0,1,9.54136924893133,0.0008973791055054291
192,프론트데스크 업무,2.0,1,9.54136924893133,0.0008973791055054291
