idx,skill,tf,df,tfidf,pr
0,신고,1296.0,17,3335.2042210797613,0.06144818340883193
1,세무,1153.0,17,2967.1994343402507,0.05466802119628335
2,법인,669.0,15,1800.4416223837195,0.033171542039279495
3,회계,631.0,15,1698.174385237858,0.03128735878443253
4,법인세,406.0,3,1655.4802022257222,0.030500756281461774
5,소득세,415.0,6,1459.937487227673,0.02689805497174377
6,기장,456.0,13,1288.0971607871204,0.023732049175332868
7,결산,429.0,12,1243.6205700049877,0.022912607388078456
8,종합소득세,276.0,2,1204.8005865146702,0.022197383579484035
9,경력,497.0,20,1202.396755549187,0.022153095123287784
10,징수,271.0,3,1105.01264729845,0.020358879192798374
11,부가세,245.0,3,998.9966737569014,0.01840562879053728
12,사무실,294.0,7,995.0107374236576,0.018332191444388263
13,업무,1009.0,88,983.9721942111114,0.018128816063773263
14,사무,483.0,33,935.7986284377636,0.017241260787131233
15,세무사,226.0,4,871.0930197256812,0.01604911726362822
16,부가가치세,221.0,4,851.8210502627236,0.015694048297618744
17,원천세,265.0,14,730.282125039701,0.01345480126104635
18,세무조정,151.0,2,659.1481469699826,0.012144220726456845
19,조정,272.0,23,621.7316091123247,0.011454854160454924
20,4대보험,249.0,23,569.1587156947384,0.010486245168945868
21,개인,183.0,10,561.0663853975848,0.010337151151505653
22,지원,307.0,41,529.9317913298681,0.009763523835211
23,신고하기,109.0,1,520.0046240667575,0.009580624571993983
24,세무신고,137.0,6,481.9552668679306,0.008879598870190112
25,법인세신고,109.0,2,475.8089272829676,0.00876635800783971
26,재무,127.0,5,466.3531866462895,0.008592144362619259
27,소득세 신고,99.0,2,432.1567321193925,0.007962104979597533
28,근로소득,88.0,1,419.82024695297855,0.007734816168215326
29,관리,339.0,69,411.99909484894914,0.007590718368770476
30,급여,153.0,17,393.7393872108052,0.007254299430209326
31,작성,277.0,66,348.78155442079634,0.006425991185249835
32,협의,113.0,10,346.4508281416781,0.006383049618142836
33,종합소득세 신고,77.0,2,336.1219027595276,0.0061927483174647495
34,서류,188.0,41,324.5184911075414,0.005978965736220417
35,신고대리,69.0,2,301.20014662866754,0.005549345894871009
36,서류 작성,101.0,11,300.87144067899857,0.005543289778920096
37,채용,95.0,11,282.9978897475729,0.0052139854356179115
38,기타,110.0,20,266.12403040324057,0.004903099524268926
39,자격,105.0,20,254.02748356672964,0.004680231364074884
40,기장대리,62.0,3,252.8073215221546,0.0046577509592380046
41,프로그램,102.0,19,251.74615221010515,0.004638199854660208
42,장부,80.0,10,245.27492257817917,0.0045189731809860785
43,경력직,130.0,36,240.8788060095801,0.004437978627343296
44,법인세 신고,73.0,8,238.4623276213255,0.004393457153585723
45,정산,70.0,7,236.9073184342042,0.0043648074867591105
46,세무조정하기,64.0,5,235.01262949104355,0.004329899521319942
47,회계사무소,74.0,9,233.93225669033575,0.004309994609474299
48,기장업무,59.0,4,227.40923966289907,0.004189813798911792
49,세무사랑,52.0,2,226.99141485059,0.00418211574685931
50,마감,99.0,23,226.2920194930888,0.004169230006930286
51,부가가치세 신고,64.0,6,225.14698598209895,0.004148133778774942
52,거래처,182.0,71,216.06415485373896,0.003980790660917463
53,계산,65.0,8,212.3294697998104,0.003911982397028385
54,세무사사무실,52.0,3,212.03194708309744,0.003906500804522198
55,원천세 신고,64.0,8,209.062862572121,0.0038517980524587167
56,사업소득 원천징수하기,43.0,1,205.1394388520236,0.0037795124458324886
57,퇴직소득 원천징수하기,43.0,1,205.1394388520236,0.0037795124458324886
58,더존,68.0,11,202.56691055615747,0.0037321158907580847
59,부가세신고,56.0,6,197.0036127343366,0.003629617056428075
60,환경,58.0,7,196.2946352740549,0.003616554774743263
61,회계사무실,57.0,7,192.91024501070916,0.0035542003820752763
62,전산,76.0,18,191.4738547652969,0.0035277361641755474
63,재무제표 작성,40.0,1,190.8273849786266,0.0035158255310069665
64,근로소득 연말정산하기,43.0,2,187.7044392033725,0.0034582880214413525
65,원천세신고,46.0,3,187.5667224196631,0.0034557507116927135
66,재무제표 작성하기,39.0,1,186.0567003541609,0.0034279298927317914
67,자산부채계정 마감하기,39.0,1,186.0567003541609,0.0034279298927317914
68,연말정산,69.0,15,185.6957727122222,0.0034212801206431765
69,모집,109.0,42,185.5868541371932,0.0034192733923796687
70,법인결산,41.0,2,178.97400017065752,0.003297437415792918
71,감사,61.0,12,176.83182930140848,0.0032579698150880785
72,신고업무,65.0,15,174.93080038107888,0.003222945041185601
73,부가가치세신고하기,36.0,1,171.74464648076395,0.0031642429779062697
74,부가가치세 부속서류 작성하기,36.0,1,171.74464648076395,0.0031642429779062697
75,결산업무,37.0,2,161.51312210522752,0.0029757362044960482
76,퇴직소득,43.0,5,157.89911043929487,0.0029091512408868357
77,사업소득 세무조정하기,33.0,1,157.43259260736696,0.002900556063080747
78,종합소득세 부속서류 작성하기,33.0,1,157.43259260736696,0.002900556063080747
79,인사,55.0,14,151.567988215787,0.0027925059221039594
80,경력자,77.0,32,151.483966754053,0.0027909579010987457
81,금융소득 원천징수하기,43.0,6,151.27063120672275,0.0027870273826144146
82,법인세 부속서류 작성하기,31.0,1,147.8912233584356,0.0027247647865303987
83,세금계산서 발급·수취하기,36.0,3,146.7913479806059,0.002704500556976906
84,보험,297.0,146,140.5995678193215,0.002590422492259599
85,근로소득 원천징수하기,43.0,8,140.4641107906438,0.0025879268164957
86,부가세 신고,34.0,3,138.63627309279448,0.002554250526033745
87,근무시간,66.0,28,138.37137435258296,0.0025493700013958813
88,기타소득 원천징수하기,43.0,9,135.9336086173573,0.0025044563271269587
89,법인세신고하기,31.0,2,135.3218050070825,0.0024931843875507427
90,종합소득세신고하기,33.0,3,134.55873564888876,0.002479125510562164
91,교육,47.0,13,132.7644003442865,0.0024460664720189576
92,손익계정 마감하기,39.0,7,131.9912202704852,0.0024318213140515047
93,세금계산서,38.0,8,124.13107465219684,0.002287005093647363
94,위하고,31.0,4,119.4862106703368,0.0022014275892587383
95,세무회계사무소,27.0,2,117.86092694165252,0.002171483176253873
96,장부기장,30.0,4,115.63181677774529,0.002130413796056843
97,확정,30.0,4,115.63181677774529,0.002130413796056843
98,거래처 관리,34.0,7,115.06926895375632,0.002120049350711568
99,세금계산서 발급,36.0,10,110.37371516018062,0.0020335379314437353
100,전표 처리하기,23.0,1,109.7257463627103,0.0020215996803290056
101,전표 처리,23.0,1,109.7257463627103,0.0020215996803290056
102,증빙서류 관리하기,23.0,1,109.7257463627103,0.0020215996803290056
103,4대보험 신고,28.0,4,107.92302899256228,0.001988386209653054
104,직원,208.0,147,97.05686250239096,0.0017881867174544073
105,세무업무,25.0,4,96.35984731478774,0.0017753448300473695
106,사무실 업무,30.0,9,94.83740136094694,0.0017472951119490408
107,자격증,59.0,47,93.96521685294545,0.0017312258849807843
108,신고대행,23.0,3,93.78336120983155,0.0017278753558463567
109,개인사업자,23.0,3,93.78336120983155,0.0017278753558463567
110,별도,82.0,78,89.73948410980427,0.001653370502393993
111,경험,39.0,24,87.55328322613896,0.001613091687675857
112,결산처리,17.0,1,81.1016386159163,0.0014942258506779604
113,2급,32.0,18,80.62057042749343,0.001485362595442336
114,인원,26.0,10,79.71434983790823,0.0014686662838204756
115,전산세무2급,14.0,0,76.49364527035854,0.001409327655102746
116,상담,23.0,9,72.70867437672598,0.001339592919160931
117,퇴직연금,22.0,8,71.8653590091666,0.001324055580532684
118,장부마감하기,15.0,1,71.56026936698498,0.0013184345741276125
119,결산조정,15.0,1,71.56026936698498,0.0013184345741276125
120,개인 결산,16.0,2,69.84351226172001,0.0012868048451874802
121,학력,26.0,17,66.90996122536558,0.0012327567659179246
122,법인 결산,19.0,6,66.84051146343563,0.001231477215573811
123,과세대상소득 확정하기,14.0,1,66.78958474251931,0.001230538935852438
124,세법상 수입금액 확정하기,14.0,1,66.78958474251931,0.001230538935852438
125,기장 업무,14.0,1,66.78958474251931,0.001230538935852438
126,이메일,36.0,36,66.70490012572988,0.0012289786968027589
127,발급,37.0,38,66.60999587915065,0.0012272301701268752
128,프로그램 사용,21.0,9,66.38618095266285,0.0012231065783643285
129,서류 관리,24.0,14,66.1387584941616,0.0012185480387362734
130,소통,17.0,4,65.52469617405566,0.0012072344844322113
131,4대보험신고,17.0,4,65.52469617405566,0.0012072344844322113
132,법인사업자,15.0,2,65.47829274536251,0.0012063795423632629
133,상실,20.0,8,65.33214455378781,0.001203686891393349
134,C,43.0,53,63.41845361383744,0.0011684288309955302
135,세무 신고,13.0,1,62.01890011805365,0.001142643297577264
136,회계사무실 경력,14.0,2,61.11307322900501,0.0011259542395390453
137,세무신고 업무,14.0,2,61.11307322900501,0.0011259542395390453
138,운용,14.0,2,61.11307322900501,0.0011259542395390453
139,세무기장,18.0,7,60.91902474022394,0.0011223790680237712
140,수행,21.0,12,60.87653139884554,0.0011215961658499942
141,성실,23.0,16,60.50422460229606,0.0011147367429174698
142,정규직,36.0,44,59.65809534919045,0.0010991475609406073
143,취득,29.0,30,58.86549341567345,0.001084544572412013
144,수입,19.0,10,58.252794112317545,0.0010732561304841936
145,결산준비,15.0,4,57.81590838887264,0.0010652068980284216
146,장부작성,13.0,2,56.74785371264751,0.0010455289367148279
147,주차,16.0,6,56.286746495524746,0.0010370334446937357
148,엑셀,21.0,16,55.24298768035728,0.0010178031130985594
149,각종 신고,15.0,5,55.08108503696333,0.0010148202003093614
150,컨설팅,10.0,0,54.6383180502561,0.0010066626107876758
151,임금,19.0,13,53.67071503279668,0.0009888353823055362
152,협의 가능,32.0,44,53.02941808816929,0.0009770200541694288
153,각종 세금신고,13.0,3,53.00798677077436,0.0009766252011305496
154,원가,24.0,26,52.031878536510746,0.0009586412715628172
155,결산준비하기,15.0,7,50.76585395018662,0.0009353158900198094
156,관련 업무,31.0,46,50.024210302782095,0.0009216517627733663
157,전화,22.0,24,49.389031563463,0.0009099491571504836
158,진행,40.0,69,48.613462519050046,0.0008956599845156903
159,접수,22.0,25,48.52617587409081,0.0008940518054018907
160,업체관리,17.0,13,48.02116608197598,0.000884747447326006
161,전산세무1급,10.0,1,47.70684624465665,0.0008789563827517416
162,서류관리,16.0,11,47.66280248380176,0.0008781449154724905
163,전표관리,14.0,7,47.38146368684084,0.0008729614973518221
164,결산분개하기,15.0,10,45.98904798340859,0.0008473074714348897
165,NAVER,12.0,5,44.06486802957066,0.000811856160247489
166,보험관리,13.0,7,43.99707342349507,0.0008106071046838348
167,근무 환경,8.0,0,43.71065444020488,0.0008053300886301406
168,세무사랑 사용,10.0,2,43.652195163575,0.0008042530282421751
169,상실신고,10.0,2,43.652195163575,0.0008042530282421751
170,응대,23.0,37,42.00364984188216,0.0007738800409915298
171,4대보험관리,13.0,9,41.09620725641034,0.0007571612151779176
172,실무,13.0,9,41.09620725641034,0.0007571612151779176
173,거래처관리,14.0,13,39.546842655744925,0.0007286155448567108
174,전표작성,13.0,12,37.68547181833296,0.0006943214360023775
175,업체 관리,17.0,26,36.85591396336178,0.0006790375673569955
176,더존프로그램,9.0,3,36.69783699515148,0.0006761251392442265
177,현금흐름표 작성,10.0,6,35.179216559702965,0.0006481459029335848
178,관련업무,12.0,12,34.78658937076888,0.0006409120947714253
179,4대보험 취득,13.0,16,34.19803999260212,0.0006300685938229176
180,서비스,19.0,39,33.7240946673218,0.0006213365710311754
181,신고대리업무,7.0,1,33.394792371259655,0.000615269467926219
182,기장업체 관리,7.0,1,33.394792371259655,0.000615269467926219
183,제출,31.0,81,32.770489290602065,0.0006037672366803835
184,세금 신고,10.0,8,32.66607227689391,0.0006018434456966745
185,원가계산,8.0,3,32.62029955124576,0.0006010001237726458
186,계약,13.0,19,32.08529390913105,0.0005911431187312031
187,사무원,19.0,43,31.913201251039627,0.0005879724639476433
188,회계관련,10.0,9,31.61246712031565,0.0005824317039830136
189,보조,12.0,16,31.567421531632725,0.0005816017789134624
190,가공,10.0,10,30.659365322272397,0.0005648716476232598
191,세무회계 업무,7.0,2,30.556536614502505,0.0005629771197695226
192,회계업무,12.0,18,30.23271391031004,0.000557010973290876
193,회계 업무,11.0,15,29.60367391064412,0.0005454214685083325
194,결산 업무,9.0,8,29.399465049204515,0.000541659101127007
195,세무조정업무,6.0,1,28.62410774679399,0.000527373829651045
196,회계 자격증,7.0,3,28.54276210734004,0.000525875108301065
197,전표입력,9.0,10,27.59342879004516,0.0005083844828609339
198,경력자 우대,15.0,37,27.393684679488363,0.0005047043745596934
199,공간,5.0,0,27.31915902512805,0.0005033313053938379
200,회계프로그램 운용하기,5.0,0,27.31915902512805,0.0005033313053938379
201,DB,5.0,0,27.31915902512805,0.0005033313053938379
202,보고,8.0,7,27.075122106766194,0.0004988351413438984
203,4대보험 관련 업무,7.0,4,26.980757248140566,0.0004970965524132634
204,거래처 응대,7.0,4,26.980757248140566,0.0004970965524132634
205,인건비,10.0,15,26.912430827858287,0.0004958376986439385
206,AI,9.0,11,26.81032639713849,0.0004939565149532759
207,세무관리,6.0,2,26.191317098145003,0.0004825518169453051
208,친절,8.0,9,25.28997369625252,0.0004659453631864109
209,검토,13.0,33,25.187126645322834,0.0004640504973762031
210,전산회계1급,7.0,6,24.625451591792075,0.00045370213205350935
211,통상,6.0,3,24.46522466343432,0.00045075009282948437
212,강의,5.0,1,23.853423122328326,0.0004394781913758708
213,회계 관련 DB마스터 관리하기,5.0,1,23.853423122328326,0.0004394781913758708
214,회계 경력,5.0,1,23.853423122328326,0.0004394781913758708
215,.NET,8.0,12,23.191059580512587,0.0004272747298476168
216,문서,8.0,12,23.191059580512587,0.0004272747298476168
217,인근거주자,6.0,4,23.126363355549056,0.0004260827592113686
218,4대보험 관리,8.0,13,22.598195803282813,0.00041635173991812045
219,책임감,12.0,36,22.234966708576625,0.0004096595656009196
220,컴퓨터,12.0,36,22.234966708576625,0.0004096595656009196
221,중식 제공,9.0,19,22.212895783244573,0.0004092529283523713
222,자가,6.0,5,22.03243401478533,0.0004059280801237445
223,교육 지원,5.0,2,21.8260975817875,0.00040212651412108755
224,업무처리,5.0,2,21.8260975817875,0.00040212651412108755
225,신고서 작성,6.0,6,21.10752993582178,0.0003888875417601509
226,시행,5.0,3,20.3876872195286,0.00037562507735790365
227,회계관련 자격증,5.0,3,20.3876872195286,0.00037562507735790365
228,수금,6.0,7,20.306341580074644,0.00037412635600792373
229,경리,9.0,25,19.851617403037157,0.0003657484658462281
230,더존 스마트A,6.0,8,19.59964336613634,0.00036110606741800465
231,인테리어,5.0,4,19.271969462957543,0.0003550689660094738
232,성상,5.0,4,19.271969462957543,0.0003550689660094738
233,세무회계사무소 경력,4.0,1,19.08273849786266,0.0003515825531006966
234,프로그램 활용,4.0,1,19.08273849786266,0.0003515825531006966
235,보수,4.0,1,19.08273849786266,0.0003515825531006966
236,매니저,5.0,5,18.360361678987772,0.00033827340010312033
237,대응,5.0,5,18.360361678987772,0.00033827340010312033
238,운영,13.0,58,18.021826694558577,0.00033203619289342917
239,회계정보 활용하기,5.0,6,17.589608279851483,0.0003240729514667924
240,GO,4.0,2,17.460878065430002,0.00032170121129687006
241,소매,4.0,2,17.460878065430002,0.00032170121129687006
242,직원 모집,9.0,33,17.43724152368504,0.00032126572895275595
243,커뮤니케이션,6.0,12,17.39329468538444,0.00032045604738571265
244,차량,6.0,13,16.94864685246211,0.0003122638049385904
245,상속 증여세 신고하기,3.0,0,16.391495415076832,0.0003019987832363028
246,회계 사무원,5.0,8,16.333036138446953,0.00030092172284833723
247,건강보험,5.0,8,16.333036138446953,0.00030092172284833723
248,초보,5.0,8,16.333036138446953,0.00030092172284833723
249,노무,5.0,8,16.333036138446953,0.00030092172284833723
250,4대보험 가입,8.0,31,15.984767217807068,0.0002945051764864034
251,정리,8.0,33,15.49977024327559,0.0002855695368468942
252,영업,6.0,17,15.440760282776672,0.0002844823305964441
253,자료 입력,4.0,4,15.417575570366038,0.00028405517280757914
254,보조업무,5.0,11,14.894625776188049,0.0002744202860851533
255,CE,4.0,5,14.68828934319022,0.0002706187200824963
256,세무정보처리,3.0,1,14.312053873396994,0.0002636869148255225
257,양도소득세 신고하기,3.0,1,14.312053873396994,0.0002636869148255225
258,기장거래처 관리,3.0,1,14.312053873396994,0.0002636869148255225
259,E-MAIL,3.0,1,14.312053873396994,0.0002636869148255225
260,이메일 접수,3.0,1,14.312053873396994,0.0002636869148255225
261,심사,4.0,6,14.071686623881186,0.00025925836117343394
262,참여,4.0,6,14.071686623881186,0.00025925836117343394
263,청소,7.0,31,13.986671315581184,0.00025769202942560297
264,성과급,11.0,66,13.850531041981082,0.0002551837654792353
265,사무업무,7.0,32,13.771269704913909,0.0002537234455544314
266,경력 3년 이상,6.0,23,13.714667848065986,0.00025268060648062334
267,개발,8.0,42,13.62105351465638,0.00025095584531226926
268,피드백,4.0,7,13.537561053383095,0.00024941757067194914
269,결제,5.0,16,13.15309230484697,0.00024233407454727601
270,회계사무실 근무,3.0,2,13.0956585490725,0.00024127590847265252
271,조직,3.0,2,13.0956585490725,0.00024127590847265252
272,세무사 사무실 경력,3.0,2,13.0956585490725,0.00024127590847265252
273,오피스,3.0,2,13.0956585490725,0.00024127590847265252
274,회계능력,4.0,8,13.066428910757562,0.0002407373782786698
275,통신,4.0,8,13.066428910757562,0.0002407373782786698
276,고객응대,4.0,8,13.066428910757562,0.0002407373782786698
277,일반사무,4.0,8,13.066428910757562,0.0002407373782786698
278,기업,14.0,94,12.73936878795097,0.00023471158522980268
279,세무 회계,4.0,9,12.644986848126258,0.00023297268159320542
280,주차장,5.0,18,12.596964129295849,0.00023208790553786495
281,경영,5.0,18,12.596964129295849,0.00023208790553786495
282,계획,5.0,19,12.340497657358096,0.00022736273797353961
283,계약 체결,3.0,3,12.23261233171716,0.00022537504641474218
284,엑셀 능숙자,3.0,3,12.23261233171716,0.00022537504641474218
285,입퇴사자,3.0,3,12.23261233171716,0.00022537504641474218
286,급여대장 작성,3.0,4,11.563181677774528,0.0002130413796056843
287,기술,4.0,13,11.299097901641408,0.00020817586995906025
288,기본급,6.0,36,11.117483354288312,0.0002048297828004598
289,청구,4.0,14,11.0231264156936,0.00020309133978937887
290,세목별 수정신고·경정 청구하기,3.0,5,11.016217007392664,0.00020296404006187223
291,월별,3.0,5,11.016217007392664,0.00020296404006187223
292,근태,3.0,5,11.016217007392664,0.00020296404006187223
293,관련전공자,2.0,0,10.92766361005122,0.00020133252215753515
294,동종업계 경력,2.0,0,10.92766361005122,0.00020133252215753515
295,행정,3.0,6,10.55376496791089,0.00019444377088007544
296,전산회계 자격증,3.0,7,10.153170790037322,0.00018706317800396187
297,근무 시간,3.0,7,10.153170790037322,0.00018706317800396187
298,한글,5.0,30,10.14922300270232,0.00018699044351931258
299,관리업무,7.0,59,9.586410699624563,0.00017662112538110496
300,개인결산조정,2.0,1,9.54136924893133,0.0001757912765503483
301,원천업무,2.0,1,9.54136924893133,0.0001757912765503483
302,교육실시,2.0,1,9.54136924893133,0.0001757912765503483
303,WEHAGO 사용,2.0,1,9.54136924893133,0.0001757912765503483
