idx,skill,tf,df,tfidf,pr
0,디자인,2.0,5,7.34414467159511,0.017229624866330385
1,웹디자인,2.0,8,6.533214455378781,0.015327153708290834
2,CSS,1.0,0,5.4638318050256105,0.012818343938324055
3,JQUERY,1.0,0,5.4638318050256105,0.012818343938324055
4,JAVA,1.0,0,5.4638318050256105,0.012818343938324055
5,급여,2.0,17,5.146920094258891,0.01207485778215175
6,C,3.0,53,4.424543275384007,0.010380136046959667
7,IPT,1.0,2,4.3652195163575005,0.010240960396234736
8,JAVASCRIPT,1.0,3,4.07753744390572,0.009566048012184967
9,HTML,1.0,3,4.07753744390572,0.009566048012184967
10,시행,1.0,3,4.07753744390572,0.009566048012184967
11,IP,1.0,4,3.8543938925915096,0.009042545296429023
12,AS,1.0,10,3.0659365322272394,0.007192796258298638
13,협의,1.0,10,3.0659365322272394,0.007192796258298638
14,기타,1.0,20,2.419309367302187,0.005675785908117505
15,근무시간,1.0,28,2.096535975039136,0.0049185480384667975
16,CS,1.0,34,1.9084837435361963,0.004477370808311793
17,개발,1.0,42,1.7026316893320477,0.003994434560389181
18,모집,1.0,42,1.7026316893320477,0.003994434560389181
19,월급,1.0,57,1.4033887944791907,0.0032924000753972544
20,운영,1.0,58,1.3862943611198906,0.003252295926139087
21,업무,1.0,88,0.9751954352934702,0.0022878432101766993
22,법인세 관리,0.01,0,0.0546383180502561,0.00012818343938324054
23,소모품 수입,0.01,0,0.0546383180502561,0.00012818343938324054
24,영문 서신 작성,0.01,0,0.0546383180502561,0.00012818343938324054
25,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00012818343938324054
26,유해화학물질관리자,0.01,0,0.0546383180502561,0.00012818343938324054
27,가구 설치,0.01,0,0.0546383180502561,0.00012818343938324054
28,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00012818343938324054
29,타이어 탈착,0.01,0,0.0546383180502561,0.00012818343938324054
30,현장 조율,0.01,0,0.0546383180502561,0.00012818343938324054
31,경영계획 분석,0.01,0,0.0546383180502561,0.00012818343938324054
32,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00012818343938324054
33,납품계획 세우기,0.01,0,0.0546383180502561,0.00012818343938324054
34,불량재고 처리하기,0.01,0,0.0546383180502561,0.00012818343938324054
35,매뉴얼 업무,0.01,0,0.0546383180502561,0.00012818343938324054
36,건축업무 경험,0.01,0,0.0546383180502561,0.00012818343938324054
37,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00012818343938324054
38,평가계획 수립하기,0.01,0,0.0546383180502561,0.00012818343938324054
39,현장상황파악,0.01,0,0.0546383180502561,0.00012818343938324054
40,인허가관리,0.01,0,0.0546383180502561,0.00012818343938324054
41,사건 수임,0.01,0,0.0546383180502561,0.00012818343938324054
42,PF심의자료 작성,0.01,0,0.0546383180502561,0.00012818343938324054
43,디지털 교육 이해,0.01,0,0.0546383180502561,0.00012818343938324054
44,여행상품개발,0.01,0,0.0546383180502561,0.00012818343938324054
45,주차매출 관리,0.01,0,0.0546383180502561,0.00012818343938324054
46,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00012818343938324054
47,어도비 포토샵,0.01,0,0.0546383180502561,0.00012818343938324054
48,데미지 관리,0.01,0,0.0546383180502561,0.00012818343938324054
49,기관 소통 업무,0.01,0,0.0546383180502561,0.00012818343938324054
50,비디오메타 사용,0.01,0,0.0546383180502561,0.00012818343938324054
51,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00012818343938324054
52,자습감독,0.01,0,0.0546383180502561,0.00012818343938324054
53,JLPT 2급이상,0.01,0,0.0546383180502561,0.00012818343938324054
54,한자 관련 자격증,0.01,0,0.0546383180502561,0.00012818343938324054
55,기성취합,0.01,0,0.0546383180502561,0.00012818343938324054
56,KUBERNETES,0.01,0,0.0546383180502561,0.00012818343938324054
57,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00012818343938324054
58,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00012818343938324054
59,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00012818343938324054
60,데이터 마이닝,0.01,0,0.0546383180502561,0.00012818343938324054
61,채권현황 파악,0.01,0,0.0546383180502561,0.00012818343938324054
62,제품표준서 작성,0.01,0,0.0546383180502561,0.00012818343938324054
63,일용직 투입,0.01,0,0.0546383180502561,0.00012818343938324054
64,영업 손익관리,0.01,0,0.0546383180502561,0.00012818343938324054
65,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00012818343938324054
66,생산검토,0.01,0,0.0546383180502561,0.00012818343938324054
67,화학사고대응,0.01,0,0.0546383180502561,0.00012818343938324054
68,나라사업 발굴,0.01,0,0.0546383180502561,0.00012818343938324054
69,영상 프로그램,0.01,0,0.0546383180502561,0.00012818343938324054
70,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00012818343938324054
71,운영 원칙 이해,0.01,0,0.0546383180502561,0.00012818343938324054
72,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00012818343938324054
73,법규 검토,0.01,0,0.0546383180502561,0.00012818343938324054
74,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00012818343938324054
75,각종 사무관리,0.01,0,0.0546383180502561,0.00012818343938324054
76,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00012818343938324054
77,가격별 상품 구성,0.01,0,0.0546383180502561,0.00012818343938324054
78,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00012818343938324054
79,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00012818343938324054
80,수입신고서 작성,0.01,0,0.0546383180502561,0.00012818343938324054
81,근무표관리,0.01,0,0.0546383180502561,0.00012818343938324054
