idx,skill,tf,df,tfidf,pr
0,기술지원,49.0,0,267.72775844625494,0.03750974140386089
1,기술,86.0,13,242.93060488529025,0.03403555993302049
2,지원,131.0,41,226.1272464632337,0.031681341480718106
3,IT,61.0,5,223.9964124836509,0.03138280302503998
4,보수,43.0,1,205.1394388520236,0.028740864778940056
5,네트워크,37.0,0,202.1617767859476,0.02832368228454802
6,유지보수,40.0,2,174.6087806543,0.024463396127454778
7,C,102.0,53,150.43447136305625,0.02107647765701334
8,보안,45.0,8,146.99732524602257,0.020594919589349992
9,관리,95.0,69,115.45697348274386,0.016175988787055586
10,자격,47.0,20,113.7075402632028,0.015930886119894228
11,유지,46.0,27,98.05485556311868,0.013737881708309509
12,경력,39.0,20,94.35306532478528,0.01321924592927393
13,서버,16.0,0,87.42130888040977,0.012248078825750495
14,솔루션,34.0,22,79.16347802927966,0.01109112333641189
15,경험,32.0,24,71.83859136503709,0.01006487709962698
16,DB,13.0,0,71.02981346533294,0.009951564045922276
17,제품,23.0,10,70.51654024122651,0.009879652392018734
18,업무,72.0,88,70.21407134112985,0.009837275276208335
19,전산,26.0,18,65.50421347233842,0.009177405146444518
20,채용,21.0,11,62.557428259989805,0.008764548624097371
21,대응,16.0,5,58.75315737276088,0.008231554891813764
22,컨설팅,10.0,0,54.6383180502561,0.007655049266094059
23,운영,39.0,58,54.06548008367573,0.0075747923509447215
24,IP,14.0,4,53.96151449628113,0.007560226351809243
25,구축,41.0,73,47.55043518467905,0.006662008219728212
26,설치,15.0,9,47.41870068047347,0.006643551683075479
27,수행,16.0,12,46.38211916102517,0.0064983224212156855
28,통신,14.0,8,45.732501187651465,0.006407308316686664
29,CI,8.0,0,43.71065444020488,0.006124039412875246
30,공학,10.0,2,43.652195163575,0.006115849031863694
31,운영관리,9.0,1,42.93616162019099,0.0060155298374525695
32,AS,13.0,10,39.85717491895412,0.005584151352010591
33,서비스,22.0,39,39.04895172005682,0.0054709160141316274
34,UX,7.0,0,38.24682263517927,0.005358534486265841
35,정보처리기사,7.0,0,38.24682263517927,0.005358534486265841
36,개발,22.0,42,37.45789716530505,0.005248002838245331
37,자격증,23.0,47,36.63050826470754,0.005132082308069647
38,모집,21.0,42,35.755265475973005,0.005009457254688725
39,컴퓨터,19.0,36,35.20536395524633,0.004932413828337445
40,교육,12.0,13,33.89729370492422,0.004749147897630766
41,LINUX,7.0,1,33.394792371259655,0.004678745429129776
42,장애 대응,6.0,0,32.782990830153665,0.004593029559656435
43,DBMS,6.0,0,32.782990830153665,0.004593029559656435
44,환경,9.0,7,30.45951237011197,0.004267500833388403
45,협의,9.0,10,27.59342879004516,0.0038659509360073315
46,방화벽,5.0,0,27.31915902512805,0.0038275246330470294
47,학력,10.0,17,25.734600471294456,0.0036055215731532397
48,운전,10.0,17,25.734600471294456,0.0036055215731532397
49,차량,9.0,13,25.422970278693164,0.0035618609232230744
50,프로젝트,7.0,9,22.128726984220958,0.0031003241187685577
51,시스템 운영,6.0,5,22.03243401478533,0.0030868330844301614
52,CE,6.0,5,22.03243401478533,0.0030868330844301614
53,ORACLE,4.0,0,21.85532722010244,0.003062019706437623
54,시스템공학,4.0,0,21.85532722010244,0.003062019706437623
55,컴퓨터 관련,4.0,0,21.85532722010244,0.003062019706437623
56,JAVA,4.0,0,21.85532722010244,0.003062019706437623
57,가상화,4.0,0,21.85532722010244,0.003062019706437623
58,IPT,5.0,2,21.8260975817875,0.003057924515931847
59,운용,5.0,2,21.8260975817875,0.003057924515931847
60,접수,9.0,25,19.851617403037157,0.0027812918599017405
61,경력자,10.0,32,19.6732424355913,0.0027563008057777823
62,소통,5.0,4,19.271969462957543,0.0027000808399318716
63,AR,14.0,59,19.17282139924913,0.0026861897953424753
64,정보처리산업기사,4.0,1,19.08273849786266,0.0026735688166455865
65,관제,4.0,1,19.08273849786266,0.0026735688166455865
66,CD,4.0,1,19.08273849786266,0.0026735688166455865
67,서류,11.0,41,18.987784054164656,0.002660265315174802
68,SQL,7.0,15,18.838701579500803,0.002639378257721582
69,분석,11.0,43,18.47606388218084,0.0025885712501527566
70,급여,7.0,17,18.01422032990612,0.002523865101207268
71,연구,4.0,2,17.460878065430002,0.002446339612745478
72,기술 지원,6.0,12,17.39329468538444,0.002436870907955882
73,문서,6.0,12,17.39329468538444,0.002436870907955882
74,기타,7.0,20,16.93516557111531,0.002372685166792757
75,리눅스,5.0,7,16.921951316728872,0.0023708337963268904
76,제어,5.0,7,16.921951316728872,0.0023708337963268904
77,보고,5.0,7,16.921951316728872,0.0023708337963268904
78,정보통신,7.0,21,16.60952546167106,0.002327061670869637
79,정보보안기사,3.0,0,16.391495415076832,0.0022965147798282176
80,SERVER,3.0,0,16.391495415076832,0.0022965147798282176
81,고객시스템 장애 처리,3.0,0,16.391495415076832,0.0022965147798282176
82,시스템 엔지니어,3.0,0,16.391495415076832,0.0022965147798282176
83,시스템 장애 대응,3.0,0,16.391495415076832,0.0022965147798282176
84,기술 문의 대응,3.0,0,16.391495415076832,0.0022965147798282176
85,네트워크 관리,3.0,0,16.391495415076832,0.0022965147798282176
86,WEB,3.0,0,16.391495415076832,0.0022965147798282176
87,발표,3.0,0,16.391495415076832,0.0022965147798282176
88,시스템 유지보수 수행,3.0,0,16.391495415076832,0.0022965147798282176
89,운전가능,5.0,8,16.333036138446953,0.002288324398816666
90,점검,8.0,33,15.49977024327559,0.002171580477940008
91,PL,4.0,4,15.417575570366038,0.002160064671945498
92,홈페이지,4.0,4,15.417575570366038,0.002160064671945498
93,인원,5.0,10,15.329682661136196,0.0021477505200040727
94,심사,4.0,6,14.071686623881186,0.0019715001890022923
95,기업,15.0,94,13.64932370137604,0.0019123254359109823
96,CS,7.0,34,13.359386204753374,0.001871704020392792
97,정규직,8.0,44,13.257354522042322,0.001857408969122415
98,기능,5.0,16,13.15309230484697,0.0018428014109525515
99,모니터링,3.0,2,13.0956585490725,0.0018347547095591084
100,회의,3.0,2,13.0956585490725,0.0018347547095591084
101,제안,4.0,8,13.066428910757562,0.0018306595190533328
102,대기,4.0,8,13.066428910757562,0.0018306595190533328
103,기획,4.0,8,13.066428910757562,0.0018306595190533328
104,개인,4.0,10,12.263746128908958,0.0017182004160032581
105,LMS,3.0,3,12.23261233171716,0.0017138384451401622
106,SI,3.0,4,11.563181677774528,0.0016200485039591234
107,수출,3.0,4,11.563181677774528,0.0016200485039591234
108,데스크,5.0,23,11.428889873388322,0.0016012336792117087
109,운전가능자,4.0,14,11.0231264156936,0.0015443845782533527
110,OA,3.0,5,11.016217007392664,0.0015434165422150805
111,자가,3.0,5,11.016217007392664,0.0015434165422150805
112,솔류션,2.0,0,10.92766361005122,0.0015310098532188114
113,인프라 관리,2.0,0,10.92766361005122,0.0015310098532188114
114,장애 처리 결과 보고,2.0,0,10.92766361005122,0.0015310098532188114
115,CSS,2.0,0,10.92766361005122,0.0015310098532188114
116,CCNP,2.0,0,10.92766361005122,0.0015310098532188114
117,장애 처리 결과 보고하기,2.0,0,10.92766361005122,0.0015310098532188114
118,장애 대응 방안 수립하기,2.0,0,10.92766361005122,0.0015310098532188114
119,NETWORK,2.0,0,10.92766361005122,0.0015310098532188114
120,서비스관리,2.0,0,10.92766361005122,0.0015310098532188114
121,AE,2.0,0,10.92766361005122,0.0015310098532188114
122,자산관리,2.0,0,10.92766361005122,0.0015310098532188114
123,보안장비,2.0,0,10.92766361005122,0.0015310098532188114
124,UI,2.0,0,10.92766361005122,0.0015310098532188114
125,서버 관리,2.0,0,10.92766361005122,0.0015310098532188114
126,해외,7.0,51,10.58811660510928,0.0014834379450097328
127,자동화,3.0,6,10.55376496791089,0.0014786251417517192
128,하드웨어,4.0,16,10.522473843877576,0.001474241128762041
129,경영,4.0,18,10.07757130343668,0.0014119084840683873
130,작성,8.0,66,10.073113485077153,0.0014112839256928882
131,유경험자,7.0,57,9.823721561354334,0.0013763431088670817
132,CCTV,3.0,8,9.79982168306817,0.0013729946392899994
133,퇴직연금,3.0,8,9.79982168306817,0.0013729946392899994
134,네트워크 보안,2.0,1,9.54136924893133,0.0013367844083227933
135,해외법인,2.0,1,9.54136924893133,0.0013367844083227933
136,핀테크,2.0,1,9.54136924893133,0.0013367844083227933
137,앱 개발,2.0,1,9.54136924893133,0.0013367844083227933
138,전산실,2.0,1,9.54136924893133,0.0013367844083227933
139,CCNA,2.0,1,9.54136924893133,0.0013367844083227933
140,IPS,2.0,1,9.54136924893133,0.0013367844083227933
141,해외출장,2.0,1,9.54136924893133,0.0013367844083227933
142,운영 관리,2.0,1,9.54136924893133,0.0013367844083227933
143,소통 능력,2.0,1,9.54136924893133,0.0013367844083227933
