idx,skill,tf,df,tfidf,pr
0,테스트,29.0,8,94.73160960299232,0.04297921534250706
1,QA,14.0,6,49.25090318358415,0.022344866540443188
2,C,29.0,53,42.770584995378734,0.019404781472047515
3,경력,16.0,20,38.70894987683499,0.01756203973954489
4,IT,10.0,5,36.72072335797555,0.016659992196366186
5,검증,16.0,30,32.47751360864742,0.014734871042782002
6,자격,13.0,20,31.45102177492843,0.01426915728838022
7,공학,7.0,2,30.556536614502505,0.013863334242706894
8,기능,11.0,16,28.93680307066333,0.013128469955380914
9,서비스,16.0,39,28.39923761458678,0.012884579435688137
10,경험,11.0,24,24.6945157817315,0.011203767317054558
11,지원,13.0,41,22.440108427649143,0.010180954978629175
12,개발,13.0,42,22.13421196131662,0.0100421714178503
13,CE,6.0,5,22.03243401478533,0.009995995317819712
14,ISTQB,4.0,0,21.85532722010244,0.009915642929644341
15,기술,7.0,13,19.773421327872462,0.008971093564971031
16,업무,20.0,88,19.503908705869403,0.008848817156208024
17,관리,16.0,69,19.44538500762002,0.008822265273048416
18,전자,5.0,6,17.589608279851483,0.00798030947872971
19,수행,6.0,12,17.39329468538444,0.00789124307009778
20,보고,5.0,7,16.921951316728872,0.007677397150804221
21,시스템공학,3.0,0,16.391495415076832,0.007436732197233258
22,WEB,3.0,0,16.391495415076832,0.007436732197233258
23,기술지원,3.0,0,16.391495415076832,0.007436732197233258
24,통신,5.0,8,16.333036138446953,0.007410209541811562
25,자동화,4.0,6,14.071686623881186,0.006384247582983768
26,모니터링,3.0,2,13.0956585490725,0.005941428961160096
27,시험,5.0,20,12.096546836510935,0.0054881374186077775
28,분석,7.0,43,11.757495197751442,0.005334311536670964
29,IP,3.0,4,11.563181677774528,0.00524615255094225
30,작성,9.0,66,11.332252670711796,0.005141381318140702
31,자격증,7.0,47,11.148415558824034,0.005057975421704639
32,컴퓨터,6.0,36,11.117483354288312,0.005043941648972066
33,PYTHON,3.0,5,11.016217007392664,0.004997997658909855
34,BI,3.0,5,11.016217007392664,0.004997997658909855
35,대응,3.0,5,11.016217007392664,0.004997997658909855
36,JIRA,2.0,0,10.92766361005122,0.004957821464822171
37,장애 대응,2.0,0,10.92766361005122,0.004957821464822171
38,모바일 플랫폼,2.0,0,10.92766361005122,0.004957821464822171
39,WINDOWS,2.0,0,10.92766361005122,0.004957821464822171
40,임베디드,2.0,0,10.92766361005122,0.004957821464822171
41,UX,2.0,0,10.92766361005122,0.004957821464822171
42,테스트 수행,2.0,0,10.92766361005122,0.004957821464822171
43,정보처리기사,2.0,0,10.92766361005122,0.004957821464822171
44,경험 보유자,2.0,0,10.92766361005122,0.004957821464822171
45,JAVA,2.0,0,10.92766361005122,0.004957821464822171
46,UI,2.0,0,10.92766361005122,0.004957821464822171
47,학력,4.0,17,10.293840188517782,0.004670259230448928
48,환경,3.0,7,10.153170790037322,0.004606438290482532
49,커뮤니케이션 가능,2.0,1,9.54136924893133,0.00432886726332201
50,LINUX,2.0,1,9.54136924893133,0.00432886726332201
51,핀테크,2.0,1,9.54136924893133,0.00432886726332201
52,보수,2.0,1,9.54136924893133,0.00432886726332201
53,프로젝트,3.0,9,9.483740136094694,0.004302721248692009
54,설치,3.0,9,9.483740136094694,0.004302721248692009
55,AS,3.0,10,9.19780959668172,0.004172996120216612
56,채용,3.0,11,8.936775465712829,0.004054566356659614
57,APM,2.0,2,8.730439032715001,0.003960952640773398
58,유지보수,2.0,2,8.730439032715001,0.003960952640773398
59,보고서 작성,2.0,2,8.730439032715001,0.003960952640773398
60,커뮤니케이션,3.0,12,8.69664734269222,0.00394562153504889
61,모집,5.0,42,8.513158446660238,0.0038623736222501153
62,교육,3.0,13,8.474323426231056,0.0038447543849875854
63,운영,6.0,58,8.317766166719343,0.0037737252090009657
64,결제,3.0,16,7.891855382908181,0.0035804918060129767
65,품질,3.0,17,7.720380141388336,0.003502694422836696
66,급여,3.0,17,7.720380141388336,0.003502694422836696
67,PM,2.0,4,7.708787785183019,0.0034974350339615
68,CS,4.0,34,7.633934974144785,0.003463474721262426
69,경력 무관,2.0,6,7.035843311940593,0.003192123791491884
70,설계,2.0,6,7.035843311940593,0.003192123791491884
71,솔루션,3.0,22,6.985012767289382,0.0031690622502207394
72,부동산,3.0,26,6.503984817063843,0.002950822489013778
73,친절,2.0,9,6.322493424063129,0.0028684808324613395
74,보고서,2.0,9,6.322493424063129,0.0028684808324613395
75,제품,2.0,10,6.131873064454479,0.0027819974134777404
76,협의,2.0,10,6.131873064454479,0.0027819974134777404
77,진행,5.0,69,6.076682814881256,0.00275695789782763
78,품질관리,2.0,12,5.797764895128147,0.0026304143566992597
79,차량,2.0,13,5.649548950820703,0.002563169589991723
80,경력직,3.0,36,5.558741677144156,0.002521970824486033
81,AR,4.0,59,5.477948971214038,0.00248531561382481
82,자동화 등,1.0,0,5.4638318050256105,0.0024789107324110857
83,테스트자격증,1.0,0,5.4638318050256105,0.0024789107324110857
84,기능시험,1.0,0,5.4638318050256105,0.0024789107324110857
85,서비스 수준 관리하기,1.0,0,5.4638318050256105,0.0024789107324110857
86,CONFLUENCE,1.0,0,5.4638318050256105,0.0024789107324110857
87,일을 배우면서 할 수 있음,1.0,0,5.4638318050256105,0.0024789107324110857
88,테스트 자동화 도구,1.0,0,5.4638318050256105,0.0024789107324110857
89,인프라 운영,1.0,0,5.4638318050256105,0.0024789107324110857
90,데브옵스,1.0,0,5.4638318050256105,0.0024789107324110857
91,프로그램 테스트,1.0,0,5.4638318050256105,0.0024789107324110857
92,서비스 수준관리 준비하기,1.0,0,5.4638318050256105,0.0024789107324110857
93,FIGMA,1.0,0,5.4638318050256105,0.0024789107324110857
94,FRONT END,1.0,0,5.4638318050256105,0.0024789107324110857
95,측정시험,1.0,0,5.4638318050256105,0.0024789107324110857
96,테스트 도구 활용 경험 보유자,1.0,0,5.4638318050256105,0.0024789107324110857
97,MS-OFFICE,1.0,0,5.4638318050256105,0.0024789107324110857
98,W 릴리즈 업무,1.0,0,5.4638318050256105,0.0024789107324110857
99,DBMS,1.0,0,5.4638318050256105,0.0024789107324110857
100,백엔드,1.0,0,5.4638318050256105,0.0024789107324110857
