idx,skill,tf,df,tfidf,pr
0,개발,59.0,42,100.4552696705908,0.05026729353612996
1,JAVA,15.0,0,81.95747707538416,0.04101109450144736
2,경험,31.0,24,69.59363538487968,0.03482429253945154
3,C,30.0,53,44.24543275384007,0.022140184015866548
4,경력,18.0,20,43.54756861143937,0.02179097643512511
5,개발 경험자,7.0,0,38.24682263517927,0.019138510767342097
6,서버,6.0,0,32.782990830153665,0.016404437800578944
7,보수,6.0,1,28.62410774679399,0.014323354374898895
8,SPRING,5.0,0,27.31915902512805,0.013670364833815785
9,WEB,5.0,0,27.31915902512805,0.013670364833815785
10,PL,7.0,4,26.980757248140566,0.013501030347802674
11,유지보수,6.0,2,26.191317098145003,0.013105998610003746
12,전자,7.0,6,24.625451591792075,0.012322447669330824
13,IP,6.0,4,23.126363355549056,0.011572311726688007
14,서비스,13.0,39,23.07438056185176,0.011546299807570387
15,JSP,4.0,0,21.85532722010244,0.010936291867052627
16,ORACLE,4.0,0,21.85532722010244,0.010936291867052627
17,JQUERY,4.0,0,21.85532722010244,0.010936291867052627
18,API,4.0,0,21.85532722010244,0.010936291867052627
19,AS,6.0,10,18.39561919336344,0.009205071996759372
20,자격,7.0,20,16.93516557111531,0.008474268613659764
21,ANGULAR,3.0,0,16.391495415076832,0.008202218900289472
22,백엔드,3.0,0,16.391495415076832,0.008202218900289472
23,UX,3.0,0,16.391495415076832,0.008202218900289472
24,UI,3.0,0,16.391495415076832,0.008202218900289472
25,지원,9.0,41,15.535459680680177,0.007773863079042487
26,운영,11.0,58,15.249237972318795,0.0076306392274934996
27,앱 개발,3.0,1,14.312053873396994,0.007161677187449447
28,기술,5.0,13,14.123872377051756,0.007067512147169598
29,모집,8.0,42,13.62105351465638,0.006815904208288808
30,IPT,3.0,2,13.0956585490725,0.006552999305001872
31,유지,6.0,27,12.789763769102438,0.0063999311509234744
32,JAVASCRIPT,3.0,3,12.23261233171716,0.006121135474609425
33,HTML,3.0,3,12.23261233171716,0.006121135474609425
34,AR,8.0,59,10.955897942428075,0.005482274246336961
35,MIPLATFORM,2.0,0,10.92766361005122,0.005468145933526313
36,전자정부프레임워크,2.0,0,10.92766361005122,0.005468145933526313
37,SPRING BOOT,2.0,0,10.92766361005122,0.005468145933526313
38,정보처리기사,2.0,0,10.92766361005122,0.005468145933526313
39,어플리케이션,2.0,0,10.92766361005122,0.005468145933526313
40,DB,2.0,0,10.92766361005122,0.005468145933526313
41,학력,4.0,17,10.293840188517782,0.005150983995832336
42,프로그램 개발,3.0,7,10.153170790037322,0.005080593761769402
43,초급,3.0,8,9.79982168306817,0.004903779709714274
44,업무,10.0,88,9.7519543529347,0.0048798271471209905
45,LINUX,2.0,1,9.54136924893133,0.0047744514582996325
46,프로젝트,3.0,9,9.483740136094694,0.004745614150503981
47,전기,6.0,49,9.310852797584785,0.0046591022271170275
48,웹개발,2.0,2,8.730439032715001,0.004368666203334582
49,백엔드 개발,2.0,2,8.730439032715001,0.004368666203334582
50,분석,5.0,43,8.398210855536744,0.004202420954499399
51,웹 개발,2.0,3,8.15507488781144,0.00408075698307295
52,POS,2.0,3,8.15507488781144,0.00408075698307295
53,VUE.JS,2.0,4,7.708787785183019,0.0038574372422293356
54,프로그램,3.0,19,7.404298594414858,0.0037050724376639583
55,어플리케이션 개발,2.0,7,6.768780526691549,0.0033870625078462682
56,환경,2.0,7,6.768780526691549,0.0033870625078462682
57,통신,2.0,8,6.533214455378781,0.00326918647314285
58,인원,2.0,10,6.131873064454479,0.003068357332253123
59,채용,2.0,11,5.957850310475219,0.002981277252881218
60,경력자,3.0,32,5.9019727306773895,0.002953316403092087
61,수행,2.0,12,5.797764895128147,0.002901171345142458
62,교육,2.0,13,5.649548950820703,0.00282700485886784
63,IC CARD READER,1.0,0,5.4638318050256105,0.002734072966763157
64,WEBSQURE,1.0,0,5.4638318050256105,0.002734072966763157
65,OCPP 1.6,1.0,0,5.4638318050256105,0.002734072966763157
66,DOCKER,1.0,0,5.4638318050256105,0.002734072966763157
67,운영 서버 연동,1.0,0,5.4638318050256105,0.002734072966763157
68,FRONT-END 개발,1.0,0,5.4638318050256105,0.002734072966763157
69,주변장치 연동,1.0,0,5.4638318050256105,0.002734072966763157
70,웹 접근성,1.0,0,5.4638318050256105,0.002734072966763157
71,APACHE,1.0,0,5.4638318050256105,0.002734072966763157
72,웹 기술,1.0,0,5.4638318050256105,0.002734072966763157
73,UX 개발,1.0,0,5.4638318050256105,0.002734072966763157
74,오라클,1.0,0,5.4638318050256105,0.002734072966763157
75,MVC 기반의 웹서비스 구축 경험,1.0,0,5.4638318050256105,0.002734072966763157
76,KOTLIN,1.0,0,5.4638318050256105,0.002734072966763157
77,L작성,1.0,0,5.4638318050256105,0.002734072966763157
78,진단 기능,1.0,0,5.4638318050256105,0.002734072966763157
79,웹서비스 개발,1.0,0,5.4638318050256105,0.002734072966763157
80,RS-232,1.0,0,5.4638318050256105,0.002734072966763157
81,관련학과 전공자,1.0,0,5.4638318050256105,0.002734072966763157
82,DBMS,1.0,0,5.4638318050256105,0.002734072966763157
83,QT 개발 경험,1.0,0,5.4638318050256105,0.002734072966763157
84,MYBATIS,1.0,0,5.4638318050256105,0.002734072966763157
85,ANDROID,1.0,0,5.4638318050256105,0.002734072966763157
86,자바스크립트,1.0,0,5.4638318050256105,0.002734072966763157
87,CSS,1.0,0,5.4638318050256105,0.002734072966763157
88,DATABASE에 대한 기본적인 이해와 SQL작성 능력,1.0,0,5.4638318050256105,0.002734072966763157
89,스프링 경험,1.0,0,5.4638318050256105,0.002734072966763157
90,SERVER,1.0,0,5.4638318050256105,0.002734072966763157
91,상용 웹서비스 운영,1.0,0,5.4638318050256105,0.002734072966763157
92,HTML5,1.0,0,5.4638318050256105,0.002734072966763157
93,자바 SPRING,1.0,0,5.4638318050256105,0.002734072966763157
94,전기차 충전기 관련 업무 경험,1.0,0,5.4638318050256105,0.002734072966763157
