idx,skill,tf,df,tfidf,pr
0,게임,44.0,0,240.4085994211269,0.105155681131094
1,UNITY,18.0,0,98.348972490461,0.043018233189992997
2,IT,23.0,5,84.45766372334377,0.036942119279235026
3,경험,30.0,24,67.34867940472228,0.029458581236844413
4,개발,35.0,42,59.59210912662167,0.026065826431904644
5,강의,11.0,1,52.47753086912232,0.02295388149969657
6,교육,17.0,13,48.02116608197598,0.02100464975137578
7,C,27.0,53,39.82088947845607,0.017417816028360747
8,경력,16.0,20,38.70894987683499,0.016931449207595407
9,지원,21.0,41,36.24940592158708,0.01585563486273121
10,개발 경험자,5.0,0,27.31915902512805,0.011949509219442498
11,프로젝트,8.0,9,25.28997369625252,0.011061935455804583
12,자격,10.0,20,24.19309367302187,0.01058215575474713
13,C#,6.0,4,23.126363355549056,0.010115563655349939
14,기술,8.0,13,22.598195803282813,0.009884541059470956
15,네트워크,4.0,0,21.85532722010244,0.009559607375553997
16,UNITY3D,4.0,0,21.85532722010244,0.009559607375553997
17,WEB,4.0,0,21.85532722010244,0.009559607375553997
18,공학,5.0,2,21.8260975817875,0.009546822215066295
19,3D,9.0,23,20.57200177209898,0.008998275701385061
20,환경,6.0,7,20.306341580074644,0.008882074872841483
21,프로그램,8.0,19,19.744796251772957,0.00863645270447591
22,VR,6.0,8,19.59964336613634,0.00857296225282811
23,채용,6.0,11,17.873550931425658,0.007817962531086546
24,선정,4.0,2,17.460878065430002,0.007637457772053036
25,공간,3.0,0,16.391495415076832,0.007169705531665499
26,기획,5.0,8,16.333036138446953,0.007144135210690093
27,IP,4.0,4,15.417575570366038,0.006743709103566626
28,커뮤니케이션,5.0,12,14.494412237820368,0.006339913776515777
29,수행,5.0,12,14.494412237820368,0.006339913776515777
30,업무,14.0,88,13.652736094108583,0.005971761271168967
31,기능,5.0,16,13.15309230484697,0.005753215083099006
32,IPT,3.0,2,13.0956585490725,0.005728093329039776
33,조직,3.0,2,13.0956585490725,0.005728093329039776
34,C++,4.0,8,13.066428910757562,0.005715308168552075
35,PL,3.0,4,11.563181677774528,0.005057781827674969
36,제작,4.0,14,11.0231264156936,0.004821559500065665
37,TCP,2.0,0,10.92766361005122,0.0047798036877769986
38,서버,2.0,0,10.92766361005122,0.0047798036877769986
39,JAVA,2.0,0,10.92766361005122,0.0047798036877769986
40,설계,3.0,6,10.55376496791089,0.00461625892904986
41,통신,3.0,8,9.79982168306817,0.004286481126414055
42,용해,2.0,1,9.54136924893133,0.004173432999944831
43,보수,2.0,1,9.54136924893133,0.004173432999944831
44,AS,3.0,10,9.19780959668172,0.004023158636513326
45,프로젝트 개발,2.0,2,8.730439032715001,0.003818728886026518
46,교육 지원,2.0,2,8.730439032715001,0.003818728886026518
47,팀워크,2.0,2,8.730439032715001,0.003818728886026518
48,예술,2.0,2,8.730439032715001,0.003818728886026518
49,AR,6.0,59,8.216923456821057,0.003594115123105489
50,JAVASCRIPT,2.0,3,8.15507488781144,0.0035670623121126627
51,열정,3.0,16,7.891855382908181,0.0034519290498594033
52,경력자,4.0,32,7.869296974236519,0.003442061911850139
53,소통,2.0,4,7.708787785183019,0.003371854551783313
54,관리,6.0,69,7.292019377857507,0.003189558386622159
55,서비스,4.0,39,7.099809403646695,0.003105484976573618
56,경력 무관,2.0,6,7.035843311940593,0.0030775059526999067
57,프로그램 개발,2.0,7,6.768780526691549,0.0029606916242804946
58,MR,2.0,7,6.768780526691549,0.0029606916242804946
59,등록,2.0,9,6.322493424063129,0.0027654838639511454
60,학생,3.0,30,6.089533801621391,0.0026635863950881795
61,기계,2.0,11,5.957850310475219,0.002605987510362182
62,컴퓨터,3.0,36,5.558741677144156,0.002431415800846454
63,인사,2.0,14,5.5115632078468,0.0024107797500328323
64,유니티 엔진,1.0,0,5.4638318050256105,0.0023899018438884997
65,GIT,1.0,0,5.4638318050256105,0.0023899018438884997
66,MSSQL,1.0,0,5.4638318050256105,0.0023899018438884997
67,WINSOCK,1.0,0,5.4638318050256105,0.0023899018438884997
68,유니티 클라이언트 프로그래밍,1.0,0,5.4638318050256105,0.0023899018438884997
69,기능 구현,1.0,0,5.4638318050256105,0.0023899018438884997
70,정보통신공학,1.0,0,5.4638318050256105,0.0023899018438884997
71,스마트팜,1.0,0,5.4638318050256105,0.0023899018438884997
72,관련학과 전공자,1.0,0,5.4638318050256105,0.0023899018438884997
73,조직 관리,1.0,0,5.4638318050256105,0.0023899018438884997
74,앱스토어,1.0,0,5.4638318050256105,0.0023899018438884997
75,UX,1.0,0,5.4638318050256105,0.0023899018438884997
76,유연한 사고,1.0,0,5.4638318050256105,0.0023899018438884997
77,자바스크립트,1.0,0,5.4638318050256105,0.0023899018438884997
78,인공지능,1.0,0,5.4638318050256105,0.0023899018438884997
79,HTML5,1.0,0,5.4638318050256105,0.0023899018438884997
80,CREATE,1.0,0,5.4638318050256105,0.0023899018438884997
