idx,skill,tf,df,tfidf,pr
0,수출,17.0,4,65.52469617405566,0.046176673356131515
1,수출입,17.0,5,62.42522970855843,0.04399241217046549
2,무역,11.0,11,32.768176707613705,0.02309244423330258
3,수입,9.0,10,27.59342879004516,0.01944568723567918
4,수출입관리,5.0,0,27.31915902512805,0.019252403388740034
5,중국어,5.0,0,27.31915902512805,0.019252403388740034
6,업무,25.0,88,24.379885882336755,0.017181033909077124
7,경리,11.0,25,24.263087937045405,0.017098723865943778
8,정산,7.0,7,23.69073184342042,0.016695372123441885
9,관리,19.0,69,23.09139469654877,0.01627300624802031
10,경력,7.0,20,16.93516557111531,0.011934578173885999
11,통관,3.0,0,16.391495415076832,0.01155144203324402
12,수출입계약,3.0,0,16.391495415076832,0.01155144203324402
13,경리업무,5.0,10,15.329682661136196,0.01080315957537732
14,회계,5.0,15,13.456215413929144,0.00948288660703131
15,계약,5.0,19,12.340497657358096,0.008696616125654909
16,지원,7.0,41,12.083135307195692,0.008515247300287944
17,작성,9.0,66,11.332252670711796,0.007986084034248468
18,영업,4.0,17,10.293840188517782,0.007254292254980538
19,자격,4.0,20,9.677237469208748,0.006819758956506284
20,주문,3.0,9,9.483740136094694,0.006683397192649254
21,영어,7.0,63,9.134641051661568,0.006437379502647727
22,견적서,2.0,3,8.15507488781144,0.005747057999154269
23,급여,3.0,17,7.720380141388336,0.0054407191912354035
24,영업지원,2.0,5,7.34414467159511,0.005175577902407705
25,서류,4.0,41,6.904648746968967,0.00486585560016454
26,선박,2.0,7,6.768780526691549,0.004770106320983397
27,견적,2.0,7,6.768780526691549,0.004770106320983397
28,환경,2.0,7,6.768780526691549,0.004770106320983397
29,경험,3.0,24,6.734867940472228,0.004746207386567104
30,계산,2.0,8,6.533214455378781,0.004604097805661141
31,서류작성,2.0,10,6.131873064454479,0.004321263830150929
32,계약서,2.0,11,5.957850310475219,0.004198626224236833
33,경력자,3.0,32,5.9019727306773895,0.004159248082850239
34,결산,2.0,12,5.797764895128147,0.004085810562887923
35,국제계약규범 활용하기,1.0,0,5.4638318050256105,0.003850480677748007
36,무역분쟁 해결하기,1.0,0,5.4638318050256105,0.003850480677748007
37,수입환경 조사하기,1.0,0,5.4638318050256105,0.003850480677748007
38,수입조건 협상,1.0,0,5.4638318050256105,0.003850480677748007
39,영어 이메일 관리,1.0,0,5.4638318050256105,0.003850480677748007
40,수입환경 조사,1.0,0,5.4638318050256105,0.003850480677748007
41,일반 매입매출관리,1.0,0,5.4638318050256105,0.003850480677748007
42,수입전략 수립하기,1.0,0,5.4638318050256105,0.003850480677748007
43,수출입계약서 작성하기,1.0,0,5.4638318050256105,0.003850480677748007
44,수입원가 계산하기,1.0,0,5.4638318050256105,0.003850480677748007
45,신용장 개설,1.0,0,5.4638318050256105,0.003850480677748007
46,수출입프로세스 정립하기,1.0,0,5.4638318050256105,0.003850480677748007
47,거래당사자 구분하기,1.0,0,5.4638318050256105,0.003850480677748007
48,무역 관련 서류 작성,1.0,0,5.4638318050256105,0.003850480677748007
49,수출입계획 수립하기,1.0,0,5.4638318050256105,0.003850480677748007
50,자동차전용선박,1.0,0,5.4638318050256105,0.003850480677748007
51,기항,1.0,0,5.4638318050256105,0.003850480677748007
52,수출입계약서 검토하기,1.0,0,5.4638318050256105,0.003850480677748007
53,자체 결산 능력자,1.0,0,5.4638318050256105,0.003850480677748007
54,하역비용,1.0,0,5.4638318050256105,0.003850480677748007
55,이메일 관리,1.0,0,5.4638318050256105,0.003850480677748007
56,수출입요건 구분하기,1.0,0,5.4638318050256105,0.003850480677748007
57,항비,1.0,0,5.4638318050256105,0.003850480677748007
58,수입조건 협상하기,1.0,0,5.4638318050256105,0.003850480677748007
59,수출입서식 준비하기,1.0,0,5.4638318050256105,0.003850480677748007
60,선박 스케줄 확인,1.0,0,5.4638318050256105,0.003850480677748007
61,WMS,1.0,0,5.4638318050256105,0.003850480677748007
62,계약체결방법 구분하기,1.0,0,5.4638318050256105,0.003850480677748007
63,영어 회화,1.0,0,5.4638318050256105,0.003850480677748007
64,일본어,1.0,0,5.4638318050256105,0.003850480677748007
65,수입원가 계산,1.0,0,5.4638318050256105,0.003850480677748007
66,국내외 무역규범 파악하기,1.0,0,5.4638318050256105,0.003850480677748007
67,수출입회계 작성하기,1.0,0,5.4638318050256105,0.003850480677748007
68,총무,3.0,41,5.178486560226725,0.0036493917001234047
69,신고,2.0,17,5.146920094258891,0.003627146127490269
70,수입마케팅,1.0,1,4.770684624465665,0.003362004838662571
71,회사 내부 업무,1.0,1,4.770684624465665,0.003362004838662571
72,무역업무,1.0,1,4.770684624465665,0.003362004838662571
73,유관업무 경력,1.0,1,4.770684624465665,0.003362004838662571
74,사무관련,1.0,1,4.770684624465665,0.003362004838662571
75,4대보험,2.0,23,4.571555949355329,0.00322167454606596
76,프로세스 정립,1.0,2,4.3652195163575005,0.003076264790289289
77,서류 복사,1.0,2,4.3652195163575005,0.003076264790289289
78,영어 문서작성,1.0,2,4.3652195163575005,0.003076264790289289
79,더존 위하고 사용,1.0,2,4.3652195163575005,0.003076264790289289
80,계약체결,1.0,2,4.3652195163575005,0.003076264790289289
81,하역,1.0,2,4.3652195163575005,0.003076264790289289
82,비용,1.0,2,4.3652195163575005,0.003076264790289289
83,정산 업무,1.0,2,4.3652195163575005,0.003076264790289289
84,근무시간,2.0,28,4.193071950078272,0.002954948669783927
85,포딩,1.0,3,4.07753744390572,0.0028735289995771344
86,영어 이메일,1.0,3,4.07753744390572,0.0028735289995771344
87,중국어 가능자,1.0,3,4.07753744390572,0.0028735289995771344
88,원천세신고,1.0,3,4.07753744390572,0.0028735289995771344
89,국제,1.0,3,4.07753744390572,0.0028735289995771344
90,컴퓨터활용능력,1.0,3,4.07753744390572,0.0028735289995771344
91,부가세,1.0,3,4.07753744390572,0.0028735289995771344
92,사무,2.0,33,3.8749425608188974,0.00273075599510454
93,무역 업무,1.0,4,3.8543938925915096,0.0027162749033018537
94,출납업무,1.0,4,3.8543938925915096,0.0027162749033018537
95,위하고,1.0,4,3.8543938925915096,0.0027162749033018537
96,전화 응대,1.0,4,3.8543938925915096,0.0027162749033018537
97,해외공급자 발굴하기,1.0,5,3.672072335797555,0.0025877889512038524
98,수출입사전준비,1.0,5,3.672072335797555,0.0025877889512038524
99,회계 작성,1.0,5,3.672072335797555,0.0025877889512038524
100,스캔,1.0,5,3.672072335797555,0.0025877889512038524
101,보증,1.0,5,3.672072335797555,0.0025877889512038524
102,영어가능자,1.0,5,3.672072335797555,0.0025877889512038524
103,CE,1.0,5,3.672072335797555,0.0025877889512038524
104,부가세신고,1.0,6,3.5179216559702966,0.002479155626585289
105,컴퓨터활용,1.0,6,3.5179216559702966,0.002479155626585289
106,회화,1.0,7,3.3843902633457743,0.0023850531604916983
107,건강보험,1.0,8,3.2666072276893905,0.0023020489028305704
108,매입매출관리,1.0,8,3.2666072276893905,0.0023020489028305704
109,세금계산서,1.0,8,3.2666072276893905,0.0023020489028305704
110,제출,3.0,81,3.1713376732840706,0.002234910383288674
111,총무업무,1.0,9,3.1612467120315646,0.002227799064216418
112,재고 관리,1.0,9,3.1612467120315646,0.002227799064216418
113,운송,1.0,10,3.0659365322272394,0.0021606319150754643
114,매출관리,1.0,10,3.0659365322272394,0.0021606319150754643
115,제품,1.0,10,3.0659365322272394,0.0021606319150754643
116,협의,1.0,10,3.0659365322272394,0.0021606319150754643
117,견적서작성,1.0,11,2.9789251552376097,0.0020993131121184163
118,MS OFFICE,1.0,11,2.9789251552376097,0.0020993131121184163
119,경리 업무,1.0,11,2.9789251552376097,0.0020993131121184163
120,서류 작성,1.0,11,2.9789251552376097,0.0020993131121184163
121,더존,1.0,11,2.9789251552376097,0.0020993131121184163
122,채용,1.0,11,2.9789251552376097,0.0020993131121184163
123,C,2.0,53,2.9496955169226715,0.002078714352572833
124,문서,1.0,12,2.8988824475640733,0.0020429052814439617
125,보험,6.0,146,2.8403953094812424,0.002001688127783123
126,유관업무 경력자,1.0,13,2.824774475410352,0.0019906797874998535
127,거래처관리,1.0,13,2.824774475410352,0.0019906797874998535
128,유경험자,2.0,57,2.806777588958381,0.001977996991613055
129,원천세,1.0,14,2.7557816039234,0.001942059015843136
130,급여관리,1.0,15,2.691243082785829,0.001896577321406262
131,출고관리,1.0,15,2.691243082785829,0.001896577321406262
