idx,skill,tf,df,tfidf,pr
0,관리,141.0,69,171.3624553796514,0.0464948467979675
1,경리,63.0,25,138.96132182126007,0.03770362273701267
2,부과,37.0,13,104.516655590183,0.028357938025195546
3,관리비 부과,23.0,2,100.40004887622251,0.027241001423948613
4,업무,93.0,88,90.69317548229272,0.024607288045261667
5,아파트,27.0,9,85.35366122485225,0.02315854656437403
6,경력,35.0,20,84.67582785557654,0.022974633707913136
7,사무,39.0,33,75.5613799359685,0.020501659924178763
8,지원,41.0,41,70.77264965643191,0.019202359676580415
9,오피스,15.0,2,65.47829274536251,0.01776587049387953
10,채용,21.0,11,62.557428259989805,0.016973368154530145
11,회계,23.0,15,61.89859090407406,0.016794609383478376
12,급여,24.0,17,61.76304113110669,0.016757831397812527
13,서류,25.0,41,43.15405466855604,0.01170875590035391
14,접수,19.0,25,41.90897007307843,0.011370933841321281
15,NAVER,11.0,5,40.39279569377311,0.010959558459656581
16,계산,12.0,8,39.19928673227268,0.01063573013802089
17,자격,16.0,20,38.70894987683499,0.010502689695046006
18,행정,11.0,6,38.69713821567326,0.0104994849010033
19,아파트 관리,7.0,0,38.24682263517927,0.010377303213775373
20,ERP,12.0,9,37.934960544378775,0.010292687361944013
21,경리업무,12.0,10,36.79123838672688,0.009982367424116019
22,경력자,17.0,32,33.44451214050521,0.009074318319963822
23,관리소장,6.0,0,32.782990830153665,0.008894831326093179
24,건물 관리,6.0,1,28.62410774679399,0.007766424106535864
25,민원응대,5.0,0,27.31915902512805,0.0074123594384109814
26,기타,11.0,20,26.612403040324057,0.0072205991653441284
27,세금계산서,8.0,8,26.132857821515124,0.007090486758680593
28,프로그램,10.0,19,24.680995314716192,0.006696560769024488
29,이메일,13.0,36,24.08788060095801,0.0065356341664690384
30,근무시간,11.0,28,23.061895725430496,0.006257259247651506
31,인원,7.0,10,21.461555725590674,0.005823047664067676
32,응대,11.0,37,20.088702098291467,0.005450558725718289
33,수납,5.0,4,19.271969462957543,0.005228959083774431
34,경리사무원,5.0,4,19.271969462957543,0.005228959083774431
35,C,13.0,53,19.173020859997365,0.005202111895308826
36,세금계산서 발행,6.0,9,18.967480272189388,0.0051463436809720065
37,모집,11.0,42,18.728948582652524,0.005081624169706216
38,보조,7.0,16,18.41432922678576,0.004996260204079721
39,협의,6.0,10,18.39561919336344,0.0049911837120580095
40,경험,8.0,24,17.959647841259272,0.004872893966620614
41,경력자 우대,9.0,37,16.43621080769302,0.004459548048314964
42,이수자,3.0,0,16.391495415076832,0.0044474156630465896
43,계산서 발행,7.0,23,16.00044582274365,0.004341314295359849
44,마감,7.0,23,16.00044582274365,0.004341314295359849
45,4대보험,7.0,23,16.00044582274365,0.004341314295359849
46,건물관리,5.0,9,15.806233560157825,0.0042886197341433395
47,시설,9.0,42,15.323685203988427,0.004157692502486904
48,경리 업무,5.0,11,14.894625776188049,0.004041278132030987
49,더존,5.0,11,14.894625776188049,0.004041278132030987
50,아파트 관리사무소 경리,3.0,1,14.312053873396994,0.003883212053267932
51,기타행정업무,3.0,1,14.312053873396994,0.003883212053267932
52,교육,5.0,13,14.123872377051756,0.003832153787188587
53,주차,4.0,6,14.071686623881186,0.0038179945094557453
54,행정업무,4.0,6,14.071686623881186,0.0038179945094557453
55,정산,4.0,7,13.537561053383095,0.003673073111614158
56,전화,6.0,24,13.469735880944455,0.0036546704749654607
57,엑셀,5.0,16,13.15309230484697,0.0035687572886283717
58,학력,5.0,17,12.867300235647228,0.0034912148745442767
59,유지,6.0,27,12.789763769102438,0.0034701773250689918
60,자격증,8.0,47,12.741046352941751,0.0034569590924300765
61,등록,4.0,9,12.644986848126258,0.0034308957873146707
62,장부,4.0,10,12.263746128908958,0.0033274558080386724
63,AI,4.0,11,11.91570062095044,0.00323302250562479
64,검토,6.0,33,11.624827682456692,0.0031541015267967324
65,민원 접수,2.0,0,10.92766361005122,0.0029649437753643923
66,관리비 고지서 작성,2.0,0,10.92766361005122,0.0029649437753643923
67,관리사무소 경리업무,2.0,0,10.92766361005122,0.0029649437753643923
68,숙박,2.0,0,10.92766361005122,0.0029649437753643923
69,공동주택,2.0,0,10.92766361005122,0.0029649437753643923
70,세무,4.0,17,10.293840188517782,0.0027929718996354213
71,기타행정,3.0,7,10.153170790037322,0.002754804833710619
72,계약,4.0,19,9.872398125886477,0.002678624307609795
73,유경험자,7.0,57,9.823721561354334,0.0026654171590219716
74,일반사무,3.0,8,9.79982168306817,0.0026589325345052223
75,민원업무,2.0,1,9.54136924893133,0.002588808035511955
76,전표 처리하기,2.0,1,9.54136924893133,0.002588808035511955
77,전표 처리,2.0,1,9.54136924893133,0.002588808035511955
78,증빙서류 관리하기,2.0,1,9.54136924893133,0.002588808035511955
79,제출,9.0,81,9.514013019852213,0.0025813856180565927
80,행정 업무,3.0,9,9.483740136094694,0.0025731718404860032
81,프로그램 사용,3.0,9,9.483740136094694,0.0025731718404860032
82,선정,2.0,2,8.730439032715001,0.0023687827325172706
83,.NET,3.0,12,8.69664734269222,0.0023596142163030695
84,감사,3.0,12,8.69664734269222,0.0023596142163030695
85,관련업무,3.0,12,8.69664734269222,0.0023596142163030695
86,사무원,5.0,43,8.398210855536744,0.002278641060786152
87,오피스텔 관리,2.0,3,8.15507488781144,0.002212672295659517
88,징수,2.0,3,8.15507488781144,0.002212672295659517
89,회계 업무,3.0,15,8.073729248357488,0.0021906012239319623
90,정리,4.0,33,7.749885121637795,0.0021027343511978215
